DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,1.37,0,12.54,0
2009-10-02,1.27,0.05,14.63,0
2009-10-03,1.18,0,14.89,0
2009-10-04,1.06,2.19,13.84,0
2009-10-05,1.11,6.83,11.81,0
2009-10-06,1.07,0.61,14.62,0
2009-10-07,0.99,0.41,16.06,0
2009-10-08,0.93,0,13.81,0
2009-10-09,0.88,0.17,18.3,0
2009-10-10,0.87,1,16.91,0
2009-10-11,0.85,3.29,13.54,0
2009-10-12,0.84,16.12,11.38,0
2009-10-13,0.92,0.5,14.4,0
2009-10-14,1.18,14.25,9.16,0
2009-10-15,1.71,6.4,8.74,0
2009-10-16,1.18,2.78,10.64,0
2009-10-17,1.06,1.29,6.11,0.02
2009-10-18,0.97,0.05,4.51,0.06
2009-10-19,0.91,0,6.56,0.04
2009-10-20,0.89,0,10.06,0.02
2009-10-21,0.87,0,12.05,0.01
2009-10-22,0.86,0.01,13.51,0
2009-10-23,0.86,11.24,15.48,0
2009-10-24,4.31,17.03,15.41,0
2009-10-25,2.89,0,9.59,0
2009-10-26,2.09,0.53,10.04,0
2009-10-27,1.87,34.01,10.08,0
2009-10-28,3.97,0.85,13.02,0
2009-10-29,2.77,0,12.45,0
2009-10-30,2.19,1.63,12.11,0
2009-10-31,2.03,16.44,12.8,0
2009-11-01,2.63,13.03,9.47,0
2009-11-02,2.36,0.01,10.45,0
2009-11-03,2.03,0,9.65,0
2009-11-04,1.79,0.04,8.13,0
2009-11-05,1.63,0.2,7.27,0
2009-11-06,1.49,0,6.91,0
2009-11-07,1.39,0,8.86,0
2009-11-08,1.33,0,12.08,0
2009-11-09,1.25,0,11.79,0
2009-11-10,1.42,26.19,11.22,0
2009-11-11,6.21,47.97,8.43,0
2009-11-12,4.98,5.72,7.51,0
2009-11-13,3.41,0,11.97,0
2009-11-14,2.7,0,12.95,0
2009-11-15,2.29,0,13.39,0
2009-11-16,2.02,0,12,0
2009-11-17,1.82,3.78,10.5,0
