DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0,0,20.21,0
2009-10-02,0,0,21.2,0
2009-10-03,0,2.11,22.34,0
2009-10-04,0,0.27,20.85,0
2009-10-05,0,0.46,20.91,0
2009-10-06,0,0,20.57,0
2009-10-07,0,0.43,21.28,0
2009-10-08,0,0,18.66,0
2009-10-09,0,0.02,18.39,0
2009-10-10,0,0.29,17.9,0
2009-10-11,0,0.11,18.57,0
2009-10-12,0,0.01,21.27,0
2009-10-13,0,1.51,24.1,0
2009-10-14,0,0.16,24.93,0
2009-10-15,0,0,22.69,0
2009-10-16,0,0,22.45,0
2009-10-17,0,0.06,20.22,0
2009-10-18,0,0.35,19.84,0
2009-10-19,0,0.24,19.19,0
2009-10-20,0,0,20.23,0
2009-10-21,0,0,21.01,0
2009-10-22,0,0,21.36,0
2009-10-23,0,0,21.25,0
2009-10-24,0,0,22.3,0
2009-10-25,0,0.24,22.87,0
2009-10-26,0,1.84,22.69,0
2009-10-27,0,0.14,22.12,0
2009-10-28,0,0.38,21.44,0
2009-10-29,0,0.13,20.48,0
2009-10-30,0,0.02,20.51,0
2009-10-31,0,0.01,20.84,0
2009-11-01,0,0.51,20.4,0
2009-11-02,0,0,21.04,0
2009-11-03,0,0,22.88,0
2009-11-04,0,0,24.52,0
2009-11-05,0,0.09,24.28,0
2009-11-06,0,1.09,23.32,0
2009-11-07,0,0.24,22.67,0
2009-11-08,0,0.13,21.99,0
2009-11-09,0,0.86,20.31,0
2009-11-10,0,0.48,20.41,0
2009-11-11,0,0.24,20.97,0
2009-11-12,0,0,22,0
2009-11-13,0,4.56,22.75,0
2009-11-14,0,0.27,22.04,0
2009-11-15,0,0.04,23.83,0
2009-11-16,0,0.04,25.33,0
2009-11-17,0,1.19,27.27,0
2009-11-18,0,0.56,26.39,0
2009-11-19,0,0.66,26.65,0
2009-11-20,0,0.05,26.08,0
2009-11-21,0,0.07,26.14,0
2009-11-22,0,0.02,25.77,0
2009-11-23,0,0.01,25.47,0
2009-11-24,0,1.92,23.53,0
2009-11-25,0,0.64,23.16,0
2009-11-26,0,0.27,24.6,0
2009-11-27,0,0,26.03,0
2009-11-28,0,0.26,27.45,0
2009-11-29,0,3.65,27,0
2009-11-30,0,3.57,25.16,0
2009-12-01,0,4.16,23.51,0
2009-12-02,0,1.95,21.97,0
2009-12-03,0,0.5,22.21,0
2009-12-04,0,0,23.69,0
2009-12-05,0,0,24.23,0
2009-12-06,0,0,25.14,0
2009-12-07,0,0.13,25.69,0
2009-12-08,0,0.07,26.36,0
2009-12-09,0,0.03,26.84,0
2009-12-10,0,0,27.24,0
2009-12-11,0,0.12,27.65,0
2009-12-12,0,0.43,26.79,0
2009-12-13,0,0.32,25.84,0
2009-12-14,0,0.15,26.24,0
2009-12-15,0,0.39,25.51,0
2009-12-16,0,0.35,24.96,0
2009-12-17,0,0.05,24.41,0
2009-12-18,0,0.24,25.09,0
2009-12-19,0,1.49,24.91,0
2009-12-20,0,16.6,22.88,0
2009-12-21,0.08,1.98,23.26,0
2009-12-22,0.02,7.35,24.05,0
2009-12-23,0.22,11.35,24.18,0
2009-12-24,0.06,1.57,24.22,0
2009-12-25,0.02,2.68,24.56,0
2009-12-26,0.02,14.46,23.47,0
2009-12-27,0.16,10.13,22.8,0
2009-12-28,0.14,5.91,23.64,0
2009-12-29,0.09,10.5,24.1,0
2009-12-30,1,0.74,24.59,0
2009-12-31,1.03,1.43,23.97,0
2010-01-01,0.86,2.33,23.81,0
2010-01-02,0.3,2.34,24.3,0
2010-01-03,0.21,17.45,25.41,0
2010-01-04,0.25,11.45,22.11,0
2010-01-05,1.48,1.24,22.96,0
2010-01-06,2.1,1.77,23.66,0
2010-01-07,0.92,6.16,22.25,0
2010-01-08,0.69,1.78,23.86,0
2010-01-09,0.89,0.63,24.18,0
2010-01-10,1.02,0.01,24.28,0
2010-01-11,0.57,0.03,24.08,0
2010-01-12,0.35,0,24.63,0
2010-01-13,0.25,0.03,24.81,0
2010-01-14,0.17,0,24.93,0
2010-01-15,0.12,0.19,24.18,0
2010-01-16,0.09,0,24.55,0
2010-01-17,0.07,0.05,26,0
2010-01-18,0.06,0.12,28.21,0
2010-01-19,0.05,0,26.53,0
2010-01-20,0.04,0,25.8,0
2010-01-21,0.04,0,26.55,0
2010-01-22,0.03,0,25.66,0
2010-01-23,0.03,0.01,25.93,0
2010-01-24,0.02,0.01,25.88,0
2010-01-25,0.02,0.03,26.33,0
2010-01-26,0.02,0.01,26.54,0
2010-01-27,0.02,0,26.91,0
2010-01-28,0.01,0.35,27.02,0
2010-01-29,0.01,3.96,26.52,0
2010-01-30,0.02,4.72,24.7,0
2010-01-31,0.02,29.72,21.6,0
2010-02-01,0.04,30.97,20.96,0
2010-02-02,2.68,2.2,22.61,0
2010-02-03,2.16,0.25,24.02,0
2010-02-04,2.86,0.66,23.9,0
2010-02-05,0.86,0.14,24.89,0
2010-02-06,0.54,1.97,25.41,0
2010-02-07,0.39,15.47,23.1,0
2010-02-08,3.44,3.31,23.62,0
2010-02-09,1.94,1.99,23.86,0
2010-02-10,1.44,0.01,23.89,0
2010-02-11,0.82,1.43,23.83,0
2010-02-12,0.55,0.27,24.24,0
2010-02-13,0.42,2.19,24.48,0
2010-02-14,0.34,0.46,25.57,0
2010-02-15,0.27,8.32,26.17,0
2010-02-16,0.24,16.66,24.48,0
2010-02-17,7.72,24.62,22.48,0
2010-02-18,3.41,18.43,21.41,0
2010-02-19,4.39,0.22,22.72,0
2010-02-20,1.61,0.49,23.15,0
2010-02-21,1.16,0.86,23.91,0
2010-02-22,0.76,1.14,24.5,0
2010-02-23,0.55,0.3,26.11,0
2010-02-24,0.44,1.6,24.97,0
2010-02-25,0.35,2.96,23.1,0
2010-02-26,0.3,0.69,22.8,0
2010-02-27,0.25,2.56,23.13,0
2010-02-28,0.22,3.2,23.98,0
2010-03-01,0.2,13.56,22.46,0
2010-03-02,0.24,64.73,21.22,0
2010-03-03,4.43,3.32,23.09,0
2010-03-04,5.12,0.94,22.63,0
2010-03-05,5.15,4.06,23.74,0
2010-03-06,8.57,78.02,22.61,0
2010-03-07,22.4,14.09,22.05,0
2010-03-08,41.67,2.03,22.95,0
2010-03-09,25.88,0.42,24.32,0
2010-03-10,16.37,1.78,24.46,0
2010-03-11,6.5,3.88,22.58,0
2010-03-12,3.07,1.14,22.19,0
2010-03-13,2.02,0.29,21.22,0
2010-03-14,1.48,0.53,21.49,0
