DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.06,0,18.66,0
2009-10-02,0.04,0,19.93,0
2009-10-03,0.02,0.55,22.2,0
2009-10-04,0.01,4.92,16.73,0
2009-10-05,0.01,4.77,16.36,0
2009-10-06,0,0.3,17.28,0
2009-10-07,0,0.4,18.63,0
2009-10-08,0.04,0,15.87,0
2009-10-09,0.03,0.04,15.2,0
2009-10-10,0.01,1.02,14.48,0
2009-10-11,0.01,10.23,13.7,0
2009-10-12,0.02,0.13,17.55,0
2009-10-13,0.02,2.34,21.64,0
2009-10-14,0.04,0,20.46,0
2009-10-15,0.05,0,19.46,0
2009-10-16,0.03,0.08,18.61,0
2009-10-17,0.03,0.04,16.35,0
2009-10-18,0.01,2.9,15.68,0
2009-10-19,0.01,0.2,16.49,0
2009-10-20,0.02,0,17.2,0
2009-10-21,0.01,0,19.14,0
2009-10-22,0.01,0,19.78,0
2009-10-23,0.01,0.01,19.61,0
2009-10-24,0.01,0.13,20.63,0
2009-10-25,0,0.25,20.86,0
2009-10-26,0,11.72,19.39,0
2009-10-27,0,1.59,19.07,0
2009-10-28,0.01,15.97,17.76,0
2009-10-29,0.02,0.6,17.88,0
2009-10-30,0.05,0.67,17.82,0
2009-10-31,0.05,2.47,17.62,0
2009-11-01,0.07,2.11,17.65,0
2009-11-02,0.04,0,18.6,0
2009-11-03,0.04,0,21.27,0
2009-11-04,0.04,0,23.82,0
2009-11-05,0.03,15.87,22.06,0
2009-11-06,0.02,31.09,18.48,0
2009-11-07,0.04,2.94,19.12,0
2009-11-08,0.05,6.42,18.73,0
2009-11-09,0.05,16.91,17.22,0
2009-11-10,0.06,2.14,17.19,0
2009-11-11,0.23,0,18.35,0
2009-11-12,0.15,0,19.34,0
2009-11-13,0.1,7.54,19.14,0
2009-11-14,0.07,4.44,18.9,0
2009-11-15,0.06,0.26,21.59,0
2009-11-16,0.05,1.39,23.16,0
2009-11-17,0.04,0.21,24.83,0
2009-11-18,0.05,0.02,21.97,0
2009-11-19,0.04,0.04,23.11,0
2009-11-20,0.04,0.08,24.67,0
2009-11-21,0.02,0.01,24.03,0
2009-11-22,0.02,0,23.89,0
2009-11-23,0.01,1.94,23.8,0
2009-11-24,0,5.11,21.06,0
2009-11-25,0.01,0.54,21.31,0
2009-11-26,0.01,0.06,21.91,0
2009-11-27,0.01,0.08,23.84,0
2009-11-28,0.01,1.73,25.83,0
2009-11-29,0.01,0.87,26.16,0
2009-11-30,0,0.24,24.73,0
2009-12-01,0,5.36,19.69,0
2009-12-02,0,0.87,18.11,0
2009-12-03,0.01,0.07,19.19,0
2009-12-04,0.01,0,21.59,0
2009-12-05,0.02,0.01,22.82,0
2009-12-06,0.03,0.01,23.24,0
2009-12-07,0.02,0.06,24.05,0
2009-12-08,0.02,0.53,25.23,0
2009-12-09,0.02,0,26.11,0
2009-12-10,0.02,0,25.95,0
2009-12-11,0.02,5.41,25.61,0
2009-12-12,0.02,2.48,22.2,0
2009-12-13,0.01,2.48,23.55,0
2009-12-14,0.01,4.27,22.88,0
2009-12-15,0.01,16.36,21.45,0
2009-12-16,0,2.32,21.55,0
2009-12-17,0.01,0.1,22.08,0
2009-12-18,0.01,0.18,23.59,0
2009-12-19,0.02,8.57,22.24,0
2009-12-20,0.02,32.26,19.58,0
2009-12-21,0.02,17.37,20.11,0
2009-12-22,0.04,5.57,21.74,0
2009-12-23,0.07,12.22,21.87,0
2009-12-24,0.07,2.26,21.83,0
2009-12-25,0.05,3.62,22.41,0
2009-12-26,0.04,9.19,22.33,0
2009-12-27,0.05,12.92,22.56,0
2009-12-28,0.09,18.51,21.92,0
2009-12-29,0.24,12.47,22.04,0
2009-12-30,0.42,2.74,21.96,0
2009-12-31,0.76,3.45,21.47,0
2010-01-01,0.39,2.69,22.11,0
2010-01-02,0.23,2.71,23.4,0
2010-01-03,0.17,19.47,23.36,0
2010-01-04,0.13,1.94,21.59,0
2010-01-05,0.09,0.83,21.31,0
2010-01-06,0.07,1.78,22.09,0
2010-01-07,0.09,10.26,22.02,0
2010-01-08,0.08,6.93,21.31,0
2010-01-09,0.06,1.24,22.15,0
2010-01-10,0.17,0.01,23.08,0
2010-01-11,0.17,0.01,23.28,0
2010-01-12,0.1,0.39,22.68,0
2010-01-13,0.06,0.01,22.88,0
2010-01-14,0.05,0.03,23.15,0
2010-01-15,0.04,1.53,22.28,0
2010-01-16,0.02,1.66,22.11,0
2010-01-17,0.01,0.96,24.07,0
2010-01-18,0,0.01,26.12,0
2010-01-19,0.01,0.03,21.77,0
2010-01-20,0.01,0,22.64,0
2010-01-21,0,0,24.3,0
2010-01-22,0,0,23.87,0
2010-01-23,0,0.02,23.9,0
2010-01-24,0,0.01,24.02,0
2010-01-25,0,0,24.06,0
2010-01-26,0,0,24.62,0
2010-01-27,0,1.71,25.03,0
2010-01-28,0,4.34,24.75,0
2010-01-29,0,15.7,23.4,0
2010-01-30,0.03,1.61,22.29,0
2010-01-31,0.03,9.77,20.89,0
2010-02-01,0.08,7.49,20.68,0
2010-02-02,0.23,5.61,21.2,0
2010-02-03,0.28,3.16,21.46,0
2010-02-04,0.18,3.16,22.2,0
2010-02-05,0.16,1.13,23.2,0
2010-02-06,0.2,30.26,22.12,0
2010-02-07,0.78,18.05,21.21,0
2010-02-08,6.89,2.6,21.67,0
2010-02-09,1.94,7.77,21.26,0
2010-02-10,1.3,2.26,21.49,0
2010-02-11,1,0.87,21.71,0
2010-02-12,0.79,0,23.04,0
2010-02-13,0.63,0.43,23.38,0
2010-02-14,0.53,0.03,23.98,0
2010-02-15,0.45,2.82,25.57,0
2010-02-16,0.95,27.26,23.53,0
2010-02-17,4.75,0.82,22.14,0
2010-02-18,0.83,0.54,21.25,0
2010-02-19,0.51,1.22,20.71,0
2010-02-20,0.42,4.14,20.55,0
2010-02-21,0.39,1.69,21.58,0
2010-02-22,0.45,0.01,22.89,0
2010-02-23,0.38,0.01,25.63,0
2010-02-24,0.34,1.97,22.75,0
2010-02-25,0.3,1.89,20.98,0
2010-02-26,0.3,2.77,20.12,0
2010-02-27,0.33,5.26,20.62,0
2010-02-28,0.31,4.09,21.88,0
2010-03-01,0.46,29.96,20.31,0
2010-03-02,0.7,50.95,18.85,0
2010-03-03,1.7,9.69,19.77,0
2010-03-04,1.76,1,20.68,0
2010-03-05,1.59,1.67,20.94,0
2010-03-06,1.33,8.29,21.18,0
2010-03-07,1.23,3.14,21.19,0
2010-03-08,1.08,4.5,21.23,0
2010-03-09,0.91,0.6,22.71,0
2010-03-10,0.8,0.63,22.77,0
2010-03-11,0.68,2.29,20.44,0
2010-03-12,0.59,2.85,19.69,0
2010-03-13,0.66,1.73,19.26,0
2010-03-14,0.63,4.09,18.34,0
2010-03-15,0.76,2.2,18.46,0
2010-03-16,1.05,1.52,19.37,0
2010-03-17,0.86,2.96,19.41,0
2010-03-18,0.72,0.9,19.78,0
2010-03-19,0.65,2.18,19.68,0
2010-03-20,0.58,0.05,19.91,0
2010-03-21,0.53,0.31,21.62,0
2010-03-22,0.48,0.64,21.78,0
2010-03-23,0.44,5.75,21.18,0
2010-03-24,0.4,2.58,20.38,0
2010-03-25,0.37,1.09,19.8,0
2010-03-26,0.34,1.55,20.1,0
2010-03-27,0.31,0.2,20.32,0
2010-03-28,0.28,1.48,20.07,0
2010-03-29,0.27,1.09,20.32,0
2010-03-30,0.26,1.52,20.46,0
2010-03-31,0.25,10.21,20.13,0
2010-04-01,0.3,10.55,19.21,0
2010-04-02,0.32,1.14,19.48,0
2010-04-03,0.28,0.06,19.41,0
2010-04-04,0.25,0.6,18.44,0
2010-04-05,0.24,0.27,18.1,0
2010-04-06,0.23,1.1,18.11,0
2010-04-07,0.21,0,19.78,0
2010-04-08,0.2,0.06,21.38,0
2010-04-09,0.19,0.05,20.54,0
2010-04-10,0.18,0.01,21.32,0
2010-04-11,0.16,0.12,23.03,0
2010-04-12,0.15,1.32,22.5,0
2010-04-13,0.16,0.77,18.37,0
2010-04-14,0.19,0.26,17.59,0
2010-04-15,0.15,0.02,18.25,0
2010-04-16,0.13,0.89,17.52,0
2010-04-17,0.13,1.58,17.82,0
2010-04-18,0.12,2.36,18.06,0
2010-04-19,0.12,2.15,18.21,0
2010-04-20,0.13,2.46,17.54,0
2010-04-21,0.18,4.79,18.01,0
2010-04-22,0.28,0.45,18.41,0
2010-04-23,0.55,0.24,19.07,0
2010-04-24,0.35,0.87,19.1,0
2010-04-25,0.27,0.61,20.73,0
2010-04-26,0.24,0,16.99,0
2010-04-27,0.23,0,16.74,0
2010-04-28,0.2,0.25,18.44,0
2010-04-29,0.16,0,19.3,0
2010-04-30,0.16,0.13,17.36,0
2010-05-01,0.16,0.65,17.55,0
2010-05-02,0.14,0.59,17.48,0
2010-05-03,0.12,0.64,17.58,0
2010-05-04,0.13,18.96,16.63,0
2010-05-05,0.33,0.05,18.13,0
2010-05-06,0.61,0,15.78,0
2010-05-07,0.38,0,14.9,0
2010-05-08,0.28,0.28,15.28,0
2010-05-09,0.24,0,16.16,0
2010-05-10,0.22,0.4,16.25,0
2010-05-11,0.2,0.59,15.87,0
2010-05-12,0.19,0.01,15.81,0
2010-05-13,0.19,0,13.98,0
2010-05-14,0.19,0,13.9,0
2010-05-15,0.17,0,14.21,0
2010-05-16,0.16,0,14.16,0
2010-05-17,0.16,1.22,13.63,0
2010-05-18,0.16,0.28,13.65,0
2010-05-19,0.15,0.02,13.98,0
2010-05-20,0.13,0.07,15.27,0
2010-05-21,0.13,12.16,13.5,0
2010-05-22,0.15,0,13.24,0
2010-05-23,0.17,0.58,14.09,0
2010-05-24,0.16,1.98,14.93,0
2010-05-25,0.15,0.34,16.16,0
2010-05-26,0.16,0.75,15.5,0
2010-05-27,0.16,0.21,14.16,0
2010-05-28,0.15,0.85,14.79,0
2010-05-29,0.13,8.66,14.81,0
2010-05-30,0.17,0,12.52,0
2010-05-31,0.26,0,12.56,0
2010-06-01,0.21,0.1,13.68,0
2010-06-02,0.16,4.61,14.63,0
2010-06-03,0.16,7.72,13.43,0
2010-06-04,0.17,0.02,13.14,0
2010-06-05,0.17,0.01,14.76,0
2010-06-06,0.16,0.01,12.71,0
2010-06-07,0.15,0,12.34,0
2010-06-08,0.13,0.05,13.34,0
2010-06-09,0.11,0.02,13.85,0
2010-06-10,0.09,0,11.4,0
2010-06-11,0.08,0,11.58,0
2010-06-12,0.08,0,9.85,0
2010-06-13,0.07,0.07,11.4,0
2010-06-14,0.08,1.26,12.5,0
2010-06-15,0.09,0.01,13.06,0
2010-06-16,0.08,0,12.92,0
2010-06-17,0.08,0.56,13.61,0
2010-06-18,0.08,3.18,14.16,0
2010-06-19,0.08,0,13.2,0
2010-06-20,0.08,0,12.29,0
2010-06-21,0.09,0,12.5,0
2010-06-22,0.07,0.33,13.51,0
2010-06-23,0.06,2.99,12.92,0
2010-06-24,0.06,0.93,12.28,0
2010-06-25,0.11,0,13.08,0
2010-06-26,0.17,0.02,13.91,0
2010-06-27,0.12,6.51,11.78,0
2010-06-28,0.1,0.01,11.25,0
2010-06-29,0.09,0,10.84,0
2010-06-30,0.1,0,11.38,0
2010-07-01,0.09,0,11.33,0
2010-07-02,0.07,5.17,10.93,0
2010-07-03,0.08,3.43,11.33,0
2010-07-04,0.09,0.01,10.69,0
2010-07-05,0.12,0.03,12.27,0
2010-07-06,0.11,0.04,13.29,0
2010-07-07,0.09,5.05,11.55,0
2010-07-08,0.09,1.9,12,0
2010-07-09,0.09,0.89,12.54,0
2010-07-10,0.13,0.6,12.97,0
2010-07-11,0.21,0.97,13.01,0
2010-07-12,0.15,0,13.84,0
2010-07-13,0.11,0,14.06,0
2010-07-14,0.1,0.03,13.61,0
2010-07-15,0.09,0,11.08,0
2010-07-16,0.07,0,10.69,0
2010-07-17,0.07,0,10.93,0
2010-07-18,0.08,0,11.88,0
2010-07-19,0.06,2.21,13.83,0
2010-07-20,0.07,0.17,12.23,0
2010-07-21,0.07,0,11.01,0
2010-07-22,0.08,0.54,10.22,0
2010-07-23,0.08,0.14,10.63,0
2010-07-24,0.07,0.06,12.38,0
2010-07-25,0.07,1.74,13.37,0
2010-07-26,0.07,1.89,12.8,0
2010-07-27,0.07,1.66,12.91,0
2010-07-28,0.08,15.34,13.62,0
2010-07-29,0.1,1.59,15.92,0
2010-07-30,0.2,0.1,17.7,0
2010-07-31,0.21,0.28,18.65,0
2010-08-01,0.16,0,15.14,0
2010-08-02,0.13,0,11.41,0
2010-08-03,0.12,0,11.28,0
2010-08-04,0.11,0,12.24,0
2010-08-05,0.09,0,13.34,0
2010-08-06,0.08,0.01,12.01,0
2010-08-07,0.08,0,10.29,0
2010-08-08,0.08,0,11.38,0
2010-08-09,0.07,0.81,13.79,0
2010-08-10,0.08,47,14.76,0
2010-08-11,0.1,21.08,13.49,0
2010-08-12,0.27,0,11,0
2010-08-13,0.27,0,11.14,0
2010-08-14,0.18,0,11.52,0
2010-08-15,0.14,0,13.09,0
2010-08-16,0.12,0,12.23,0
2010-08-17,0.1,0,11.78,0
2010-08-18,0.09,0,13.15,0
2010-08-19,0.09,0.01,17.05,0
2010-08-20,0.09,12.08,13.39,0
2010-08-21,0.1,0,11.71,0
2010-08-22,0.1,0,11.82,0
2010-08-23,0.11,4.68,13.18,0
2010-08-24,0.11,1.16,13.4,0
2010-08-25,0.12,0,12.79,0
2010-08-26,0.15,0,12.6,0
2010-08-27,0.12,0,12.02,0
2010-08-28,0.1,0,12.12,0
2010-08-29,0.09,0.11,12.5,0
2010-08-30,0.08,0.48,12.76,0
2010-08-31,0.08,0.02,13.32,0
2010-09-01,0.06,0,15.14,0
2010-09-02,0.05,0,17,0
2010-09-03,0.07,3.2,17,0
2010-09-04,0.06,2.39,18.51,0
2010-09-05,0.06,21.08,17.6,0
2010-09-06,0.1,9.93,16.92,0
2010-09-07,0.23,0.29,15.16,0
2010-09-08,0.22,1.48,13.46,0
2010-09-09,0.15,2.22,15.68,0
2010-09-10,0.12,7.55,16.44,0
2010-09-11,0.11,0,15.28,0
2010-09-12,0.1,0.01,14.77,0
2010-09-13,0.1,2.1,15.74,0
2010-09-14,0.1,0.67,17.66,0
2010-09-15,0.09,0,16.53,0
2010-09-16,0.08,0,15.75,0
2010-09-17,0.07,0.01,14.95,0
2010-09-18,0.08,0.35,15.34,0
2010-09-19,0.08,4.69,13.63,0
2010-09-20,0.08,12.4,13.77,0
2010-09-21,0.09,2.35,15.87,0
2010-09-22,0.11,3.12,16.03,0
2010-09-23,0.13,1.35,16.6,0
2010-09-24,0.13,2.12,16.7,0
2010-09-25,0.16,0.9,16.94,0
2010-09-26,0.12,0.88,17.8,0
2010-09-27,0.13,0.88,18.38,0
2010-09-28,0.14,15.13,19.14,0
2010-09-29,0.23,2.01,18.62,0
2010-09-30,0.17,0.59,14.28,0
2010-10-01,0.14,0.35,14.34,0
2010-10-02,0.13,5.95,14.38,0
2010-10-03,0.13,15.38,16,0
2010-10-04,0.17,0.76,19.02,0
2010-10-05,0.34,1.66,18.14,0
2010-10-06,0.32,0.21,19.4,0
2010-10-07,0.26,3.71,20.39,0
2010-10-08,1.11,17.52,16.39,0
2010-10-09,0.85,17.85,14.54,0
2010-10-10,2,33.28,14.39,0
2010-10-11,3.11,43.2,15.29,0
2010-10-12,23.25,3.78,16.06,0
2010-10-13,7.82,0.74,16.24,0
2010-10-14,3.66,0.15,17.28,0
2010-10-15,2.17,31.38,18,0
2010-10-16,2.51,5.68,13.68,0
2010-10-17,3.63,0,12.83,0
2010-10-18,1.74,0,14.82,0
2010-10-19,1.37,0.21,16.72,0
2010-10-20,1.14,4.84,15.84,0
