DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,7.08,5.66,4.37,0.09
2009-10-02,6.87,2.81,4.26,0.22
2009-10-03,5.6,0.12,5.37,0.13
2009-10-04,4.23,0.11,7.16,0.06
2009-10-05,3.16,6.65,5.51,0.03
2009-10-06,3.32,2.05,3.17,0.07
2009-10-07,3.21,0.66,3.01,0.09
2009-10-08,2.67,0.24,3.95,0.07
2009-10-09,2.25,0,5.79,0.04
2009-10-10,1.98,0.01,6.39,0.02
2009-10-11,1.77,0.02,7.65,0.01
2009-10-12,1.63,9.9,7.37,0
2009-10-13,1.6,5.24,6.14,0
2009-10-14,2.11,2.29,6.02,0
2009-10-15,2.24,7.56,6.53,0
2009-10-16,2.64,3.79,7.25,0
2009-10-17,3.15,1.98,5.4,0
2009-10-18,2.43,4.38,6.72,0
2009-10-19,2.82,1.58,8.79,0
2009-10-20,3.2,1.52,9.58,0
2009-10-21,2.14,1.93,6.24,0
2009-10-22,1.77,0,7.57,0
2009-10-23,1.57,0.03,7.6,0
2009-10-24,1.41,4.7,6.06,0.01
2009-10-25,1.38,2.24,4.59,0.17
2009-10-26,1.47,0,6.64,0.1
2009-10-27,1.36,0,8.69,0.03
2009-10-28,1.22,0.09,10.43,0.01
2009-10-29,1.13,0.03,12.45,0
2009-10-30,1.05,2.62,15.47,0
2009-10-31,1,6.71,15.33,0
2009-11-01,1,0.13,10.55,0
2009-11-02,0.94,6.32,11.75,0
2009-11-03,0.89,16.11,8.6,0
2009-11-04,2.75,5.6,4.81,0.05
2009-11-05,3.55,1.55,5.93,0.02
2009-11-06,3.12,0.01,8.58,0.01
2009-11-07,2.09,0,13.96,0
2009-11-08,1.52,0,17.51,0
2009-11-09,1.21,0,19.16,0
2009-11-10,1.04,0.7,17.96,0
2009-11-11,0.92,0,15.88,0
2009-11-12,0.84,0.81,13.53,0
2009-11-13,0.78,0.01,14.5,0
2009-11-14,0.74,0.25,12.14,0
2009-11-15,0.71,0.49,11.65,0
2009-11-16,0.66,8.41,10.49,0
2009-11-17,NA,0.07,11.37,0
2009-11-18,NA,0.64,14.3,0
2009-11-19,NA,0.08,16.15,0
2009-11-20,NA,1.15,15.47,0
2009-11-21,NA,1.93,10.73,0
2009-11-22,NA,13.62,8.56,0
2009-11-23,NA,12.55,7.4,0.1
2009-11-24,NA,2.17,10.11,0.03
2009-11-25,NA,0.91,11.79,0
2009-11-26,NA,4.94,14.39,0
2009-11-27,NA,8.08,13.98,0
2009-11-28,NA,15.08,11.55,0
2009-11-29,NA,0.82,9.37,0
2009-11-30,NA,0.02,9.32,0
2009-12-01,NA,0.07,11.08,0
2009-12-02,NA,0.02,13.38,0
2009-12-03,NA,10.77,11.27,0
2009-12-04,NA,7.53,6.98,0
2009-12-05,NA,7.28,8.47,0
2009-12-06,NA,1.56,9.64,0
2009-12-07,NA,7.27,8.34,0
2009-12-08,NA,3.96,6.97,0
2009-12-09,NA,9.3,8.54,0
2009-12-10,NA,18.73,8.9,0
2009-12-11,NA,11.7,6.9,0
2009-12-12,NA,12.07,9.37,0
2009-12-13,NA,2.63,8.11,0
2009-12-14,NA,0.01,9.9,0
2009-12-15,NA,0,14.15,0
2009-12-16,NA,0,18.34,0
2009-12-17,NA,18.18,8.93,0
2009-12-18,4.64,17.27,8.07,0
2009-12-19,13.1,3.37,8.22,0
2009-12-20,8.89,0.06,9.19,0
2009-12-21,3.78,0,10.65,0
2009-12-22,2.28,1.02,10.5,0
2009-12-23,1.69,0.01,15.34,0
2009-12-24,1.39,17.28,13.21,0
2009-12-25,4.53,0.26,8.5,0
2009-12-26,2.96,0,11.15,0
2009-12-27,1.81,0,12.17,0
2009-12-28,1.38,0.11,11.71,0
2009-12-29,1.15,0.06,12.17,0
2009-12-30,1.01,0,17.28,0
2009-12-31,0.9,0.82,21.46,0
2010-01-01,0.82,0.36,13.62,0
2010-01-02,0.75,5.19,9.49,0
2010-01-03,0.73,4.21,7.95,0
2010-01-04,0.89,0.84,10.8,0
2010-01-05,1.05,2.19,10.53,0
2010-01-06,0.87,1.46,8.55,0
2010-01-07,0.79,0.01,11.75,0
2010-01-08,0.7,0.17,17.05,0
2010-01-09,0.63,0,14.46,0
2010-01-10,0.58,0,16.32,0
2010-01-11,0.54,0.2,21.57,0
2010-01-12,0.52,9.85,16.21,0
2010-01-13,0.56,1.79,9.73,0
2010-01-14,0.61,0.13,10.84,0
2010-01-15,0.55,0.01,14.69,0
2010-01-16,0.51,7.95,15.02,0
2010-01-17,0.51,11.91,8.32,0
2010-01-18,1,7.42,7.28,0
2010-01-19,1.23,0.54,7.88,0
2010-01-20,1.37,3.85,10.23,0
2010-01-21,2.11,0.01,10.59,0
2010-01-22,1.6,0.61,14.58,0
2010-01-23,1.04,1.89,9.07,0
2010-01-24,0.83,0,10.91,0
2010-01-25,0.7,0,12.66,0
2010-01-26,0.62,2.05,9.88,0
2010-01-27,0.57,0.01,10.59,0
2010-01-28,0.54,0.23,12.99,0
2010-01-29,0.5,1.46,10.42,0
2010-01-30,0.48,0.01,15.01,0
2010-01-31,0.46,0.2,17.28,0
2010-02-01,0.44,0.04,13.35,0
2010-02-02,0.41,0,18.23,0
2010-02-03,0.4,0.01,19.27,0
2010-02-04,0.4,8,19.78,0
2010-02-05,0.4,6.05,12.64,0
2010-02-06,0.55,0.01,13.31,0
2010-02-07,0.53,0,16.17,0
2010-02-08,0.44,0,18.48,0
2010-02-09,0.4,0.93,18.96,0
2010-02-10,0.39,2.68,18.53,0
2010-02-11,0.39,11.87,16.07,0
2010-02-12,0.39,1.94,12.52,0
2010-02-13,0.6,7.77,12.79,0
2010-02-14,0.44,7.08,14.78,0
2010-02-15,0.42,1.14,14.98,0
2010-02-16,0.4,0.3,15.12,0
2010-02-17,0.4,1.12,12.93,0
2010-02-18,0.4,0.01,12.78,0
2010-02-19,0.39,0.01,15.31,0
2010-02-20,0.39,0,18.78,0
2010-02-21,0.38,1.3,13.85,0
2010-02-22,0.38,14.4,9.58,0
2010-02-23,0.69,5.3,9.88,0.01
2010-02-24,1.58,0.01,10.11,0
2010-02-25,0.82,0,14.29,0
2010-02-26,0.6,0.02,15.3,0
2010-02-27,0.51,0.57,11,0
2010-02-28,0.46,3.25,6.85,0
2010-03-01,0.45,0.01,7.39,0
2010-03-02,0.46,0.19,9.78,0
2010-03-03,0.43,0.08,14.24,0
2010-03-04,0.42,0.02,16.58,0
2010-03-05,0.4,0.62,17.94,0
2010-03-06,0.39,7.37,16.82,0
2010-03-07,0.42,0.95,18.64,0
2010-03-08,0.43,12.83,16.51,0
2010-03-09,0.52,20.13,9.35,0
2010-03-10,7.81,4.45,7.3,0
2010-03-11,6.12,0,9.35,0
2010-03-12,2.62,0.01,11.67,0
2010-03-13,1.5,0.04,13.51,0
2010-03-14,1.04,0.01,13.76,0
2010-03-15,0.8,0,14.97,0
2010-03-16,0.65,0,16.34,0
2010-03-17,0.56,0.69,15.24,0
2010-03-18,0.51,4.52,14.02,0
2010-03-19,0.52,24.08,13.34,0
2010-03-20,4.11,3.21,9.58,0
2010-03-21,3.17,21.09,7.68,0
2010-03-22,10.73,6.26,8.14,0
2010-03-23,6.13,4.71,9.8,0
2010-03-24,5.37,0.57,11.01,0
2010-03-25,2.79,0.06,14.23,0
2010-03-26,1.81,6.79,10.42,0
2010-03-27,1.83,0.54,9.63,0
2010-03-28,1.6,10.67,13.87,0
2010-03-29,2.54,4.4,10.53,0
2010-03-30,6.69,0.58,9.56,0
2010-03-31,3.02,0.07,10.04,0
2010-04-01,1.91,0.58,11.07,0
2010-04-02,1.38,0.66,8.44,0
2010-04-03,1.11,0.03,8.32,0
2010-04-04,0.95,0.02,9.42,0
2010-04-05,0.81,0.03,10.8,0
2010-04-06,0.72,0.01,12.13,0
2010-04-07,0.69,6.84,13.48,0
2010-04-08,0.67,9.13,10.87,0
2010-04-09,2.75,0.06,11.06,0
2010-04-10,1.8,6.66,11.21,0
2010-04-11,1.39,13.27,6.61,0
2010-04-12,7.9,20.88,7.6,0
2010-04-13,20.28,3.66,8.15,0
2010-04-14,6.9,4.09,8.67,0
2010-04-15,4.78,1.67,8.57,0
2010-04-16,4.41,0,11.08,0
2010-04-17,2.95,0,12.65,0
2010-04-18,1.98,0.11,13.81,0
2010-04-19,1.5,0.05,13.72,0
2010-04-20,1.23,11.03,13.44,0
2010-04-21,1.35,2.78,11.17,0
