DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.36,0.09,11.46,0
2009-10-02,0.32,0.54,10.82,0
2009-10-03,0.32,0.46,11.19,0
2009-10-04,0.31,0.91,11.98,0
2009-10-05,0.3,0.1,11.73,0
2009-10-06,0.29,0.02,11.28,0
2009-10-07,0.26,0,10.99,0
2009-10-08,0.24,0.05,11.07,0
2009-10-09,0.22,0.02,11.53,0
2009-10-10,0.21,0,13.5,0
2009-10-11,0.21,6.33,15.38,0
2009-10-12,0.2,4.82,11.05,0
2009-10-13,0.27,8.92,11.3,0
2009-10-14,0.45,2.6,11.58,0
2009-10-15,0.49,2.68,10.99,0
2009-10-16,0.42,1.51,11.07,0
2009-10-17,0.37,0.1,11.45,0
2009-10-18,0.3,0,12.2,0
2009-10-19,0.26,0,16.08,0
2009-10-20,0.23,0.21,14.83,0
2009-10-21,0.2,0.13,12.62,0
2009-10-22,0.18,0,13.46,0
2009-10-23,0.17,0.32,14.75,0
2009-10-24,0.16,0.04,14.06,0
2009-10-25,0.15,0.06,12.15,0
2009-10-26,0.14,0.06,12.73,0
2009-10-27,0.14,0,14.64,0
2009-10-28,0.13,0,17.14,0
2009-10-29,0.13,0.01,20.84,0
2009-10-30,0.13,0.01,15.75,0
2009-10-31,0.12,0.03,15.58,0
2009-11-01,0.11,0.47,16.84,0
2009-11-02,0.11,0.08,16.59,0
2009-11-03,0.12,0.47,13.26,0
2009-11-04,0.13,0.13,12.77,0
2009-11-05,0.12,0.11,13.05,0
2009-11-06,0.11,0,15.94,0
2009-11-07,0.1,0,20.9,0
2009-11-08,0.1,0,24.91,0
2009-11-09,0.09,0,25.9,0
2009-11-10,0.07,0.01,24.43,0
2009-11-11,0.06,0,25.91,0
2009-11-12,0.05,0,25.76,0
2009-11-13,0.04,0,26.49,0
2009-11-14,0.04,0,25.79,0
2009-11-15,0.04,0,23.65,0
2009-11-16,0.03,0.01,16.91,0
2009-11-17,0.03,0.01,17.68,0
2009-11-18,0.03,0,22.47,0
2009-11-19,0.02,0,24.97,0
2009-11-20,0.02,0.2,19.4,0
2009-11-21,0.02,2.22,17.07,0
2009-11-22,0.02,3.02,14.54,0
2009-11-23,0.02,0,15.27,0
2009-11-24,0.02,0,16.66,0
2009-11-25,0.02,0.12,19.26,0
2009-11-26,0.03,0.48,20.34,0
2009-11-27,0.03,6.12,16.88,0
2009-11-28,0.03,9.7,13.86,0
2009-11-29,0.05,1.96,14.39,0
2009-11-30,0.1,0.33,14.66,0
2009-12-01,0.2,0,16.73,0
2009-12-02,0.14,0.02,20.79,0
2009-12-03,0.09,0.01,15.12,0
2009-12-04,0.06,0,14.69,0
2009-12-05,0.05,0.02,15.98,0
2009-12-06,0.04,0.13,16.52,0
2009-12-07,0.03,4.26,16.07,0
2009-12-08,0.03,0.39,14.38,0
2009-12-09,0.04,1.2,15.06,0
2009-12-10,0.04,1.81,13.76,0
2009-12-11,0.06,0.08,14.63,0
2009-12-12,0.05,0.11,15.84,0
2009-12-13,0.05,0.02,16.4,0
2009-12-14,0.04,0.01,18.75,0
2009-12-15,0.04,0,24.61,0
2009-12-16,0.03,0.02,23.75,0
2009-12-17,0.03,4.68,14.82,0
2009-12-18,0.03,0.1,15.91,0
2009-12-19,0.02,0.04,15.87,0
2009-12-20,0.02,0,17.51,0
2009-12-21,0.02,0,18.2,0
2009-12-22,0.02,0.14,21.54,0
2009-12-23,0.02,0.07,24.6,0
2009-12-24,0.01,0.67,16.8,0
2009-12-25,0.01,0,15.9,0
2009-12-26,0.01,0,17.25,0
2009-12-27,0.01,0,19.05,0
2009-12-28,0.01,0,20.09,0
2009-12-29,0.01,0,20.91,0
2009-12-30,0.01,0,26.89,0
2009-12-31,0.01,0.06,22.85,0
2010-01-01,0.01,0.16,17.16,0
2010-01-02,0.01,0.07,16.07,0
2010-01-03,0,0.01,16.43,0
2010-01-04,0,0,18.48,0
2010-01-05,0,0,18.79,0
2010-01-06,0,0,19.35,0
2010-01-07,0,0,23.02,0
2010-01-08,0,0,26.57,0
2010-01-09,0,0,26.04,0
2010-01-10,0,0,29.33,0
2010-01-11,0,1.83,28.21,0
2010-01-12,0,11.34,17.41,0
2010-01-13,0,0.16,16.87,0
2010-01-14,0.07,0,17.55,0
2010-01-15,0.09,0,19.28,0
2010-01-16,0.05,0.25,16.83,0
2010-01-17,0.03,0.45,15.9,0
2010-01-18,0.02,0.03,15.66,0
2010-01-19,0.02,0,17.9,0
2010-01-20,0.02,0,19.32,0
2010-01-21,0.01,0,22.61,0
2010-01-22,0.01,0.24,18.83,0
2010-01-23,0.01,0.13,18.16,0
2010-01-24,0.01,0,17.31,0
2010-01-25,0.01,0,19.98,0
2010-01-26,0.01,0.03,19.69,0
2010-01-27,0.01,0.96,18.02,0
2010-01-28,0.01,0.29,17.95,0
2010-01-29,0.01,0,17.49,0
2010-01-30,0,0,21.76,0
2010-01-31,0,0.02,18.58,0
2010-02-01,0,0,17.29,0
2010-02-02,0,0,21.83,0
2010-02-03,0,0.01,22.82,0
2010-02-04,0,0.11,18.56,0
2010-02-05,0,0,16.12,0
2010-02-06,0,0,18.07,0
2010-02-07,0,0,23.44,0
2010-02-08,0,0,25.86,0
2010-02-09,0,0.03,25.91,0
2010-02-10,0,0.01,22.36,0
2010-02-11,0,13.19,18.78,0
2010-02-12,0,0.03,19.36,0
2010-02-13,0,0.01,19.01,0
