DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0,0,25.89,0
2009-10-02,0,0,16.09,0
2009-10-03,0,0,16.36,0
2009-10-04,0,0,17.7,0
2009-10-05,0,0,18.32,0
2009-10-06,0,0,19.04,0
2009-10-07,0,0,20.24,0
2009-10-08,0,0,18.85,0
2009-10-09,0,0,19.25,0
2009-10-10,0,0,23.46,0
2009-10-11,0,0,27.79,0
2009-10-12,0,0,27.16,0
2009-10-13,0,0,22.34,0
2009-10-14,0,0,20.76,0
2009-10-15,0,0,21.41,0
2009-10-16,0,0,19.27,0
2009-10-17,0,0,17.65,0
2009-10-18,0,0,18.53,0
2009-10-19,0,0,21.33,0
2009-10-20,0,0,25.69,0
2009-10-21,0,0.11,27.49,0
2009-10-22,0,0.07,26.8,0
2009-10-23,0,0,28.23,0
2009-10-24,0,0,29.43,0
2009-10-25,0,0,28.99,0
2009-10-26,0,0,22.09,0
2009-10-27,0,0,20.36,0
2009-10-28,0,0,22.59,0
2009-10-29,0,0,25.08,0
2009-10-30,0,0,27.29,0
2009-10-31,0,0,29.13,0
2009-11-01,NA,0,30.69,0
2009-11-02,NA,0,30.89,0
2009-11-03,NA,0,27.04,0
2009-11-04,NA,0.01,24.67,0
2009-11-05,NA,0,24.84,0
2009-11-06,NA,0,24.84,0
2009-11-07,NA,0,27.42,0
2009-11-08,NA,0,30.29,0
2009-11-09,NA,0,29.91,0
2009-11-10,NA,0,27.99,0
2009-11-11,NA,0,27.96,0
2009-11-12,NA,0,28.01,0
2009-11-13,NA,0,29.19,0
2009-11-14,NA,0,31.61,0
2009-11-15,NA,0,31.89,0
2009-11-16,NA,0,32.37,0
2009-11-17,NA,0,33,0
2009-11-18,NA,0.63,32.11,0
2009-11-19,NA,0.03,32.64,0
2009-11-20,NA,0.03,32.27,0
2009-11-21,NA,0.46,28.61,0
2009-11-22,NA,0,20.45,0
2009-11-23,NA,0.95,17.5,0
2009-11-24,NA,0,16.18,0
2009-11-25,NA,0,18.01,0
2009-11-26,NA,0,25.55,0
2009-11-27,NA,0,30.08,0
2009-11-28,NA,0,25.86,0
2009-11-29,NA,0,24.58,0
2009-11-30,NA,0,24.37,0
2009-12-01,NA,0,24.86,0
2009-12-02,NA,0,25.62,0
2009-12-03,NA,0,27.81,0
2009-12-04,NA,0,29.57,0
2009-12-05,NA,0,30.07,0
2009-12-06,NA,0,29.86,0
2009-12-07,NA,0.01,32.56,0
2009-12-08,NA,0,34.35,0
2009-12-09,NA,0.16,30.5,0
2009-12-10,NA,0.67,28.62,0
2009-12-11,NA,5.03,19.08,0
2009-12-12,NA,1.04,18.81,0
2009-12-13,NA,0.57,21.75,0
2009-12-14,NA,0.04,24.85,0
2009-12-15,NA,0,28.06,0
2009-12-16,NA,0,31.09,0
2009-12-17,NA,0.54,30,0
2009-12-18,NA,1.51,24.39,0
2009-12-19,NA,0,26.72,0
2009-12-20,NA,0,28.87,0
2009-12-21,NA,0,30.79,0
2009-12-22,NA,0,32.33,0
2009-12-23,NA,0.02,31.65,0
2009-12-24,NA,0.04,26.93,0
2009-12-25,NA,0.02,23.69,0
2009-12-26,NA,0,25.01,0
2009-12-27,NA,0,26.65,0
2009-12-28,NA,0,28.05,0
2009-12-29,NA,0,30.07,0
2009-12-30,NA,0.6,30.79,0
2009-12-31,NA,0,32.14,0
2010-01-01,NA,0,33.51,0
2010-01-02,NA,0.04,31.07,0
2010-01-03,NA,0,28.65,0
2010-01-04,NA,0,29.09,0
2010-01-05,NA,0.46,28.63,0
2010-01-06,NA,18.71,23.45,0
2010-01-07,NA,18.44,22.58,0
2010-01-08,NA,35.6,23.82,0
2010-01-09,NA,27.23,24.18,0
2010-01-10,NA,6.35,24.78,0
2010-01-11,NA,0,25.68,0
2010-01-12,NA,0.35,26.11,0
2010-01-13,NA,0.22,24.12,0
2010-01-14,NA,0,26.34,0
2010-01-15,NA,0,27.92,0
2010-01-16,NA,0,29.86,0
2010-01-17,NA,0,27.45,0
2010-01-18,NA,0,24.61,0
2010-01-19,NA,0,25.16,0
2010-01-20,NA,0,26.89,0
2010-01-21,NA,0,29.29,0
2010-01-22,NA,0,31.99,0
2010-01-23,NA,0,31.83,0
2010-01-24,NA,0,33.09,0
2010-01-25,NA,0,33.39,0
2010-01-26,NA,0,33.59,0
2010-01-27,NA,0.17,32.62,0
2010-01-28,NA,0.01,32.43,0
2010-01-29,NA,0.57,28.32,0
2010-01-30,NA,0.3,28.22,0
2010-01-31,NA,0,29.64,0
