DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.84,0.42,16.29,0
2009-10-02,0.82,1.55,21.59,0
2009-10-03,0.79,1.22,21.31,0
2009-10-04,0.84,1.25,20.05,0
2009-10-05,0.82,0.43,21.93,0
2009-10-06,0.79,0.03,23.71,0
2009-10-07,0.74,18.33,22.14,0
2009-10-08,2.73,44.69,18.89,0
2009-10-09,6.75,2.88,16.25,0
2009-10-10,5.34,1.71,16.41,0
2009-10-11,2.9,0.63,19.95,0
2009-10-12,1.49,0,23.93,0
2009-10-13,1.08,1.48,21.07,0
2009-10-14,0.93,0.71,21.51,0
2009-10-15,1.9,12.21,22.38,0
2009-10-16,2.41,2.28,19.76,0
2009-10-17,1.94,7.55,20.45,0
2009-10-18,1.7,16.43,22.43,0
2009-10-19,1.42,13.49,21.67,0
2009-10-20,1.25,14.29,21.65,0
2009-10-21,1.18,0.84,21.15,0
2009-10-22,2.57,4.96,23,0
2009-10-23,2.9,1.61,20.99,0
2009-10-24,1.53,0.08,23.84,0
2009-10-25,1.61,11.91,23.4,0
2009-10-26,1.66,13.79,22.65,0
2009-10-27,1.45,9.41,19.95,0
2009-10-28,1.56,5.16,19.64,0
2009-10-29,1.7,18.56,19.82,0
2009-10-30,1.75,3.87,20.53,0
2009-10-31,1.85,2.55,20.91,0
2009-11-01,1.85,3.92,21.11,0
2009-11-02,1.85,3.82,22.85,0
2009-11-03,1.53,2.63,23.91,0
2009-11-04,1.18,2.73,23.93,0
2009-11-05,1.18,5.14,24.53,0
2009-11-06,1.11,0.13,25.36,0
2009-11-07,0.96,2.49,25.66,0
2009-11-08,0.87,18.85,24.56,0
2009-11-09,1.38,16.07,22.61,0
2009-11-10,3.25,15.51,22.66,0
2009-11-11,4.72,35.13,23.36,0
2009-11-12,3.99,45.35,22.09,0
2009-11-13,3.31,2.74,22.96,0
2009-11-14,1.8,0.13,26.11,0
2009-11-15,1.56,12.62,24.21,0
2009-11-16,1.99,10.82,21.54,0
2009-11-17,2.09,0.71,20.44,0
2009-11-18,1.94,0,22.37,0
2009-11-19,1.45,0.01,25.3,0
2009-11-20,1.25,0.07,26,0
2009-11-21,1.15,0.73,24.83,0
2009-11-22,1.08,0,26.22,0
2009-11-23,1.08,15.01,25.06,0
2009-11-24,1.08,27.71,23.54,0
2009-11-25,1.35,33.32,22.97,0
2009-11-26,1.99,0.9,25.16,0
2009-11-27,2.85,23.64,24.26,0
2009-11-28,3.86,2.7,24.59,0
2009-11-29,3.68,17.81,23.39,0
2009-11-30,2.35,7.29,23.47,0
2009-12-01,2.2,1.56,23.95,0
2009-12-02,2.35,10.36,24.46,0
2009-12-03,2.51,28.71,24.44,0
2009-12-04,4.12,32.21,20.25,0
2009-12-05,5.92,4.56,18.71,0
2009-12-06,4.31,2.14,20.92,0
2009-12-07,2.73,3.33,23.46,0
2009-12-08,2.68,22.01,22.58,0
2009-12-09,3.31,13.74,20.92,0
2009-12-10,5.06,4.44,20.87,0
2009-12-11,6.29,11.97,23.16,0
2009-12-12,5.13,0,25.56,0
2009-12-13,3.02,20.9,21.41,0
2009-12-14,2.41,14.14,19.11,0
2009-12-15,2.35,0.42,21.6,0
2009-12-16,2.3,0.1,23.67,0
2009-12-17,2.79,8.76,24.06,0
2009-12-18,2.35,9.95,21.25,0
2009-12-19,2.57,1.95,20.72,0
2009-12-20,2.04,0.09,22.22,0
2009-12-21,1.66,5.78,23.38,0
2009-12-22,1.42,7.31,23.26,0
2009-12-23,1.31,21.94,22.91,0
2009-12-24,1.38,13.82,22.89,0
2009-12-25,3.02,12.95,23.28,0
2009-12-26,4.51,24.6,23.47,0
2009-12-27,5.2,16.6,24.58,0
2009-12-28,6.07,21.47,24.06,0
2009-12-29,6.75,19.27,23.83,0
2009-12-30,3.37,28.65,22.87,0
2009-12-31,12.42,98.08,20.69,0
2010-01-01,8.11,3.39,23.89,0
2010-01-02,4.51,0,25.22,0
2010-01-03,2.79,0.14,24.38,0
2010-01-04,2.2,0.34,25.15,0
2010-01-05,1.85,15.72,24.63,0
2010-01-06,2.04,11.04,23.91,0
2010-01-07,2.15,20.34,24.21,0
2010-01-08,4.78,4.27,24.99,0
2010-01-09,3.13,0.12,26.28,0
2010-01-10,1.94,0,26.52,0
2010-01-11,1.56,0.03,26.73,0
2010-01-12,1.45,0.19,27,0
2010-01-13,1.35,0.86,26.52,0
2010-01-14,2.3,13.25,25.05,0
2010-01-15,3.02,21.71,22.2,0
2010-01-16,2.46,7.38,23.56,0
2010-01-17,3.68,0.45,24.87,0
2010-01-18,2.2,0.24,25.62,0
2010-01-19,2.25,1.26,26.45,0
2010-01-20,4.51,7.39,25.85,0
2010-01-21,3.8,10.98,24.81,0
2010-01-22,5.34,25.74,23.17,0
2010-01-23,2.79,31.25,23.33,0
2010-01-24,2.41,14.59,22.63,0
2010-01-25,10.37,21.78,22.9,0
2010-01-26,9.83,16.22,22.36,0
2010-01-27,3.8,0.17,24.38,0
2010-01-28,2.46,0.01,25.36,0
2010-01-29,1.9,0.01,25.08,0
2010-01-30,1.7,0.44,24.68,0
2010-01-31,1.56,0.07,25.35,0
2010-02-01,1.75,0.43,25.96,0
2010-02-02,1.42,0.09,26.41,0
2010-02-03,1.35,0.01,26.78,0
2010-02-04,1.28,0.09,26.74,0
2010-02-05,1.21,0.09,26.68,0
2010-02-06,1.18,0.3,25.98,0
2010-02-07,1.18,0.1,26.62,0
2010-02-08,1.15,0,27.2,0
2010-02-09,1.11,14.29,25.49,0
2010-02-10,1.25,10.22,24.71,0
2010-02-11,1.85,0.01,25.62,0
2010-02-12,1.56,0.01,25.78,0
2010-02-13,1.25,0,25.72,0
2010-02-14,1.11,0.03,25.8,0
2010-02-15,1.11,0.22,26.51,0
2010-02-16,1.05,1.97,27.09,0
2010-02-17,1.94,8.75,26.04,0
2010-02-18,3.19,18.91,22.46,0
2010-02-19,3.02,2.27,23.64,0
2010-02-20,2.35,0.14,24.9,0
2010-02-21,1.75,0.13,25.57,0
2010-02-22,1.38,0.08,26.73,0
2010-02-23,1.21,0.11,27.19,0
2010-02-24,1.15,18.54,26.26,0
2010-02-25,2.68,23.85,22.47,0
2010-02-26,3.13,6.34,19.83,0
2010-02-27,3.25,0.23,20.1,0
2010-02-28,2.35,22.65,21.08,0
2010-03-01,2.25,63.59,18.39,0
2010-03-02,4.18,15.49,18.19,0
2010-03-03,4.85,25.64,19.68,0
2010-03-04,4.38,15.51,21.16,0
2010-03-05,3.61,19.64,21.3,0
2010-03-06,2.73,8.78,22.02,0
2010-03-07,10.82,2.24,22.1,0
2010-03-08,8.45,0.85,24.48,0
2010-03-09,4.12,3.85,24.53,0
2010-03-10,2.62,0.81,25.02,0
2010-03-11,2.35,0.03,25.13,0
2010-03-12,2.25,0.04,25.59,0
2010-03-13,1.9,0.81,25.98,0
2010-03-14,1.66,6.78,26.25,0
2010-03-15,2.09,27.1,23.91,0
2010-03-16,5.63,22.74,21.16,0
2010-03-17,7.3,9.43,20.15,0
2010-03-18,3.86,5.07,21.02,0
2010-03-19,2.46,2.58,22.44,0
2010-03-20,2.15,3.61,23.31,0
2010-03-21,2.15,1.79,23.79,0
2010-03-22,1.94,0.07,25.7,0
2010-03-23,1.8,2.9,24.52,0
2010-03-24,1.66,0.07,24.29,0
2010-03-25,1.56,1.71,24.15,0
2010-03-26,1.49,0.24,23.99,0
2010-03-27,1.45,3.37,24.27,0
2010-03-28,1.42,5.6,23.48,0
2010-03-29,1.45,0.62,25.03,0
2010-03-30,1.49,17.34,23.73,0
2010-03-31,1.49,13.58,21.61,0
2010-04-01,1.45,2.8,21.59,0
2010-04-02,1.45,0.02,22.43,0
2010-04-03,1.38,7.34,21.97,0
2010-04-04,2.57,24.23,22.81,0
2010-04-05,4.92,16.98,21.69,0
2010-04-06,4.25,25.38,18.41,0
2010-04-07,4.25,2.37,16.84,0
2010-04-08,3.25,0.61,16.94,0
2010-04-09,2.25,2.33,16.74,0
2010-04-10,2.04,1.68,17.16,0
2010-04-11,1.8,1.56,17.71,0
2010-04-12,1.66,0.49,18.11,0
2010-04-13,1.66,2.43,18.86,0
2010-04-14,1.61,0.03,19.37,0
2010-04-15,1.49,0,19.94,0
2010-04-16,1.45,0.04,21.32,0
2010-04-17,1.42,0,21.44,0
2010-04-18,1.38,0.04,20.66,0
2010-04-19,1.35,0.04,21.09,0
2010-04-20,1.31,0,21.88,0
2010-04-21,1.31,0,23.03,0
2010-04-22,1.28,0,23.58,0
2010-04-23,1.28,0.01,23.95,0
2010-04-24,1.28,0.76,22.38,0
2010-04-25,1.28,0.05,23.8,0
2010-04-26,1.28,0,23.85,0
2010-04-27,1.21,1.15,22.55,0
2010-04-28,1.28,9.27,20.16,0
2010-04-29,1.18,3.94,19.3,0
2010-04-30,1.28,4.67,17.67,0
2010-05-01,1.25,4.3,18.1,0
2010-05-02,1.21,0.03,18.75,0
2010-05-03,1.21,0,19.72,0
2010-05-04,1.15,0,20.66,0
2010-05-05,1.15,0,21.34,0
2010-05-06,1.11,0.07,21.78,0
2010-05-07,1.11,0.02,22.54,0
2010-05-08,1.11,2.26,22.78,0
2010-05-09,1.8,21.69,18.22,0
2010-05-10,1.9,1.05,16.43,0
2010-05-11,1.49,0.31,17.41,0
2010-05-12,1.31,1.63,17.79,0
2010-05-13,1.28,0,16,0
2010-05-14,1.18,0.01,16.52,0
2010-05-15,1.15,0.03,17.55,0
2010-05-16,1.15,0,18.8,0
2010-05-17,1.15,0.04,18.29,0
2010-05-18,1.15,0.09,19.01,0
2010-05-19,1.15,2.22,19.68,0
2010-05-20,1.15,2.64,17.81,0
2010-05-21,1.15,0.21,17.45,0
2010-05-22,1.11,0.05,17.2,0
2010-05-23,1.11,0.02,17.88,0
2010-05-24,1.08,0.01,18.77,0
2010-05-25,1.08,0.15,20.2,0
2010-05-26,1.08,1.82,19.09,0
2010-05-27,1.08,2.09,17.25,0
2010-05-28,1.15,0.65,17,0
2010-05-29,1.15,0.01,17.71,0
2010-05-30,1.11,0,19.46,0
2010-05-31,1.11,0.81,16.63,0
2010-06-01,1.18,3.25,14.69,0
2010-06-02,1.18,0.79,15.4,0
2010-06-03,1.15,0.36,16.43,0
2010-06-04,1.11,0.52,17.37,0
2010-06-05,1.11,8.33,17.41,0
2010-06-06,1.11,0.59,15.53,0
2010-06-07,1.08,0,14.75,0
2010-06-08,1.05,0,14.43,0
2010-06-09,1.02,0.14,14.49,0
2010-06-10,1.02,0.4,16.06,0
2010-06-11,1.02,2.66,15,0
2010-06-12,1.11,2.52,12.84,0
2010-06-13,1.11,0.03,12.81,0
2010-06-14,1.11,0.02,13.85,0
2010-06-15,1.05,0,14.83,0
2010-06-16,0.99,0,15.97,0
2010-06-17,0.96,0,17.77,0
2010-06-18,0.96,0,18.57,0
2010-06-19,0.96,0,18.49,0
2010-06-20,0.9,0,18.16,0
2010-06-21,0.9,0,16.66,0
2010-06-22,0.9,0.97,16.64,0
2010-06-23,0.9,2.75,16.47,0
2010-06-24,0.9,0.05,17.56,0
2010-06-25,0.9,0,17.49,0
2010-06-26,0.9,0,16.93,0
2010-06-27,0.9,0,16.58,0
2010-06-28,0.84,0,17.32,0
2010-06-29,0.87,0,16.35,0
2010-06-30,0.84,0.08,16.14,0
2010-07-01,0.84,0,15.78,0
2010-07-02,0.84,0,15.8,0
2010-07-03,0.84,0,16.37,0
2010-07-04,0.84,0.02,16.92,0
2010-07-05,0.82,0.02,16.7,0
2010-07-06,0.84,0.01,18.45,0
2010-07-07,0.79,0,17.79,0
