DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.23,0.05,4.67,0
2009-10-02,0.22,1.97,4.23,0.01
2009-10-03,0.21,0.01,4.41,0.04
2009-10-04,0.22,0.18,3.86,0.01
2009-10-05,0.2,0.04,2.38,0.01
2009-10-06,0.19,0.1,4.9,0
2009-10-07,0.18,0,5.26,0
2009-10-08,0.18,0.06,6.67,0
2009-10-09,0.18,0.19,7.85,0
2009-10-10,0.18,1.62,5.55,0
2009-10-11,0.18,1.96,3.71,0.01
2009-10-12,0.2,1.5,0.96,0.59
2009-10-13,0.17,0.1,1.29,0.98
2009-10-14,0.17,0,4.46,0.61
2009-10-15,0.16,0.07,6.39,0.09
2009-10-16,0.14,0.86,3.7,0.04
2009-10-17,0.14,1.28,4.83,0.02
2009-10-18,0.14,1.76,4.87,0.01
2009-10-19,0.14,1.17,2.66,0.19
2009-10-20,0.14,0.9,5.75,0.16
2009-10-21,0.13,1.12,6.97,0.03
2009-10-22,0.13,1.52,6.81,0.01
2009-10-23,0.13,0.27,3.89,0
2009-10-24,0.12,0.54,3.03,0
2009-10-25,0.12,0.48,2.93,0.02
2009-10-26,0.12,4.65,3.28,0.64
2009-10-27,0.14,0.6,4.41,0.65
2009-10-28,0.13,0.92,3.71,0.23
2009-10-29,0.13,1.39,4.45,0.08
2009-10-30,0.12,1.09,2.45,0.04
2009-10-31,0.12,1.2,2.84,0.04
2009-11-01,0.12,0.11,4.79,0.02
2009-11-02,0.12,0.65,4.4,0.01
2009-11-03,0.11,2.31,4.07,0.01
2009-11-04,0.12,0.7,1.46,0.07
2009-11-05,0.11,1.11,3.41,0.11
2009-11-06,0.11,1.01,3.42,0.09
2009-11-07,0.12,1.6,3.23,0.05
2009-11-08,0.12,0.96,1.62,0.24
2009-11-09,0.11,0.65,1.45,0.32
2009-11-10,0.11,1.81,2.83,0.23
2009-11-11,0.11,4.95,2.87,0.24
2009-11-12,0.11,1.21,0.95,0.53
2009-11-13,0.11,0.78,1.34,0.47
2009-11-14,0.11,0.85,3.58,0.31
2009-11-15,0.1,0.04,2.88,0.13
2009-11-16,0.1,0.54,2.9,0.08
2009-11-17,0.11,0.11,3.87,0.04
2009-11-18,0.1,1.53,5.95,0.01
2009-11-19,0.09,2.42,8.83,0
2009-11-20,0.09,5.02,6.19,0
2009-11-21,0.09,2.12,5.77,0
2009-11-22,0.09,0.51,5.2,0
2009-11-23,0.09,0.01,4.52,0
2009-11-24,0.09,0,6.63,0
2009-11-25,0.09,2.86,6.8,0
2009-11-26,0.09,2.74,6.06,0
2009-11-27,0.09,1.38,5.84,0
2009-11-28,0.09,1.51,7.43,0
2009-11-29,0.09,0.6,4.55,0
2009-11-30,0.09,3.97,3.52,1.25
2009-12-01,0.09,0.66,4.02,0.7
2009-12-02,0.09,0.48,5.06,0.25
2009-12-03,0.09,0.47,7.47,0.03
2009-12-04,0.09,0.91,5.45,0
2009-12-05,0.08,1.79,7.23,0
2009-12-06,0.08,0.19,7.43,0
2009-12-07,0.08,0.01,9.29,0
2009-12-08,0.08,0,8.93,0
2009-12-09,0.08,0.49,9.33,0
2009-12-10,0.08,0.06,8.32,0
2009-12-11,0.07,0.51,9.91,0
2009-12-12,0.09,3.85,12.03,0
2009-12-13,0.09,0.12,9.97,0
2009-12-14,0.09,0.58,10.92,0
2009-12-15,0.08,0.89,12.81,0
2009-12-16,0.08,0.2,12.93,0
2009-12-17,0.09,0.36,9.23,0
