DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.43,2.51,5.95,0
2009-10-02,0.51,8.26,6.89,0
2009-10-03,0.77,5.8,7.69,0
2009-10-04,1.51,0.87,5.12,0
2009-10-05,0.93,0.38,5.99,0
2009-10-06,0.74,3.52,7.95,0
2009-10-07,0.61,0.56,5.93,0
2009-10-08,0.52,0.3,5.17,0
2009-10-09,0.46,3.25,6.17,0
2009-10-10,0.42,0.79,9.11,0
2009-10-11,0.51,4.12,7.51,0
2009-10-12,0.69,0.85,6.96,0
2009-10-13,2.06,8.51,10.26,0
2009-10-14,2.2,0.17,12.37,0
2009-10-15,1.22,0.61,10.55,0
2009-10-16,0.88,0.08,6.53,0
2009-10-17,0.69,0,5.2,0
2009-10-18,0.6,0.24,6.92,0
2009-10-19,0.59,4.02,5.75,0
2009-10-20,0.57,0.36,8.16,0
2009-10-21,1.23,9.09,9.72,0
2009-10-22,4.3,8.28,9.45,0
2009-10-23,1.98,0.23,9.67,0
2009-10-24,1.42,6.48,9.61,0
2009-10-25,10.94,19.47,9.34,0
2009-10-26,7.85,1.49,7.22,0
2009-10-27,5.69,8.53,8.04,0
2009-10-28,3.94,2.31,11.69,0
2009-10-29,2.48,0.37,11.2,0
2009-10-30,2.09,2.08,12.29,0
2009-10-31,1.97,1.89,11.05,0
2009-11-01,18.26,23.51,8.7,0
2009-11-02,11.3,5.58,7.03,0
2009-11-03,5.46,4.27,5.33,0.01
2009-11-04,3.71,0.01,3.57,0.01
2009-11-05,2.55,0.23,2.81,0
2009-11-06,2.11,3.83,3.64,0.03
2009-11-07,1.74,0,2.01,0.06
2009-11-08,1.45,0,0.65,0.05
2009-11-09,1.26,0,0.79,0.05
2009-11-10,1.34,2.35,3.28,0.04
2009-11-11,1.29,0.05,1.69,0.04
2009-11-12,1.16,2.34,6.19,0.02
2009-11-13,1.02,0.01,4.55,0.01
2009-11-14,1.06,6.24,5.68,0.02
2009-11-15,0.98,0,5.71,0.01
2009-11-16,0.91,2.45,7.01,0
2009-11-17,1.45,2.72,5.67,0
2009-11-18,1.35,3.89,4.35,0
2009-11-19,1.67,10.38,10.67,0
2009-11-20,1.81,5.41,7.96,0
2009-11-21,1.41,4.61,6.56,0
2009-11-22,1.34,3.95,5.96,0
2009-11-23,1.94,0.91,4.83,0
2009-11-24,1.98,9.4,5.49,0
2009-11-25,3.71,2.91,4.43,0.14
2009-11-26,3.48,0.45,4.61,0.13
2009-11-27,2.39,0.51,3.7,0.07
2009-11-28,2.56,2.68,2.16,0.15
2009-11-29,2.97,5.58,0.75,1.09
2009-11-30,2.18,0.5,-0.45,2.84
2009-12-01,1.61,1.89,-0.42,3.1
2009-12-02,1.43,0.88,2.45,4.06
2009-12-03,4.25,6.11,1.45,3.94
2009-12-04,3.64,0.46,0.44,3.96
2009-12-05,2.27,3.8,4.14,3.09
2009-12-06,1.76,3.13,5.2,1.2
2009-12-07,1.34,0.42,3.66,0.67
2009-12-08,1.11,2.69,2.56,0.54
2009-12-09,0.98,0.11,5.5,0.21
2009-12-10,0.86,0,1.7,0.14
2009-12-11,0.77,0.01,-1.47,0.13
2009-12-12,0.69,0,-2.61,0.14
2009-12-13,0.65,0.04,-2.06,0.14
2009-12-14,3.82,4.91,3.22,0.12
2009-12-15,7.07,3.69,3.56,0.07
2009-12-16,9.66,8.56,3.27,0.09
2009-12-17,4.18,2.88,-0.65,1.45
2009-12-18,2.34,2,-2.07,3.06
2009-12-19,1.73,4.73,-2.14,6.39
2009-12-20,1.43,0.69,-2.91,8.8
2009-12-21,1.23,0.8,-5.56,9.67
2009-12-22,1.19,1.9,-6.14,10.11
2009-12-23,1.05,4.35,-2.53,15.12
2009-12-24,1.17,0.6,-4.18,16.02
2009-12-25,1.08,5.61,-3.57,21.22
2009-12-26,0.92,0.01,-6.85,22.03
2009-12-27,1.12,2.76,-4.59,23.48
2009-12-28,1.62,0.44,-6.85,24.95
2009-12-29,2.1,0.32,-6.13,25.48
2009-12-30,2.13,3.84,-0.94,27.06
2009-12-31,1.77,6.24,-1.6,32.56
2010-01-01,1.55,11.72,-1.03,42.14
2010-01-02,1.16,2.92,-1.94,48.92
2010-01-03,1.07,0.39,-4.93,49.93
2010-01-04,0.88,2.54,-1.79,51.02
2010-01-05,0.88,7.14,-2.76,56.22
2010-01-06,1.16,2.28,-5.31,61.07
2010-01-07,1.03,0.1,-7.47,61.9
2010-01-08,2.76,2.05,-6.64,62.22
2010-01-09,2.01,3.3,-4.85,66.91
2010-01-10,3.46,0.05,-4.9,67.31
2010-01-11,3.4,0.28,0.02,67.31
2010-01-12,1.55,0.83,1.36,67.49
2010-01-13,0.99,0.74,0.8,67.09
2010-01-14,0.92,0.78,0.18,67.37
2010-01-15,1.87,0.83,2.83,66.22
2010-01-16,11.12,8.08,3.28,55.5
2010-01-17,7.16,1.19,2.3,52.18
2010-01-18,5.41,0.25,2.65,45.01
2010-01-19,3.57,0.1,-0.84,42.63
2010-01-20,3.79,0.52,1.13,41.21
2010-01-21,2.98,0.9,0.92,40.84
2010-01-22,5.69,6.31,2.39,37.98
2010-01-23,4.48,7.94,0.91,35.94
2010-01-24,3.65,1.55,0.87,35.93
2010-01-25,2.68,0.01,-1.41,35.2
2010-01-26,6.31,0.69,2.51,33.29
2010-01-27,18.76,2.36,4.25,19.51
2010-01-28,10.73,9.94,0.88,17.36
2010-01-29,6.57,3.5,-2.14,21.75
2010-01-30,3.61,0.53,-2.03,22.45
2010-01-31,2.62,2.06,-1.51,23.42
2010-02-01,2.16,2.52,-0.46,24.95
2010-02-02,1.95,4.08,-1.09,28.01
2010-02-03,1.68,1.6,-3.34,29.03
2010-02-04,1.59,0.52,1.14,29.55
2010-02-05,4.83,2.19,3.19,24.64
2010-02-06,6.38,1.43,2.88,17.71
2010-02-07,4.31,0.42,1.49,14.25
2010-02-08,2.79,1.65,-0.28,13.83
2010-02-09,2.04,1.95,-0.89,14.68
2010-02-10,1.7,1.67,-1.01,15.91
2010-02-11,1.78,2.32,0.45,15.94
2010-02-12,2.4,0.93,0.3,15.13
2010-02-13,2,1.45,-0.1,14.02
2010-02-14,3.49,2.26,2.55,11.45
2010-02-15,4.21,1.71,1.62,8.83
2010-02-16,2.65,8.69,-1.32,10.74
2010-02-17,1.91,1.61,-2.83,17.42
2010-02-18,1.6,0,-6.38,17.04
2010-02-19,1.35,0.29,-5.92,17.01
2010-02-20,1.11,0.04,-5.44,17.02
2010-02-21,1.22,0,-5.55,16.75
2010-02-22,1.85,0.06,-6.07,16.37
2010-02-23,2.66,0.01,-6.14,16.07
2010-02-24,2.64,8.34,-2,18.59
2010-02-25,2.31,29.23,-0.35,39.19
2010-02-26,1.65,10.38,0.29,59.55
2010-02-27,1.03,0.92,0.37,62.05
2010-02-28,0.87,1.03,-0.41,62.49
2010-03-01,0.81,0.54,-3.03,62.89
2010-03-02,0.71,0.02,-3.68,63.03
2010-03-03,0.69,0,-5.04,62.75
2010-03-04,0.82,0.14,-2.76,62.5
2010-03-05,1.06,4.44,2.35,60.62
2010-03-06,2.61,0.79,2.25,53.15
2010-03-07,3.52,0.13,1.44,48.27
2010-03-08,2.93,0.05,0.32,45.1
2010-03-09,2.12,0.01,-0.68,42.29
2010-03-10,1.77,0,-0.92,39.5
2010-03-11,6.4,1.36,2.89,34.63
2010-03-12,11.88,3.35,3.02,25.33
2010-03-13,12.24,1.01,3.95,18.65
2010-03-14,14.55,6.79,4.46,10.67
