DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,3.82,1.05,10.91,0
2009-10-02,2.64,0.82,9.64,0
2009-10-03,2.05,0.41,10.44,0
2009-10-04,2.19,52.94,12.4,0
2009-10-05,5.85,1.94,12.45,0
2009-10-06,4.65,0.56,10.51,0
2009-10-07,3.93,37.44,8.76,0
2009-10-08,8.32,5.37,8.92,0
2009-10-09,6.33,0.82,9.06,0
2009-10-10,5.77,12.23,10.14,0
2009-10-11,6,0.25,6.95,0
2009-10-12,4.68,0,5.94,0
2009-10-13,3.86,14.33,3.67,0.61
2009-10-14,4.01,0.01,2.87,2.09
2009-10-15,3.53,0,1.48,1.88
2009-10-16,2.97,0.11,2.12,1.72
2009-10-17,2.55,0.02,3.68,1.42
2009-10-18,2.25,10.44,3.04,1.26
2009-10-19,2.41,6.02,4.54,2.19
2009-10-20,2.52,0,5.06,1.16
2009-10-21,2.26,0.01,5.73,0.5
2009-10-22,2.02,9.46,2.97,0.71
2009-10-23,2.2,0.31,2.37,1.08
2009-10-24,4.5,26.6,5.05,1.06
2009-10-25,37.47,28.71,12.03,0.2
2009-10-26,21.43,0,4.84,0.05
2009-10-27,12.1,0,2.23,0.04
2009-10-28,8.62,0,2.78,0.04
2009-10-29,6.67,0,2.78,0.03
2009-10-30,5.28,0,4.05,0.02
2009-10-31,4.35,1,11.07,0.01
2009-11-01,4.08,9,9.27,0
2009-11-02,3.69,0,4.64,0
2009-11-03,3.14,1.97,4.13,0.02
2009-11-04,2.73,0.03,3.32,0.02
2009-11-05,2.4,0.14,1.24,0.05
2009-11-06,2.14,0.74,0.88,0.39
2009-11-07,1.91,0,0.29,0.44
2009-11-08,1.74,0.85,7.21,0.27
2009-11-09,1.6,0,7.92,0.1
2009-11-10,1.49,0,9.47,0.02
2009-11-11,1.38,0,4.75,0.01
2009-11-12,1.29,0,3.04,0.01
2009-11-13,1.21,0,3.31,0.01
2009-11-14,1.15,0.47,6.24,0
2009-11-15,1.88,17.67,11.41,0
2009-11-16,6,0.03,7.98,0
