DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,7.18,9.69,0
2009-10-02,NA,1.39,7.92,0
2009-10-03,NA,0.52,7.96,0
2009-10-04,NA,19.09,6.25,0
2009-10-05,NA,28.67,7.97,0
2009-10-06,NA,2.62,5.76,0
2009-10-07,NA,5.4,4.72,0
2009-10-08,NA,3.09,4.97,0
2009-10-09,NA,2.22,5.63,0
2009-10-10,NA,9.6,4.91,0
2009-10-11,NA,1.11,2.7,0.08
2009-10-12,NA,0.7,2.07,0.51
2009-10-13,NA,0.13,0.74,0.59
2009-10-14,NA,1.07,0.4,0.93
2009-10-15,NA,0.59,-0.33,1.42
2009-10-16,NA,0,-1.06,1.51
2009-10-17,NA,0.02,-1.03,1.4
2009-10-18,NA,0,-0.84,1.29
2009-10-19,NA,0.24,0.62,1.35
2009-10-20,NA,1.1,0.62,1.49
2009-10-21,NA,0.2,1.13,1.48
2009-10-22,NA,6.95,-0.36,2.97
2009-10-23,NA,0.38,-2.21,8.47
2009-10-24,NA,11.25,-1.95,9.1
2009-10-25,NA,5.35,2.98,7.99
2009-10-26,NA,0.17,-0.46,6.12
2009-10-27,NA,2.05,-2.6,6.36
2009-10-28,NA,0.01,-2.01,7.47
2009-10-29,NA,0,-2.27,6.92
2009-10-30,NA,0.05,-0.19,6.31
2009-10-31,NA,10.7,5.85,4.35
2009-11-01,NA,0.04,3.63,1.22
2009-11-02,NA,0,-0.28,1.09
2009-11-03,NA,0.51,-0.26,1.2
2009-11-04,NA,1.16,-0.8,2.2
2009-11-05,NA,0.02,-3.55,2.5
2009-11-06,NA,0.26,-3.61,2.57
2009-11-07,NA,0.22,-3.74,2.64
2009-11-08,NA,0.61,1.59,2.96
2009-11-09,NA,0.46,4.11,2.62
2009-11-10,NA,0.68,2.41,2.32
2009-11-11,NA,0.1,0.13,2.26
2009-11-12,NA,0,0.75,2.13
2009-11-13,NA,0,0.84,1.86
2009-11-14,NA,0.09,1.55,1.6
2009-11-15,NA,12.3,2.99,1.28
2009-11-16,NA,0.41,2.45,0.94
2009-11-17,NA,0.01,-1.2,1.05
2009-11-18,NA,0,1.02,1
2009-11-19,NA,0,2.32,0.89
2009-11-20,NA,11.32,2.36,0.78
2009-11-21,NA,8.52,1.5,3.11
2009-11-22,NA,0,-1.06,3.38
2009-11-23,NA,0,-1.92,3.26
2009-11-24,NA,0,-1.59,3.07
2009-11-25,NA,0.13,-0.31,2.84
2009-11-26,NA,3.16,1.63,2.41
2009-11-27,NA,5.7,0.59,2.14
2009-11-28,NA,12.18,0.93,2.64
2009-11-29,NA,0.48,-1.66,3.04
2009-11-30,NA,3.41,-3.31,4.48
2009-12-01,NA,0.3,-5.11,6.52
2009-12-02,NA,0.25,-5.45,6.63
2009-12-03,NA,15.25,-3.72,11.55
2009-12-04,NA,1.33,-2.64,22.6
2009-12-05,NA,0.09,-5.17,22.77
2009-12-06,NA,0.17,-7.06,22.58
2009-12-07,NA,0.57,-8.4,22.77
2009-12-08,NA,0.39,-10.1,22.87
2009-12-09,NA,3.4,-8.75,23.2
2009-12-10,NA,16.44,-3.55,38.73
2009-12-11,NA,3.41,-10.22,44.3
2009-12-12,NA,1.69,-13.79,46.29
2009-12-13,NA,0.89,-13.45,46.86
2009-12-14,NA,0.89,-8.27,48.23
2009-12-15,NA,3.94,-8.06,50.13
2009-12-16,NA,4.25,-9.62,55.03
2009-12-17,NA,2.48,-15.9,57.44
2009-12-18,NA,1.91,-14.01,58.94
2009-12-19,NA,0.69,-10.53,60.58
2009-12-20,NA,0.37,-7.68,60.69
2009-12-21,NA,2.51,-0.52,62.17
2009-12-22,NA,1.72,0.27,63.45
2009-12-23,NA,1.06,-0.95,64.29
2009-12-24,NA,0.09,-4.07,64.33
2009-12-25,NA,0.06,-5.88,64.23
2009-12-26,NA,0.05,-7.64,64.14
2009-12-27,NA,11.71,-5.76,66.33
2009-12-28,NA,2.77,-1.75,78.16
2009-12-29,NA,4.66,-8.56,80.28
2009-12-30,NA,0.46,-18.42,82.86
2009-12-31,NA,0.01,-17.46,82.89
2010-01-01,NA,0.02,-14.1,82.88
2010-01-02,NA,5.22,-7.07,83.95
2010-01-03,NA,10.06,-0.56,94.07
2010-01-04,NA,4.61,0.17,100.31
2010-01-05,NA,1.88,-1.09,102.45
2010-01-06,NA,1.36,-0.91,103.7
2010-01-07,NA,0.92,-2.33,104.5
2010-01-08,NA,0.63,-4.24,105.06
2010-01-09,NA,0.92,-9.05,105.45
2010-01-10,NA,0.07,-15.76,105.56
2010-01-11,NA,0.03,-15.91,105.46
2010-01-12,NA,0.17,-14.1,105.42
2010-01-13,NA,0.09,-12.86,105.35
2010-01-14,NA,0.01,-11.5,105.31
2010-01-15,NA,0.43,-7.27,105.42
2010-01-16,NA,1.36,-10.2,106.09
2010-01-17,NA,0.04,-17.4,106.3
2010-01-18,NA,0.12,-13.39,106.21
2010-01-19,NA,1.03,-8.52,106.92
2010-01-20,NA,0.63,-7.27,107.69
2010-01-21,NA,0.36,-8.74,107.71
2010-01-22,NA,0.32,-12.62,107.97
2010-01-23,NA,0.07,-15.52,107.72
2010-01-24,NA,0,-14.65,107.57
2010-01-25,NA,9.11,-9.26,109.57
2010-01-26,NA,18.34,2.07,115.97
2010-01-27,NA,3.25,-3.81,116.77
2010-01-28,NA,2.15,-8.17,117.11
2010-01-29,NA,8.45,-5.98,124.22
2010-01-30,NA,1.72,-14.57,128.06
2010-01-31,NA,0.27,-18.87,128.4
2010-02-01,NA,0.42,-19.99,128.57
2010-02-02,NA,0.28,-24.29,128.79
2010-02-03,NA,0.04,-21.47,128.83
2010-02-04,NA,0.49,-19.55,129
2010-02-05,NA,0.49,-18.65,129.39
2010-02-06,NA,1.73,-14.79,130.05
2010-02-07,NA,5.22,-4.78,134.13
2010-02-08,NA,4.74,-1.9,138.04
2010-02-09,NA,0.79,-5.37,141.34
2010-02-10,NA,0.01,-8.04,140.98
2010-02-11,NA,0.04,-5.38,140.82
2010-02-12,NA,0.58,-3.12,141.04
2010-02-13,NA,3.08,-3.68,141.47
2010-02-14,NA,1.58,-2.96,144.72
2010-02-15,NA,0.88,-4.26,145.28
2010-02-16,NA,1.23,-2.72,146.19
2010-02-17,NA,1.98,-1.57,147.17
2010-02-18,NA,2.23,0.22,149.81
2010-02-19,NA,2.72,-0.43,151.28
2010-02-20,NA,0.97,-1.3,151.97
2010-02-21,NA,7.44,-0.74,154.75
2010-02-22,NA,3.19,0.1,161.46
2010-02-23,NA,0.56,-1.86,162.22
2010-02-24,NA,0.36,-3.35,162.12
2010-02-25,NA,0.36,-3.94,162.16
2010-02-26,NA,0.3,-3.28,162.15
2010-02-27,NA,3.91,-2.3,163.61
2010-02-28,NA,1.19,-1.91,166.14
2010-03-01,NA,1.9,-2.84,166.67
2010-03-02,NA,0.7,-4.81,168.07
2010-03-03,NA,0,-6.04,167.68
2010-03-04,NA,0,-6.62,167.08
2010-03-05,NA,0,-7.13,166.35
2010-03-06,NA,0,-3.46,165.54
2010-03-07,NA,0.23,-2.2,165.02
2010-03-08,NA,0.71,-2.84,165.13
2010-03-09,NA,0.25,-6.32,164.81
2010-03-10,NA,0.05,-7.06,164.41
2010-03-11,NA,0,-7.77,163.94
2010-03-12,NA,0,-6.82,163.45
2010-03-13,NA,0,-3.93,162.99
2010-03-14,NA,0,-2.56,162.57
2010-03-15,NA,0,-1.59,162.04
2010-03-16,NA,0,-0.42,161.16
2010-03-17,NA,0.23,-0.08,159.65
2010-03-18,NA,1.48,-0.49,159.94
2010-03-19,NA,5.15,-2.49,160.11
2010-03-20,NA,0.51,-0.64,164.3
2010-03-21,NA,0.07,-6.59,163.12
2010-03-22,NA,0.01,-2.72,162.62
2010-03-23,NA,6.48,-3.61,163.3
2010-03-24,NA,14.93,-2.51,176.39
2010-03-25,NA,1.43,-1.44,183.43
2010-03-26,NA,0.4,-11.93,183.2
2010-03-27,NA,0.11,-15.14,182.74
2010-03-28,NA,0.25,-11.51,182.48
2010-03-29,NA,30.68,-2.23,192.64
2010-03-30,NA,4.17,1.56,212.41
2010-03-31,NA,4.35,0.95,212.91
2010-04-01,NA,0.01,2.55,208.08
2010-04-02,NA,0.01,4.17,196.95
2010-04-03,NA,0,7.56,176.33
2010-04-04,NA,0,8.19,148.02
2010-04-05,NA,0.68,5.93,126.13
2010-04-06,NA,3.37,4.17,112.43
2010-04-07,NA,1.5,3.62,104.17
2010-04-08,NA,0.07,0.45,99.14
2010-04-09,NA,11.1,1.36,98.19
2010-04-10,NA,15.23,3.75,89.77
2010-04-11,NA,0.56,-0.38,86.68
2010-04-12,NA,0.06,-0.02,86.12
2010-04-13,NA,0,-1.15,85.06
2010-04-14,NA,2.29,-0.42,84.79
2010-04-15,NA,0.26,-0.53,85.39
2010-04-16,NA,0,-0.92,84.5
2010-04-17,NA,1.18,0.82,83.22
2010-04-18,NA,5.81,0.8,84.57
2010-04-19,NA,1.61,2.53,84.41
2010-04-20,NA,0.31,4.31,79
2010-04-21,NA,5.74,3.56,72.47
2010-04-22,NA,1.81,4.11,64.6
2010-04-23,NA,3.37,4.32,57.1
2010-04-24,NA,2.22,4.11,49.78
2010-04-25,NA,0,3.73,44.19
2010-04-26,NA,0.89,0.33,42.21
2010-04-27,NA,1.36,0.91,41.72
2010-04-28,NA,1.08,3.35,40.43
2010-04-29,NA,4.12,1.58,39.34
2010-04-30,NA,2.36,3.25,41.35
2010-05-01,NA,0.18,4.39,38.31
2010-05-02,NA,6.75,8.31,31.74
2010-05-03,NA,23.16,7.51,22.63
2010-05-04,NA,0.82,6.98,17.08
2010-05-05,NA,0,6.37,13.35
2010-05-06,NA,21.14,3.96,11.02
2010-05-07,NA,8.56,4.15,11.13
2010-05-08,NA,2.78,6.15,8.91
2010-05-09,NA,14.23,3.14,9.96
2010-05-10,NA,0.68,3.78,9.33
2010-05-11,NA,0.32,3.1,8.34
2010-05-12,NA,1.38,2.43,7.67
2010-05-13,NA,1.77,2.9,8.3
2010-05-14,NA,0,5.13,7.59
2010-05-15,NA,0.51,5.01,6.04
2010-05-16,NA,1.96,4.1,5.07
2010-05-17,NA,0.16,8.33,3.79
2010-05-18,NA,0.26,12.27,2.13
2010-05-19,NA,0.02,14.25,1.03
2010-05-20,NA,3.07,10.29,0.35
2010-05-21,NA,0,6.39,0.2
2010-05-22,NA,0,13.7,0.13
2010-05-23,NA,0.03,18.79,0.04
2010-05-24,NA,0.87,18.55,0.01
2010-05-25,NA,4.64,12.47,0
2010-05-26,NA,1.84,10.79,0
2010-05-27,NA,0.01,8.21,0
2010-05-28,NA,0.01,9.36,0
2010-05-29,NA,2.93,12.81,0
2010-05-30,NA,1.85,8.41,0
2010-05-31,NA,0.19,10.32,0
2010-06-01,NA,2.52,8.94,0
2010-06-02,NA,4.07,9.94,0
2010-06-03,NA,1.23,11.16,0
2010-06-04,NA,2.33,12.32,0
2010-06-05,NA,10.12,12.57,0
2010-06-06,NA,13.64,8.52,0
2010-06-07,NA,8.96,6.37,0
2010-06-08,NA,2.56,6.38,0
2010-06-09,NA,0.02,9.47,0
2010-06-10,NA,0,12.76,0
2010-06-11,NA,0.19,15.29,0
2010-06-12,NA,0,13.34,0
2010-06-13,NA,0.27,13.79,0
2010-06-14,NA,0,13.5,0
2010-06-15,NA,0.9,9.13,0
2010-06-16,NA,0,14.63,0
2010-06-17,NA,2.01,16.78,0
2010-06-18,NA,0.78,16.15,0
2010-06-19,NA,0.03,17.69,0
2010-06-20,NA,14.52,17.45,0
2010-06-21,NA,0.12,16.18,0
2010-06-22,NA,0.01,17.63,0
2010-06-23,NA,3.71,17.92,0
2010-06-24,NA,15.7,14.24,0
2010-06-25,NA,0.14,12.87,0
2010-06-26,NA,3.97,10.82,0
2010-06-27,NA,2.48,10.64,0
2010-06-28,NA,3.94,9.57,0
2010-06-29,NA,5.96,8.98,0
2010-06-30,NA,7.72,11.84,0
2010-07-01,NA,4.88,10.88,0
2010-07-02,NA,0.18,12.17,0
2010-07-03,NA,0.28,15.07,0
2010-07-04,NA,5.1,16.99,0
2010-07-05,NA,13.04,13.66,0
2010-07-06,NA,0.01,18.33,0
2010-07-07,NA,8.28,19.25,0
2010-07-08,NA,5.43,21.08,0
2010-07-09,NA,8.26,22.38,0
2010-07-10,NA,19.88,19.29,0
2010-07-11,NA,0.01,20.24,0
2010-07-12,NA,1.07,19.9,0
2010-07-13,NA,9.62,20.34,0
2010-07-14,NA,7.57,19.17,0
2010-07-15,NA,0.01,19.14,0
2010-07-16,NA,8.24,18.37,0
2010-07-17,NA,7.96,20.45,0
2010-07-18,NA,2.84,18.84,0
2010-07-19,NA,2.17,17.25,0
2010-07-20,NA,0.98,17.01,0
2010-07-21,NA,0.11,17.69,0
2010-07-22,NA,5.05,17.06,0
2010-07-23,NA,0.02,16.2,0
2010-07-24,NA,0.58,16.44,0
2010-07-25,NA,13.3,16.68,0
2010-07-26,NA,1.1,14.84,0
2010-07-27,NA,0.93,15.2,0
2010-07-28,NA,2.11,18.75,0
2010-07-29,NA,0.94,16.63,0
2010-07-30,NA,0.79,13.48,0
2010-07-31,NA,0.12,13.06,0
2010-08-01,NA,0,15.38,0
2010-08-02,NA,0,16.63,0
2010-08-03,NA,5.29,15.3,0
2010-08-04,NA,2.4,17.25,0
2010-08-05,NA,5.79,19.25,0
2010-08-06,NA,1.49,17.03,0
