DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,1.09,0.49,11.23,0
2009-10-02,1.11,0.41,9.71,0
2009-10-03,1.14,0,11.1,0
2009-10-04,1.26,16.3,13.79,0
2009-10-05,1.64,8.36,12.95,0
2009-10-06,1.98,0.52,10.95,0
2009-10-07,2.41,22.04,10.18,0
2009-10-08,3.13,2.86,9.58,0
2009-10-09,3.71,0.52,9.68,0
2009-10-10,4.19,7.5,10.83,0
2009-10-11,4.67,0.15,7.91,0
2009-10-12,5.15,0,6.3,0
2009-10-13,5.03,11.67,5.25,0.02
2009-10-14,4.91,2.12,3.88,0.78
2009-10-15,4.67,0.01,2.93,0.68
2009-10-16,4.73,7.07,2.64,2.88
2009-10-17,4.53,0.28,5.69,3.09
2009-10-18,4.31,8.89,5.47,1.59
2009-10-19,4.24,0.97,6.3,0.5
2009-10-20,4.04,0.01,6.98,0.19
2009-10-21,3.87,0,6.96,0.08
2009-10-22,3.69,3.34,4.99,0.05
2009-10-23,3.59,2.87,3.95,0.02
2009-10-24,3.37,5.77,5.21,0.02
2009-10-25,3.52,16.18,13.23,0
2009-10-26,3.68,0,5.7,0
2009-10-27,3.7,0,3.62,0
2009-10-28,3.75,0,3.46,0
2009-10-29,3.75,0,3.38,0
2009-10-30,3.69,0,4.15,0
2009-10-31,3.59,0.01,11.44,0
2009-11-01,3.57,3.54,10.51,0
2009-11-02,3.5,0.45,5.94,0
2009-11-03,3.49,8.18,4.43,0
2009-11-04,3.49,2.14,4.13,0
2009-11-05,3.42,3.09,2.94,0.04
2009-11-06,3.52,15.21,1.44,8.37
2009-11-07,3.45,0.01,0.02,9.41
2009-11-08,3.4,0.07,5.28,7.13
2009-11-09,3.36,0,8.4,2.77
2009-11-10,3.31,0,10.21,0.7
2009-11-11,3.22,0,5.41,0.24
2009-11-12,3.1,0,3.88,0.18
2009-11-13,2.98,0,3.6,0.14
2009-11-14,2.85,0,6.75,0.08
2009-11-15,2.76,3.17,13.39,0.01
2009-11-16,2.74,0.07,9.39,0
2009-11-17,2.65,0,3.73,0
2009-11-18,2.5,0,3.44,0
