DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.43,0.07,2.56,0.02
2009-10-02,0.42,2.07,4.43,0.01
2009-10-03,0.41,9.26,6.2,0
2009-10-04,0.4,3.35,7.3,0
2009-10-05,0.39,0.4,6.29,0
2009-10-06,0.39,1.08,5.84,0
2009-10-07,0.37,0.93,5.61,0
2009-10-08,0.36,2.76,7.24,0
2009-10-09,0.36,0,4.01,0
2009-10-10,0.34,7.24,1.44,1.05
2009-10-11,0.34,1.14,1.74,4.66
2009-10-12,0.33,1.13,1.69,4.35
2009-10-13,0.33,0.31,0.82,4.38
2009-10-14,0.32,0.01,-0.55,4.26
2009-10-15,0.31,0.01,-1.33,4.06
2009-10-16,0.3,0.32,0.46,3.95
2009-10-17,0.3,0.05,1.21,3.83
2009-10-18,0.29,1.33,5.05,2.87
2009-10-19,0.29,0.93,7.1,0.81
2009-10-20,0.28,0.3,2.36,0.39
2009-10-21,0.28,1.59,0.22,0.84
2009-10-22,0.27,0.1,-0.61,1.95
2009-10-23,0.27,2.73,-0.91,2.2
2009-10-24,0.28,6.87,-0.67,9.59
2009-10-25,0.27,0.02,-0.22,10.93
2009-10-26,0.27,2.21,-0.62,11.46
2009-10-27,0.27,0.1,2.08,10.78
2009-10-28,0.26,0.04,3.76,6.84
2009-10-29,0.26,1.52,5.93,3.32
2009-10-30,0.31,8.8,8.51,0.85
2009-10-31,0.41,1.26,3.32,0.25
2009-11-01,0.44,2.72,0.52,0.43
2009-11-02,0.51,2.37,2.2,1.54
2009-11-03,0.56,0.46,-0.78,1.72
2009-11-04,0.6,5,-0.59,3.7
2009-11-05,0.65,0.44,-1.56,5.49
2009-11-06,0.65,0.21,1.52,5.14
2009-11-07,0.65,0.17,7.11,2.35
2009-11-08,0.64,0.62,5.17,1.26
2009-11-09,0.64,2.14,5.22,0.71
2009-11-10,0.62,0,3.11,0.46
2009-11-11,0.6,0.16,5.21,0.31
2009-11-12,0.6,0,5.42,0.16
2009-11-13,0.6,5.48,5.98,0.07
2009-11-14,0.76,15.68,3.68,0.08
2009-11-15,0.86,3.08,1.59,0.81
2009-11-16,0.94,0,0.96,1.01
2009-11-17,1.02,0,2.01,0.9
2009-11-18,1.07,0,2.41,0.72
2009-11-19,1.09,0.28,3.28,0.52
2009-11-20,1.09,0.28,2.72,0.31
2009-11-21,1.07,0.01,1.16,0.25
2009-11-22,1.05,0.89,5.3,0.16
2009-11-23,1.04,3.51,5.69,0.06
2009-11-24,1.02,1.97,4.42,0.02
2009-11-25,1.02,4.5,3.92,0.01
2009-11-26,1.02,4.93,-0.78,2.26
2009-11-27,1.01,0.03,-3,4.31
2009-11-28,1,0.47,-1.36,4.56
2009-11-29,1,0.48,-2.01,4.93
2009-11-30,0.99,0.43,-1.64,5.27
2009-12-01,0.98,0.42,-3.87,5.45
2009-12-02,0.98,1.79,-5.38,7.03
2009-12-03,0.95,0.69,-6.64,7.46
2009-12-04,0.93,1.11,-6.54,8.29
2009-12-05,0.91,0.16,-9.81,8.69
2009-12-06,0.84,0.31,-9.76,8.81
2009-12-07,0.77,0.43,-10.43,9.04
2009-12-08,0.74,0.2,-12.74,9.34
2009-12-09,0.69,4.49,-15.89,11.38
2009-12-10,0.63,1.37,-16.53,14.36
2009-12-11,0.58,0.26,-17.35,14.81
2009-12-12,0.55,1.58,-12.3,15.19
2009-12-13,0.55,1.51,-13.92,17.43
2009-12-14,0.54,0.08,-18.8,17.37
2009-12-15,0.55,0.45,-18.94,17.55
2009-12-16,0.56,0.05,-18.23,17.55
2009-12-17,0.58,1.45,-15.06,17.65
2009-12-18,0.59,1.55,-6.13,19.8
2009-12-19,0.58,0.24,-15.5,20.22
2009-12-20,0.57,0.12,-20.36,20.19
2009-12-21,0.57,0.93,-12.13,20.74
2009-12-22,0.56,0.05,-13.17,20.92
2009-12-23,0.54,0.05,-14.25,20.82
2009-12-24,0.52,1.87,-12.5,21.26
2009-12-25,0.52,3.9,-3.36,23.23
2009-12-26,0.55,10.32,-0.53,32.58
2009-12-27,0.53,1.66,-4.05,35.99
2009-12-28,0.52,1.3,-15.46,37.84
2009-12-29,0.49,0.29,-15.71,37.92
2009-12-30,0.48,1.86,-5.17,38.44
2009-12-31,0.48,0.64,-13.01,40.09
2010-01-01,0.47,0.13,-23.67,40.09
2010-01-02,0.46,0.23,-28.03,40.19
2010-01-03,0.45,0.11,-23,40.28
2010-01-04,0.44,0.18,-17,40.19
2010-01-05,0.44,0.38,-15.13,40.19
2010-01-06,0.43,0.33,-16.27,40.41
2010-01-07,0.42,0.11,-17.25,40.49
2010-01-08,0.42,0,-21.69,40.34
2010-01-09,0.41,0,-17.91,40.23
2010-01-10,0.41,0.63,-11.93,40.16
2010-01-11,0.4,0.2,-15.12,40.58
2010-01-12,0.4,0.02,-14.75,40.49
2010-01-13,0.4,0.11,-5.94,40.48
2010-01-14,0.39,0.33,-3.78,40.59
2010-01-15,0.39,0.15,-7.57,40.64
2010-01-16,0.38,1.33,-3.39,41.68
2010-01-17,0.38,0.26,-2.13,41.98
2010-01-18,0.37,0.27,-8.46,42.1
2010-01-19,0.37,0.07,-15.29,42.06
2010-01-20,0.37,0,-15.19,41.97
2010-01-21,0.37,0,-10.99,41.89
2010-01-22,0.36,0,-9.77,41.8
2010-01-23,0.36,0.22,-5.71,41.7
2010-01-24,0.36,9.39,-0.12,44.25
2010-01-25,0.39,7.83,-2.07,54.41
2010-01-26,0.38,0.32,-17.82,57.35
2010-01-27,0.37,0.4,-19.95,57.36
2010-01-28,0.36,0.12,-23.28,57.56
2010-01-29,0.35,0.01,-23.69,57.49
2010-01-30,0.35,0.02,-18.59,57.45
2010-01-31,0.34,0.17,-19.33,57.45
2010-02-01,0.33,0.01,-19.81,57.32
2010-02-02,0.32,0.03,-17.42,57.2
2010-02-03,0.31,0.01,-16.75,57.06
2010-02-04,0.31,0.56,-12.61,57.39
2010-02-05,0.3,0,-13.93,57.31
2010-02-06,0.3,0,-15.08,57.11
2010-02-07,0.29,0.1,-13.6,57
2010-02-08,0.29,0.01,-16.82,56.85
2010-02-09,0.28,0.01,-16.83,56.69
2010-02-10,0.28,0.07,-14.73,56.52
2010-02-11,0.27,0,-13.06,56.34
2010-02-12,0.27,0.17,-12.7,56.2
2010-02-13,0.27,0.04,-12.16,56.12
2010-02-14,0.26,3.5,-10.56,57.52
2010-02-15,0.26,0.87,-7.56,59.69
2010-02-16,0.26,1.77,-6.64,60.43
2010-02-17,0.25,0.12,-5.37,60.83
2010-02-18,0.25,0.03,-7.38,60.41
2010-02-19,0.25,0,-8.85,59.98
2010-02-20,0.25,0,-8.67,59.6
2010-02-21,0.25,0,-9.08,59.29
2010-02-22,0.25,0,-8.98,59.02
2010-02-23,0.24,0.62,-10.16,58.9
2010-02-24,0.24,0.24,-17.42,59.25
2010-02-25,0.24,0,-17.19,58.96
2010-02-26,0.24,0.02,-11.04,58.51
2010-02-27,0.23,1.24,-5.99,58.36
2010-02-28,0.23,1.02,-6.08,59.52
2010-03-01,0.23,0.01,-8.68,59.28
2010-03-02,0.22,0,-7.78,58.88
2010-03-03,0.22,0.07,-6.62,58.56
2010-03-04,0.22,0.01,-5.79,58.3
2010-03-05,0.22,0,-5.91,57.91
2010-03-06,0.22,0.01,-1.9,57.25
2010-03-07,0.22,0,1.03,55.17
2010-03-08,0.22,0,1.23,51.6
2010-03-09,0.22,0.36,0.32,48.07
2010-03-10,0.22,0,2.33,43.82
2010-03-11,0.22,0.19,2.37,38.46
2010-03-12,0.23,0.05,3.41,32.08
2010-03-13,0.24,0.06,4.84,22.85
2010-03-14,0.26,0,5.82,13.51
2010-03-15,0.28,0,5.37,8.98
2010-03-16,0.31,0.01,4.01,6.41
2010-03-17,0.34,0,5.27,4.66
2010-03-18,0.39,0.08,3.48,3.28
2010-03-19,0.44,1.69,-2.16,3.71
2010-03-20,0.47,0,-6.36,3.83
2010-03-21,0.51,0.49,-2.57,3.88
2010-03-22,0.54,0,-0.87,3.94
2010-03-23,0.56,0.06,2.08,3.66
2010-03-24,0.57,1.48,-0.72,3.67
2010-03-25,0.58,0.02,-12.39,4.71
2010-03-26,0.57,1.68,-10.04,4.85
2010-03-27,0.58,11.2,-3.03,10.23
