DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.73,0.09,4.41,0
2009-10-02,0.67,2.52,6.23,0
2009-10-03,0.67,10.72,8.32,0
2009-10-04,0.69,4.42,8.73,0
2009-10-05,0.73,2.6,7.61,0
2009-10-06,0.75,10.24,7.17,0
2009-10-07,0.92,12.6,6.24,0
2009-10-08,1.13,0.28,8.39,0
2009-10-09,1.2,0.02,7.03,0
2009-10-10,1.17,2.92,4.11,0.04
2009-10-11,1.11,0.37,2.46,0.2
2009-10-12,1.03,4.66,2.18,0.37
2009-10-13,1.03,4.42,1.71,4.63
2009-10-14,1.01,0.17,-0.29,4.43
2009-10-15,0.98,0.01,-1.23,4.28
2009-10-16,0.95,0.01,-0.53,4.13
2009-10-17,0.88,0.02,-0.1,3.83
2009-10-18,0.87,0,1.58,3.44
2009-10-19,0.83,0.48,5.31,2.39
2009-10-20,0.81,0.06,5.08,0.8
2009-10-21,0.79,12.81,2.04,1.74
2009-10-22,0.9,15.25,-0.06,14.36
2009-10-23,1.02,9.88,-0.72,16.55
2009-10-24,1.22,2,4.18,13.12
2009-10-25,1.45,0.01,1.07,8.81
2009-10-26,1.59,11.66,0.42,12.31
2009-10-27,1.74,4.76,5.02,10.19
2009-10-28,1.85,0.17,5.13,5
2009-10-29,1.94,0.02,6.35,2.69
2009-10-30,1.99,9.7,8.6,1.03
2009-10-31,2.64,7.24,6.77,0.25
2009-11-01,3.29,0,2.88,0.15
2009-11-02,3.11,7.13,3.18,0.15
2009-11-03,2.95,0.39,0.88,0.24
2009-11-04,2.83,0.24,-0.45,0.39
2009-11-05,2.86,2.95,-0.1,2.41
2009-11-06,2.62,0.01,-1.59,2.87
2009-11-07,2.34,0.12,5.04,2.1
2009-11-08,2.18,0.04,6.19,0.9
2009-11-09,2.04,0.22,6.98,0.4
2009-11-10,1.93,0,3.68,0.2
2009-11-11,1.82,0,1.83,0.17
2009-11-12,1.73,0,2.15,0.13
2009-11-13,1.66,0,3.42,0.1
2009-11-14,1.56,0.06,6.77,0.05
2009-11-15,1.5,1.11,5.02,0.02
2009-11-16,1.45,0,1.17,0.01
2009-11-17,1.37,0,0.14,0.01
2009-11-18,1.31,0,1.05,0.01
2009-11-19,1.25,0.37,2.5,0.01
2009-11-20,1.21,5.56,4.85,0
2009-11-21,1.18,0.19,3.67,0
2009-11-22,1.15,0.14,2.35,0.01
2009-11-23,1.1,0.09,2.46,0.01
2009-11-24,1.06,0.48,2.58,0
2009-11-25,1.03,5.14,3.97,0
2009-11-26,1.05,4.6,4.3,0
2009-11-27,1.06,0.52,0.96,0.04
2009-11-28,1.04,0.26,-0.46,0.13
2009-11-29,1.03,6.47,-1.39,2.72
2009-11-30,1.02,0.51,-2.64,6.82
2009-12-01,1.01,0.31,-1.74,7.28
2009-12-02,1.01,1.67,0.62,7.28
2009-12-03,1.01,8.53,-4.87,10.8
2009-12-04,1,0.5,-7.67,15.42
2009-12-05,0.98,0.8,-6.64,15.67
2009-12-06,0.95,0.1,-8.09,16.04
2009-12-07,0.93,0.02,-11.67,15.88
2009-12-08,0.9,0.36,-10.8,15.82
2009-12-09,0.87,21.73,-6.09,26.38
2009-12-10,0.84,2.34,-13.03,39.39
2009-12-11,0.83,0.07,-13.66,39.57
2009-12-12,0.82,0.06,-9.06,39.47
2009-12-13,0.81,2.01,-2.44,40.74
2009-12-14,0.79,2.39,-10.21,42.17
2009-12-15,0.77,0.4,-13.2,43.73
2009-12-16,0.76,0.35,-17.49,44.01
2009-12-17,0.75,0,-20.16,43.94
2009-12-18,0.74,0.07,-15.39,43.91
2009-12-19,0.73,0.17,-10.23,43.91
2009-12-20,0.72,0.71,-10.59,44.38
2009-12-21,0.71,0.01,-17.76,44.53
2009-12-22,0.71,0,-17.44,44.45
2009-12-23,0.7,0.04,-13.62,44.35
2009-12-24,0.69,0.15,-7.82,44.35
2009-12-25,0.7,5.72,-2.28,44.82
2009-12-26,0.72,11.16,-0.17,58.58
2009-12-27,0.76,0.8,-3.81,61.32
2009-12-28,0.77,2.84,-11.4,63.08
2009-12-29,0.76,0.02,-20.39,64.09
2009-12-30,0.75,0.24,-8.8,64.16
2009-12-31,0.73,3.7,-2.62,66.22
2010-01-01,0.72,2.33,-16.4,69.01
2010-01-02,0.72,0.65,-23.51,70.23
2010-01-03,0.72,1.08,-19.93,70.85
2010-01-04,0.72,0.58,-14.91,71.6
2010-01-05,0.71,0.46,-12.75,71.98
2010-01-06,0.7,0.25,-12.55,72.15
2010-01-07,0.7,0.09,-12.58,72.15
2010-01-08,0.69,0.35,-18.01,72.21
2010-01-09,0.68,0,-19.05,72.2
2010-01-10,0.67,0.03,-10.26,72.11
2010-01-11,0.67,1.1,-10.25,72.78
2010-01-12,0.66,0.05,-16.62,72.85
2010-01-13,0.65,0.25,-5.81,72.97
2010-01-14,0.63,1,-2.28,73.37
2010-01-15,0.63,0.16,-2.71,73.93
2010-01-16,0.63,0.25,-2.12,73.9
2010-01-17,0.63,0.18,-2.51,73.93
2010-01-18,0.62,0.93,-1.92,74.23
2010-01-19,0.61,1.65,-8.7,75.66
2010-01-20,0.61,0.01,-13.53,76.01
2010-01-21,0.59,0,-11.66,75.94
2010-01-22,0.58,0,-10.01,75.9
2010-01-23,0.58,0,-9.24,75.8
2010-01-24,0.57,2.73,-2.34,76.06
2010-01-25,0.6,8.31,1.12,75.67
2010-01-26,0.61,1.76,-6.66,75.32
2010-01-27,0.61,0.23,-14.37,75.79
2010-01-28,0.59,0.57,-18.7,76.08
2010-01-29,0.57,0,-23.81,76.09
2010-01-30,0.56,0.01,-19.37,76.01
