DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.52,0.88,4.18,0
2009-10-02,0.47,6.25,6.47,0
2009-10-03,0.45,4.95,9.45,0
2009-10-04,0.46,2.8,8.3,0
2009-10-05,0.49,1.31,8.66,0
2009-10-06,0.51,10.43,7.55,0
2009-10-07,0.56,7.12,7.58,0
2009-10-08,0.58,1.2,9.17,0
2009-10-09,0.62,7.31,7.78,0
2009-10-10,0.68,4.87,5.97,0
2009-10-11,0.71,0.85,2.88,0.02
2009-10-12,0.71,1.3,2.89,0.02
2009-10-13,0.73,3.38,2.37,0.31
2009-10-14,0.73,0,0.18,0.37
2009-10-15,0.69,0.04,-0.17,0.38
2009-10-16,0.65,0,0.02,0.38
2009-10-17,0.64,0,1.27,0.35
2009-10-18,0.63,0,1.78,0.31
2009-10-19,0.62,0.78,4.89,0.23
2009-10-20,0.63,0.59,7.38,0.07
2009-10-21,0.64,7.57,5.18,0.02
2009-10-22,0.69,6.84,4.11,0.06
2009-10-23,0.74,7.26,0.76,0.15
2009-10-24,0.82,5.96,7.19,0.09
2009-10-25,0.87,0.2,3.7,0.03
2009-10-26,0.89,5.42,2.15,0.27
2009-10-27,1.04,5.49,6.1,0.23
2009-10-28,1.12,0.13,6.8,0.09
2009-10-29,1.06,0.02,6.94,0.04
2009-10-30,1.06,15.39,8.81,0.01
2009-10-31,1.21,12.86,7.66,0
2009-11-01,1.47,0.08,3.78,0
2009-11-02,1.64,3.42,3.57,0
2009-11-03,1.81,1.15,2.25,0.04
2009-11-04,1.9,0.35,-0.17,0.17
2009-11-05,1.87,6.19,-0.03,3.21
2009-11-06,1.75,0.05,-1.94,4.93
2009-11-07,1.58,0.11,5.2,3.91
2009-11-08,1.46,0.01,7.1,1.3
2009-11-09,1.35,0.14,8.74,0.42
2009-11-10,1.27,0,4.31,0.11
2009-11-11,1.2,0,2.44,0.09
2009-11-12,1.14,0,2.2,0.07
2009-11-13,1.02,0,3.45,0.06
2009-11-14,0.94,0.01,7.34,0.04
2009-11-15,0.93,0.22,5.94,0.01
2009-11-16,0.91,0,1.67,0.01
2009-11-17,0.88,0,0.27,0.01
2009-11-18,0.85,0,2.2,0.01
2009-11-19,0.87,6.24,3.49,0.01
2009-11-20,1.23,21.91,5.04,0
2009-11-21,1.73,0.21,4.4,0
2009-11-22,2.17,0.27,4.12,0
2009-11-23,2.36,0.17,3.43,0
2009-11-24,2.43,0.05,2.79,0
2009-11-25,2.51,6.81,5.42,0
2009-11-26,2.53,4.27,4.46,0
2009-11-27,2.43,2.49,1.09,0.56
2009-11-28,2.38,0.1,0.3,1.06
2009-11-29,2.32,4.62,1.26,1.67
2009-11-30,2.3,1.82,-1.51,5.28
2009-12-01,2.3,2.09,-0.6,7.45
2009-12-02,2.25,0.17,1.73,7.04
2009-12-03,2.23,12.69,0.25,10.93
2009-12-04,2.25,3.17,-3.02,13.88
2009-12-05,2.3,1.51,-4.1,16.3
2009-12-06,2.28,1.98,-5.36,17.56
2009-12-07,2.21,4.13,-6.08,19.74
2009-12-08,2.09,0.01,-8.47,22.36
2009-12-09,2.05,17.04,-3.91,31.01
2009-12-10,1.99,2.54,-8.09,40.69
2009-12-11,1.91,1.42,-11.15,41.97
2009-12-12,1.81,0.3,-8.57,42.4
2009-12-13,1.75,3.51,-2.69,44.57
2009-12-14,1.7,4.75,-3.25,46.94
2009-12-15,1.66,0.61,-8.26,50.87
2009-12-16,1.56,0.69,-14.62,51.31
2009-12-17,1.44,0.03,-18.61,51.36
2009-12-18,1.34,0.01,-15.99,51.32
2009-12-19,1.26,0,-13.13,51.14
2009-12-20,1.21,0.17,-9.45,51
2009-12-21,1.18,0.1,-12.97,51.07
2009-12-22,1.14,0.03,-17.95,50.96
2009-12-23,1.1,0.14,-13.38,50.99
2009-12-24,1.07,0.02,-6.61,50.96
2009-12-25,1.05,2.59,-1.63,51.02
2009-12-26,1.1,10.88,0.42,59.88
2009-12-27,1.16,1.47,-3.18,64.38
2009-12-28,1.2,4.93,-7.9,66.56
2009-12-29,1.2,0.07,-21.24,69.43
2009-12-30,1.19,0.29,-10.67,69.6
2009-12-31,1.17,2.6,-3.89,70.72
2010-01-01,1.17,1.96,-7.51,73.36
2010-01-02,1.14,0.76,-20.12,74.19
2010-01-03,1.12,2.79,-17.76,75.76
2010-01-04,1.08,0.58,-14.41,77.38
2010-01-05,1.06,2.27,-12.2,78.79
2010-01-06,1.03,0.53,-11.08,80
2010-01-07,0.99,0.14,-10.77,80.13
2010-01-08,0.97,1.18,-14.68,80.76
2010-01-09,0.94,0.01,-17.81,80.99
2010-01-10,0.91,0.13,-10.15,80.95
2010-01-11,0.88,2.2,-6.53,82.33
2010-01-12,0.87,0.07,-15.04,82.92
2010-01-13,0.84,1.72,-6.27,83.65
2010-01-14,0.82,0.82,-2.39,84.77
2010-01-15,0.81,1,-1.72,86.01
2010-01-16,0.8,0.39,-2.21,86.27
2010-01-17,0.79,0.07,-3.64,86.33
2010-01-18,0.78,0.84,-3.04,86.61
2010-01-19,0.79,1.6,-3.41,87.95
2010-01-20,0.78,0.09,-9.34,88.35
2010-01-21,0.76,0,-10.26,88.22
2010-01-22,0.75,0,-7.96,88.08
2010-01-23,0.73,0,-8.07,87.81
2010-01-24,0.72,3.99,-1.58,87.89
2010-01-25,0.81,17.1,1.8,84.69
2010-01-26,0.94,5.38,-2.16,86.44
2010-01-27,1.04,2.99,-8.87,90
2010-01-28,1.15,2.21,-14.74,93.15
2010-01-29,1.2,0.01,-23.46,93.58
2010-01-30,1.19,0.04,-20.92,93.51
2010-01-31,1.17,1,-13.2,93.94
2010-02-01,1.17,0.04,-15.73,94.36
2010-02-02,1.14,0.02,-14.35,94.26
2010-02-03,1.12,0.6,-10.88,94.45
2010-02-04,1.09,0.05,-12.43,94.57
2010-02-05,1.06,0,-12.19,94.44
2010-02-06,1.03,0.02,-15.53,94.2
2010-02-07,1,0.1,-12.56,94.14
2010-02-08,0.96,0.18,-12.32,94.08
2010-02-09,0.92,0.27,-10.46,94.04
2010-02-10,0.91,1.2,-8.4,94.89
2010-02-11,0.9,0.02,-13.06,94.89
2010-02-12,0.87,0.02,-15.45,94.69
2010-02-13,0.85,0.73,-11.22,94.93
2010-02-14,0.83,0.74,-9.17,95.47
2010-02-15,0.81,0.44,-9.29,95.76
2010-02-16,0.79,1.1,-7.23,96.42
2010-02-17,0.78,2.32,-4.5,98.1
2010-02-18,0.77,0.71,-5.71,99.21
2010-02-19,0.75,0.45,-5.6,99.5
2010-02-20,0.73,0.54,-4.9,99.84
2010-02-21,0.72,0,-7.95,99.67
2010-02-22,0.71,2.94,-7.67,99.9
2010-02-23,0.72,5.79,-2.71,106.07
2010-02-24,0.73,0.83,-4.11,108.04
2010-02-25,0.73,5.52,-7.12,110.53
2010-02-26,0.73,5.2,-0.88,117.62
2010-02-27,0.72,1.83,-0.13,119.73
2010-02-28,0.72,0.65,-1.05,120.33
2010-03-01,0.72,0.14,-4.27,120.36
2010-03-02,0.7,0.08,-3.64,120.13
2010-03-03,0.69,0,-5.06,119.71
2010-03-04,0.68,0.01,-5.69,119.18
2010-03-05,0.67,0,-5.84,118.77
2010-03-06,0.66,0,-3.57,118.26
2010-03-07,0.65,0,-0.8,117.92
2010-03-08,0.65,0,0.23,117.1
2010-03-09,0.67,0,0.18,115.48
2010-03-10,0.71,0,1.25,113.38
2010-03-11,0.75,1.16,2.48,109.93
2010-03-12,0.82,0.16,2.97,104.37
2010-03-13,0.99,0.02,4.02,92.89
2010-03-14,1.34,1.29,2.33,86.6
2010-03-15,1.96,0.01,3.99,81.64
2010-03-16,2.62,0,2.8,76.01
2010-03-17,3.05,0,4.37,68.2
2010-03-18,3.41,0,4.1,58.05
2010-03-19,3.67,0.17,3.6,48.03
2010-03-20,3.8,0.14,-1.59,41.01
2010-03-21,3.82,0,-0.17,40.05
2010-03-22,3.71,0,-0.18,38.23
2010-03-23,3.52,1.93,0.44,37.32
2010-03-24,3.24,0,1.03,36.08
2010-03-25,2.81,0,-0.81,33.77
2010-03-26,2.55,0,-7.89,32.41
2010-03-27,2.34,0,-2.79,31.56
2010-03-28,2.14,3.74,1.94,29.75
2010-03-29,2,0.84,1.43,28.23
2010-03-30,1.84,0,1.59,25.13
2010-03-31,1.54,0,4.93,20.21
2010-04-01,1.44,0.03,10.96,12.48
2010-04-02,1.47,0,15.72,3.75
2010-04-03,1.49,3.38,16.1,0.66
2010-04-04,1.52,0.08,9.56,0.14
2010-04-05,1.6,6.61,9.81,0.05
2010-04-06,1.69,3.76,8.59,0.02
2010-04-07,1.95,4.55,7.1,0.01
2010-04-08,2.21,11.86,2.64,0.01
2010-04-09,2.68,2.25,-0.12,1.05
2010-04-10,2.88,1.59,2.39,2.11
2010-04-11,2.85,1.3,4.14,2
2010-04-12,2.77,0,4.33,1.35
2010-04-13,2.62,0,6.59,0.91
2010-04-14,2.43,0,8.15,0.52
2010-04-15,2.21,2.33,10.81,0.24
2010-04-16,1.97,1.49,9.04,0.05
2010-04-17,1.82,6.33,2.33,1.89
2010-04-18,1.69,0.04,5.73,1.53
2010-04-19,1.38,0,7.32,0.88
2010-04-20,1.18,0.33,9.69,0.4
2010-04-21,1.21,2.76,6.35,0.16
2010-04-22,1.18,0.01,3.59,0.09
2010-04-23,1.1,0,5.72,0.07
2010-04-24,1.03,0.01,9.78,0.03
