DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.45,0.51,5.14,0
2009-10-02,0.42,8.55,7.24,0
2009-10-03,0.41,7.07,10.29,0
2009-10-04,0.45,2.98,8.99,0
2009-10-05,0.51,5.33,9.26,0
2009-10-06,0.58,9.17,8.48,0
2009-10-07,0.76,6.8,8.54,0
2009-10-08,0.82,0.66,10.23,0
2009-10-09,0.78,11.08,8.29,0
2009-10-10,0.94,3.73,7,0
2009-10-11,0.98,2.73,3.65,0.01
2009-10-12,1.13,1.37,4.05,0.01
2009-10-13,1.05,3.68,3.49,0.09
2009-10-14,0.94,0,1.46,0.14
2009-10-15,0.85,0.04,0.85,0.16
2009-10-16,0.79,0,0.99,0.17
2009-10-17,0.73,0,2.94,0.16
2009-10-18,0.67,0,3.07,0.13
2009-10-19,0.65,0.85,5.25,0.1
2009-10-20,0.63,0.47,8.93,0.03
2009-10-21,0.61,4.17,6.86,0.01
2009-10-22,0.74,2.81,5.86,0
2009-10-23,0.83,6.34,1.64,0.02
2009-10-24,0.97,4.68,8.5,0.02
2009-10-25,1.07,0.6,5.33,0.01
2009-10-26,1.06,2.25,3.97,0.01
2009-10-27,1.05,2.28,7.4,0.01
2009-10-28,1.04,1.62,7.52,0
2009-10-29,1,0.01,7.35,0
2009-10-30,1.06,12.92,9.31,0
2009-10-31,1.78,18.41,8.78,0
2009-11-01,2.28,0.37,4.95,0
2009-11-02,2.32,2.49,4.56,0
2009-11-03,2.32,0.95,3.47,0
2009-11-04,2.17,0.4,0.91,0.12
2009-11-05,2.04,6.85,0.68,2.63
2009-11-06,2.03,0.01,-0.78,3.64
2009-11-07,1.9,0.03,5.77,2.87
2009-11-08,1.76,0,8.43,0.91
2009-11-09,1.64,0.03,9.49,0.38
2009-11-10,1.53,0,5.61,0.11
2009-11-11,1.43,0,3.05,0.08
2009-11-12,1.34,0,2.47,0.07
2009-11-13,1.25,0,3.34,0.06
2009-11-14,1.17,0.03,7.02,0.04
2009-11-15,1.12,0.08,6.43,0.01
2009-11-16,1.05,0,2.73,0.01
2009-11-17,0.99,0,1.06,0.01
2009-11-18,0.94,0,2.31,0.01
2009-11-19,0.91,6.41,3.81,0.01
2009-11-20,1.7,19.74,5.27,0
2009-11-21,3.32,0.06,5.36,0
2009-11-22,3.35,0.29,4.94,0
2009-11-23,3.15,0.04,3.99,0
2009-11-24,2.91,0.07,3.19,0
2009-11-25,2.74,6.7,5.97,0
2009-11-26,2.83,4.73,4.96,0
2009-11-27,2.78,1.06,1.77,0.09
2009-11-28,2.66,0.23,1.61,0.15
2009-11-29,2.49,4.85,2.49,0.26
2009-11-30,2.39,1.08,-0.2,1.07
2009-12-01,2.24,2.05,0.6,2.62
2009-12-02,2.11,1.37,2.83,2.64
2009-12-03,2.11,12.86,2.11,1.89
2009-12-04,2.15,3.31,-0.95,3.6
2009-12-05,2.05,0.27,-2.83,5.18
2009-12-06,1.95,6.46,-2.79,7.58
2009-12-07,1.9,3.53,-2.75,13.04
2009-12-08,1.85,0.02,-5.78,14.97
2009-12-09,1.78,16.73,-2.3,23.7
2009-12-10,1.77,8.57,-4.71,34.65
2009-12-11,1.65,8.57,-7.51,43.61
2009-12-12,1.83,1.35,-5.77,48.23
2009-12-13,2.08,6.11,-1.94,51.97
2009-12-14,2.08,5.06,-1.37,55.41
2009-12-15,1.95,0.61,-5.41,59.67
2009-12-16,1.83,2.18,-10.96,61.13
2009-12-17,1.69,0.03,-15.68,61.54
2009-12-18,1.66,0.01,-15.1,61.51
2009-12-19,1.77,0,-12.53,61.35
2009-12-20,1.88,0.18,-8.49,61.2
2009-12-21,1.79,0.19,-10.03,61.42
2009-12-22,1.7,0.02,-16.47,61.3
2009-12-23,1.51,0.06,-13.27,61.26
2009-12-24,1.43,0.01,-6.69,61.22
2009-12-25,1.37,3.31,-1.53,61.42
2009-12-26,1.49,14.25,0.66,72.11
2009-12-27,1.8,1.09,-3.06,77.53
2009-12-28,1.83,4.3,-6.81,79.22
2009-12-29,1.68,0.06,-19.88,81.71
2009-12-30,1.58,0.2,-10.03,81.86
2009-12-31,1.66,2.98,-3.04,83.21
2010-01-01,1.59,1.54,-4.79,85.61
2010-01-02,1.46,0.63,-18.51,86.22
2010-01-03,1.32,1.93,-16.64,87.32
2010-01-04,1.27,0.27,-13.5,88.31
2010-01-05,1.25,2.76,-11.78,89.68
2010-01-06,1.22,0.24,-10.02,91.07
2010-01-07,1.17,0.06,-9.52,91
2010-01-08,1.12,1.75,-13.31,91.86
2010-01-09,1.07,0,-16.59,92.33
2010-01-10,1.03,0.15,-10.85,92.33
2010-01-11,0.98,0.92,-6.83,92.88
2010-01-12,0.95,0.03,-12.93,93.03
2010-01-13,0.92,1.11,-6.53,93.48
2010-01-14,0.89,0.37,-2.3,94.12
2010-01-15,0.87,0.82,-1.04,94.91
2010-01-16,0.84,0.32,-1.98,95.04
2010-01-17,0.82,0.08,-3.35,95.12
2010-01-18,0.8,0.75,-2.63,95.33
2010-01-19,0.78,2.76,-2.52,97.34
2010-01-20,0.77,0.19,-7.3,98.39
2010-01-21,0.74,0,-9.57,98.21
2010-01-22,0.73,0,-7.07,98.06
2010-01-23,0.72,0,-7.88,97.8
2010-01-24,0.72,4.73,-1.63,98.01
2010-01-25,1,20.11,1.88,94.34
2010-01-26,1.68,4.84,-1.95,95.64
2010-01-27,1.97,2.54,-6.77,98.25
2010-01-28,2.04,2.63,-12.39,101.27
2010-01-29,1.95,0,-21.75,101.6
2010-01-30,1.88,0.04,-20.55,101.5
2010-01-31,1.81,1.73,-12.09,102.23
2010-02-01,1.71,0.1,-13.47,103.11
2010-02-02,1.61,0.11,-12.11,103.02
2010-02-03,1.51,0.78,-8.83,103.46
2010-02-04,1.42,0.01,-11.35,103.64
2010-02-05,1.36,0.01,-10.09,103.49
2010-02-06,1.31,0.01,-14.25,103.19
2010-02-07,1.26,0.04,-11.61,103.04
2010-02-08,1.21,0.07,-11.3,102.86
2010-02-09,1.17,0.3,-9.55,102.75
2010-02-10,1.17,1.16,-6.65,103.63
2010-02-11,1.15,0.01,-11.48,103.55
2010-02-12,1.1,0,-14.43,103.34
2010-02-13,1.05,0.56,-12.09,103.46
2010-02-14,1,0.66,-8.25,103.92
2010-02-15,0.98,0.16,-8.23,104.2
2010-02-16,0.95,0.31,-7.13,104.22
2010-02-17,0.92,2,-4.19,105.36
2010-02-18,0.87,0.33,-4.81,106.09
2010-02-19,0.84,0.16,-4.93,105.98
2010-02-20,0.81,0.4,-4.08,106.09
2010-02-21,0.78,0,-6.85,105.92
2010-02-22,0.76,3.53,-6.84,106.27
2010-02-23,0.74,5.37,-2.21,112.78
2010-02-24,0.74,0.32,-3.38,114.41
2010-02-25,0.74,6.52,-4.46,116.77
2010-02-26,0.76,5.47,-0.15,124.85
2010-02-27,0.78,1.68,0.2,126.75
2010-02-28,0.79,0.63,-0.13,127.3
2010-03-01,0.79,0.03,-2.25,127.19
2010-03-02,0.78,0.08,-2.11,126.83
