DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.18,0.22,7.59,0
2009-10-02,0.15,8.77,7.46,0
2009-10-03,0.15,6.62,9.64,0
2009-10-04,0.19,3.16,9.28,0
2009-10-05,0.18,0.56,9.49,0
2009-10-06,0.17,8.7,10,0
2009-10-07,0.3,6.23,9.43,0
2009-10-08,0.5,1.6,10.21,0
2009-10-09,0.68,7.74,9.21,0
2009-10-10,1.71,0.46,7.76,0
2009-10-11,1.46,0.06,3.39,0
2009-10-12,0.71,0.58,2.82,0.01
2009-10-13,0.46,1.71,4.62,0.02
2009-10-14,0.35,0,1.68,0.01
2009-10-15,0.28,0.2,0.88,0.03
2009-10-16,0.24,0.27,1.19,0.39
2009-10-17,0.22,0,1.68,0.33
2009-10-18,0.19,0,1.62,0.25
2009-10-19,0.18,0.42,5.86,0.16
2009-10-20,0.17,0.29,10.69,0.03
2009-10-21,0.17,1.1,12.04,0.01
2009-10-22,0.17,0.91,9.29,0
2009-10-23,0.18,14.41,5.3,0
2009-10-24,0.31,2.71,8.56,0
2009-10-25,0.4,0.03,6.52,0
2009-10-26,0.4,0,7.79,0
2009-10-27,0.34,0.36,9.92,0
2009-10-28,0.3,4.88,9.93,0
2009-10-29,0.29,0.02,8.14,0
2009-10-30,0.3,7.68,12.41,0
2009-10-31,0.57,12.99,9.98,0
2009-11-01,1.08,0.09,5.36,0
2009-11-02,0.8,1.28,5.07,0
2009-11-03,0.55,2.31,3.79,0.04
2009-11-04,0.45,2.33,1.5,0.11
2009-11-05,0.41,4.24,1.6,0.67
2009-11-06,0.45,0.01,0.52,1.08
2009-11-07,0.52,0,8.18,0.66
2009-11-08,0.53,0,9.65,0.17
2009-11-09,0.46,0,11.56,0.04
2009-11-10,0.4,0,7.35,0.01
2009-11-11,0.35,0,3.53,0.01
2009-11-12,0.32,0,2.59,0
2009-11-13,0.3,0,3.9,0
2009-11-14,0.3,0,8.62,0
2009-11-15,0.29,0.01,7.06,0
2009-11-16,0.28,0,3.85,0
2009-11-17,0.24,0,1.93,0
2009-11-18,0.22,0,4.8,0
2009-11-19,0.23,6.89,7.13,0
2009-11-20,0.26,1.22,5.09,0
2009-11-21,0.25,0.04,6.63,0
2009-11-22,0.24,0.05,5.44,0
2009-11-23,0.23,0.01,5.49,0
2009-11-24,0.23,0.13,6.56,0
2009-11-25,0.26,5.72,6.88,0
2009-11-26,0.37,2.38,4.48,0
2009-11-27,0.37,3.99,2.07,1.27
2009-11-28,0.46,0.12,2,1.43
2009-11-29,0.46,4.86,2.27,1.1
2009-11-30,0.61,0.38,0.4,0.77
2009-12-01,0.83,2.49,2.02,2.51
2009-12-02,0.73,8.04,4.29,2.17
2009-12-03,1.45,6.63,3.26,1.06
2009-12-04,2.48,0.65,-1.74,1.31
2009-12-05,1.15,0.08,-3.62,1.5
2009-12-06,0.78,0.12,-2.33,1.58
2009-12-07,0.59,1.44,-2.1,2.21
2009-12-08,0.5,0.34,-2.35,3.04
2009-12-09,0.52,23.37,0.15,14.43
2009-12-10,0.9,4.09,-6.07,20.64
2009-12-11,0.41,1.05,-9.68,21.92
2009-12-12,0.54,0.16,-5.14,21.92
2009-12-13,0.65,7.63,-0.34,25.93
2009-12-14,0.69,4.74,0.4,28.46
2009-12-15,0.85,1.79,-1.88,28.32
2009-12-16,1,1.29,-7.31,29.54
2009-12-17,0.94,0.28,-7.7,30.08
2009-12-18,0.84,0.2,-6.28,30.02
2009-12-19,0.73,0.27,-5.91,29.83
2009-12-20,0.62,0.23,-5.63,29.51
2009-12-21,0.56,1.35,-4.82,30.27
2009-12-22,0.48,0.09,-8.71,30.59
2009-12-23,0.35,0.04,-8.68,30.39
2009-12-24,0.43,0.03,-6.36,30.18
2009-12-25,0.38,8.9,-0.37,30.29
2009-12-26,1.11,7.17,-0.29,28.02
2009-12-27,2.68,0.51,-4.44,28.09
2009-12-28,1.78,3.48,-5.37,29.51
2009-12-29,1,0.8,-10.15,31.53
2009-12-30,0.87,0.07,-6.45,31.51
2009-12-31,0.78,3.38,-1.22,33.12
2010-01-01,0.65,2.84,-4.53,36.03
2010-01-02,0.38,0.84,-13.67,37.17
2010-01-03,0.44,1.17,-12.71,37.86
2010-01-04,0.52,0.47,-10.9,38.47
2010-01-05,0.4,1.63,-8.86,39.16
2010-01-06,0.31,0.23,-7.47,39.88
2010-01-07,0.29,0.69,-6.39,39.98
2010-01-08,0.28,1.5,-10.73,41.32
2010-01-09,0.27,0.01,-14.17,41.52
2010-01-10,0.26,0.01,-11.2,41.39
2010-01-11,0.29,1.74,-9.19,41.81
2010-01-12,0.28,0.11,-9.08,42.81
2010-01-13,0.27,0.05,-5.63,42.69
2010-01-14,0.26,0.17,-2.58,42.53
2010-01-15,0.24,0.65,-0.5,42.85
2010-01-16,0.24,0.05,-2.34,42.8
2010-01-17,0.23,0.19,-1.36,42.25
2010-01-18,0.23,0.34,-2.14,41.53
2010-01-19,0.22,1.69,-2.69,42.22
2010-01-20,0.22,0.11,-5.71,42.89
2010-01-21,0.2,0.01,-5.94,42.62
2010-01-22,0.21,0,-2.27,42.31
2010-01-23,0.21,0,-1.97,41.83
2010-01-24,0.21,6.67,2.07,39.96
2010-01-25,0.63,8,1.4,31.46
2010-01-26,2.51,3.51,-2.86,32.17
2010-01-27,1.81,0.91,-5.81,34.04
2010-01-28,0.93,2.01,-11.11,34.87
2010-01-29,0.73,0.51,-14.98,35.45
2010-01-30,0.71,0,-14.53,35.32
2010-01-31,0.67,0.82,-12.05,35.31
2010-02-01,0.58,0.06,-11.2,35.59
2010-02-02,0.46,1.39,-8.36,35.67
2010-02-03,0.38,0.63,-7.59,36.77
2010-02-04,0.33,0,-9.46,36.71
2010-02-05,0.3,0.01,-6.28,36.38
2010-02-06,0.27,0.01,-10.44,35.72
2010-02-07,0.24,0,-11.9,35.32
2010-02-08,0.22,0,-10.95,34.98
2010-02-09,0.21,1.92,-8.95,35.11
2010-02-10,0.22,2.12,-6.28,37.78
2010-02-11,0.21,0,-10.65,37.89
