DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0,0.01,9.46,0
2009-10-02,0,12.53,10.33,0
2009-10-03,0,4.29,11.65,0
2009-10-04,0,2.6,10.77,0
2009-10-05,0,0.13,10.75,0
2009-10-06,0,5.02,11.81,0
2009-10-07,0,0.47,11.49,0
2009-10-08,0,0.47,11.12,0
2009-10-09,0,7.16,10.72,0
2009-10-10,0,0.16,9.35,0
2009-10-11,0.07,0,4.76,0
2009-10-12,0.24,0.31,6.05,0
2009-10-13,0.18,0.37,6.7,0
2009-10-14,0.08,0,4.33,0
2009-10-15,0.04,2.53,3.33,0.06
2009-10-16,0.02,0.65,3.61,0.76
2009-10-17,0.02,0.05,4.42,0.54
2009-10-18,0.01,0.01,3.94,0.35
2009-10-19,0.01,0.25,8.07,0.18
2009-10-20,0.01,0.21,11.24,0.03
2009-10-21,0.01,2.85,13.65,0.01
2009-10-22,0.01,1.8,11.31,0
2009-10-23,0.02,15.25,9.09,0
2009-10-24,0.02,0.64,9.04,0
2009-10-25,0.03,0,7.7,0
2009-10-26,0.1,0.01,10.31,0
2009-10-27,0.12,2.12,11.25,0
2009-10-28,0.09,3.55,10.81,0
2009-10-29,0.06,0.01,9.99,0
2009-10-30,0.04,9.87,14.83,0
2009-10-31,0.04,7.71,10.94,0
2009-11-01,0.03,0,6.33,0
2009-11-02,0.03,0.9,6.38,0
2009-11-03,0.02,0.34,5.65,0
2009-11-04,0.02,1.02,3.12,0
2009-11-05,0.02,1.5,4.31,0
2009-11-06,0.02,0.02,3.49,0
2009-11-07,0.02,0,10.6,0
2009-11-08,0.02,0,10.9,0
2009-11-09,0.02,0.05,12.94,0
2009-11-10,0.02,0,9.05,0
2009-11-11,0.02,0,5.33,0
2009-11-12,0.02,0,4.53,0
2009-11-13,0.01,0,6.15,0
2009-11-14,0.01,0,10.69,0
2009-11-15,0.01,0.07,9.01,0
2009-11-16,0.01,0,5.99,0
2009-11-17,0.01,0,5,0
2009-11-18,0.01,0.53,8.19,0
2009-11-19,0.01,7.59,8.78,0
2009-11-20,0.01,0.49,6.32,0
2009-11-21,0.01,0.03,8.4,0
2009-11-22,0.01,0.01,6.93,0
2009-11-23,0.01,0.33,7.52,0
2009-11-24,0.01,0.18,8.58,0
2009-11-25,0.01,3.83,8.84,0
2009-11-26,0.01,1.58,5.32,0
2009-11-27,0.01,1.82,3.03,0.01
2009-11-28,0.01,0.01,3.39,0.01
