DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,0.61,6.15,0
2009-10-02,NA,8.54,8.16,0
2009-10-03,NA,3.78,11.43,0
2009-10-04,NA,1.86,10.31,0
2009-10-05,NA,0.86,10.2,0
2009-10-06,NA,8.07,9.79,0
2009-10-07,NA,3.76,10.07,0
2009-10-08,NA,0.54,11.17,0
2009-10-09,NA,9.75,9.53,0
2009-10-10,NA,1.13,8.57,0
2009-10-11,NA,0.46,5.03,0
2009-10-12,NA,1.55,4.49,0
2009-10-13,NA,2.43,4.81,0
2009-10-14,NA,0,2.21,0
2009-10-15,NA,0,1.58,0
2009-10-16,NA,0,1.76,0
2009-10-17,NA,0,2.61,0
2009-10-18,NA,0,2.81,0
2009-10-19,NA,0.26,5.53,0
2009-10-20,NA,0.49,10.57,0
2009-10-21,NA,4.03,8.98,0
2009-10-22,NA,3,8.07,0
2009-10-23,NA,7.06,2.87,0
2009-10-24,NA,2.73,10.45,0
2009-10-25,NA,0.1,6.87,0
2009-10-26,NA,0.04,5.81,0
2009-10-27,NA,0.19,9.49,0
2009-10-28,NA,4.12,8.12,0
2009-10-29,NA,0.02,8.13,0
2009-10-30,NA,4.97,11.04,0
2009-10-31,NA,12.34,11.27,0
2009-11-01,NA,0.02,6.22,0
2009-11-02,NA,2.1,6.06,0
2009-11-03,NA,0.79,4.91,0
2009-11-04,NA,0.72,2.32,0.01
2009-11-05,NA,4.53,2.35,0.4
2009-11-06,NA,0,0.27,0.45
2009-11-07,NA,0.01,7.26,0.32
2009-11-08,NA,0,9.73,0.09
2009-11-09,NA,0.01,11.22,0.03
2009-11-10,NA,0,6.94,0.01
2009-11-11,NA,0,3.69,0
2009-11-12,NA,0,2.4,0
2009-11-13,NA,0,3.36,0
2009-11-14,NA,0.01,7.33,0
2009-11-15,NA,0.01,7.22,0
2009-11-16,NA,0,3.56,0
2009-11-17,NA,0,1.28,0
2009-11-18,NA,0,2.74,0
2009-11-19,NA,6.26,5.46,0
2009-11-20,NA,6.85,6.31,0
2009-11-21,NA,0.08,6.36,0
2009-11-22,NA,0.12,5.66,0
2009-11-23,NA,0.01,4.82,0
2009-11-24,NA,0.49,4.5,0
2009-11-25,NA,4.63,6.98,0
2009-11-26,NA,1.89,6.1,0
2009-11-27,NA,0.32,2.22,0
2009-11-28,NA,0.09,3.09,0
2009-11-29,NA,5.97,2.95,0
2009-11-30,NA,0.97,0.95,0.01
2009-12-01,NA,2.7,1.72,1.75
