DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.19,0.9,5.39,0
2009-10-02,0.18,9.2,7.33,0
2009-10-03,0.2,1.74,12.21,0
2009-10-04,0.22,3.83,10.35,0
2009-10-05,0.24,0.88,9.77,0
2009-10-06,0.25,5.21,9.18,0
2009-10-07,0.27,8.5,10.1,0
2009-10-08,0.33,0.04,9.82,0
2009-10-09,0.34,7.21,9.14,0
2009-10-10,0.4,1.21,8.04,0
2009-10-11,0.43,0.64,4.89,0
2009-10-12,0.48,1.36,4.32,0
2009-10-13,0.38,5.46,4,0.08
2009-10-14,0.37,0,1.71,0.07
2009-10-15,0.36,0,0.69,0.07
2009-10-16,0.37,0,0.76,0.07
2009-10-17,0.35,0,2.01,0.06
2009-10-18,0.33,0,3.24,0.05
2009-10-19,0.34,0,4.8,0.04
2009-10-20,0.34,0.38,9.64,0.01
2009-10-21,0.59,4.52,6.94,0
2009-10-22,0.69,2.71,6.02,0
2009-10-23,0.77,7.55,1.9,0.01
2009-10-24,0.91,6.69,9.92,0.01
2009-10-25,1.09,0.13,6.83,0
2009-10-26,1.04,0.02,4.33,0
2009-10-27,0.93,0.13,7.65,0
2009-10-28,0.91,4.33,6.17,0
2009-10-29,0.92,0.01,7.32,0
2009-10-30,0.95,3.37,9.42,0
2009-10-31,0.99,18.63,10.22,0
2009-11-01,1.42,0.01,5.95,0
2009-11-02,1.5,0.94,5.46,0
2009-11-03,1.44,0.35,4.99,0
2009-11-04,1.36,0.05,1.1,0.02
2009-11-05,1.27,3.75,1.05,0.75
2009-11-06,1.2,0.01,-0,1.08
2009-11-07,1.13,0.03,4.63,0.89
2009-11-08,1.11,0.01,8.98,0.28
2009-11-09,1.08,0.01,10.37,0.11
2009-11-10,0.98,0,7.2,0.02
2009-11-11,0.87,0,3.3,0.01
2009-11-12,0.79,0,2.45,0.01
2009-11-13,0.77,0,3.03,0.01
2009-11-14,0.73,0.81,5.38,0.01
2009-11-15,0.87,0.03,7.51,0
2009-11-16,0.71,0,3.27,0
2009-11-17,0.63,0,0.71,0
2009-11-18,0.61,0,2.25,0
2009-11-19,0.62,10.82,4.24,0
2009-11-20,0.77,16.93,5.47,0
2009-11-21,1.05,0.09,6.25,0
2009-11-22,1.08,0.15,4.6,0
2009-11-23,1.06,0.01,3.03,0
2009-11-24,1.01,0.57,2.89,0
2009-11-25,1.01,4.09,6.66,0
2009-11-26,1.08,2.57,5.96,0
2009-11-27,1.18,3.51,2.63,0.57
2009-11-28,1.26,0.01,3.01,0.76
2009-11-29,1.25,6.48,3.26,0.66
2009-11-30,1.35,1.83,0.76,1.17
2009-12-01,1.47,0.56,0.03,1.51
2009-12-02,1.45,2.73,2.75,1.4
2009-12-03,2.21,16.94,3.84,0.69
2009-12-04,3.25,0.36,0.5,0.6
2009-12-05,2.98,0,-2.15,0.65
2009-12-06,2.66,0.46,-2.55,0.74
2009-12-07,2.41,4.19,-2.08,2.7
2009-12-08,2.22,0.17,-3.44,5.35
2009-12-09,2.12,24.53,-1.91,17.06
2009-12-10,2.27,3.53,-3.68,27.18
2009-12-11,2.01,2.62,-8.65,29.84
2009-12-12,1.87,0.33,-7.63,31.1
2009-12-13,1.68,4.83,-1.97,33.27
2009-12-14,1.93,3.7,-1.12,36.1
2009-12-15,2.08,0.99,-3.31,39.73
2009-12-16,1.78,1.01,-11.13,40.13
2009-12-17,1.43,0.05,-16.47,40.3
2009-12-18,1.3,0.02,-15.94,40.21
2009-12-19,1.15,0,-13.7,39.99
2009-12-20,1.08,0.01,-9.27,39.64
2009-12-21,0.99,0.03,-11.31,39.43
2009-12-22,0.93,0.07,-15.66,39.22
2009-12-23,0.88,0.29,-11.5,39.26
2009-12-24,0.99,0,-5.65,39.18
2009-12-25,1.18,1.26,-2.95,39.14
2009-12-26,1.36,19.81,0.38,47.24
2009-12-27,1.87,2.17,-1.06,56.05
2009-12-28,2.1,1.42,-5.45,56.38
2009-12-29,1.91,0.04,-19.07,56.91
2009-12-30,1.67,0.02,-11.45,56.8
2009-12-31,1.64,3.1,-2.13,57.73
2010-01-01,1.57,5.44,-2.07,61.77
2010-01-02,1.48,1.29,-15.37,65.72
2010-01-03,1.38,3.2,-13.73,67.57
2010-01-04,1.31,0.22,-11.57,68.79
2010-01-05,1.26,2.22,-10.11,69.78
2010-01-06,1.2,0.15,-8.05,70.83
2010-01-07,1.15,0.11,-8.99,70.7
2010-01-08,1.11,1.72,-12.56,71.44
2010-01-09,1.05,0,-16.14,71.98
2010-01-10,1.01,0.01,-12.66,71.83
2010-01-11,0.98,0.31,-7.08,71.82
2010-01-12,0.94,0.02,-11.96,71.73
2010-01-13,0.93,0.62,-7.86,71.84
2010-01-14,0.91,0.1,-2.41,72.21
2010-01-15,0.87,0.38,0.2,72.37
2010-01-16,0.85,0.1,-1.51,72.16
2010-01-17,0.84,0.09,-1.69,72.11
2010-01-18,0.81,0.34,-0.61,72.13
2010-01-19,0.79,1.52,-2.07,72.28
2010-01-20,0.78,0.08,-5.65,73.17
2010-01-21,0.75,0,-8.37,72.92
2010-01-22,0.71,0,-8.17,72.72
2010-01-23,0.68,0,-8.4,72.42
2010-01-24,0.66,5.92,-1.79,72.09
2010-01-25,1.8,33.24,4.41,61.9
2010-01-26,4.87,2.31,-0.99,57.29
2010-01-27,5.41,0.47,-4.74,57.7
2010-01-28,4.87,0.48,-10.25,57.62
2010-01-29,3.98,0,-19.92,57.34
2010-01-30,3.28,0,-20.03,57.03
2010-01-31,2.74,0.61,-12.02,56.94
2010-02-01,2.44,0.01,-11.71,56.98
2010-02-02,2.13,0.1,-10.41,56.64
2010-02-03,1.93,0.8,-7.21,56.9
2010-02-04,1.76,0,-9.91,56.79
2010-02-05,1.58,0,-10,56.39
2010-02-06,1.4,0.01,-14.08,55.97
2010-02-07,1.3,0.02,-10.98,55.63
2010-02-08,1.2,0.02,-10.06,55.24
2010-02-09,1.11,0.33,-8.17,54.92
2010-02-10,1.05,0.76,-5.34,55.45
2010-02-11,0.99,0,-9.73,55.05
2010-02-12,0.94,0,-12.79,54.64
2010-02-13,0.9,0.75,-10.7,54.47
2010-02-14,0.86,0.18,-6.23,54.78
2010-02-15,0.84,0.09,-6.32,54.46
2010-02-16,0.82,0.09,-6.91,54.15
2010-02-17,0.8,2.63,-3.01,55.12
2010-02-18,0.79,0.19,-3.22,56.16
2010-02-19,0.77,0.11,-3.21,55.76
2010-02-20,0.76,0.76,-2.49,55.77
