DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.35,0.72,7.04,0
2009-10-02,0.36,9.12,9.43,0
2009-10-03,0.63,2.43,14.23,0
2009-10-04,0.69,4.01,12.25,0
2009-10-05,0.64,0.66,11.55,0
2009-10-06,0.74,1.99,11.05,0
2009-10-07,0.87,12.25,11.82,0
2009-10-08,0.87,0.01,10.85,0
2009-10-09,0.81,3.81,11.34,0
2009-10-10,0.88,1.5,9.75,0
2009-10-11,0.84,0.2,7.47,0
2009-10-12,0.72,1.3,6.29,0
2009-10-13,0.72,5.35,5.98,0
2009-10-14,0.72,0,3.72,0
2009-10-15,0.63,0,2.87,0
2009-10-16,0.56,0,2.91,0
2009-10-17,0.51,0,3.63,0
2009-10-18,0.45,0,4.58,0
2009-10-19,0.36,0,6.67,0
2009-10-20,0.35,0.49,10.81,0
2009-10-21,0.35,2.3,8.65,0
2009-10-22,0.36,4.47,8.12,0
2009-10-23,0.39,9.12,3.97,0
2009-10-24,1.27,10.49,10.86,0
2009-10-25,1.87,0.08,8.43,0
2009-10-26,2.02,0,5.96,0
2009-10-27,2.1,0,9.27,0
2009-10-28,2.07,8.45,7.4,0
2009-10-29,2.19,0.02,7.74,0
2009-10-30,2.16,1.42,10.8,0
2009-10-31,2.53,16.53,10.85,0
2009-11-01,3.59,0,7.33,0
2009-11-02,3.85,0.1,7.12,0
2009-11-03,3.64,0.9,7.18,0
2009-11-04,3.06,0.01,3.19,0
2009-11-05,2.48,3.53,3.36,0
2009-11-06,2.08,0.01,1.96,0
2009-11-07,1.73,0,6.13,0
2009-11-08,1.49,0.01,9.06,0
2009-11-09,1.32,0,11.08,0
2009-11-10,1.18,0,8.68,0
2009-11-11,0.99,0,4.8,0
2009-11-12,0.83,0,3.83,0
2009-11-13,0.7,0,4.47,0
2009-11-14,0.63,0.13,6.27,0
2009-11-15,0.56,0.02,8.27,0
2009-11-16,0.5,0,4.55,0
2009-11-17,0.4,0,2.29,0
2009-11-18,0.31,0,4.13,0
2009-11-19,0.28,11.99,6.68,0
2009-11-20,0.43,8.89,7.42,0
2009-11-21,0.61,0.07,7.38,0
2009-11-22,0.65,0.1,5.83,0
2009-11-23,0.65,0,4.73,0
2009-11-24,0.68,0.3,4.87,0
2009-11-25,0.74,3.31,7.94,0
2009-11-26,0.89,1.05,7.39,0
2009-11-27,1.06,5.27,3.91,0.09
2009-11-28,1.19,0.01,4.66,0.09
2009-11-29,1.2,4.55,5.05,0.06
2009-11-30,1.35,2.71,2.84,0.04
2009-12-01,1.49,2.29,2.15,0.6
2009-12-02,1.68,4.1,5.08,0.71
2009-12-03,3.93,15.84,5.94,0.27
2009-12-04,6.74,0.51,2.64,0.16
2009-12-05,7.01,0.03,0.47,0.16
2009-12-06,5.61,0.05,-0.53,0.18
2009-12-07,4.27,4.15,0.13,1.5
2009-12-08,3.37,0.07,-1.33,3.82
2009-12-09,2.62,23.85,0.8,13.97
2009-12-10,2.7,1.41,-1.29,18.07
2009-12-11,2.64,0.19,-6.14,17.8
2009-12-12,2.59,0.01,-4.01,17.44
2009-12-13,2.5,4.67,0.32,18.68
2009-12-14,2.45,3.53,0.48,20.07
2009-12-15,2.37,1.32,-0.51,18.91
2009-12-16,2.05,0.45,-7.27,18.45
2009-12-17,1.78,0.03,-13.74,18.25
2009-12-18,1.51,0.01,-11.5,18.02
2009-12-19,1.35,0.01,-10.26,17.74
2009-12-20,1.19,0,-8.1,17.3
2009-12-21,1.08,0.04,-9.37,16.99
2009-12-22,0.94,0.08,-13.31,16.71
2009-12-23,0.86,0.46,-10.14,16.8
2009-12-24,0.78,0.01,-5,16.7
2009-12-25,0.76,0.97,-2.01,16.56
2009-12-26,0.92,22.65,0.89,17.49
2009-12-27,2.05,2.6,0.35,18.49
2009-12-28,3.78,3.6,-2.06,19.96
2009-12-29,2.48,0.43,-16.09,21.26
2009-12-30,1.94,0.06,-9.37,21
2009-12-31,1.67,1.94,-0.92,21.34
2010-01-01,1.86,2.35,-0.27,23.74
2010-01-02,1.86,2.31,-11.85,25.88
2010-01-03,1.72,5.46,-11.81,29.44
2010-01-04,1.59,0.8,-9.82,31.93
2010-01-05,1.48,2.06,-9.11,32.95
2010-01-06,1.39,0.23,-6.43,34.02
2010-01-07,1.29,0.39,-7.36,34.19
2010-01-08,1.2,1.86,-10.84,34.96
2010-01-09,1.1,0,-14.62,35.67
2010-01-10,1.01,0,-12.86,35.53
2010-01-11,0.94,0.23,-5.6,35.37
2010-01-12,0.88,0.05,-9.91,35.3
2010-01-13,0.86,0.53,-7.91,35.35
2010-01-14,0.86,0.11,-1.02,35.65
2010-01-15,0.87,0.16,1.14,34.94
2010-01-16,0.88,0.05,-0.38,34.26
2010-01-17,0.89,0.05,-0.06,33.7
2010-01-18,0.87,0.22,0.41,32.36
2010-01-19,0.85,1.15,-0.73,31.74
2010-01-20,0.8,0.26,-2.61,32.29
2010-01-21,0.72,0,-5.26,31.97
2010-01-22,0.64,0,-5.96,31.59
2010-01-23,0.55,0,-5.64,31.14
2010-01-24,0.51,6.12,-0.57,30.2
2010-01-25,8.63,29.66,4.7,17.62
2010-01-26,25.25,0.92,-0.47,12.95
