DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,0.42,6.31,0
2009-10-02,NA,0.17,7.01,0
2009-10-03,NA,7.65,10.02,0
2009-10-04,NA,2.84,11.67,0
2009-10-05,NA,0.83,10.24,0
2009-10-06,NA,0.31,10.34,0
2009-10-07,NA,17.53,10.13,0
2009-10-08,NA,0.17,9.99,0
2009-10-09,NA,8.24,9.29,0
2009-10-10,NA,2.33,7.61,0
2009-10-11,NA,0.27,6.3,0
2009-10-12,NA,0.04,5.21,0
2009-10-13,NA,3.04,4.09,0.1
2009-10-14,NA,0.01,1.83,0.13
2009-10-15,NA,0,0.29,0.12
2009-10-16,NA,0,0.45,0.11
2009-10-17,NA,0,1.32,0.1
2009-10-18,NA,0,1.83,0.09
2009-10-19,NA,0,2.23,0.07
2009-10-20,NA,0.81,7.39,0.04
2009-10-21,NA,0.5,5.56,0.02
2009-10-22,NA,9.93,1.15,1.74
2009-10-23,NA,0.98,0.97,3.6
2009-10-24,NA,16.09,5.6,2.68
2009-10-25,NA,0.11,6.68,0.88
2009-10-26,NA,0.01,2.76,0.58
2009-10-27,NA,0.35,5.41,0.47
2009-10-28,NA,0.57,4.45,0.25
2009-10-29,NA,0,4.81,0.14
2009-10-30,NA,4.98,6.34,0.08
2009-10-31,NA,10.91,10.06,0.01
2009-11-01,NA,0.02,5.97,0
2009-11-02,NA,0,3.2,0
2009-11-03,NA,2.44,4.11,0
2009-11-04,NA,0,0.79,0
2009-11-05,NA,0.58,-0.46,0.13
2009-11-06,NA,0.26,0.64,0.68
2009-11-07,NA,0,0.1,0.65
2009-11-08,NA,0.05,6.66,0.38
2009-11-09,NA,0.01,8.91,0.15
2009-11-10,NA,0,7,0.02
2009-11-11,NA,0,2.87,0.01
2009-11-12,NA,0.01,0.61,0.01
2009-11-13,NA,0,1.17,0.01
2009-11-14,NA,9.24,2.99,0.01
2009-11-15,NA,0.14,7.83,0
2009-11-16,NA,0,4.5,0
2009-11-17,NA,0,1.02,0
2009-11-18,NA,0,0.15,0
2009-11-19,NA,0.01,0.86,0.01
2009-11-20,NA,12,3.9,0.01
2009-11-21,NA,0.04,5,0.01
2009-11-22,NA,0,1.29,0.01
2009-11-23,NA,0,0.1,0.01
2009-11-24,NA,0.07,0.59,0.01
2009-11-25,NA,3.5,3.54,0.01
2009-11-26,NA,2.09,6.54,0
2009-11-27,NA,4.16,4.59,0
2009-11-28,NA,3.09,3.13,0
2009-11-29,NA,1.86,1.66,0.12
2009-11-30,NA,5.55,-0.53,5.93
2009-12-01,NA,0.07,-1.83,6.56
2009-12-02,NA,0.01,0.27,6.05
2009-12-03,NA,22.65,3.05,4.28
2009-12-04,NA,0.24,1.81,2.75
2009-12-05,NA,0,-1.15,2.66
2009-12-06,NA,0.2,-2.21,2.63
2009-12-07,NA,0.1,-3.26,2.62
2009-12-08,NA,0.19,-4.56,2.77
2009-12-09,NA,27.2,-6.22,12.38
2009-12-10,NA,2.56,-3.46,31.63
2009-12-11,NA,0.12,-9.11,31.45
2009-12-12,NA,0,-10.89,31.08
2009-12-13,NA,6.16,-6.04,33
2009-12-14,NA,1.62,-3.86,37.29
2009-12-15,NA,3.94,-3.21,41.63
2009-12-16,NA,0.24,-14.59,42.31
2009-12-17,NA,0,-20.64,42.26
2009-12-18,NA,0,-17.77,42.15
2009-12-19,NA,0,-15.6,42
2009-12-20,NA,0,-12.17,41.82
2009-12-21,NA,0.02,-11.91,41.59
2009-12-22,NA,1.81,-12.7,41.7
2009-12-23,NA,2.77,-7.32,44.74
2009-12-24,NA,0.03,-2.85,45.62
2009-12-25,NA,0.03,-6.12,45.51
2009-12-26,NA,8.25,-4.47,46.67
2009-12-27,NA,14.38,-0.4,61.93
2009-12-28,NA,0.93,-3.4,64.16
2009-12-29,NA,0.92,-15.24,64.99
2009-12-30,NA,0.01,-16.41,64.98
2009-12-31,NA,0.61,-8.62,65.18
2010-01-01,NA,4.27,-5.02,67.82
2010-01-02,NA,2.76,-4.89,71.04
2010-01-03,NA,4.86,-1.44,75.93
2010-01-04,NA,0.42,-3.67,76.29
2010-01-05,NA,1.89,-3.14,77.95
2010-01-06,NA,0.56,-3.79,78.16
2010-01-07,NA,0.1,-6.75,78.18
2010-01-08,NA,0.23,-8.98,78.07
2010-01-09,NA,0,-14.69,77.89
2010-01-10,NA,0.03,-15.93,77.72
2010-01-11,NA,0.48,-6.92,77.98
2010-01-12,NA,0,-13.43,77.89
2010-01-13,NA,0.49,-15.26,77.95
2010-01-14,NA,0.15,-11.6,78.18
2010-01-15,NA,0.8,-0.03,78.86
2010-01-16,NA,0.5,-0.76,78.92
2010-01-17,NA,0.25,-7.27,78.88
2010-01-18,NA,0.67,-4.36,78.98
2010-01-19,NA,1.8,-3.38,79.92
2010-01-20,NA,0.75,-3.77,81.63
2010-01-21,NA,0.01,-6.9,81.54
2010-01-22,NA,0,-8.94,81.33
2010-01-23,NA,0,-10.99,81.07
2010-01-24,NA,0.08,-8.49,80.93
2010-01-25,NA,44.59,4.37,76.09
2010-01-26,NA,1.72,0.48,64.95
2010-01-27,NA,0.61,-3.29,65.43
2010-01-28,NA,3.37,-5.57,66.79
2010-01-29,NA,0.74,-18.08,68.46
2010-01-30,NA,0.03,-18.81,68.31
2010-01-31,NA,0.4,-14.27,68.16
2010-02-01,NA,0.18,-12.66,68.35
2010-02-02,NA,0,-15.69,67.98
2010-02-03,NA,0.16,-11.28,67.85
2010-02-04,NA,0,-11.64,67.64
2010-02-05,NA,0,-12.36,67.26
2010-02-06,NA,0,-13.88,66.94
2010-02-07,NA,0.6,-9.97,66.75
2010-02-08,NA,0.38,-7.98,66.9
2010-02-09,NA,0.05,-5.27,66.62
2010-02-10,NA,0,-5.18,66.23
2010-02-11,NA,0.01,-6.7,65.69
2010-02-12,NA,0.06,-8.27,65.29
2010-02-13,NA,0.01,-5.79,64.91
2010-02-14,NA,0.62,-5.94,64.56
