DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,1.33,1.27,5.32,0
2009-10-02,1.26,0.07,5.73,0
2009-10-03,1.19,15.57,8.31,0
2009-10-04,1.31,0.28,10.96,0
2009-10-05,1.29,6.83,8.81,0
2009-10-06,1.43,1.39,7.84,0
2009-10-07,1.63,14.77,7.4,0
2009-10-08,1.96,1.41,6.9,0
2009-10-09,2.3,6.68,7.48,0
2009-10-10,2.98,3.72,6.2,0
2009-10-11,2.73,1.81,4.4,0
2009-10-12,2.36,0,3.75,0
2009-10-13,2.08,4.62,1.86,1.05
2009-10-14,1.89,0.17,0.19,1.5
2009-10-15,1.65,0.03,-0.83,1.5
2009-10-16,1.48,0,-0.46,1.41
2009-10-17,1.34,0,0.31,1.29
2009-10-18,1.18,0,0.7,1.13
2009-10-19,1.09,0,1.21,0.96
2009-10-20,0.99,0.78,4.82,0.7
2009-10-21,0.86,0.01,3.09,0.37
2009-10-22,0.92,17.33,0.85,4.58
2009-10-23,1.16,0.04,-0.32,7.33
2009-10-24,2.12,23.18,4.42,5.83
2009-10-25,2.91,3.03,6.14,1.79
2009-10-26,3.38,0,1.19,1.23
2009-10-27,3.33,0.24,4.38,1.1
2009-10-28,2.83,0,4.51,0.71
2009-10-29,2.33,0,4.14,0.44
2009-10-30,1.96,1.09,6.23,0.26
2009-10-31,1.77,9.67,10.65,0.05
2009-11-01,1.74,0.34,5.35,0.01
2009-11-02,1.52,0,2.55,0
2009-11-03,1.46,2.92,2.55,0.01
2009-11-04,1.39,0.07,-0.74,0.11
2009-11-05,1.25,1.06,-0.51,0.48
2009-11-06,1.15,0.2,-0.92,1.26
2009-11-07,1.07,0,-0.45,1.28
2009-11-08,1.03,0.05,6.25,0.85
2009-11-09,0.96,0.18,8.61,0.37
2009-11-10,0.92,0.22,6.54,0.06
2009-11-11,0.85,0,2.27,0.04
2009-11-12,0.79,0,1.12,0.03
2009-11-13,0.71,0,1.84,0.03
2009-11-14,0.78,24.34,4.89,0.02
2009-11-15,1.64,5.41,8.57,0.01
2009-11-16,1.83,0.4,3.63,0
2009-11-17,2.35,0,0.61,0
2009-11-18,2.38,0,0.45,0
2009-11-19,2.09,0,2.26,0
2009-11-20,2.21,17.34,5.02,0
2009-11-21,2.57,0.98,3.58,0
2009-11-22,3.11,0,0.84,0
2009-11-23,3.37,0,1.07,0
2009-11-24,2.96,0,1.18,0
2009-11-25,2.44,0.86,4.07,0
2009-11-26,2.12,1.69,6.25,0
2009-11-27,1.95,22.73,2.99,3.13
2009-11-28,2.95,14.26,0.65,24.78
2009-11-29,3.54,0.34,-1.23,25.38
2009-11-30,4.02,8.68,-1.48,32.06
2009-12-01,3.75,0.24,-4.11,33.68
2009-12-02,3.18,0.04,-0.45,33.35
2009-12-03,7.3,34.51,3.09,27.33
2009-12-04,10.34,1.34,0.73,21.36
2009-12-05,11.19,0.16,-2.31,20.83
2009-12-06,8.89,0.67,-3.65,20.78
2009-12-07,6.04,0.11,-5.05,20.58
2009-12-08,4.19,0.42,-6.96,20.6
2009-12-09,2.98,13.5,-7.31,25.23
2009-12-10,2.35,7.08,-3.76,39.02
2009-12-11,1.88,0.64,-10.23,40.57
2009-12-12,1.6,0.19,-11.83,40.52
2009-12-13,1.46,6.11,-4.05,41.84
2009-12-14,1.34,0.32,-3.47,46.33
2009-12-15,1.23,6.1,-2.52,50.19
2009-12-16,1.14,0.62,-16.42,52.75
2009-12-17,1.06,0.06,-22.14,52.67
2009-12-18,1,0.02,-19.56,52.61
2009-12-19,0.94,0,-17.85,52.49
2009-12-20,0.89,0.02,-14.66,52.39
2009-12-21,0.85,0.89,-12.54,52.55
2009-12-22,0.82,6.58,-13.69,54.8
2009-12-23,0.79,6.41,-11.66,63.48
2009-12-24,0.77,0.05,-4.36,65.82
2009-12-25,0.75,0.06,-6.58,65.76
2009-12-26,0.74,0.37,-5.32,65.65
2009-12-27,0.97,21.12,1.38,66.69
2009-12-28,1.49,5.37,-3.11,66.54
2009-12-29,2.27,0.8,-14.58,70.66
2009-12-30,1.92,0.03,-19.32,70.69
2009-12-31,1.68,0.28,-8.71,70.74
2010-01-01,1.51,5.42,-4.16,73.86
2010-01-02,1.4,7.69,-7.28,77.81
2010-01-03,1.32,7.43,-1.45,89.72
2010-01-04,1.25,2.31,-4.74,91.31
2010-01-05,1.19,2.06,-7.56,94.25
2010-01-06,1.15,3.87,-5.7,96.21
2010-01-07,1.1,0.64,-6.89,98.82
2010-01-08,1.05,0.11,-11,98.9
2010-01-09,1.02,0.05,-16.01,98.89
2010-01-10,0.98,0.04,-17.5,98.77
2010-01-11,0.94,1.22,-9.23,99.6
2010-01-12,0.91,0.13,-14.68,99.91
2010-01-13,0.88,0,-17.78,99.79
2010-01-14,0.86,0.03,-12.84,99.75
2010-01-15,0.83,2.25,-1.24,101.41
2010-01-16,0.81,3.54,-2.77,103.66
2010-01-17,0.79,0.04,-7.86,105.18
2010-01-18,0.77,0.78,-4.6,105.13
2010-01-19,0.76,0.45,-3.81,105.93
2010-01-20,0.74,0.95,-6.04,106.37
2010-01-21,0.73,0.03,-8.67,106.74
2010-01-22,0.72,0,-9.96,106.67
2010-01-23,0.71,0,-13.5,106.52
2010-01-24,0.7,0,-6.92,106.35
2010-01-25,1.73,20.31,5.18,101.24
2010-01-26,2.29,5.35,-0.48,89.82
2010-01-27,2.01,2.51,-4.43,94.75
2010-01-28,1.79,3.88,-6.47,96.06
2010-01-29,1.6,4.23,-17.37,101.26
2010-01-30,1.45,0.2,-20.54,102.8
2010-01-31,1.32,0.31,-16.89,102.86
2010-02-01,1.21,1.78,-14.26,104.42
2010-02-02,1.12,0,-19.58,104.45
2010-02-03,1.04,0.24,-13.63,104.39
2010-02-04,0.98,0.22,-13.75,104.61
2010-02-05,0.93,0.01,-15.67,104.45
2010-02-06,0.89,0.01,-17.48,104.31
2010-02-07,0.85,1.14,-12.49,104.64
2010-02-08,0.82,0.79,-9.2,105.7
2010-02-09,0.8,0.15,-7.19,105.99
2010-02-10,0.78,0,-7.59,105.82
2010-02-11,0.76,0.14,-8.21,105.62
2010-02-12,0.74,0.22,-9.33,105.58
2010-02-13,0.72,0.1,-8.35,105.52
2010-02-14,0.71,1.5,-6.94,106.01
2010-02-15,0.69,0.67,-7.07,107.06
2010-02-16,0.68,0.07,-6.09,107.03
2010-02-17,0.67,0.49,-4.26,107.23
2010-02-18,0.66,2.53,-1.63,108.15
2010-02-19,0.65,3.69,-4.24,111.7
2010-02-20,0.64,0.6,-2.84,113.08
2010-02-21,0.63,0.78,-4.72,113.42
2010-02-22,0.62,0.73,-1.09,114.15
2010-02-23,0.62,0.13,-0.69,114.11
2010-02-24,0.61,9.62,-0.41,117.63
2010-02-25,0.62,9.52,0.33,128.62
2010-02-26,0.66,13.11,0.35,139.96
2010-02-27,0.68,5.34,1.55,145.91
2010-02-28,0.7,3.18,0.32,148.16
2010-03-01,0.71,0.8,0.08,148.49
2010-03-02,0.74,0.01,-1.85,147.89
2010-03-03,0.77,0,-3.64,147.37
2010-03-04,0.75,0,-4.26,146.81
2010-03-05,0.77,0,-5.8,146.19
2010-03-06,0.77,0,-3.71,145.69
2010-03-07,0.75,0.01,-0.48,145.24
2010-03-08,0.74,0.06,-0.37,144.83
2010-03-09,0.73,0.03,-4.54,143.88
2010-03-10,0.76,0,-4.81,143.35
2010-03-11,0.73,0,-2.06,142.93
2010-03-12,0.73,0,0.14,141.99
2010-03-13,0.75,0,1.11,140.79
2010-03-14,0.81,0,1.74,139.46
2010-03-15,0.88,0,2.33,137.9
2010-03-16,1.03,0,3.16,134.04
2010-03-17,1.32,0,3.17,127.57
2010-03-18,1.93,0.08,3.94,117.78
2010-03-19,3.07,0.04,3.97,108.51
2010-03-20,4.69,0.42,1.91,96.99
2010-03-21,4.98,3.06,-1.82,94.49
2010-03-22,4.71,0.19,2.04,95.05
2010-03-23,4.19,32.32,-0.12,105.53
2010-03-24,3.66,9.19,-0.64,122.81
2010-03-25,3.31,1.64,0.76,123.14
2010-03-26,3.26,0.06,-10.69,120.63
2010-03-27,2.91,0,-9.52,119.92
2010-03-28,2.66,0.5,-0.97,119.46
2010-03-29,3.8,28.2,1.76,126.44
2010-03-30,5.07,1.39,1.31,123.76
2010-03-31,6.02,4.17,2.37,115.6
2010-04-01,7.46,0,5.33,103.45
2010-04-02,9.78,0,9,80.93
2010-04-03,13.07,0,13.37,42.46
2010-04-04,14.85,0,11.43,18.23
2010-04-05,13.16,2.46,9.69,9.95
2010-04-06,10.81,0.01,9.56,4.28
2010-04-07,8.72,6.23,8.16,2.22
2010-04-08,6.94,2.74,5.28,1.37
2010-04-09,5.75,7.77,5.09,0.84
2010-04-10,4.62,0.81,3.52,1.29
2010-04-11,3.66,1.1,4.07,1.13
2010-04-12,3,0.02,3.34,0.86
2010-04-13,2.53,0,4.44,0.64
2010-04-14,2.18,0.18,5.11,0.44
2010-04-15,1.89,0,3.62,0.32
2010-04-16,1.68,5.22,3.4,0.85
2010-04-17,1.74,15.66,0.94,12.72
2010-04-18,1.87,5.41,0.64,16.36
2010-04-19,2.07,1.12,4.64,11.96
2010-04-20,2.46,0.27,8.44,5.15
2010-04-21,2.74,0.74,8.08,2.07
2010-04-22,2.73,3.38,7.93,0.79
2010-04-23,2.44,0.85,6.62,0.3
2010-04-24,2.11,3.72,8.12,0.15
2010-04-25,1.98,0.65,7.68,0.06
2010-04-26,1.7,1.54,7.46,0.04
2010-04-27,1.62,19.16,0.66,9.47
2010-04-28,1.95,6.66,2.65,20.74
2010-04-29,2.42,1,3.06,18.12
2010-04-30,2.85,0,7.86,12.25
2010-05-01,2.85,9.74,11.74,4.78
2010-05-02,2.61,2.5,17.9,0.75
2010-05-03,2.71,10.98,17.44,0.02
2010-05-04,2.88,2.02,14.08,0
2010-05-05,3.83,0.78,13.08,0
2010-05-06,3.58,15.33,11.4,0
2010-05-07,3.35,0.01,7.09,0
2010-05-08,2.91,5.72,5.72,0
2010-05-09,3.11,8.81,2.82,0.77
2010-05-10,3.14,0.07,1.72,1.54
2010-05-11,2.92,0.08,5.12,1.23
2010-05-12,2.61,0,6.33,0.7
2010-05-13,2.27,0,7.62,0.39
2010-05-14,1.96,1.73,9.76,0.17
2010-05-15,1.71,5.49,9.14,0.05
2010-05-16,1.52,0,10.59,0.02
2010-05-17,1.37,0,13.02,0.01
2010-05-18,1.25,0,16.26,0
2010-05-19,1.13,0.02,13.67,0
2010-05-20,1.01,0.43,14.66,0
2010-05-21,0.88,0,12.08,0
2010-05-22,0.79,0,16.56,0
2010-05-23,0.72,0,19.83,0
2010-05-24,0.64,0.15,20.3,0
2010-05-25,0.59,0.12,23.17,0
2010-05-26,0.55,0.43,22.14,0
2010-05-27,0.49,0,15.59,0
2010-05-28,0.46,0,15.09,0
2010-05-29,0.45,4.3,16.6,0
2010-05-30,0.42,0.88,14.64,0
2010-05-31,0.38,0.25,13.62,0
2010-06-01,0.43,7.23,15.54,0
2010-06-02,0.46,3.09,17.72,0
2010-06-03,0.5,11.4,14.99,0
2010-06-04,0.55,2.85,16.31,0
2010-06-05,0.51,10.38,15.58,0
2010-06-06,0.61,13.92,10.25,0
2010-06-07,0.93,3.19,11.19,0
2010-06-08,0.81,1.23,11.09,0
2010-06-09,0.84,0.01,13.7,0
2010-06-10,0.82,1.91,12.68,0
2010-06-11,0.75,0.05,14.15,0
2010-06-12,0.66,0.58,15.98,0
2010-06-13,0.57,0.08,17.53,0
2010-06-14,0.51,0.8,13.74,0
2010-06-15,0.45,0,13.39,0
2010-06-16,0.4,4.41,14.55,0
2010-06-17,0.38,3.35,16.28,0
2010-06-18,0.36,0,19.94,0
2010-06-19,0.33,11.23,21.03,0
2010-06-20,0.46,14.79,19.13,0
2010-06-21,0.41,0,17.95,0
2010-06-22,0.42,0.02,19.14,0
2010-06-23,0.48,2.13,18.61,0
2010-06-24,0.8,16.49,18.18,0
2010-06-25,0.63,0,15.83,0
2010-06-26,0.53,5.69,15.49,0
2010-06-27,0.63,0.28,17.18,0
2010-06-28,0.65,29.44,17.54,0
2010-06-29,1.03,2.05,16.19,0
2010-06-30,1.03,5.73,12.45,0
2010-07-01,1.06,2.24,12.75,0
2010-07-02,1.05,1,15.6,0
2010-07-03,0.94,0.39,19.74,0
2010-07-04,0.8,0.62,21.2,0
2010-07-05,0.68,0.78,23.88,0
2010-07-06,0.61,1.34,25.03,0
2010-07-07,0.54,0.29,26.02,0
2010-07-08,0.5,0.77,26.09,0
2010-07-09,0.48,24.05,24.14,0
2010-07-10,0.98,16.68,21.02,0
2010-07-11,1.18,0.78,22.05,0
2010-07-12,1.69,0.81,22.43,0
2010-07-13,1.78,4.05,21.83,0
2010-07-14,1.6,3.41,21.3,0
2010-07-15,1.2,0,22.77,0
2010-07-16,0.95,6.1,21.75,0
2010-07-17,0.77,3.15,21.75,0
2010-07-18,0.65,1.65,19.61,0
2010-07-19,0.62,15.85,17.6,0
2010-07-20,0.67,0.27,19.2,0
2010-07-21,0.6,7.49,19.5,0
2010-07-22,0.68,0.52,19.17,0
2010-07-23,0.72,0.56,19.31,0
2010-07-24,0.79,1.64,20.26,0
2010-07-25,1.14,4.75,19.21,0
2010-07-26,1.02,0.33,17.87,0
2010-07-27,0.94,0,19.67,0
2010-07-28,0.86,8.62,21.22,0
2010-07-29,0.74,3.24,17.13,0
2010-07-30,0.63,0.79,13.81,0
2010-07-31,0.55,0.15,15.8,0
2010-08-01,0.47,0.03,17.65,0
2010-08-02,0.42,12.21,19.21,0
2010-08-03,0.38,29.36,18.99,0
2010-08-04,0.37,17.32,20.74,0
2010-08-05,0.35,3.21,21.7,0
2010-08-06,0.35,2.17,16.33,0
2010-08-07,0.33,0.03,12.96,0
2010-08-08,0.31,8.5,16.22,0
2010-08-09,0.34,7.32,18.92,0
2010-08-10,0.31,3.04,18.79,0
2010-08-11,0.32,0.06,17.55,0
2010-08-12,0.31,0,16.96,0
2010-08-13,0.31,0.36,18.41,0
2010-08-14,0.3,0.92,19.78,0
2010-08-15,0.28,0.07,21.1,0
2010-08-16,0.36,10.27,19.14,0
2010-08-17,0.4,1.44,18.79,0
2010-08-18,0.35,0.01,17.54,0
2010-08-19,0.39,1.9,18.52,0
2010-08-20,0.39,0.48,14.7,0
2010-08-21,0.37,0.02,15.42,0
2010-08-22,0.34,2.45,15.48,0
2010-08-23,0.31,0.16,17.16,0
2010-08-24,0.28,0,17.52,0
2010-08-25,0.26,2.32,15.34,0
2010-08-26,0.25,5.01,16.14,0
2010-08-27,0.23,0.95,14.06,0
2010-08-28,0.22,2.06,16.69,0
2010-08-29,0.22,0,21.31,0
2010-08-30,0.2,0,21.75,0
2010-08-31,0.2,0.61,23.78,0
2010-09-01,0.19,0.15,24.3,0
2010-09-02,0.18,15.36,22.17,0
2010-09-03,0.17,0.58,23.64,0
2010-09-04,0.17,5.26,18.39,0
2010-09-05,0.17,1.91,12.63,0
2010-09-06,0.14,8.63,13.82,0
2010-09-07,0.16,9.02,15.86,0
2010-09-08,0.27,21.31,15.78,0
2010-09-09,0.38,2.73,12.06,0
2010-09-10,0.48,0.36,12.26,0
2010-09-11,0.63,0,13.55,0
2010-09-12,0.69,0.19,13.23,0
2010-09-13,0.67,13.23,12.19,0
2010-09-14,0.67,14.41,11.75,0
2010-09-15,0.74,1.73,10,0
2010-09-16,0.66,10.07,9.12,0
2010-09-17,0.84,1.68,10.2,0
2010-09-18,0.84,0.79,11.95,0
2010-09-19,0.93,1.49,12.55,0
2010-09-20,0.93,0,10.47,0
2010-09-21,0.86,1,9.87,0
2010-09-22,0.78,3.04,15.93,0
2010-09-23,0.65,0.01,10.38,0
2010-09-24,0.65,24.75,12.86,0
2010-09-25,0.8,3.09,15.27,0
2010-09-26,0.79,0.32,9.39,0
2010-09-27,0.96,8.25,13.23,0
2010-09-28,1.89,15.04,17.39,0
2010-09-29,2.47,3.99,15.41,0
2010-09-30,3.06,35.88,14.59,0
2010-10-01,6.9,45.48,12.34,0
2010-10-02,8.91,0.02,8.35,0
2010-10-03,9.18,0,6.9,0
2010-10-04,6.92,0,7.63,0
2010-10-05,4.66,0,10.27,0
2010-10-06,3.27,13.57,9.81,0
2010-10-07,3.76,11.88,8.13,0
2010-10-08,3.63,1.51,8.61,0
2010-10-09,3.69,0.01,4.94,0
2010-10-10,3.38,0.05,5.99,0
2010-10-11,2.78,0,5.59,0
2010-10-12,2.26,0,5.25,0
2010-10-13,1.87,0,5.9,0
2010-10-14,1.57,0.01,7.87,0
2010-10-15,1.69,37.57,4.35,1.99
2010-10-16,7.51,5.22,5.05,3
2010-10-17,5.88,0.67,5.39,1.53
2010-10-18,4.43,0.59,3.64,0.91
2010-10-19,3.74,0.03,3.42,0.73
2010-10-20,3,0.18,6.73,0.43
2010-10-21,2.52,8.9,5.19,0.21
2010-10-22,2.5,0.88,1.83,0.46
2010-10-23,2.26,0,1.09,0.6
2010-10-24,2.12,0.01,1.31,0.54
2010-10-25,2.01,9.16,6.28,0.36
2010-10-26,2.02,1.39,10.94,0.1
2010-10-27,1.96,7.27,12.56,0.01
2010-10-28,1.91,0.89,10.45,0
2010-10-29,1.79,3.89,4.41,0.05
2010-10-30,1.68,2.01,0.09,1.16
2010-10-31,1.57,1.98,-0.49,4.1
2010-11-01,1.44,0.92,0.27,4.41
2010-11-02,1.34,0,-0.25,4.25
2010-11-03,1.24,0,0.17,3.83
2010-11-04,1.18,10.01,1.42,3.77
2010-11-05,2.61,12.43,1.67,5.35
2010-11-06,3.21,0.38,1.05,4.13
2010-11-07,3.75,0.02,-0.32,3.9
2010-11-08,3.72,20.84,0.81,7.86
2010-11-09,4.25,4.28,3.71,5.22
2010-11-10,3.87,0,1.83,3.96
2010-11-11,3.62,0,1.58,3.55
2010-11-12,3.08,0,3.13,2.96
2010-11-13,2.54,0,3.15,2.23
2010-11-14,2.12,0,3.2,1.69
2010-11-15,1.86,2.72,4.04,1.09
2010-11-16,1.65,0.14,4.51,0.63
2010-11-17,2.43,26.26,5.8,0.33
2010-11-18,3.81,2.76,1.33,0.97
2010-11-19,4.54,0.01,-3.11,1.04
2010-11-20,4.53,4.53,-1.88,3.51
2010-11-21,3.68,0,-5.48,4.96
2010-11-22,3,8.74,0.03,8.85
2010-11-23,3.56,9.28,4.3,6.64
2010-11-24,4.09,1.85,-3.38,5.29
2010-11-25,3.96,0.01,-6.72,5.27
