DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,1.13,9.18,9.33,0
2009-10-02,1.19,2.87,7.07,0
2009-10-03,1.01,0.69,7.28,0
2009-10-04,1.01,28.03,6.34,0
2009-10-05,3.14,27.14,7.34,0
2009-10-06,3.99,5.4,4.52,0
2009-10-07,3,3.34,4.17,0
2009-10-08,2.47,3.27,4.13,0
2009-10-09,2.17,2.52,5.52,0
2009-10-10,2.33,10.66,4.1,0
2009-10-11,2.7,1.4,1.87,0.09
2009-10-12,2.22,1.79,1.17,1.24
2009-10-13,1.89,0.57,-0.07,1.48
2009-10-14,1.71,2.57,-0.44,2.51
2009-10-15,1.54,1.19,-1.04,4.07
2009-10-16,1.41,0.01,-1.65,4.13
2009-10-17,1.29,0.04,-1.43,3.83
2009-10-18,1.21,0,-1.2,3.51
2009-10-19,1.14,0.01,-0.3,3.15
2009-10-20,1.09,2.27,0.61,3.22
2009-10-21,1.1,1.22,0.33,3.44
2009-10-22,1.06,6.12,-1.15,4.91
2009-10-23,1.03,0.67,-3.26,10
2009-10-24,0.96,9.34,-2.34,10.69
2009-10-25,1.34,4.33,2.26,9.22
2009-10-26,1.84,0.33,-1.53,7.47
2009-10-27,1.52,1.5,-3.67,7.59
2009-10-28,1.37,0,-2.46,8.24
2009-10-29,1.26,0,-2.11,7.66
2009-10-30,1.18,0.03,0.13,7
2009-10-31,1.26,8.49,6.42,4.31
2009-11-01,3.53,0.13,2.57,1.15
2009-11-02,2.6,0,-0.62,1.08
2009-11-03,2.08,0.71,-0.43,1.12
2009-11-04,1.89,3.02,-1.75,3.54
2009-11-05,1.69,0.16,-4.42,4.48
2009-11-06,1.52,0.63,-4.55,4.63
2009-11-07,1.44,0.32,-4.51,4.94
2009-11-08,1.35,1.03,1.71,5.31
2009-11-09,1.29,0.3,2.84,4.74
2009-11-10,1.25,1.25,1.28,4.64
2009-11-11,1.23,0.32,-0.79,4.93
2009-11-12,1.15,0,0.39,4.68
2009-11-13,1.09,0,0.76,4.13
2009-11-14,1.04,0.18,1.72,3.59
2009-11-15,1.02,11.13,3.71,2.51
2009-11-16,1.1,1.21,1.76,1.7
2009-11-17,1.08,0.03,-2.02,2.1
2009-11-18,0.99,0,0.69,2.02
2009-11-19,0.95,0,1.42,1.83
2009-11-20,0.92,10.88,1.51,1.62
2009-11-21,1.62,12.55,0.5,6.47
2009-11-22,1.83,0.01,-2.31,7.07
2009-11-23,1.48,0,-2.3,6.81
2009-11-24,1.33,0,-1.41,6.36
2009-11-25,1.24,0.1,-0.78,5.84
2009-11-26,1.22,5.71,1.07,5.14
2009-11-27,1.28,8.28,0.29,4.78
2009-11-28,2.12,16.35,-0.22,7.58
2009-11-29,2.2,1.13,-2.74,9.61
2009-11-30,1.83,2.53,-4.38,10.47
2009-12-01,1.6,1.42,-6.58,12.79
2009-12-02,1.48,0.92,-6.81,13.58
2009-12-03,1.4,14.8,-4.2,18.03
2009-12-04,1.31,1.65,-2.65,29.49
2009-12-05,1.24,0.64,-5.39,30.13
2009-12-06,1.17,0.62,-8.18,30.3
2009-12-07,1.11,2.42,-9.2,32.19
2009-12-08,1.06,1.45,-10.55,33.45
2009-12-09,1.01,2.8,-9.67,34.53
2009-12-10,0.97,14.57,-4.22,47.03
2009-12-11,0.93,8.66,-10.62,56
2009-12-12,0.9,3.48,-14.09,61.57
2009-12-13,0.86,1.03,-13.66,63.02
2009-12-14,0.83,0.96,-8.36,64.24
2009-12-15,0.81,4.67,-8.86,66.89
2009-12-16,0.78,7.58,-10.19,73.51
2009-12-17,0.76,6.97,-16.05,80.77
2009-12-18,0.74,4.07,-14.19,84.59
2009-12-19,0.72,1.59,-10.16,88.4
2009-12-20,0.71,1.35,-8.96,89.11
2009-12-21,0.69,5.08,-1.97,93.33
2009-12-22,0.67,1.98,-0.35,96.46
2009-12-23,0.66,0.53,-1.28,97.18
2009-12-24,0.65,0.25,-4.92,97.24
2009-12-25,0.63,0.2,-6.62,97.4
2009-12-26,0.62,0.03,-8.44,97.4
2009-12-27,0.61,12.48,-5.98,99.9
2009-12-28,0.74,1.73,-2.34,111.08
2009-12-29,0.64,7.79,-9.87,114.23
2009-12-30,0.59,1.57,-18.55,119.69
2009-12-31,0.56,0.07,-16.94,120.27
2010-01-01,0.62,0.04,-13.3,120.29
2010-01-02,0.69,5.01,-8.08,121.44
2010-01-03,0.77,9.89,-1.6,130.02
2010-01-04,0.76,7.6,-1.08,140.41
2010-01-05,0.74,6.55,-2.26,146.16
2010-01-06,0.7,5.15,-1.97,152.13
2010-01-07,0.63,5.37,-3.35,156.74
2010-01-08,0.58,2.88,-5.74,161.02
2010-01-09,0.55,3.12,-10.55,163.57
2010-01-10,0.53,0.45,-16.84,164.96
2010-01-11,0.51,0.17,-16.6,165.09
2010-01-12,0.5,1.06,-15.13,165.8
2010-01-13,0.49,0.4,-14.46,166.47
2010-01-14,0.49,0.02,-12.54,166.64
2010-01-15,0.48,0.84,-7.36,167.08
2010-01-16,0.48,3.33,-11.25,169.3
2010-01-17,0.47,0.27,-18.38,170.48
2010-01-18,0.47,0.11,-14.47,170.54
2010-01-19,0.47,0.92,-9.75,171.26
2010-01-20,0.47,0.56,-8.38,171.82
2010-01-21,0.46,1.01,-9.47,172.25
2010-01-22,0.46,0.66,-13.43,173.35
2010-01-23,0.46,0.16,-16.29,173.3
2010-01-24,0.46,0,-16.42,173.29
2010-01-25,0.51,9.34,-8.83,175.33
2010-01-26,0.66,12.39,1.92,182.36
2010-01-27,1.08,3.79,-4.93,184.28
2010-01-28,0.92,1.71,-9.88,184.46
2010-01-29,0.8,9.53,-7.38,190.78
2010-01-30,0.71,3.92,-15.26,197.77
2010-01-31,0.64,1.4,-18.76,199.35
2010-02-01,0.58,1.67,-20.4,200.67
2010-02-02,0.54,1.3,-24.6,202.14
