DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,9.84,9.83,0
2009-10-02,NA,5.34,8.45,0
2009-10-03,NA,0.21,7.58,0
2009-10-04,NA,7.12,4.78,0
2009-10-05,NA,32.27,3.69,0.3
2009-10-06,NA,4.73,3.59,1.26
2009-10-07,NA,1.42,4.34,0.84
2009-10-08,NA,4.61,4.76,0.4
2009-10-09,NA,4.15,4.46,0.24
2009-10-10,NA,4.4,4.28,0.13
2009-10-11,NA,1.54,2.61,0.2
2009-10-12,NA,0.66,2.69,0.6
2009-10-13,NA,0.7,1.35,0.61
2009-10-14,NA,0.97,1.06,0.7
2009-10-15,NA,0.19,0.21,0.78
2009-10-16,NA,0.01,-0.54,0.76
2009-10-17,NA,0,-0.71,0.71
2009-10-18,NA,0.01,-0.98,0.67
2009-10-19,NA,0.04,-0.2,0.63
2009-10-20,NA,3.41,0.73,1.54
2009-10-21,NA,0.01,1.63,1.97
2009-10-22,NA,0.05,-0.3,1.87
2009-10-23,NA,0,-1.55,1.81
2009-10-24,NA,6.7,-1.17,2.98
2009-10-25,NA,3.83,2.12,7.12
2009-10-26,NA,0.02,-1.37,5.83
2009-10-27,NA,0,-3.82,5.51
2009-10-28,NA,0,-2.82,5.33
2009-10-29,NA,0,-2.19,5.11
2009-10-30,NA,0,-0.33,4.87
2009-10-31,NA,16.14,4.32,3.78
2009-11-01,NA,0.06,2.75,1.82
2009-11-02,NA,0,-1.11,1.69
2009-11-03,NA,2.08,-0.4,2.48
2009-11-04,NA,0.39,-0.71,3.6
2009-11-05,NA,0.02,-3.62,3.47
2009-11-06,NA,0.16,-3.52,3.49
2009-11-07,NA,1.1,-5.41,3.45
2009-11-08,NA,3.91,0.59,7.35
2009-11-09,NA,0.11,3.08,7
2009-11-10,NA,1.22,1.46,6.59
2009-11-11,NA,0.03,-0.33,5.96
2009-11-12,NA,0,0.61,5.62
2009-11-13,NA,0,0.37,5.13
2009-11-14,NA,0,1.51,4.72
2009-11-15,NA,2.42,2.8,3.92
2009-11-16,NA,1.04,2.13,2.72
2009-11-17,NA,0,-2.11,2.48
2009-11-18,NA,0,-0.02,2.4
2009-11-19,NA,0,1.65,2.23
2009-11-20,NA,1.79,0.63,2.11
2009-11-21,NA,10,1.29,5.66
2009-11-22,NA,0,-1.9,6.09
2009-11-23,NA,0,-2.14,5.89
2009-11-24,NA,0,-2.09,5.61
2009-11-25,NA,0.05,-1.57,5.38
2009-11-26,NA,8.08,-0,8.55
2009-11-27,NA,3.65,0.61,9.79
2009-11-28,NA,17.48,1.03,13.19
2009-11-29,NA,0.94,-1.73,14.15
2009-11-30,NA,0.11,-4.1,14.03
2009-12-01,NA,0,-8.22,13.88
2009-12-02,NA,0.01,-7.65,13.67
2009-12-03,NA,0.24,-7.21,13.44
2009-12-04,NA,2.95,-3.21,14.38
2009-12-05,NA,0.07,-5.32,16.17
2009-12-06,NA,0.02,-10.08,15.98
