DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,0.18,10.26,0
2009-10-02,NA,0.53,6.01,0
2009-10-03,NA,8.7,3.18,0.01
2009-10-04,NA,0,4.94,0.02
2009-10-05,NA,1.46,2.45,0.04
2009-10-06,NA,12.46,3.32,1.5
2009-10-07,NA,2.92,4.38,0.97
2009-10-08,NA,0.23,3.28,0.56
2009-10-09,NA,0.02,1.86,0.53
2009-10-10,NA,5.4,1.65,0.96
2009-10-11,NA,4.04,2.33,4.67
2009-10-12,NA,0.41,1.72,4.28
2009-10-13,NA,0.29,1.56,4
2009-10-14,NA,0.02,0.75,3.72
2009-10-15,NA,0.12,-0.59,3.54
2009-10-16,NA,0.03,-0.35,3.44
2009-10-17,NA,0,0.08,3.28
2009-10-18,NA,0,-0.79,3.12
2009-10-19,NA,0.07,-0.45,2.97
2009-10-20,NA,0.92,-0.28,2.99
2009-10-21,NA,3.45,0.52,5.14
2009-10-22,NA,0.12,0.11,5.52
2009-10-23,NA,0.05,-1.32,5.37
2009-10-24,NA,0,-0.95,5.1
2009-10-25,NA,18.4,-1.11,15.06
2009-10-26,NA,0.94,-1.08,22.98
2009-10-27,NA,0,-6.12,22.27
2009-10-28,NA,0.02,-3.87,21.57
2009-10-29,NA,0.01,-3.11,20.99
2009-10-30,NA,0.01,-3.38,20.5
2009-10-31,NA,9.09,2.73,18.26
2009-11-01,NA,5.28,5.57,8.14
2009-11-02,NA,0,-1.65,6.13
2009-11-03,NA,3.16,-1.62,6.39
2009-11-04,NA,2.12,-0.98,10.68
2009-11-05,NA,0.01,-3.55,10.67
2009-11-06,NA,2.72,-4.96,10.95
2009-11-07,NA,0.19,-5.37,12.89
2009-11-08,NA,5.95,-4.19,15.95
2009-11-09,NA,0.19,0.44,18.4
2009-11-10,NA,0.01,-1.87,17.87
2009-11-11,NA,0.03,-5.16,17.4
2009-11-12,NA,0.34,-4.64,17.03
2009-11-13,NA,0.12,0.36,16.8
2009-11-14,NA,0,0.2,15.67
2009-11-15,NA,4.66,0.9,14.31
2009-11-16,NA,6.85,0.33,12.49
2009-11-17,NA,0.2,-3.53,13.56
2009-11-18,NA,0.38,-2.83,13.43
2009-11-19,NA,0,-3.23,13.12
2009-11-20,NA,0.06,-2.01,12.82
2009-11-21,NA,14.45,-2.28,20.54
2009-11-22,NA,0.81,-6.49,27.43
2009-11-23,NA,0,-5.01,27.2
2009-11-24,NA,0.01,-1.95,26.87
2009-11-25,NA,0.01,-1.31,26.48
2009-11-26,NA,8.34,-1.87,29.12
2009-11-27,NA,2.39,-1.51,32.55
2009-11-28,NA,28.95,2.51,32.84
2009-11-29,NA,5.82,2.14,25.12
2009-11-30,NA,0.1,-1.9,22.6
2009-12-01,NA,0.79,-5.47,22.47
2009-12-02,NA,5.96,-7.16,26.81
2009-12-03,NA,0.14,-5.17,28.21
2009-12-04,NA,0.15,-3.24,28.06
2009-12-05,NA,0.44,-3.13,28.22
2009-12-06,NA,0,-9.98,27.88
2009-12-07,NA,0.02,-11.99,27.58
2009-12-08,NA,0,-13.64,27.31
2009-12-09,NA,0,-14.23,27.11
2009-12-10,NA,7.72,-10.11,29.14
2009-12-11,NA,2.76,-4.54,36.43
2009-12-12,NA,0.46,-9.79,37.07
2009-12-13,NA,0.02,-13.88,37.01
2009-12-14,NA,3.96,-12.81,39.26
2009-12-15,NA,7.94,-13.71,42.11
2009-12-16,NA,37.74,-0.94,64.18
2009-12-17,NA,3.88,-5.09,88.93
2009-12-18,NA,11.04,-1.43,94.69
2009-12-19,NA,13.28,-2.8,100.02
2009-12-20,NA,11.14,2.71,97.77
2009-12-21,NA,3.93,2.67,87.3
2009-12-22,NA,0.35,1.4,81.44
2009-12-23,NA,0.25,-2.34,80.56
2009-12-24,NA,0.1,-5.97,80.4
2009-12-25,NA,0.03,-7.53,80.3
2009-12-26,NA,0,-9.79,80.21
2009-12-27,NA,0.08,-10.71,80.15
2009-12-28,NA,10.32,-1.91,84.86
2009-12-29,NA,10.03,0.24,93.61
2009-12-30,NA,5.91,-9.1,101.85
2009-12-31,NA,0.15,-18.43,103.75
2010-01-01,NA,6.67,-9.57,106.3
2010-01-02,NA,1.34,1.1,111.07
2010-01-03,NA,9.54,1.13,112.33
2010-01-04,NA,6.88,1.62,113.11
2010-01-05,NA,5.64,0.43,117.41
2010-01-06,NA,5.29,-1.06,121.78
2010-01-07,NA,0.68,-2.33,124.46
2010-01-08,NA,2.56,-5.03,125.49
2010-01-09,NA,1.55,-6.43,128.04
2010-01-10,NA,0.03,-11.66,127.99
2010-01-11,NA,2.99,-10.74,129.76
2010-01-12,NA,0.25,-6.02,130.53
2010-01-13,NA,0.05,-5.53,130.33
2010-01-14,NA,0.02,-11.77,130.01
2010-01-15,NA,2.03,-7.53,131.34
2010-01-16,NA,0.02,-17.15,131.58
2010-01-17,NA,0.19,-19.66,131.47
2010-01-18,NA,0,-18.57,131.3
2010-01-19,NA,0,-16.76,131.13
2010-01-20,NA,0,-15.45,130.91
2010-01-21,NA,0.11,-13.67,130.77
2010-01-22,NA,0.71,-17.78,131.26
2010-01-23,NA,0,-21.39,131.16
2010-01-24,NA,0,-19.79,131.08
2010-01-25,NA,0.02,-16.6,130.97
2010-01-26,NA,28.74,-2.74,140.47
2010-01-27,NA,5.15,-0.17,163.53
2010-01-28,NA,0.03,-5.02,164.49
2010-01-29,NA,3.98,-7,166.14
2010-01-30,NA,6.83,-12.17,173.14
2010-01-31,NA,0.02,-20.59,174.14
2010-02-01,NA,0.01,-22.35,174
2010-02-02,NA,0.02,-25.65,173.85
2010-02-03,NA,0,-25.2,173.73
2010-02-04,NA,0,-25.25,173.67
2010-02-05,NA,0.68,-21.18,173.78
2010-02-06,NA,2.22,-5.6,175.33
2010-02-07,NA,3.45,0.29,178.02
2010-02-08,NA,4.29,0.91,182.13
2010-02-09,NA,0.4,-3.23,182.05
2010-02-10,NA,0.17,-4.4,181.68
2010-02-11,NA,1.67,0.27,182.09
2010-02-12,NA,10.07,0.82,185.84
2010-02-13,NA,10.04,2.31,188.99
2010-02-14,NA,1.66,-0.63,186.22
2010-02-15,NA,0.4,-0.53,186.75
2010-02-16,NA,1.48,-0.34,187.17
2010-02-17,NA,2.58,1.68,187.17
2010-02-18,NA,5.72,0.53,186.72
2010-02-19,NA,1.29,-1.05,188.11
2010-02-20,NA,3.05,1.6,190.08
2010-02-21,NA,1.35,0.98,190.3
2010-02-22,NA,1.39,0.54,190.09
2010-02-23,NA,0.02,-2.19,189.14
2010-02-24,NA,0.01,-4.42,188.74
2010-02-25,NA,0,-5.35,188.53
2010-02-26,NA,0,-4.1,188.27
2010-02-27,NA,0.03,-3.22,187.94
2010-02-28,NA,0.01,-3.81,187.64
2010-03-01,NA,0.55,-4.01,187.48
2010-03-02,NA,2.12,-6.7,188.22
2010-03-03,NA,0.21,-6.2,188.98
2010-03-04,NA,0.01,-10.83,188.35
2010-03-05,NA,0,-11.66,187.82
2010-03-06,NA,0,-7.36,187.36
2010-03-07,NA,0.02,-4.41,187.04
2010-03-08,NA,3.39,-3.74,188.61
2010-03-09,NA,1.89,-4.57,190.86
2010-03-10,NA,0.62,-7.8,191.94
2010-03-11,NA,0.27,-8.03,191.74
2010-03-12,NA,1.04,-7.15,192.27
2010-03-13,NA,0,-6.62,192.1
2010-03-14,NA,0.01,-1.54,191.65
2010-03-15,NA,0,-2.8,190.96
2010-03-16,NA,0.18,-0.99,190.54
2010-03-17,NA,0.17,-3.62,189.8
2010-03-18,NA,1.92,-3.46,190.52
2010-03-19,NA,0.03,-5.87,190.75
2010-03-20,NA,0.45,-4.8,190.2
2010-03-21,NA,1.95,-3.75,191.86
2010-03-22,NA,0.01,-5.38,191.47
2010-03-23,NA,0.14,-5.56,191.07
2010-03-24,NA,9.83,-5.71,192.93
2010-03-25,NA,8.69,-1.08,207.29
2010-03-26,NA,1.35,-3.16,209.05
2010-03-27,NA,0.02,-14.26,209.15
2010-03-28,NA,0.05,-13.83,208.65
2010-03-29,NA,2.58,-5.65,209.52
2010-03-30,NA,12.38,-1.9,221.06
2010-03-31,NA,0,-4.1,222.64
2010-04-01,NA,0.04,-0.05,222.27
2010-04-02,NA,0.26,3.75,217.54
2010-04-03,NA,0.13,3.41,206.16
2010-04-04,NA,0,2.48,197.73
2010-04-05,NA,0.52,3.48,191.06
2010-04-06,NA,10.6,1.52,186.23
2010-04-07,NA,0.35,3.08,180.08
2010-04-08,NA,0.53,2.55,172.37
