DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.89,0.4,10,0
2009-10-02,0.85,5.13,5.74,0
2009-10-03,0.98,38.42,4.9,0
2009-10-04,1.13,0.01,4.44,0
2009-10-05,1.14,2.46,3.52,0
2009-10-06,1.57,4.51,6.94,0
2009-10-07,2.22,3.02,5.56,0
2009-10-08,3.26,1.99,4.54,0
2009-10-09,3.8,1.51,3.63,0
2009-10-10,3.81,1.99,3.88,0
2009-10-11,3.84,7.39,3.7,0.6
2009-10-12,3.65,0.96,3.78,0.48
2009-10-13,3.4,0.11,3.32,0.34
2009-10-14,3.15,0.13,1.99,0.27
2009-10-15,2.81,0.12,1.32,0.31
2009-10-16,2.52,0,0.85,0.33
2009-10-17,2.31,0.56,0.43,0.6
2009-10-18,2.07,0,-0.11,0.76
2009-10-19,1.9,5.44,-0.27,2.35
2009-10-20,1.78,0.27,0.95,5.7
2009-10-21,1.65,1.91,1.83,5.49
2009-10-22,1.54,1.24,1.42,4.72
2009-10-23,1.44,0.73,-0.43,4.71
2009-10-24,1.32,0,-0.56,4.79
2009-10-25,1.37,19.02,1.07,5.86
2009-10-26,1.74,2.7,2.43,4.09
2009-10-27,1.78,0.13,-2.22,3.68
2009-10-28,1.85,2.86,-0.14,4.35
2009-10-29,1.91,0.35,0.03,6.37
2009-10-30,1.9,0,-0.4,6.14
2009-10-31,1.84,0.84,4.63,5.21
2009-11-01,1.8,3.63,9.15,0.88
2009-11-02,1.74,0,0.63,0.37
2009-11-03,1.64,12.92,-0.17,1.64
2009-11-04,1.67,6.4,0.6,18.68
2009-11-05,1.61,0.02,-1.88,18.24
2009-11-06,1.59,9.92,-3.17,20.16
2009-11-07,1.73,4.78,-1.78,31.29
2009-11-08,1.63,1.6,-1.35,31.95
2009-11-09,1.58,0.45,2.01,29.88
2009-11-10,1.54,0,-0.19,27.88
2009-11-11,1.48,0.06,-1.7,27.23
2009-11-12,1.41,0.2,-2.86,26.49
2009-11-13,1.35,0.36,0.49,26.01
2009-11-14,1.29,0,3.22,23.45
2009-11-15,1.25,1.41,5.54,15.47
2009-11-16,1.37,3.33,3.62,7.84
2009-11-17,1.5,2.33,-0.33,8.24
2009-11-18,1.55,0.12,-1.29,8.12
2009-11-19,1.63,0.02,-0.62,7.87
2009-11-20,1.65,0,1.16,7.23
2009-11-21,1.75,13.32,-0.01,12.78
2009-11-22,1.83,2.69,-3.55,21.52
2009-11-23,1.75,0,-2.05,21.3
2009-11-24,1.69,0,1.19,20.24
2009-11-25,1.63,0.01,0.15,19.03
2009-11-26,1.63,6.12,-0.09,18.62
2009-11-27,1.7,5.98,0.8,17.26
2009-11-28,2.71,17.67,5.06,11.57
2009-11-29,4.26,5.62,4.48,3.84
2009-11-30,5.82,0.56,1.16,3.04
2009-12-01,6.57,11.31,-0.43,5.82
2009-12-02,6.87,23.97,-3.99,32.7
2009-12-03,6.04,0.28,-2.85,37.29
2009-12-04,5.87,0.25,-1.22,37.07
2009-12-05,4.95,0.13,-1.14,37.07
2009-12-06,4.25,0.1,-7.4,36.71
2009-12-07,3.63,0.07,-8.41,36.48
2009-12-08,3.15,0.02,-9.57,36.11
2009-12-09,2.71,0.01,-9.49,35.84
2009-12-10,2.36,9.57,-6.12,37.91
2009-12-11,2.1,6.65,-2.16,49.13
2009-12-12,1.9,0.89,-6.48,51.42
2009-12-13,1.71,0.28,-8.95,51.89
2009-12-14,1.53,1.19,-5.79,52.27
2009-12-15,1.4,7.95,-5.39,53.68
2009-12-16,2.54,28.34,0.06,73.28
2009-12-17,2.19,7.68,-1.16,92.6
2009-12-18,1.93,12.74,-1.12,100.59
2009-12-19,1.66,21.31,-1.31,105.36
2009-12-20,3.5,16.37,3.2,100.01
2009-12-21,10.51,5.42,2.55,87.39
2009-12-22,19.31,0.38,1.8,78.9
2009-12-23,18.82,0.5,-1.1,77.01
2009-12-24,15.67,0.8,-2.7,77.33
2009-12-25,12.43,0.47,-3.28,77.84
2009-12-26,9.72,0.04,-4.75,77.7
2009-12-27,7.7,0.06,-3.99,77.45
2009-12-28,6.3,10.57,-1.17,80.29
2009-12-29,5.47,7.29,2.1,81.18
2009-12-30,4.38,2.47,-0.79,77.58
2009-12-31,3.5,1.68,-9.28,80.32
2010-01-01,3.24,11.7,-4.02,86.79
2010-01-02,2.8,1.55,1.12,90.04
2010-01-03,2.41,14.03,1.51,88.17
2010-01-04,3.28,18.2,2.16,82.01
2010-01-05,4.6,1.18,0.62,79.83
2010-01-06,4.82,0.37,-0.2,79
2010-01-07,5.08,0.19,-1.31,79.13
2010-01-08,3.98,1.39,-1.96,79.4
2010-01-09,3.37,7.27,-2.07,84.75
2010-01-10,2.93,0.43,-5.86,87.16
2010-01-11,2.63,10.52,-8.2,93.28
2010-01-12,2.32,4.83,-1.15,100.19
2010-01-13,2.08,4.62,-0.83,104.94
2010-01-14,1.9,0.03,-7.47,105.73
2010-01-15,1.75,1.4,-2.93,106.08
2010-01-16,1.64,0.59,-10.37,106.63
2010-01-17,1.49,0.83,-15.33,107.14
2010-01-18,1.4,0.01,-13.5,107.17
2010-01-19,1.29,0,-10.76,106.98
2010-01-20,1.2,0,-9.01,106.67
2010-01-21,1.13,0.48,-8.43,106.48
2010-01-22,1.05,1.93,-10.57,108.07
2010-01-23,0.98,0.02,-16.96,108.27
2010-01-24,0.93,0.03,-15.16,108.13
2010-01-25,0.85,0,-13.27,107.99
2010-01-26,1.01,5.66,-3.21,108.72
2010-01-27,1.23,1.64,0.81,114.16
2010-01-28,1.09,2.62,-2.26,113.84
2010-01-29,1.04,15.3,-1.54,126.21
2010-01-30,0.99,4.87,-5.05,134.66
2010-01-31,0.95,0.66,-13.83,135.55
2010-02-01,0.91,0.21,-16.37,135.65
2010-02-02,0.87,0.25,-20.25,135.6
2010-02-03,0.83,0.09,-18.19,135.58
2010-02-04,0.81,0.06,-18.33,135.53
2010-02-05,0.77,2.93,-13.17,136.51
2010-02-06,0.74,11.18,-1.72,142.22
2010-02-07,1.18,12.2,0.73,154.59
2010-02-08,1.4,14.04,0.02,166.43
2010-02-09,1.58,4.63,0.88,174.51
2010-02-10,1.52,1.72,0.3,177.17
2010-02-11,1.4,4.01,0.43,178.98
2010-02-12,1.36,13.05,0.17,186.54
2010-02-13,2.28,17.35,2.01,186.54
2010-02-14,2.45,2.33,-0.61,185.54
2010-02-15,2.19,0.19,-0.98,186.02
2010-02-16,2.06,0.75,-1.01,185.91
2010-02-17,1.93,7.42,1.03,187.07
2010-02-18,1.77,5.26,-0.16,195.39
2010-02-19,1.66,3.91,-0.89,196.76
2010-02-20,1.58,3.31,0.08,201.94
2010-02-21,1.93,3.11,1.22,203.22
2010-02-22,3.06,3.06,0.58,202.96
2010-02-23,2.93,0.44,-1.1,202.09
2010-02-24,2.74,0.02,-1.89,201.66
2010-02-25,2.56,0,-3.43,201.2
2010-02-26,2.41,0.01,-2.94,201.04
2010-02-27,2.26,0.2,-2,200.92
2010-02-28,2.1,0.02,-2.69,200.57
2010-03-01,2.01,1.11,-1.75,200.54
2010-03-02,1.84,14.47,-2.1,208.1
2010-03-03,1.66,3.73,-2.74,217.95
2010-03-04,1.55,0.56,-4.55,218.51
2010-03-05,1.47,0.4,-4.54,218.43
2010-03-06,1.39,0.37,-3.21,218.3
2010-03-07,1.31,0.02,-4.52,217.85
2010-03-08,1.23,0.34,-3.51,217.65
2010-03-09,1.15,1.85,-3.02,218.27
2010-03-10,1.09,0.35,-4.56,219.18
2010-03-11,1.03,0.11,-7.29,218.73
2010-03-12,0.97,0.67,-6.12,218.77
2010-03-13,0.92,0.01,-5.53,218.71
2010-03-14,0.87,0.01,-0.7,218.21
2010-03-15,0.82,0.16,-2.2,217.63
2010-03-16,0.77,0.04,-0.59,217.2
2010-03-17,0.74,0.04,-2.03,216.55
2010-03-18,0.71,1.73,-0.94,216.48
2010-03-19,0.68,0.1,-3.39,217.08
2010-03-20,0.66,0.08,-2.5,216.36
2010-03-21,0.63,4.47,-1.56,219.01
2010-03-22,0.6,0.01,-2.68,219.86
2010-03-23,0.57,1.02,-3.53,219.7
2010-03-24,0.56,12.35,-3.43,221.9
2010-03-25,0.6,20.58,-0.08,244.63
2010-03-26,0.63,0.77,0.62,252.39
2010-03-27,0.59,0.53,-7.06,252.32
2010-03-28,0.57,0,-11.33,251.44
2010-03-29,0.54,0.03,-5.14,251.03
2010-03-30,0.52,7.16,-0.29,255.13
2010-03-31,0.5,0.09,-2.22,257.56
2010-04-01,0.48,0.53,-0.25,257.64
2010-04-02,0.62,0.28,3.96,253.99
2010-04-03,0.76,0.03,4.64,235.92
2010-04-04,1.09,0.01,0.23,225.8
2010-04-05,1.44,0.95,3.47,221.78
2010-04-06,1.97,6.73,2.59,211.75
2010-04-07,2.62,3.07,1.63,205.39
2010-04-08,3.27,0.29,2.12,198.79
2010-04-09,3.71,0,1.59,192.76
2010-04-10,4.09,1.86,4.75,183.71
2010-04-11,4.86,0.65,3,165.93
2010-04-12,5.38,0.78,2.44,161.4
2010-04-13,5.65,1.94,0.03,159.39
2010-04-14,5.56,0.01,-1.29,159.12
2010-04-15,5.3,0.01,-2.85,158.33
2010-04-16,5.21,20.38,-0.19,163.94
2010-04-17,7.66,1.8,2.7,164.03
2010-04-18,9.46,0.28,2.14,152.94
2010-04-19,10.33,3.77,1.95,144.56
2010-04-20,10.64,4.29,2.41,134.44
2010-04-21,11.25,4.56,1.43,128.64
2010-04-22,10.99,2.28,3.31,120
2010-04-23,11.08,5.62,1.42,112.16
2010-04-24,10.99,0.25,0.86,110.05
2010-04-25,9.81,0.77,0.45,109.64
2010-04-26,8.45,1.1,2.18,107.39
2010-04-27,7.4,0.78,3.67,98.74
2010-04-28,7.22,9.99,2.08,95.42
2010-04-29,7.53,0.96,4.2,84.85
2010-04-30,7.84,2.78,1.77,74.6
2010-05-01,7.92,4.21,0.82,71.36
2010-05-02,7.79,0.62,2.66,65.02
2010-05-03,7.66,0.29,4.56,52.23
2010-05-04,9.41,25,1.63,47.88
2010-05-05,12.96,1.58,3.89,40.86
2010-05-06,14.14,5.81,4.88,29.99
2010-05-07,13.88,6.3,3.22,20.69
2010-05-08,14.18,5.11,5.35,14.42
2010-05-09,13.92,3.35,6.3,8.48
2010-05-10,12.83,1.35,7.7,3.56
2010-05-11,11.64,1.09,6.2,1.57
2010-05-12,11.03,16.56,2.54,0.89
2010-05-13,12.43,2.8,4.54,0.57
2010-05-14,12.78,8.29,1.86,0.88
2010-05-15,11.78,12.51,1.71,4.48
2010-05-16,12.13,10.94,2.29,4.29
2010-05-17,13.18,1.05,3.3,2.84
2010-05-18,12.48,0.32,4.5,1.37
2010-05-19,10.77,0,8.38,0.62
2010-05-20,9.06,8.54,10.22,0.12
2010-05-21,7.75,2.83,5.09,0.14
2010-05-22,6.61,0.76,7.12,0.14
2010-05-23,5.78,7.91,7.29,0.05
2010-05-24,5.08,0.21,4.21,0.02
2010-05-25,4.38,0.46,5.75,0.01
2010-05-26,3.88,6.99,5.02,0.01
2010-05-27,3.59,11.67,3.17,0.01
2010-05-28,3.46,5.84,3.2,0.01
2010-05-29,3.42,1.5,3.36,0
2010-05-30,3.31,0.01,4.7,0
2010-05-31,3.26,0.31,4.06,0
2010-06-01,3.08,0.62,7.45,0
2010-06-02,2.85,0,8.89,0
2010-06-03,2.65,7.29,6.96,0
2010-06-04,2.46,0.61,8.65,0
2010-06-05,2.25,2.42,11.91,0
2010-06-06,2.14,3.9,7.46,0
2010-06-07,2.03,4.69,5.09,0
2010-06-08,1.91,0.4,8.4,0
2010-06-09,1.86,6.56,5.84,0
2010-06-10,1.79,4.73,6.98,0
2010-06-11,1.69,0,15.77,0
2010-06-12,1.65,1.64,8,0
2010-06-13,1.55,0.44,8.77,0
2010-06-14,1.45,7.18,12.36,0
2010-06-15,1.58,27.26,6.23,0
2010-06-16,2.44,14.76,5.92,0
2010-06-17,3.24,0.01,8.88,0
2010-06-18,4.07,5.08,8.74,0
2010-06-19,4.28,0,9.8,0
2010-06-20,4.02,0.09,12.62,0
2010-06-21,3.66,0.01,7.88,0
2010-06-22,3.21,0.59,10.11,0
2010-06-23,2.85,0.03,14.91,0
2010-06-24,2.52,2.17,15.71,0
2010-06-25,2.29,11.14,13.03,0
2010-06-26,2.05,5.96,13.36,0
2010-06-27,1.86,4,11.65,0
2010-06-28,1.66,0.41,11.78,0
2010-06-29,1.49,0.08,7.21,0
2010-06-30,1.3,3.3,6.59,0
2010-07-01,1.17,1.32,9.75,0
