DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.82,0.62,13.19,0
2009-10-02,0.8,0.92,7.09,0
2009-10-03,0.77,3.62,6.31,0
2009-10-04,0.73,0.02,5.38,0
2009-10-05,0.71,4.19,4.74,0
2009-10-06,1.26,4.58,8.9,0
2009-10-07,1.54,0.13,7.46,0
2009-10-08,1.67,9.36,4.59,0
2009-10-09,1.58,4.11,3.49,0
2009-10-10,1.4,2.6,4.33,0
2009-10-11,1.46,6.84,4.27,0
2009-10-12,1.59,3.5,3.43,0.05
2009-10-13,1.72,1.75,3.4,0.12
2009-10-14,1.69,0.54,1.95,0.1
2009-10-15,1.54,1.92,1.55,0.41
2009-10-16,1.39,0.22,2.14,0.79
2009-10-17,1.36,8.92,0.72,5.91
2009-10-18,1.3,0,0.7,7.62
2009-10-19,1.28,10.39,0.02,11.89
2009-10-20,1.35,0.27,1.14,16.7
2009-10-21,1.42,3.31,2.43,14.15
2009-10-22,1.51,2.53,1.67,10.68
2009-10-23,1.54,1.18,-0.22,10.71
2009-10-24,1.47,0,-0.98,10.72
2009-10-25,2.13,19.12,2.27,9.59
2009-10-26,3.26,0.48,2.89,5.14
2009-10-27,3.24,0.17,-1.96,4.83
2009-10-28,2.6,0.41,-1.12,4.72
2009-10-29,2.21,0.95,-0.01,5.64
2009-10-30,1.89,0,-0.02,5.6
2009-10-31,1.62,0.02,4.46,4.69
2009-11-01,1.77,10.08,8.87,0.81
2009-11-02,1.93,0,1.51,0.31
2009-11-03,2.01,17.87,0.1,0.51
2009-11-04,3.96,5.39,1.43,1.32
2009-11-05,4.07,0.05,-0.8,1.3
2009-11-06,3.57,16.35,-1.87,7.47
2009-11-07,3.16,4.16,-1.67,20.64
2009-11-08,2.63,1,-0.83,21.11
2009-11-09,2.45,0.75,2.48,17.62
2009-11-10,2.32,0,0.11,15.39
2009-11-11,2.18,0.31,-1.87,14.77
2009-11-12,1.94,0.02,-1.14,14.14
2009-11-13,1.78,0.04,1.33,13.08
2009-11-14,1.63,0,1.92,11.44
2009-11-15,1.64,17.15,5.54,8.73
2009-11-16,3.53,1.84,6.72,3.62
2009-11-17,3.78,2.25,0.34,2.88
2009-11-18,3.42,0.29,-0.67,2.93
2009-11-19,2.9,0.01,0.16,3.09
2009-11-20,2.38,0,1.34,2.91
2009-11-21,2.38,10.26,3.57,2.05
2009-11-22,2.61,3.43,-1.25,4.32
2009-11-23,2.52,0,-0.41,5.03
2009-11-24,2.33,0.01,1.14,4.76
2009-11-25,2.06,0.02,2.24,4.09
2009-11-26,2.12,6.85,4.41,2.77
2009-11-27,2.7,18.18,1.92,1.53
2009-11-28,7,10.88,6.8,0.92
2009-11-29,8.1,3.78,4.2,0.22
2009-11-30,6.35,3.1,0.66,0.99
2009-12-01,5.18,21.56,0.68,4.08
2009-12-02,4.96,10.2,-3.22,24.98
2009-12-03,4.21,0.62,-2.37,25.63
2009-12-04,3.64,1.1,-1.77,26.84
2009-12-05,3.32,0.1,-1.09,26.79
2009-12-06,2.97,1.61,-4.43,27.04
2009-12-07,2.62,1,-5.8,28.3
2009-12-08,2.39,0.45,-7.38,28.45
2009-12-09,2.17,0.28,-7.51,28.61
2009-12-10,2,11.86,-6.02,33.57
2009-12-11,1.93,3.83,-2.13,41.42
2009-12-12,1.77,2,-5.15,44.96
2009-12-13,1.68,0.88,-8.29,45.83
2009-12-14,1.57,1.82,-3.67,46.85
2009-12-15,1.46,8.79,-1.99,49.39
2009-12-16,1.55,14.44,1.64,58.39
2009-12-17,1.61,0.27,-3.77,59.68
2009-12-18,1.55,10.51,-5.87,66.21
2009-12-19,1.49,5.37,-6.13,72.36
2009-12-20,1.45,2.57,0.86,75.85
2009-12-21,1.82,4.82,1.46,73.38
2009-12-22,3.54,3.38,2.05,67.15
2009-12-23,4.89,1.04,-0.84,65.69
2009-12-24,4.82,0.83,-3.45,66.33
2009-12-25,3.61,1,-3.73,67.12
2009-12-26,3,0.33,-5.17,67.67
2009-12-27,2.64,0.04,-5.73,67.67
2009-12-28,2.39,6.34,-0.6,68.54
2009-12-29,2.57,5.06,1.6,62.63
2009-12-30,3.57,0.85,-3.15,60.49
2009-12-31,3.21,0.76,-9.63,61.01
2010-01-01,2.95,3.06,-6.72,62.17
2010-01-02,2.75,0.75,0.04,64.25
2010-01-03,2.61,7.89,0.99,64.35
2010-01-04,5.43,22.33,1.03,65.08
2010-01-05,7.68,1.09,0.34,69.64
2010-01-06,6.32,0.49,0.09,69.53
2010-01-07,4.86,0.42,-1.14,69.77
2010-01-08,3.96,0.44,-2.63,70.02
2010-01-09,3.38,3.71,-2.42,71.4
2010-01-10,2.93,0.8,-6.08,74.01
2010-01-11,2.54,0.73,-9.23,74.01
2010-01-12,2.32,2.05,-4.91,75.39
2010-01-13,2.18,1.72,-2.56,76.59
2010-01-14,1.95,0.13,-5.59,77.35
2010-01-15,1.75,1.08,-3.07,77.45
2010-01-16,1.61,1.02,-6.21,78.09
2010-01-17,1.45,0.93,-12.82,78.88
2010-01-18,1.3,0.1,-12.79,78.92
2010-01-19,1.2,0.01,-11.47,78.83
2010-01-20,1.1,0,-11.07,78.75
2010-01-21,1.02,0.1,-8.85,78.64
2010-01-22,0.95,2.29,-9.73,79.92
2010-01-23,0.88,0.15,-15.76,80.51
2010-01-24,0.84,0.27,-15.51,80.56
2010-01-25,0.78,0.01,-13.25,80.59
2010-01-26,0.74,3.54,-3.57,81.41
2010-01-27,0.84,0.73,1.09,82.41
