DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,1.22,7.61,13.16,0
2009-10-02,1.72,1.46,8.05,0
2009-10-03,2.45,0.43,7.22,0
2009-10-04,2.12,0,5.71,0
2009-10-05,1.68,5.5,4.8,0
2009-10-06,2.21,1.47,10.17,0
2009-10-07,2.83,0.01,8.21,0
2009-10-08,2.26,14.86,5.4,0
2009-10-09,3.29,6.37,4.35,0
2009-10-10,3.83,1.45,5.22,0
2009-10-11,3.16,6.08,5.12,0
2009-10-12,2.79,6.3,3.27,0.44
2009-10-13,2.45,0.58,4.05,0.46
2009-10-14,2.02,2.33,1.7,0.5
2009-10-15,1.71,0.43,2.49,0.75
2009-10-16,1.43,0.54,2.34,0.67
2009-10-17,1.58,31.17,0.96,20.64
2009-10-18,2.62,0.08,-0.36,26.08
2009-10-19,2.67,13.88,-0.25,30.7
2009-10-20,2.96,0.33,1.62,31.07
2009-10-21,3.62,1.34,2.32,25.63
2009-10-22,3.47,1.89,2.03,17.72
2009-10-23,3.22,2.22,0.03,16.79
2009-10-24,2.85,0,-0.68,17.14
2009-10-25,2.54,13,2.07,15.63
2009-10-26,3.76,0.3,3.92,7.98
2009-10-27,3.76,0.02,-1.07,6.66
2009-10-28,2.75,0.65,-0.54,6.46
2009-10-29,2.29,1.05,0.35,7.58
2009-10-30,1.91,0,0.14,7.5
2009-10-31,1.63,0.07,3.81,6.25
2009-11-01,1.52,3.47,9.8,1.24
2009-11-02,1.66,0,2.19,0.4
2009-11-03,1.58,11.21,0.58,0.39
2009-11-04,3.79,10.07,2.53,0.32
2009-11-05,5.55,0.02,0.52,0.29
2009-11-06,3.53,16.66,-1.36,7.78
2009-11-07,2.91,5.6,-0.92,20.81
2009-11-08,2.56,1.07,-0.36,21.6
2009-11-09,2.49,0.65,2.71,16.39
2009-11-10,2.8,0.02,1.11,13.68
2009-11-11,2.49,0.14,-1.22,12.35
2009-11-12,2,0.01,-0.91,11.56
2009-11-13,1.85,0.04,1.51,10.69
2009-11-14,1.64,0,1.99,9.22
2009-11-15,1.53,13.38,4.77,6.83
2009-11-16,3.1,6.31,8.43,2.34
2009-11-17,4.5,0.92,1.49,1.2
2009-11-18,3.25,0.01,-0.23,1.3
2009-11-19,2.47,0.01,0.37,1.27
2009-11-20,1.99,0,0.87,1.2
2009-11-21,1.81,4.55,4.82,0.78
2009-11-22,2.07,1.63,-0.14,1.18
2009-11-23,1.93,0,-0.46,1.61
2009-11-24,1.62,0,0.85,1.51
2009-11-25,1.48,0.04,1.6,1.31
2009-11-26,1.44,12.87,5.65,0.8
2009-11-27,2.25,22.19,4.6,0.25
2009-11-28,8.24,11.21,10.06,0.09
2009-11-29,10.05,2.89,4.73,0.02
2009-11-30,6.88,0.54,1.91,0.07
2009-12-01,5.25,33.99,5.29,0.74
2009-12-02,11.31,12.51,-2.16,18.91
2009-12-03,8.95,2.17,-1.33,19.24
2009-12-04,6.26,2.54,-1.15,23.23
2009-12-05,4.23,0.02,-0.47,23.12
2009-12-06,3.34,8.28,-3.73,25.69
2009-12-07,2.46,0.48,-5.13,30.96
2009-12-08,2.26,0.38,-6.14,30.97
2009-12-09,1.83,0.12,-8.19,30.99
2009-12-10,1.64,7.55,-5.54,34.56
2009-12-11,1.51,0.62,-1.82,38.41
2009-12-12,1.38,0.63,-4.65,38.65
2009-12-13,1.28,0.23,-7.82,38.57
2009-12-14,1.18,0.92,-4.36,38.83
2009-12-15,1.13,5.49,0.02,40.53
2009-12-16,1.08,20.85,1.46,46.5
2009-12-17,2.15,0.1,-2.7,46.09
2009-12-18,3.85,3.43,-6.2,48.15
2009-12-19,3.23,5.37,-6.59,51.55
2009-12-20,2.82,1.53,1.11,53.9
2009-12-21,2.59,3.44,1.47,50.5
2009-12-22,3.21,3.21,2.83,41.81
2009-12-23,6.01,0.57,0.37,36.66
2009-12-24,4.74,0.96,-2.09,36.44
2009-12-25,3.66,1.45,-2.39,37.26
2009-12-26,2.8,1.02,-3.44,38.49
2009-12-27,2.15,0.01,-5.9,38.51
2009-12-28,1.76,10.1,-0.82,39.09
2009-12-29,2.8,4.91,2.58,32.17
2009-12-30,4.09,0.45,-2.74,29.06
2009-12-31,3.45,0.3,-7.9,28.76
2010-01-01,2.51,1.43,-6.19,29.01
2010-01-02,2.53,0.18,0.42,28.66
2010-01-03,2.32,7.26,1.53,25.32
2010-01-04,4.49,24.72,1.34,24.22
2010-01-05,9.55,0.64,0.34,31.09
2010-01-06,7.44,1.01,0.33,30.94
2010-01-07,5.22,0.35,-0.57,30.86
2010-01-08,3.66,0.56,-1.2,31.06
2010-01-09,1.94,1.77,-1.9,31.5
2010-01-10,1.51,0.91,-5.11,33.21
2010-01-11,1.15,0.13,-7.97,32.69
2010-01-12,0.97,0.37,-4.78,32.44
2010-01-13,0.79,1.61,-3.09,32.67
2010-01-14,0.7,0.35,-5.26,33.85
2010-01-15,0.62,0.35,-3.25,33.68
2010-01-16,0.56,0.6,-3.37,33.64
2010-01-17,0.51,0.49,-11.33,33.84
2010-01-18,0.46,0,-12.62,33.46
2010-01-19,0.41,0.07,-10.12,33.24
2010-01-20,0.38,0,-10.23,32.93
2010-01-21,0.36,0.05,-7.93,32.54
2010-01-22,0.34,1.24,-8.79,32.93
2010-01-23,0.32,0,-14.99,32.92
2010-01-24,0.31,0.1,-14.52,32.64
