DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,1.35,14.73,16.01,0
2009-10-02,1.49,23.31,10.31,0
2009-10-03,2.18,0.38,7.92,0
2009-10-04,2.43,0.05,6.51,0
2009-10-05,2.62,2.95,6.16,0
2009-10-06,2.87,1.81,11.05,0
2009-10-07,2.96,1.13,8.71,0
2009-10-08,2.97,19.55,6.79,0
2009-10-09,3.8,9.6,6.01,0
2009-10-10,4.19,0.98,6.26,0
2009-10-11,4.45,8.05,5.8,0
2009-10-12,4.52,7.7,3.75,0.55
2009-10-13,4.45,0.62,5.17,0.56
2009-10-14,4.39,15.51,2.42,2.17
2009-10-15,4.19,1.06,3.48,6.16
2009-10-16,3.93,0.39,3.43,5.27
2009-10-17,4.62,36.76,2.02,21.1
2009-10-18,5.14,0.06,1.64,26.42
2009-10-19,5.2,11.8,1.85,28.24
2009-10-20,5.49,0.11,3.06,23.98
2009-10-21,5.59,0.87,3.4,18.59
2009-10-22,5.53,2.22,2.64,14.95
2009-10-23,5.33,2.77,1.25,13.31
2009-10-24,5.01,0.1,0.66,13.23
2009-10-25,4.78,8.43,2.79,12.34
2009-10-26,4.84,0.24,4.75,6.94
2009-10-27,4.55,0.2,-0.15,5.89
2009-10-28,4.26,4.32,0.01,6.92
2009-10-29,4.1,2.94,0.71,9.6
2009-10-30,3.9,0,0.19,9.52
2009-10-31,3.71,0.08,3.96,8.3
2009-11-01,3.64,0.75,10.97,2.23
2009-11-02,3.45,0,3.07,0.79
2009-11-03,3.21,8.47,1.54,0.75
2009-11-04,3.28,5.83,4.37,0.53
2009-11-05,3.21,0,1.76,0.45
2009-11-06,3.08,16.05,0.03,6.63
2009-11-07,3.58,7.53,0.32,16.83
2009-11-08,3.8,0.67,0.11,17.83
2009-11-09,3.9,0.4,3.37,13.17
2009-11-10,3.9,0,1.41,11.08
2009-11-11,3.87,0.25,-0.9,10.45
2009-11-12,3.74,0.01,-0.64,10.16
2009-11-13,3.61,0.16,1.46,9.58
2009-11-14,3.41,0,2.74,8.36
2009-11-15,3.25,6.7,5.26,6.48
2009-11-16,3.64,10.9,9.07,2.57
2009-11-17,3.8,1.57,1.55,1.31
2009-11-18,3.71,0.06,0.1,1.58
2009-11-19,3.64,0.07,0.45,1.62
2009-11-20,3.48,0,1.2,1.56
2009-11-21,3.41,2.76,5.12,1.15
2009-11-22,3.38,1.84,0.11,1.55
2009-11-23,3.21,0,-0.16,2.08
2009-11-24,3.05,0,1.02,1.99
2009-11-25,2.89,0.01,1.43,1.85
2009-11-26,2.91,12.37,5.59,1.27
2009-11-27,3.14,19.63,4.57,0.42
2009-11-28,5.01,7.45,10.8,0.16
2009-11-29,5.62,1.86,6.17,0.03
2009-11-30,5.79,0.42,2.97,0.05
2009-12-01,6.11,35.95,7.77,0.03
2009-12-02,8.26,7.4,-0.39,4.39
2009-12-03,8.55,0.57,-0.07,4.93
2009-12-04,8.16,2.56,-0.01,7.66
2009-12-05,7.41,0.01,0.39,7.63
2009-12-06,6.7,11.15,-2.02,10.99
2009-12-07,6.08,1.03,-3.82,18.88
2009-12-08,5.27,0.3,-5.12,19
2009-12-09,4.62,0.45,-5.7,19.15
2009-12-10,4.13,6.14,-3.47,21.77
2009-12-11,3.8,0.42,-0.28,24.98
2009-12-12,3.61,0.6,-3.16,25.13
2009-12-13,3.25,0.44,-5.85,25.19
2009-12-14,3.09,0.12,-4.15,25.14
2009-12-15,2.93,0.87,0.35,25.49
2009-12-16,2.95,17.68,1.03,28.48
2009-12-17,3.19,3.14,-0.79,33.01
2009-12-18,3.23,6.25,-3.63,38.74
2009-12-19,3.19,9.86,-3.08,45.52
2009-12-20,3.22,0.41,2.14,48.22
2009-12-21,3.35,4.99,2.22,43.08
2009-12-22,3.71,2.86,3.72,32.74
2009-12-23,4.03,0.41,1,26.8
2009-12-24,4.19,0.93,-1.3,26.42
2009-12-25,4.19,0.9,-1.31,27.06
2009-12-26,4.16,0.86,-2.07,27.72
2009-12-27,3.93,0.03,-3.45,27.88
2009-12-28,3.64,4.64,-1.05,27.88
2009-12-29,3.51,1.95,3.09,22.09
2009-12-30,3.45,0.03,-1.01,18.14
2009-12-31,3.25,2.11,-5.16,18.95
2010-01-01,2.81,3.17,-3.43,21.6
2010-01-02,2.73,0.12,1.55,21.16
2010-01-03,2.68,8.54,2.17,17.04
2010-01-04,4.23,24.35,2.05,13.42
2010-01-05,5.95,2.16,0.92,15.16
2010-01-06,6.27,0.31,0.86,14.06
2010-01-07,6.24,0.2,0.12,13.63
2010-01-08,5.92,0.09,0.07,13.61
2010-01-09,5.53,1.21,-1.09,13.88
2010-01-10,4.39,2.67,-3.73,16.64
2010-01-11,3.77,0.13,-6.6,16.69
2010-01-12,3.25,0.88,-3.29,16.74
2010-01-13,2.93,1.56,-1.74,17.28
2010-01-14,2.7,0.75,-4.17,18.82
2010-01-15,2.52,0.14,-2.92,18.73
2010-01-16,2.39,1.18,-2.89,18.78
2010-01-17,2.28,0.97,-10.92,19.91
2010-01-18,2.16,0.09,-11.5,20.02
2010-01-19,2.03,0.37,-6.93,20.03
2010-01-20,1.92,0,-8.4,19.93
2010-01-21,1.82,0.2,-7.33,19.67
2010-01-22,1.76,1.59,-7.61,20.46
2010-01-23,1.68,0.1,-14.07,20.93
2010-01-24,1.63,0.23,-12.95,20.83
2010-01-25,1.58,0.02,-11.44,20.75
2010-01-26,1.5,2.54,-5.38,20.86
2010-01-27,1.45,2.36,0.62,23.38
2010-01-28,1.37,15.16,-1.28,26.64
2010-01-29,1.53,12.11,-0.28,36.36
2010-01-30,1.63,1.15,-4.15,39.65
2010-01-31,1.72,0.06,-9.04,39.69
2010-02-01,1.66,0.19,-12.03,39.49
2010-02-02,1.56,0.13,-14.89,39.39
2010-02-03,1.48,0.01,-14.8,39.15
2010-02-04,1.41,0.08,-14.3,38.94
2010-02-05,1.37,10.03,-7.77,42.43
2010-02-06,1.4,12.44,-0.96,55.48
2010-02-07,1.38,2.72,0.25,62.76
2010-02-08,1.37,4.04,-0.27,64.96
2010-02-09,1.33,5.99,0.06,70.63
2010-02-10,1.32,2.26,0.22,74.89
2010-02-11,1.28,0.07,-1.69,74.97
2010-02-12,1.37,11.87,-0.58,82.69
2010-02-13,1.5,6.11,0.68,85.47
2010-02-14,1.61,1.29,-0.27,86.96
2010-02-15,1.64,0.41,-0.76,87.07
2010-02-16,1.67,0.5,-1.42,87.13
2010-02-17,1.7,6.49,-0.34,89.81
2010-02-18,1.74,2.05,0.29,95.09
2010-02-19,1.85,16.64,-0.47,103.2
2010-02-20,1.98,2,-0.11,113.17
2010-02-21,2.2,14.3,0.56,120.16
2010-02-22,2.57,1.27,0.89,122.6
2010-02-23,2.81,0.63,-0.32,121.38
2010-02-24,2.91,0.35,-1.13,121.52
2010-02-25,2.9,0.07,-2.4,121.4
2010-02-26,2.87,0.02,-4.37,121.18
2010-02-27,2.78,0.18,-3.87,121.15
2010-02-28,2.66,0.08,-1.69,121.14
2010-03-01,2.56,13.7,-1,123.77
2010-03-02,2.72,6.11,1.01,138.76
2010-03-03,2.95,2.41,-0.01,137.4
2010-03-04,3.09,3.86,-1.65,138.94
2010-03-05,3.2,19.88,-1.59,148.81
2010-03-06,3.51,18.3,-1.13,172.46
2010-03-07,3.45,0.62,-2.73,178.61
2010-03-08,3.24,0.44,-2.65,178.46
2010-03-09,3.11,1.05,0.01,179.4
2010-03-10,2.92,0.44,-2.08,179.22
2010-03-11,2.72,0.04,-4.2,178.92
2010-03-12,2.55,1.19,-4.43,179.19
2010-03-13,2.4,0.08,-3.87,179.6
2010-03-14,2.25,0,-2.29,179.27
2010-03-15,2.14,0.6,-1.82,179.02
2010-03-16,2.02,0,-0.95,178.98
2010-03-17,1.95,0.01,-0.7,178.58
2010-03-18,1.89,1.6,0.6,178.47
2010-03-19,1.85,0.37,-0.8,179.05
2010-03-20,1.78,1.07,-2.16,179.04
2010-03-21,1.74,0.06,0.46,179.46
2010-03-22,1.69,0.08,-2.31,178.72
2010-03-23,1.65,0.01,-1.49,178.3
2010-03-24,1.65,10.83,-1.59,180.99
2010-03-25,1.77,8.57,1.15,189.53
2010-03-26,1.9,0.67,2.51,186.13
2010-03-27,2.13,4.99,-3.24,184.71
2010-03-28,2.16,0.03,-8.28,184.47
2010-03-29,2.16,0,-4.9,184.08
2010-03-30,2.16,0.99,-0.49,184.1
2010-03-31,2.18,1.26,0.68,185.04
2010-04-01,2.2,0.2,1.06,183.98
2010-04-02,2.26,0.02,3.42,176.78
2010-04-03,2.58,0.01,6.33,156.85
2010-04-04,3.23,0,1.83,141.6
2010-04-05,3.84,0.47,2.63,136.36
2010-04-06,4.39,1.61,3.49,126.87
2010-04-07,4.84,0.78,2.25,116.4
2010-04-08,5.14,0.07,2.76,109.62
2010-04-09,5.2,0,2.43,103.46
2010-04-10,5.17,1.35,4.85,94.67
2010-04-11,5.14,0.04,4.26,79.63
2010-04-12,5.01,0.08,4.35,73.57
2010-04-13,4.88,10.47,2.14,68.9
2010-04-14,4.84,2.14,-0.48,74.66
2010-04-15,4.65,0.88,-1.39,74.27
2010-04-16,4.97,20.62,2.04,84.11
2010-04-17,5.36,0.35,3.97,74.72
2010-04-18,5.59,0.4,3.43,61.27
2010-04-19,5.92,8.22,3.02,49.86
2010-04-20,7.48,18.99,2.45,42.18
2010-04-21,8.78,6.68,1.37,37.86
2010-04-22,9.43,0.67,3.52,34.47
2010-04-23,9.13,1.75,2.27,29.15
2010-04-24,8.35,2.52,0.66,30.57
2010-04-25,7.41,0.02,1.79,30.74
2010-04-26,6.6,0.08,5.7,27.61
2010-04-27,5.92,0.46,3.53,22.45
2010-04-28,5.4,1.5,7.43,17.41
2010-04-29,5.01,0.08,8.84,10.48
2010-04-30,4.68,2.95,5.06,8.21
2010-05-01,4.52,8.05,1.83,9.35
2010-05-02,4.32,0.58,3.83,8.47
2010-05-03,4.1,2.53,8.3,5.89
2010-05-04,5.3,34.17,2.65,3.77
2010-05-05,6.83,2.79,3.22,3.96
2010-05-06,7.12,2.62,5.53,2.57
2010-05-07,7.12,6.61,5.94,1.56
2010-05-08,6.99,2.74,7.17,0.84
2010-05-09,6.53,1.86,7.54,0.44
2010-05-10,5.95,0,8.3,0.2
2010-05-11,5.4,0.01,7.34,0.12
2010-05-12,5.46,11.48,5.61,0.07
2010-05-13,5.4,0.09,6.09,0.04
2010-05-14,5.14,5.02,3.22,0.04
2010-05-15,4.94,6.49,2.6,1.93
2010-05-16,4.65,7.18,2.87,1.99
2010-05-17,4.45,1.05,3.16,1.29
2010-05-18,4.19,0.32,4.06,0.73
2010-05-19,3.93,0,8.65,0.4
2010-05-20,3.67,3,9.7,0.11
2010-05-21,3.54,0.05,7.39,0.02
2010-05-22,3.22,0.43,8.08,0.01
2010-05-23,3,2.91,12.29,0.01
2010-05-24,3.02,6.15,4.87,0.08
2010-05-25,2.85,0.18,4.5,0.09
2010-05-26,2.69,2.43,4.33,0.05
2010-05-27,2.62,5.18,4.1,0.05
2010-05-28,2.63,8.92,3.47,0.11
2010-05-29,2.72,4.28,3.83,0.65
2010-05-30,2.71,0.13,7,0.33
2010-05-31,2.78,12.17,3.36,1.88
2010-06-01,2.84,0.02,6.92,1.34
2010-06-02,2.77,0,8.91,0.6
2010-06-03,2.73,0.44,8.7,0.22
2010-06-04,2.85,22.59,6.98,0.07
2010-06-05,3.35,0.06,11.64,0.02
2010-06-06,3.67,12.54,7.98,0
2010-06-07,4.36,31.7,10.46,0
2010-06-08,4.94,1.42,13.5,0
2010-06-09,4.94,0.73,9.57,0
2010-06-10,4.81,2.29,7.55,0
2010-06-11,4.58,0.02,15.75,0
2010-06-12,4.26,0.48,13.87,0
2010-06-13,3.87,1.74,9.52,0
2010-06-14,3.51,0.02,12.35,0
2010-06-15,3.74,24.42,7.16,0
2010-06-16,3.84,10.15,5.03,0
2010-06-17,3.58,0,9.9,0
2010-06-18,3.41,5.88,12.31,0
2010-06-19,3.25,0.11,10.22,0
2010-06-20,2.96,0.47,16.93,0
2010-06-21,3.1,17.5,7.58,0
2010-06-22,3.32,0,9.75,0
2010-06-23,3.25,0,16.67,0
2010-06-24,3.1,4.22,13.98,0
2010-06-25,3.12,0.99,15.94,0
2010-06-26,2.98,0.75,15.09,0
2010-06-27,2.81,2.77,14.26,0
2010-06-28,2.64,0.52,13.18,0
2010-06-29,2.46,0.03,11.81,0
2010-06-30,2.27,6.44,10.06,0
2010-07-01,2.14,0.38,12.57,0
2010-07-02,2.02,1.84,13.4,0
2010-07-03,1.94,0.03,14.67,0
2010-07-04,1.81,5.38,13.85,0
2010-07-05,1.73,0.66,12.09,0
2010-07-06,1.69,15.18,9.87,0
2010-07-07,1.75,0.16,13.29,0
2010-07-08,1.66,2.63,15.92,0
2010-07-09,1.63,1.87,21.89,0
2010-07-10,1.57,0.01,23.26,0
2010-07-11,1.51,17.67,19.31,0
2010-07-12,1.59,6.23,20.55,0
2010-07-13,1.6,0.01,22.06,0
2010-07-14,1.56,2.93,22.22,0
2010-07-15,2.02,11.48,14.57,0
2010-07-16,2.02,0.01,17.9,0
2010-07-17,1.91,4.72,17.02,0
2010-07-18,1.83,1.48,20.71,0
2010-07-19,1.75,2.28,20.75,0
2010-07-20,1.69,0.32,20.35,0
2010-07-21,1.59,0.04,19.65,0
2010-07-22,1.46,1.04,19.73,0
2010-07-23,1.58,12.26,13.3,0
2010-07-24,1.68,0.51,16.55,0
2010-07-25,1.62,3.58,17.56,0
2010-07-26,1.72,7.87,16.35,0
2010-07-27,1.74,3.7,13.85,0
2010-07-28,1.66,0.01,16.88,0
2010-07-29,1.59,3.36,18.84,0
2010-07-30,1.88,11.67,18.18,0
2010-07-31,2.08,1.97,18.22,0
2010-08-01,2.1,0.26,15.17,0
2010-08-02,2.09,0,16.12,0
2010-08-03,2.15,7.56,15.98,0
2010-08-04,2.12,0.81,18.85,0
2010-08-05,2.04,0.59,18.16,0
2010-08-06,2.01,5.28,19.47,0
2010-08-07,1.95,3.26,20.18,0
2010-08-08,1.81,0.11,16.37,0
2010-08-09,1.61,0.01,18.29,0
2010-08-10,1.49,0.56,17.61,0
2010-08-11,1.39,4.11,16.4,0
2010-08-12,1.29,1.24,12.72,0
