DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.06,0,11.14,0
2009-10-02,0.05,10.97,12.69,0
2009-10-03,0.04,0,13.92,0
2009-10-04,0.04,0.09,12.16,0
2009-10-05,0.05,0,12.4,0
2009-10-06,0.04,2.15,13.55,0
2009-10-07,0.05,0.7,12.14,0
2009-10-08,0.05,14.39,10.54,0
2009-10-09,0.08,26.62,15.57,0
2009-10-10,0.14,0.27,11.82,0
2009-10-11,0.16,0,9.32,0
2009-10-12,0.13,0.04,11.1,0
2009-10-13,0.1,0.06,12,0
2009-10-14,0.08,1.63,7.18,0
2009-10-15,0.07,6.14,6.92,0
2009-10-16,0.09,0.29,6.25,0
2009-10-17,0.12,1.5,5.72,0
2009-10-18,0.12,0,5.13,0
2009-10-19,0.1,0,6.79,0
2009-10-20,0.09,0,11.3,0
2009-10-21,0.08,0,13.06,0
2009-10-22,0.07,0.01,14.57,0
2009-10-23,0.07,15.79,14.81,0
2009-10-24,0.1,1.05,12.06,0
2009-10-25,0.18,0,9.58,0
2009-10-26,0.2,0,11.02,0
2009-10-27,0.15,3.15,11.43,0
2009-10-28,0.14,5.09,12.93,0
2009-10-29,0.17,0.6,13.62,0
2009-10-30,0.18,0.42,17.75,0
2009-10-31,0.18,17.55,12.58,0
2009-11-01,0.37,0,7.23,0
2009-11-02,0.44,0,7.7,0
2009-11-03,0.23,0,7.37,0
2009-11-04,0.16,1.23,4.52,0
2009-11-05,0.13,0.38,5.96,0
2009-11-06,0.11,0,6.14,0
2009-11-07,0.1,0,10.68,0
2009-11-08,0.09,0,13.05,0
2009-11-09,0.08,0,12.83,0
2009-11-10,0.08,0,12.38,0
2009-11-11,0.08,0,9.77,0
2009-11-12,0.07,0,7.7,0
2009-11-13,0.07,0,9.6,0
2009-11-14,0.07,0,12.5,0
2009-11-15,0.07,0,13.05,0
2009-11-16,0.07,0.05,12.1,0
2009-11-17,0.07,1.59,12.5,0
2009-11-18,0.07,14.64,10.77,0
2009-11-19,0.1,2.43,9.59,0
2009-11-20,0.12,0.01,7.66,0
2009-11-21,0.12,0,7.54,0
2009-11-22,0.1,0,8.37,0
2009-11-23,0.09,0.72,7.73,0
2009-11-24,0.09,0.03,9.28,0
2009-11-25,0.08,1.26,9.98,0
2009-11-26,0.08,0.88,6,0
2009-11-27,0.08,1.03,2.52,0.19
2009-11-28,0.08,0,3.73,0.28
2009-11-29,0.09,1.38,9.3,0.14
2009-11-30,0.09,5.94,5.58,0.03
2009-12-01,0.1,0,4.04,0.02
2009-12-02,0.11,11.54,5.86,0.01
2009-12-03,0.13,2.48,6.21,0
2009-12-04,0.2,0.03,1.43,0.01
2009-12-05,0.21,1.52,-1.29,0.93
2009-12-06,0.17,0,-2.91,1.42
2009-12-07,0.14,0.62,-0.78,1.73
2009-12-08,0.13,14.86,1.52,1.81
2009-12-09,1.95,14.7,5.56,0.75
2009-12-10,3.58,0.03,-4.3,0.45
2009-12-11,1.37,0,-4.08,0.43
2009-12-12,0.59,0,-1.39,0.4
2009-12-13,0.45,5.68,3.57,0.31
2009-12-14,0.73,0.35,6.29,0.15
2009-12-15,0.84,0.08,3.45,0.05
