DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,1.58,8.57,7.16,0
2009-10-02,1.8,7.2,2.79,0.08
2009-10-03,1.94,0.81,2.92,0.1
2009-10-04,2.08,1.9,3.45,0.08
2009-10-05,2.28,15.74,2.41,1.18
2009-10-06,2.47,6.59,1.44,4.69
2009-10-07,2.55,1.77,2.05,5.05
2009-10-08,2.88,5.23,1.46,5.35
2009-10-09,2.82,4.18,2.72,5.22
2009-10-10,2.69,1.3,0.66,3.81
2009-10-11,2.59,0.49,0.57,4.05
2009-10-12,2.47,1.57,0.47,4.12
2009-10-13,2.38,1.4,-0.59,4.57
2009-10-14,2.36,2.27,-0.93,5.77
2009-10-15,2.29,1.89,-2.84,7.9
2009-10-16,2.22,0.24,-3.39,8.24
2009-10-17,2.13,0.08,-3.96,8.16
2009-10-18,2.09,0.05,-3.09,7.96
2009-10-19,2,0,-1.86,7.65
2009-10-20,2,5.08,-0.01,10.18
2009-10-21,2.05,0.6,-1.46,11.51
2009-10-22,2.05,0.18,-4.78,11.11
2009-10-23,1.86,0.51,-4.03,11.03
2009-10-24,1.74,4.54,-3.45,11.62
2009-10-25,1.61,12.37,-0.14,22.43
2009-10-26,1.5,1.97,-6.37,27.66
2009-10-27,1.4,0.01,-9.54,27.21
2009-10-28,1.34,0,-10.86,27.11
2009-10-29,1.27,0.02,-5.48,27.01
2009-10-30,1.19,0.32,-1.04,26.89
2009-10-31,1.24,9.46,3.75,20.32
2009-11-01,1.35,1.01,-1.9,8.72
2009-11-02,1.28,0,-6.58,8.3
2009-11-03,1.23,1.18,-2.49,8.32
2009-11-04,1.18,1.06,-5.41,9.67
2009-11-05,1.12,0.04,-9.81,9.74
2009-11-06,1.07,0.23,-8.59,9.74
2009-11-07,1.01,0.08,-9.43,9.64
2009-11-08,0.98,6.72,-1.29,13.37
2009-11-09,0.96,2.95,-2.24,17.21
2009-11-10,0.99,1.33,-3.71,18.1
2009-11-11,1.07,1.42,-4.3,18.72
2009-11-12,1.12,2.45,-0.2,20.53
2009-11-13,1.24,0.32,-1.13,20.99
2009-11-14,1.39,0.1,2.11,19.54
2009-11-15,1.55,15.07,0.51,21.17
2009-11-16,1.74,11.95,-2.56,33.15
2009-11-17,1.91,0.56,-7.99,35.45
2009-11-18,1.84,0.08,-2.66,35.33
2009-11-19,1.77,0.09,-1.89,35.11
2009-11-20,1.72,3.67,-1.24,35.56
2009-11-21,1.78,3.63,-4.96,41.12
2009-11-22,1.74,0.06,-8.06,41.86
2009-11-23,1.71,0.17,-2.7,41.76
2009-11-24,1.67,0.24,-0.72,41.81
2009-11-25,1.6,0.15,-2.22,41.82
2009-11-26,1.55,7.39,-1.53,45.45
2009-11-27,1.49,0.41,-0.09,49.4
2009-11-28,1.44,22.18,-3.73,59.64
2009-11-29,1.39,8.28,-4.32,76.63
2009-11-30,1.34,0.4,-7.28,79.81
2009-12-01,1.3,0.11,-12.43,79.86
2009-12-02,1.25,0.2,-10.67,80.04
2009-12-03,1.21,0.2,-10.72,80.08
2009-12-04,1.15,1.6,-6.09,80.84
2009-12-05,1.12,0.83,-9.24,82.34
2009-12-06,1.09,0.17,-14.04,82.51
2009-12-07,1.05,0.32,-13.23,82.7
2009-12-08,1.01,0.44,-12.32,83.06
2009-12-09,0.98,0.13,-15.76,83.34
2009-12-10,0.95,6.39,-14,85.94
2009-12-11,0.92,4.12,-10.45,91.96
2009-12-12,0.89,0.68,-14.2,94.1
2009-12-13,0.86,0.75,-20.45,94.28
2009-12-14,0.83,0.22,-19.02,95.12
2009-12-15,0.82,0.46,-25.15,95.18
2009-12-16,0.79,2.43,-20.77,96.14
2009-12-17,0.78,10,-16.74,105.1
2009-12-18,0.76,9.57,-15.85,110.26
2009-12-19,0.74,1.33,-8.8,118.62
2009-12-20,0.73,5.76,-8.11,121.7
2009-12-21,0.78,3.38,-0.48,126.64
2009-12-22,0.84,3.09,-0.49,130.67
2009-12-23,0.87,0.44,-3.9,131.11
2009-12-24,0.84,0.25,-7.64,131.3
2009-12-25,0.82,0.26,-10.04,131.49
2009-12-26,0.81,0.06,-12.34,131.55
