DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0,0,4.78,0.99
2009-10-02,0,0,5.37,0.67
2009-10-03,0,1.3,3.48,0.45
2009-10-04,0,2.03,2.71,0.53
2009-10-05,0,0.75,2.4,0.71
2009-10-06,0,2.33,6.74,0.44
2009-10-07,0,1.98,0.22,1.07
2009-10-08,0,1.77,-1.72,1.67
2009-10-09,0,0.3,-7.66,2.6
2009-10-10,0,0.53,-7.66,2.81
2009-10-11,0,0.36,-7.32,3.13
2009-10-12,0,0.2,-5.99,3.25
2009-10-13,0,0.17,-2.85,3.21
2009-10-14,0,7.29,-1.7,7.66
2009-10-15,0,0,-0.52,9.16
2009-10-16,0,0,4.3,6.37
2009-10-17,0,0,11.55,1.8
2009-10-18,0,0.23,8.18,0.31
2009-10-19,0,0.03,4.32,0.1
2009-10-20,0,0.35,3.64,0.06
2009-10-21,0,0.02,4.77,0.03
2009-10-22,0,0.26,5.06,0.01
2009-10-23,0,0.29,4.74,0
2009-10-24,0,1.02,2.65,0
2009-10-25,0,0,2.5,0.01
2009-10-26,0,7.99,5.41,0
2009-10-27,0,20.05,0.68,9.39
2009-10-28,0,0.62,-1.83,15.73
2009-10-29,0,0.01,-3.44,15.6
2009-10-30,0,0.01,2.53,13.74
2009-10-31,0,0.04,8.52,5.17
2009-11-01,NA,0.65,2.45,1.41
2009-11-02,NA,0,1.42,1.17
2009-11-03,NA,0.02,1,0.96
2009-11-04,NA,0,0.84,0.8
2009-11-05,NA,0,7.78,0.55
2009-11-06,NA,0,6.92,0.2
2009-11-07,NA,0.37,2.72,0.11
2009-11-08,NA,0.01,2.21,0.09
2009-11-09,NA,0,1.95,0.07
2009-11-10,NA,0,4.52,0.05
2009-11-11,NA,0,1.76,0.03
2009-11-12,NA,0,-2.37,0.03
2009-11-13,NA,0,-2.44,0.03
2009-11-14,NA,0,-3.01,0.02
2009-11-15,NA,0,-0.53,0.02
2009-11-16,NA,0,5.11,0.02
2009-11-17,NA,0,7.65,0.01
2009-11-18,NA,0,2.18,0.01
2009-11-19,NA,0,1.6,0.01
2009-11-20,NA,0,5.39,0
2009-11-21,NA,3.28,0.92,0.99
2009-11-22,NA,0,-2.4,2.78
2009-11-23,NA,0,-1.09,2.68
2009-11-24,NA,0.11,-0.21,2.59
2009-11-25,NA,0,0.52,2.37
2009-11-26,NA,0,6.09,1.58
2009-11-27,NA,6.19,-0.88,3.2
2009-11-28,NA,0.09,-5.44,7.3
2009-11-29,NA,0,-1.69,7.07
2009-11-30,NA,1.24,0.76,6.45
2009-12-01,NA,0.2,-6.22,6.89
2009-12-02,NA,0.47,-10.37,7.03
2009-12-03,NA,0.01,-10.59,7.16
2009-12-04,NA,0.18,-7.8,7
2009-12-05,NA,7.32,-9.15,10.86
2009-12-06,NA,1.85,-18.24,15.13
2009-12-07,NA,0.14,-23.87,15.78
2009-12-08,NA,0,-25.78,15.8
2009-12-09,NA,2.24,-17.77,16.56
2009-12-10,NA,1.49,-15.43,19.07
2009-12-11,NA,0.6,-15.14,19.57
2009-12-12,NA,2.04,-21.04,21
2009-12-13,NA,1.47,-26.95,22.75
2009-12-14,NA,0.43,-29.11,23.75
2009-12-15,NA,0.21,-14.6,23.94
2009-12-16,NA,0,-1.26,24.04
2009-12-17,NA,0,-1.56,24.24
2009-12-18,NA,0,-6.87,24.39
2009-12-19,NA,0.55,-4.15,24.8
2009-12-20,NA,2.43,-8.65,25.76
2009-12-21,NA,5.33,-7.59,31.12
2009-12-22,NA,2.2,-10.49,33.47
2009-12-23,NA,2.45,-19.42,37.1
2009-12-24,NA,0.02,-19.35,37.32
2009-12-25,NA,0.13,-12.66,37.44
2009-12-26,NA,0.01,-14.15,37.52
2009-12-27,NA,0,-10.75,37.58
2009-12-28,NA,0,-9.97,37.57
2009-12-29,NA,0,-11.65,37.59
2009-12-30,NA,1.42,-18.31,37.9
2009-12-31,NA,2.22,-20.11,40.06
2010-01-01,NA,0.15,-15.91,41.33
2010-01-02,NA,0.07,-9.2,41.46
2010-01-03,NA,0.03,-13.76,41.54
2010-01-04,NA,0.95,-13.25,41.93
2010-01-05,NA,5.65,-15.02,46.19
2010-01-06,NA,0.21,-23.2,48.26
2010-01-07,NA,0,-21.32,48.32
2010-01-08,NA,0,-11.94,48.17
2010-01-09,NA,0,-3.56,48.13
2010-01-10,NA,0,-3.35,48.23
2010-01-11,NA,0,0.03,48.31
2010-01-12,NA,0,2.98,47.96
2010-01-13,NA,0,-0.42,47.51
2010-01-14,NA,0,-1.12,47.64
2010-01-15,NA,0,1.71,47.53
2010-01-16,NA,0.05,-1.09,47.24
2010-01-17,NA,0,-3.98,47.33
2010-01-18,NA,0,-0.69,47.28
2010-01-19,NA,0,-2.08,47.14
2010-01-20,NA,0,-3.87,47.1
2010-01-21,NA,0.03,-5.63,47.16
2010-01-22,NA,1.03,-6.86,47.4
2010-01-23,NA,8.73,-7.47,52.25
2010-01-24,NA,2.42,-9,58.24
2010-01-25,NA,0.21,-14.42,59
2010-01-26,NA,0.09,-16.39,59.18
2010-01-27,NA,0.01,-17.64,59.22
2010-01-28,NA,0,-12.44,59.27
2010-01-29,NA,0,-9.21,59.29
2010-01-30,NA,0.01,-10.66,59.27
2010-01-31,NA,1.66,-11.36,60.17
2010-02-01,0,0.16,-12.13,60.88
2010-02-02,0,0.01,-7.91,60.99
2010-02-03,0,0.06,-7.97,61.05
2010-02-04,0,0.03,-8.66,61.09
2010-02-05,0,0.06,-7.24,61.1
2010-02-06,0,0.13,-7.57,61.1
2010-02-07,0,0.12,-8.92,61.12
2010-02-08,0,0,-16.51,61.09
2010-02-09,0,0.01,-14.16,61
2010-02-10,0,0.04,-7.84,60.99
2010-02-11,0,0,-8.08,61.03
