DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,0,4.93,0
2009-10-02,NA,1.51,4.54,0
2009-10-03,NA,4.47,2.45,0.79
2009-10-04,NA,5.94,0.94,4.94
2009-10-05,NA,1.28,1.92,7
2009-10-06,NA,1.99,6.41,4.79
2009-10-07,NA,1.17,0.36,3.12
2009-10-08,NA,0.93,-3.53,3.73
2009-10-09,NA,0.03,-7.3,3.96
2009-10-10,NA,0.21,-7.32,3.88
2009-10-11,NA,0.2,-7.32,3.95
2009-10-12,NA,0.14,-7.71,3.94
2009-10-13,NA,1.86,-5.75,4.65
2009-10-14,NA,4.22,-3.26,8.67
2009-10-15,NA,0.01,-1.04,8.88
2009-10-16,NA,0,2.76,6.71
2009-10-17,NA,0.72,5.25,3.36
2009-10-18,NA,0.69,1.98,1.91
2009-10-19,NA,1.4,1.63,1.46
2009-10-20,NA,0.65,2.33,1.11
2009-10-21,NA,0,2.72,0.82
2009-10-22,NA,0.13,3.56,0.55
2009-10-23,NA,0.76,3.19,0.38
2009-10-24,NA,2.08,2.03,0.33
2009-10-25,NA,0.09,1.28,0.3
2009-10-26,NA,1.48,1.94,0.38
2009-10-27,NA,3.96,0.89,3.57
2009-10-28,NA,0.15,-1.02,3.79
2009-10-29,NA,1.85,-1.83,4.16
2009-10-30,NA,0.32,2.22,4.91
2009-10-31,NA,0.47,5.22,3.47
2009-11-01,NA,0.31,0.17,2.54
2009-11-02,NA,0.03,0.71,2.27
2009-11-03,NA,0.05,1.21,2.03
2009-11-04,NA,0,-1.02,1.87
2009-11-05,NA,0,5.09,1.56
2009-11-06,NA,0.02,5.67,0.8
2009-11-07,NA,0.04,1.71,0.63
2009-11-08,NA,0,-0.15,0.59
2009-11-09,NA,0,0.58,0.55
2009-11-10,NA,0.06,1.21,0.49
2009-11-11,NA,0.04,-0.23,0.44
2009-11-12,NA,0,-2.94,0.42
2009-11-13,NA,0.1,-2.36,0.41
2009-11-14,NA,0.12,-2.05,0.58
2009-11-15,NA,0,0.58,0.56
2009-11-16,NA,0,3.87,0.47
