DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,0,4.09,0.09
2009-10-02,NA,3.85,3.41,0.12
2009-10-03,NA,7.89,1.36,3.33
2009-10-04,NA,7.74,-0.09,10.54
2009-10-05,NA,0.96,0.67,13.01
2009-10-06,NA,2.96,5.04,9.91
2009-10-07,NA,1,-0.87,8.41
2009-10-08,NA,2.1,-5.3,9.02
2009-10-09,NA,0.03,-9,9.76
2009-10-10,NA,0.16,-10.19,9.43
2009-10-11,NA,0.16,-9.89,9.18
2009-10-12,NA,0.09,-10.21,8.9
2009-10-13,NA,2.59,-6.9,9.95
2009-10-14,NA,4.55,-4.08,14.34
2009-10-15,NA,0.01,-1.74,13.87
2009-10-16,NA,0,2.05,10.61
2009-10-17,NA,1.27,4.95,6.53
2009-10-18,NA,0.07,1.69,3.95
2009-10-19,NA,1.83,0.67,3.26
2009-10-20,NA,1.49,1.61,3.81
2009-10-21,NA,0.01,1.85,3.33
2009-10-22,NA,0.52,2.55,2.54
2009-10-23,NA,0.76,2.47,1.95
2009-10-24,NA,2.95,1.08,1.92
2009-10-25,NA,0.15,-0.09,1.86
2009-10-26,NA,3.17,1.35,2.11
2009-10-27,NA,5.38,-0.35,8.39
2009-10-28,NA,0.14,-4.63,8.59
2009-10-29,NA,1.08,-3.85,8.62
2009-10-30,NA,0.1,1.75,8.51
2009-10-31,NA,0.07,4.3,6.42
2009-11-01,NA,0.03,-1.18,5.13
2009-11-02,NA,0.16,-0.87,4.76
2009-11-03,NA,0.04,-0.55,4.45
2009-11-04,NA,0,-1.69,4.16
2009-11-05,NA,0.02,3.93,3.58
2009-11-06,NA,0.2,3.99,2.47
2009-11-07,NA,0.22,0.08,2.34
2009-11-08,NA,0.02,-1.44,2.39
2009-11-09,NA,0,-0.6,2.29
2009-11-10,NA,0.04,0.87,2.16
2009-11-11,NA,0.05,-0.82,2.04
2009-11-12,NA,0,-4.22,1.97
2009-11-13,NA,0.24,-3.63,1.92
2009-11-14,NA,0.43,-3.1,2.43
2009-11-15,NA,0,-0.63,2.39
2009-11-16,NA,0.07,3.06,2.17
2009-11-17,NA,0.42,4.34,1.91
2009-11-18,NA,0.04,-1.27,1.78
2009-11-19,NA,0.2,-0.1,1.82
2009-11-20,NA,0,1.74,1.79
2009-11-21,NA,0.31,-0.22,1.77
2009-11-22,NA,0.21,-2.56,1.89
2009-11-23,NA,0.01,-1.7,1.9
2009-11-24,NA,0.09,-2.21,1.87
2009-11-25,NA,0.1,-0.68,1.83
2009-11-26,NA,0.22,0.1,1.74
2009-11-27,NA,4.01,-1.87,4.21
2009-11-28,NA,0.01,-4.8,5.35
2009-11-29,NA,0,0.31,5.16
2009-11-30,NA,5.4,-2.11,6.53
2009-12-01,NA,0,-9.72,9.93
2009-12-02,NA,0,-13.76,9.79
2009-12-03,NA,0,-11.3,9.65
2009-12-04,NA,7.93,-5.23,12.02
2009-12-05,NA,4.6,-10.56,19.82
2009-12-06,NA,0.75,-20.1,21.74
2009-12-07,NA,0,-23.53,21.78
2009-12-08,NA,0.07,-22.81,21.7
2009-12-09,NA,0.92,-15.97,21.96
2009-12-10,NA,0.3,-15.84,22.34
2009-12-11,NA,0.77,-14.43,22.58
2009-12-12,NA,1.24,-23.12,23.57
2009-12-13,NA,0.8,-28.7,24.48
2009-12-14,NA,0.15,-28.22,24.92
2009-12-15,NA,0.06,-14.33,24.84
2009-12-16,NA,0.08,-4.11,24.64
2009-12-17,NA,0.03,-3.6,24.45
2009-12-18,NA,0,-4.32,24.24
2009-12-19,NA,0.96,-6.54,24.47
2009-12-20,NA,1.47,-9.9,25.36
2009-12-21,NA,1.56,-12.45,26.86
2009-12-22,NA,2.18,-15.25,28.54
2009-12-23,NA,0.08,-20.9,29.68
2009-12-24,NA,0.03,-15.09,29.61
2009-12-25,NA,0,-12.38,29.51
2009-12-26,NA,0,-9.53,29.41
2009-12-27,NA,0,-8.05,29.29
2009-12-28,NA,0,-10.78,29.1
2009-12-29,NA,0,-11.68,28.89
2009-12-30,NA,0.84,-18.09,29.07
2009-12-31,NA,0.65,-21.58,29.96
2010-01-01,NA,0.22,-14.11,30.33
2010-01-02,NA,0.09,-9.09,30.33
2010-01-03,NA,0.14,-9.8,30.25
2010-01-04,NA,1.09,-11.31,30.72
2010-01-05,NA,4.45,-14.48,34.3
2010-01-06,NA,0,-21.72,35.67
2010-01-07,NA,0,-16.25,35.58
2010-01-08,NA,0,-4.66,35.18
2010-01-09,NA,0.01,-2.12,34.68
2010-01-10,NA,0,-1.46,34.12
2010-01-11,NA,0.3,0.54,33.69
2010-01-12,NA,0.06,0.57,32.4
2010-01-13,NA,0.01,-0.94,30.91
2010-01-14,NA,0.05,0.27,29.81
2010-01-15,NA,0.42,0.01,28.63
2010-01-16,NA,0.01,-3.67,27.76
2010-01-17,NA,0,-6.5,27.47
2010-01-18,NA,0.01,-2.14,26.72
2010-01-19,NA,0.01,-4.22,25.81
2010-01-20,NA,0.02,-4.01,25.16
2010-01-21,NA,0.07,-6.33,24.69
2010-01-22,NA,0.56,-8.08,24.82
2010-01-23,NA,1.64,-8.62,25.5
2010-01-24,NA,0.29,-10.39,26.25
2010-01-25,NA,0.48,-12.87,26.47
2010-01-26,NA,0.05,-14.04,26.53
2010-01-27,NA,0,-15.7,26.37
2010-01-28,NA,0,-8,26.08
2010-01-29,NA,0,-6.3,25.66
2010-01-30,NA,1.51,-8.08,25.62
2010-01-31,NA,1.47,-9.88,27.37
2010-02-01,NA,0.54,-7.46,28.08
2010-02-02,NA,0.15,-7.36,27.7
2010-02-03,NA,0.16,-8.55,27.48
2010-02-04,NA,0.01,-8.62,27.1
2010-02-05,NA,0,-8.82,26.71
2010-02-06,NA,0.02,-9.16,26.45
2010-02-07,NA,0.06,-8.72,26.27
2010-02-08,NA,0.06,-9.11,26.12
2010-02-09,NA,0,-7.9,25.65
2010-02-10,NA,0,-7.23,25.03
2010-02-11,NA,0,-7.49,24.34
2010-02-12,NA,0.01,-3.57,22.85
2010-02-13,NA,0.05,-5.1,21.27
2010-02-14,NA,0.15,-3.28,20.28
2010-02-15,NA,2.89,-0.14,20.98
2010-02-16,NA,1.66,-2.29,20.16
2010-02-17,NA,4.37,-1.45,23.21
2010-02-18,NA,0.26,-3.42,24.23
2010-02-19,NA,0.15,-6.95,23.73
2010-02-20,NA,0.15,-7.66,23.54
2010-02-21,NA,0,-6.95,22.69
2010-02-22,NA,0,-5.34,21.13
2010-02-23,NA,0,-5.14,19.71
2010-02-24,NA,0.26,-1.4,18.41
2010-02-25,NA,0.03,-2.32,17.11
2010-02-26,NA,0,-2.91,15.5
2010-02-27,NA,0,-0.46,13.38
2010-02-28,NA,0,0.19,10.83
2010-03-01,NA,0,0.03,8.96
2010-03-02,NA,0,1.05,7.23
2010-03-03,NA,0,1.96,5.89
2010-03-04,NA,0.06,0.89,4.88
2010-03-05,NA,0,0.41,4.05
2010-03-06,NA,0,0.55,3.42
2010-03-07,NA,0,0.92,2.88
2010-03-08,NA,2.73,-0.71,2.99
2010-03-09,NA,0.61,-3.31,5.11
2010-03-10,NA,0,-3.63,5.09
2010-03-11,NA,0.02,-1.08,4.64
2010-03-12,NA,0.03,2.19,3.85
2010-03-13,NA,2.31,-0.43,4.14
2010-03-14,NA,0,-0.45,4.62
2010-03-15,NA,0.09,3.63,3.83
2010-03-16,NA,0,5.23,2.8
2010-03-17,NA,0.3,3.44,2.23
2010-03-18,NA,1.04,-1.11,2.38
2010-03-19,NA,1.32,-1.98,3.57
2010-03-20,NA,0,1.7,3.49
2010-03-21,NA,0,3.16,2.75
2010-03-22,NA,2.16,0.34,2.88
2010-03-23,NA,0.01,1.13,3.1
2010-03-24,NA,0.04,-1.3,2.66
2010-03-25,NA,0,2.01,2.17
2010-03-26,NA,5.29,2.02,3.14
2010-03-27,NA,0,3.81,3.05
2010-03-28,NA,0.16,5.32,2.1
2010-03-29,NA,1.31,3.86,1.55
2010-03-30,NA,0.18,0.99,1.35
2010-03-31,NA,0.35,0.06,1.27
2010-04-01,NA,0.15,-0.08,1.19
2010-04-02,NA,0.04,0.37,1.11
2010-04-03,NA,0.21,1.18,1.06
2010-04-04,NA,0.11,1.03,1
2010-04-05,NA,0,0.67,0.93
2010-04-06,NA,0.17,2.19,0.87
2010-04-07,NA,0.01,3.87,0.78
2010-04-08,NA,2.09,2.59,0.92
2010-04-09,NA,0.2,-1.39,1.48
2010-04-10,NA,0,-0.93,1.41
