DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.35,0.02,0.68,1.63
2009-10-02,0.35,4.56,0.57,2.16
2009-10-03,0.37,10.12,-1.58,8.62
2009-10-04,0.36,11.71,-3.51,20.61
2009-10-05,0.35,1.26,-2.55,26.05
2009-10-06,0.36,4.35,0.54,24.16
2009-10-07,0.36,2.06,-5.51,25.25
2009-10-08,0.33,4.48,-11.22,27.3
2009-10-09,0.32,0.13,-14.68,30.06
2009-10-10,0.3,0.18,-17.48,29.9
2009-10-11,0.28,0.17,-16.63,29.86
2009-10-12,0.27,0.07,-16.76,29.75
2009-10-13,0.28,3.1,-10.22,31.37
2009-10-14,0.3,4.84,-5.27,36.18
2009-10-15,0.32,0,-1.61,36.29
2009-10-16,0.33,0.01,0.79,33.42
2009-10-17,0.4,1.66,2.79,26.9
2009-10-18,0.5,0.27,1.52,19.72
2009-10-19,0.45,2.31,-1.76,17.51
2009-10-20,0.43,3.06,-0.83,19.18
2009-10-21,0.42,0.1,-1.39,19.2
2009-10-22,0.41,0.39,-0.48,17.34
2009-10-23,0.4,0.88,-0.72,15.93
2009-10-24,0.4,4.17,-2.37,17.79
2009-10-25,0.39,0.13,-6.07,18.5
2009-10-26,0.39,4.59,-1.67,19.4
2009-10-27,0.4,7.6,-4.09,28.67
2009-10-28,0.36,0.32,-11.82,29.7
2009-10-29,0.37,0.85,-10.18,29.87
2009-10-30,0.36,0.12,-0.94,30.04
2009-10-31,0.36,0.34,1.85,27.33
2009-11-01,NA,0.04,-6.43,25.55
2009-11-02,NA,0.06,-6.97,25.28
2009-11-03,NA,0.07,-6.65,25.1
2009-11-04,NA,0,-6.18,24.88
2009-11-05,NA,0.17,0.13,23.79
2009-11-06,NA,1.58,-0.74,23.11
2009-11-07,NA,1.32,-4.59,23.79
2009-11-08,NA,0.32,-6.86,24.51
2009-11-09,NA,0.04,-5.05,24.33
2009-11-10,NA,0.31,-2.83,24.18
2009-11-11,NA,0.39,-5.35,24.2
2009-11-12,NA,0.04,-10.9,24.15
2009-11-13,NA,0.28,-9.86,23.98
2009-11-14,NA,1.11,-8.51,24.86
2009-11-15,NA,0.03,-6.65,24.79
2009-11-16,NA,0.36,-0.52,24.35
2009-11-17,NA,1.86,0.48,24.77
2009-11-18,NA,0.1,-5.85,25.24
2009-11-19,NA,0.88,-3.9,25.32
2009-11-20,NA,0.02,0.29,25.12
2009-11-21,NA,0.17,-5.47,24.71
2009-11-22,NA,0.66,-7.2,24.95
2009-11-23,NA,0.11,-5.88,25.14
2009-11-24,NA,0.14,-6.17,25.09
2009-11-25,NA,0.16,-4.19,25.03
2009-11-26,NA,0.57,-1.8,25.11
2009-11-27,NA,3.96,-5.65,27.96
2009-11-28,NA,0.09,-11.58,28.91
2009-11-29,NA,0.05,-4.82,28.8
2009-11-30,NA,7.36,-4.66,30.44
2009-12-01,NA,0.12,-16.03,35.87
2009-12-02,NA,0,-21.97,35.77
2009-12-03,NA,0,-16.95,35.61
2009-12-04,NA,7.58,-10.35,37.64
2009-12-05,NA,5.59,-13.54,46.01
2009-12-06,NA,1.1,-22.76,48.87
2009-12-07,NA,0.01,-29.3,49.06
2009-12-08,NA,0.04,-27.82,49.03
2009-12-09,NA,0.29,-21.31,49.15
2009-12-10,NA,0.14,-20.99,49.21
2009-12-11,NA,0.25,-18.69,49.32
2009-12-12,NA,1.12,-23.99,49.92
2009-12-13,NA,0.63,-28.86,50.84
2009-12-14,NA,0.3,-28.78,51.34
2009-12-15,NA,0.4,-16.04,51.52
2009-12-16,NA,0.36,-6.28,51.81
2009-12-17,NA,0.09,-4.24,51.77
2009-12-18,NA,0.03,-5.75,51.75
2009-12-19,NA,0.19,-7,51.78
2009-12-20,NA,1.47,-9.42,52.59
2009-12-21,NA,1.86,-9.31,54.03
2009-12-22,NA,2.57,-13.8,55.96
2009-12-23,NA,0.44,-20.06,57.85
2009-12-24,NA,0,-17.97,57.87
2009-12-25,NA,0,-15.98,57.85
2009-12-26,NA,0,-13.82,57.81
2009-12-27,NA,0,-10.22,57.79
2009-12-28,NA,0,-13.02,57.69
2009-12-29,NA,0,-14.7,57.53
2009-12-30,NA,0.67,-18.2,57.64
2009-12-31,NA,0.75,-18.88,58.59
2010-01-01,NA,0.4,-11.1,59.15
2010-01-02,NA,0.13,-6.07,59.38
2010-01-03,NA,0.4,-7.78,59.47
2010-01-04,NA,2.84,-10.4,60.75
2010-01-05,NA,4.85,-15.07,65.81
2010-01-06,NA,0,-22.48,67.31
2010-01-07,NA,0,-16.71,67.28
2010-01-08,NA,0,-9.06,66.93
2010-01-09,NA,0.02,-7.86,66.66
2010-01-10,NA,0.02,-5.48,66.48
2010-01-11,NA,0.2,-0.62,66.39
2010-01-12,NA,0.05,-0.8,66.39
2010-01-13,NA,0.16,-1.54,66.26
2010-01-14,NA,0.16,-1.08,66.15
2010-01-15,NA,1.63,-1.05,66.02
2010-01-16,NA,0.03,-5.55,66.78
2010-01-17,NA,0.07,-7.82,66.73
2010-01-18,NA,0.15,-2.61,66.76
2010-01-19,NA,0.16,-5.96,66.64
2010-01-20,NA,0.11,-6.63,66.8
2010-01-21,NA,0.09,-7.6,66.76
2010-01-22,NA,0.49,-9.84,67
2010-01-23,NA,1.52,-10.53,67.86
2010-01-24,NA,0.26,-11.86,68.66
2010-01-25,NA,0.53,-12.94,69.11
2010-01-26,NA,0.16,-12.62,69.33
2010-01-27,NA,0,-14.96,69.32
2010-01-28,NA,0,-9.25,69.22
2010-01-29,NA,0.05,-6.2,69.1
2010-01-30,NA,1.94,-8.29,69.36
2010-01-31,NA,1.53,-9.06,71.83
2010-02-01,NA,0.37,-7.36,72.51
2010-02-02,NA,0.41,-6.2,72.79
2010-02-03,NA,0.07,-7.82,72.84
2010-02-04,NA,0,-9.5,72.8
2010-02-05,NA,0,-9.21,72.72
2010-02-06,NA,0,-9,72.58
2010-02-07,NA,0.01,-9.67,72.48
2010-02-08,NA,0,-10,72.39
2010-02-09,NA,0,-9.84,72.26
2010-02-10,NA,0.02,-9.11,72.09
2010-02-11,NA,0.06,-7.48,71.94
2010-02-12,NA,0.11,-4.08,71.75
2010-02-13,NA,0.04,-4.27,71.47
2010-02-14,NA,0.39,-4.07,71.23
2010-02-15,NA,3.54,-1.81,73.73
2010-02-16,NA,0.57,-2.95,74.67
2010-02-17,NA,4.95,-4.17,77.81
2010-02-18,NA,0.48,-6.25,79.91
2010-02-19,NA,0.47,-10.02,79.9
2010-02-20,NA,0.48,-9.88,80.31
2010-02-21,NA,0,-9.24,80.27
2010-02-22,NA,0,-7.19,80.06
2010-02-23,NA,0,-6.52,79.82
2010-02-24,NA,0.1,-4.14,79.48
2010-02-25,NA,0.06,-4.3,79.17
2010-02-26,NA,0.02,-4.51,78.83
2010-02-27,NA,0,-2.37,77.94
2010-02-28,NA,0,-2.38,76.38
2010-03-01,NA,0,-2.9,74.84
2010-03-02,NA,0,-1.01,72.98
2010-03-03,NA,0,-0.83,71.06
2010-03-04,NA,0.88,-2.78,69.66
2010-03-05,NA,0,-3.44,68.35
2010-03-06,NA,0,-3.71,66.46
2010-03-07,NA,0,-2.31,64.73
2010-03-08,NA,6.18,-3.2,64.85
2010-03-09,NA,1.66,-6.8,69.57
2010-03-10,NA,0.01,-8.79,69.8
2010-03-11,NA,0.12,-6.13,69.15
2010-03-12,NA,0.31,-1.74,68.04
2010-03-13,NA,1.74,-3.18,67.85
2010-03-14,NA,0,-6.33,67.85
2010-03-15,NA,0.04,-0.95,66.81
2010-03-16,NA,0,2.2,64.79
2010-03-17,NA,1.39,0.3,63.29
2010-03-18,NA,2.72,-5.89,64.27
2010-03-19,NA,0.83,-7.03,66.04
2010-03-20,NA,0,-3.39,65.69
2010-03-21,NA,0.03,-1.03,64.59
2010-03-22,NA,6.93,-2.06,66.46
2010-03-23,NA,0.03,-3.07,69.36
2010-03-24,NA,0.2,-3.64,68.58
