DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0,0,5.29,0
2009-10-02,0,0,5.74,0
2009-10-03,0,1.8,3.49,0
2009-10-04,0,2.86,3.24,0.01
2009-10-05,0,0.06,2.71,0.01
2009-10-06,0,0.79,6.55,0.01
2009-10-07,0,0.31,1.36,0.12
2009-10-08,0,1.37,-2.79,0.88
2009-10-09,0,0.03,-5.92,1.35
2009-10-10,0,0.4,-5.54,1.44
2009-10-11,0,0.53,-5.71,1.83
2009-10-12,0,0.31,-6.35,2.13
2009-10-13,0,0.32,-3.76,2.25
2009-10-14,0,5.84,-1.82,6.45
2009-10-15,0,0.02,-1.47,7.65
2009-10-16,0,0,1.44,5.83
2009-10-17,0,1.18,7.89,2.04
2009-10-18,0,2.84,4.2,0.91
2009-10-19,0,3.56,4.09,0.49
2009-10-20,0,1.54,4.38,0.27
2009-10-21,0,0.01,3.88,0.13
2009-10-22,0,0.13,4.34,0.05
2009-10-23,0,0.29,2.84,0.02
2009-10-24,0,0.16,3.49,0.02
2009-10-25,0,0,2.58,0.01
2009-10-26,0,3.52,3.97,0.02
2009-10-27,0,4.4,2.24,0.38
2009-10-28,0,0.42,0.04,0.41
2009-10-29,0,0.86,-1.17,0.69
2009-10-30,0,0.41,1.78,1.18
2009-10-31,0,1.42,6.41,0.61
2009-11-01,NA,0.75,1.02,0.24
2009-11-02,NA,0,0.34,0.19
2009-11-03,NA,0.16,1.27,0.18
2009-11-04,NA,0,-1.3,0.15
2009-11-05,NA,0,5.46,0.11
2009-11-06,NA,0.26,6.28,0.03
2009-11-07,NA,0.04,2.38,0.02
2009-11-08,NA,0,-0.12,0.02
2009-11-09,NA,0,0.96,0.01
2009-11-10,NA,0.11,3.17,0.01
2009-11-11,NA,0.12,0.42,0.01
2009-11-12,NA,0.06,-2.04,0.07
2009-11-13,NA,0,-2.87,0.07
2009-11-14,NA,0.02,-2.49,0.08
2009-11-15,NA,0,0.2,0.08
2009-11-16,NA,0,6.19,0.05
2009-11-17,NA,0,7,0.01
2009-11-18,NA,0.47,1.18,0.01
2009-11-19,NA,0.05,1.53,0
2009-11-20,NA,0,4.54,0
2009-11-21,NA,3.89,0.65,1.94
2009-11-22,NA,0,-2.98,3.5
2009-11-23,NA,0.01,-2.6,3.44
2009-11-24,NA,0.05,-0.98,3.36
2009-11-25,NA,0.02,-1.08,3.25
2009-11-26,NA,0.43,1.55,3.07
2009-11-27,NA,0.84,-1.89,3.44
2009-11-28,NA,0,-4.83,3.94
2009-11-29,NA,0,-0.81,3.79
2009-11-30,NA,2.2,-1.96,4.34
2009-12-01,NA,0,-5.33,5.48
2009-12-02,NA,0,-9.35,5.33
2009-12-03,NA,0,-10.41,5.33
2009-12-04,NA,6.57,-5.49,7.21
2009-12-05,NA,5.11,-8.95,14.93
2009-12-06,NA,0.59,-19.2,16.57
2009-12-07,NA,0.04,-28.44,16.76
2009-12-08,NA,0.06,-26.84,16.79
2009-12-09,NA,1.45,-15.77,17.58
2009-12-10,NA,1.96,-13.94,19.64
2009-12-11,NA,1.13,-14.86,20.56
2009-12-12,NA,0.92,-25.5,21.87
2009-12-13,NA,0.49,-28.76,22.31
2009-12-14,NA,0.01,-31.97,22.55
2009-12-15,NA,0.05,-25.66,22.57
2009-12-16,NA,0.05,-7.95,22.6
2009-12-17,NA,0,-5.29,22.65
2009-12-18,NA,0.01,-11.6,22.71
2009-12-19,NA,0.54,-7.16,23.09
2009-12-20,NA,1.09,-11.21,23.55
2009-12-21,NA,2.44,-11.9,25.21
2009-12-22,NA,4.97,-13.48,28.84
2009-12-23,NA,0.04,-21.52,31.51
2009-12-24,NA,0.08,-22.12,31.56
2009-12-25,NA,0.02,-16.31,31.63
2009-12-26,NA,0.01,-16.14,31.71
2009-12-27,NA,0.01,-14.56,31.72
2009-12-28,NA,0.04,-15.46,31.76
2009-12-29,NA,0,-15.55,31.83
2009-12-30,NA,1.57,-18.91,32.41
2009-12-31,NA,0.39,-23.79,33.49
2010-01-01,NA,0.11,-18.86,33.81
2010-01-02,NA,0.08,-16.53,33.91
2010-01-03,NA,0.01,-19.34,33.95
2010-01-04,NA,0.44,-14.83,34.18
2010-01-05,NA,2.31,-16.44,35.68
2010-01-06,NA,0.08,-24.29,36.67
2010-01-07,NA,0.05,-21.96,36.77
2010-01-08,NA,0,-14.91,36.76
2010-01-09,NA,0,-5.32,36.79
2010-01-10,NA,0,-3.86,36.87
2010-01-11,NA,0,1.61,35.87
2010-01-12,NA,0.46,4.16,29.56
2010-01-13,NA,0.48,-0.65,24.95
2010-01-14,NA,0.14,-2.04,24.8
2010-01-15,NA,0,2.68,23.25
2010-01-16,NA,0,-2.83,21.39
2010-01-17,NA,0,-2.97,21.45
2010-01-18,NA,0,-0.81,20.71
2010-01-19,NA,0,-5.26,19.6
2010-01-20,NA,0.01,-5.11,19.55
2010-01-21,NA,0.28,-5.86,19.61
2010-01-22,NA,0.84,-5.61,20.03
2010-01-23,NA,1.99,-6.65,21.21
2010-01-24,NA,0.31,-9.24,21.84
2010-01-25,NA,0.37,-14.17,21.84
2010-01-26,NA,0.09,-16.53,22.02
2010-01-27,NA,0,-17.56,22
2010-01-28,NA,0,-13.31,21.95
2010-01-29,NA,0.02,-12.15,21.85
2010-01-30,NA,0.03,-11.2,21.71
2010-01-31,NA,1.4,-12.11,22.08
2010-02-01,NA,0.17,-10.87,22.75
2010-02-02,NA,0.17,-12.03,22.77
2010-02-03,NA,0.36,-8.43,23.01
2010-02-04,NA,0.14,-7.31,23.01
2010-02-05,NA,0.08,-7.11,22.93
2010-02-06,NA,0.2,-6.73,22.88
2010-02-07,NA,0.3,-7.47,22.92
2010-02-08,NA,0.07,-11.07,22.77
2010-02-09,NA,0,-12.16,22.57
2010-02-10,NA,0.34,-7.61,22.57
2010-02-11,NA,0.04,-9.01,22.5
2010-02-12,NA,0.23,-7.93,22.43
2010-02-13,NA,1.31,-10.03,23.17
2010-02-14,NA,0.09,-9.14,23.18
2010-02-15,NA,0.8,-3.25,22.82
2010-02-16,NA,0.25,-4.95,21.97
2010-02-17,NA,0.79,-1.74,22.33
2010-02-18,NA,0.1,-2.64,22.37
2010-02-19,NA,0.15,-7.65,22.11
2010-02-20,NA,0.09,-8.6,21.94
2010-02-21,NA,0,-7.42,21.69
2010-02-22,NA,0.08,-6.96,21.45
2010-02-23,NA,0.07,-5.64,21.25
2010-02-24,NA,0.09,-4.79,20.72
2010-02-25,NA,0,-3.51,18.61
2010-02-26,NA,0,-2.94,14.96
2010-02-27,NA,0.08,-0.66,11.98
2010-02-28,NA,0,-2.41,9.48
2010-03-01,0,0,-1.82,7.09
2010-03-02,0,0,0.29,5.04
2010-03-03,0,0,0.49,3.53
2010-03-04,0,0.08,2.19,2.42
2010-03-05,0,0,2.49,1.4
2010-03-06,0,0,1.92,0.81
2010-03-07,0,0,2.43,0.47
2010-03-08,0,0.06,-0.04,0.3
2010-03-09,0,1.34,-1.89,0.53
2010-03-10,0,0.35,-1.57,1.72
2010-03-11,0,0,0.45,1.27
2010-03-12,0,0,5.07,0.63
2010-03-13,0,0.1,0.1,0.26
2010-03-14,0.01,0,1.08,0.21
2010-03-15,0.02,0,3.71,0.1
2010-03-16,0.03,0,7.07,0.04
2010-03-17,0.02,0.42,5.89,0.01
2010-03-18,0.02,1.29,0.32,0.34
2010-03-19,0.02,0.34,-1.83,0.91
2010-03-20,0.01,0,2.87,0.65
2010-03-21,0.01,0,3.3,0.26
2010-03-22,0.01,0.57,-0.48,0.39
2010-03-23,0.01,0.05,1.6,0.4
2010-03-24,0.01,0.08,-3.02,0.26
2010-03-25,0.01,0,-0.08,0.22
2010-03-26,0.01,0.01,1.44,0.1
2010-03-27,0.01,0,5.03,0.04
2010-03-28,0.01,0,6.8,0.01
2010-03-29,0.01,0.55,6.77,0
2010-03-30,0.01,0.06,3.84,0
2010-03-31,0.01,0.09,3.25,0
2010-04-01,0.01,0.04,2.61,0
2010-04-02,0.01,0,2.96,0
2010-04-03,0,0.17,4.06,0
2010-04-04,0,0.11,3.85,0
2010-04-05,0,0,3.28,0
2010-04-06,0,0.24,5.56,0
2010-04-07,0,0,6.27,0
2010-04-08,0,8.42,5.87,1.01
2010-04-09,0,0.63,0.67,5.89
2010-04-10,0,0.01,0.04,4.76
2010-04-11,0,0.25,-1.41,4.11
2010-04-12,0,1.61,0.94,4.11
2010-04-13,0,8.28,0.67,5.43
2010-04-14,0.04,15.49,2.65,18.77
2010-04-15,0.01,0,2.1,14.48
2010-04-16,0.01,0,4.16,8.57
2010-04-17,0.02,0,8.54,3.08
2010-04-18,0.02,2.31,10.35,0.91
2010-04-19,0.03,0,11.68,0.23
2010-04-20,0.03,0,12.83,0.03
2010-04-21,0.02,0,12.9,0
2010-04-22,0.02,1.98,10.65,0
2010-04-23,0.03,9.18,5.88,2.26
2010-04-24,0.02,3.08,3.99,1.18
2010-04-25,0.02,1.14,3.41,0.71
2010-04-26,0.02,1.03,4.18,0.35
2010-04-27,0.02,0.75,5.99,0.1
2010-04-28,0.05,20.39,4.32,0.23
2010-04-29,0.04,11.49,1.92,4.36
2010-04-30,0.1,0.12,5.18,4.27
2010-05-01,0.12,0.03,5.49,1.48
2010-05-02,0.1,0.86,7.09,0.44
2010-05-03,0.06,4.49,7.28,0.13
2010-05-04,0.06,11.82,1.43,4.89
2010-05-05,0.05,5.28,-1.35,9.19
2010-05-06,0.05,4.89,0.3,13.42
2010-05-07,0.04,1.03,1.58,9.76
2010-05-08,0.04,0.13,3.92,4.64
2010-05-09,0.04,5.05,3.01,2.87
2010-05-10,0.03,0.41,4.73,1.35
2010-05-11,0.03,0.16,7.12,0.42
2010-05-12,0.03,0,9.66,0.1
2010-05-13,0.02,0.02,11.49,0.01
2010-05-14,0.02,0.17,12.52,0
2010-05-15,0.02,0.14,14.04,0
2010-05-16,0.02,0,15.63,0
2010-05-17,0.02,0.04,17.76,0
2010-05-18,0.01,1.62,18.39,0
2010-05-19,0.01,0.63,16.63,0
2010-05-20,0.01,5.94,12.42,0
2010-05-21,0.01,2.7,8.21,0
2010-05-22,0.01,0.13,6.02,0
2010-05-23,0.01,3.34,6.25,1
2010-05-24,0,0.04,8.96,0.57
2010-05-25,0,0.45,9.75,0.15
2010-05-26,0,0,11.41,0.04
2010-05-27,0.01,16.51,7.71,0
2010-05-28,0.03,4.37,4.43,0
2010-05-29,0.04,16.9,1.5,5.19
2010-05-30,0.02,1.14,4.25,5.13
2010-05-31,0.02,0.78,5.86,1.58
2010-06-01,0.02,0,7.43,0.42
2010-06-02,0.02,0.11,12.62,0.07
2010-06-03,0.03,8.37,10.65,0
2010-06-04,0.02,0,11.7,0
2010-06-05,0.02,0.87,13.15,0
2010-06-06,0.02,0.06,12.88,0
2010-06-07,0.03,13.97,11.83,0
2010-06-08,0.03,9.92,10.78,0
2010-06-09,0.07,24.53,9.45,0
2010-06-10,0.4,13.34,6.56,0
2010-06-11,1.09,2.03,9.82,0
2010-06-12,0.52,0,12.19,0
2010-06-13,0.21,0,15.77,0
2010-06-14,0.1,3.28,13.31,0
2010-06-15,0.06,2.98,11.44,0
2010-06-16,0.04,6.71,11.18,0
2010-06-17,0.05,7.51,11.35,0
2010-06-18,0.05,0.56,13.88,0
2010-06-19,0.06,0.35,13.67,0
2010-06-20,0.04,0,15.58,0
2010-06-21,0.03,0.1,16.72,0
2010-06-22,0.03,1.58,16.52,0
2010-06-23,0.02,1.03,16.3,0
2010-06-24,0.02,0.24,18.15,0
2010-06-25,0.02,0.49,17.57,0
