DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,0,5.62,0
2009-10-02,NA,0,5.99,0
2009-10-03,NA,2.24,3.54,0
2009-10-04,NA,3.71,3.05,0.03
2009-10-05,NA,0.2,4.46,0.04
2009-10-06,NA,4.96,6.49,0.03
2009-10-07,NA,0.22,1.47,0.17
2009-10-08,NA,1.23,-2.73,0.96
2009-10-09,NA,0.13,-5.09,1.36
2009-10-10,NA,0.38,-4.89,1.52
2009-10-11,NA,0.4,-5.07,1.84
2009-10-12,NA,0.3,-5.21,2.11
2009-10-13,NA,0.25,-3.77,2.19
2009-10-14,NA,3.91,-2.28,4.52
2009-10-15,NA,0.04,-0.7,5.7
2009-10-16,NA,0,4.08,4.22
2009-10-17,NA,3.66,7.1,1.79
2009-10-18,NA,4.66,5.31,0.84
2009-10-19,NA,0.45,4.07,0.49
2009-10-20,NA,0.75,2.89,0.33
2009-10-21,NA,0.46,2.88,0.2
2009-10-22,NA,0.71,4.44,0.09
2009-10-23,NA,0.38,2.83,0.05
2009-10-24,NA,0.73,3.65,0.03
2009-10-25,NA,0,3.6,0.02
2009-10-26,NA,0.17,4.46,0.02
2009-10-27,NA,2.02,2.81,0.03
2009-10-28,NA,1.11,0.65,0.56
2009-10-29,NA,1.97,-0.21,1.23
2009-10-30,NA,2.63,0.25,3.62
2009-10-31,NA,3.57,3.94,3.75
2009-11-01,NA,0,0.78,2.43
2009-11-02,NA,0.17,0.52,2.22
2009-11-03,NA,0.1,1.2,1.95
2009-11-04,NA,0,-0.51,1.65
2009-11-05,NA,0,5.52,1.23
2009-11-06,NA,0,5.52,0.57
2009-11-07,NA,0.02,1.68,0.41
2009-11-08,NA,0,0.02,0.38
2009-11-09,NA,0,1.08,0.35
2009-11-10,NA,0.01,1.54,0.3
2009-11-11,NA,0.07,-1.47,0.29
2009-11-12,NA,0.01,-1.52,0.35
2009-11-13,NA,0.01,-2.72,0.33
2009-11-14,NA,0.16,-2.34,0.48
2009-11-15,NA,0,0.18,0.44
2009-11-16,NA,0,6.18,0.3
