DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0,0.01,5.64,0
2009-10-02,0,0,5.8,0
2009-10-03,0,2.47,3.4,0
2009-10-04,0,3.5,3.19,0.02
2009-10-05,0,0.42,4.14,0.04
2009-10-06,0,4.56,6.12,0.06
2009-10-07,0,0.17,1.28,0.34
2009-10-08,0,1.51,-2.84,1.27
2009-10-09,0,0.11,-5.31,1.71
2009-10-10,0,0.36,-5.02,1.8
2009-10-11,0,0.46,-5.17,2.13
2009-10-12,0,0.3,-5.55,2.41
2009-10-13,0,0.25,-4.03,2.46
2009-10-14,0,5.56,-2.62,5.61
2009-10-15,0,0.04,-1.24,7.52
2009-10-16,0,0,2.7,5.57
2009-10-17,0,3.05,7.24,2.24
2009-10-18,0,4.38,5.45,0.99
2009-10-19,0,0.19,4.4,0.54
2009-10-20,0,0.21,3.43,0.33
2009-10-21,0,0.67,3.49,0.19
2009-10-22,0,0.7,4.64,0.07
2009-10-23,0,0.1,3,0.04
2009-10-24,0,0.85,3.48,0.03
2009-10-25,0,0,3.6,0.02
2009-10-26,0,0.01,4.1,0.01
2009-10-27,0,1.15,2.71,0.01
2009-10-28,0,0.92,0.65,0.51
2009-10-29,0,1.59,0.01,1.06
2009-10-30,0,1.88,0.19,2.92
2009-10-31,0,4.32,3.74,3.01
2009-11-01,NA,0,0.91,1.87
2009-11-02,NA,0.07,0.01,1.69
2009-11-03,NA,0.06,1.17,1.49
2009-11-04,NA,0,-0.36,1.26
2009-11-05,NA,0,5.45,0.93
2009-11-06,NA,0,5.94,0.37
2009-11-07,NA,0.01,1.94,0.25
2009-11-08,NA,0,0.15,0.22
2009-11-09,NA,0,0.93,0.21
2009-11-10,NA,0.01,1.95,0.17
2009-11-11,NA,0.15,-1.53,0.18
2009-11-12,NA,0.04,-1.57,0.33
2009-11-13,NA,0,-3.06,0.32
2009-11-14,NA,0.06,-2.56,0.37
2009-11-15,NA,0,-0.33,0.34
2009-11-16,NA,0,6.18,0.23
2009-11-17,NA,0,6.34,0.07
2009-11-18,NA,0.49,-0.5,0.04
2009-11-19,NA,0.01,0.3,0.04
2009-11-20,NA,0,1.38,0.04
2009-11-21,NA,3.49,-0.83,2.1
2009-11-22,NA,0.05,-3.28,2.99
2009-11-23,NA,0.17,-2.65,3.04
2009-11-24,NA,0,-1.3,3.04
2009-11-25,NA,0,-1.69,2.89
2009-11-26,NA,2.4,0.26,2.95
2009-11-27,NA,0,-2.22,3.27
2009-11-28,NA,0,-3.61,3.23
2009-11-29,NA,1.56,0.48,3.11
2009-11-30,NA,3.08,-0.8,5.06
2009-12-01,NA,0.01,-4.42,5.82
2009-12-02,NA,0,-8.91,5.63
2009-12-03,NA,0,-9.77,5.62
2009-12-04,NA,10.64,-4.96,9.4
2009-12-05,NA,3.16,-9.21,18.17
2009-12-06,NA,0.21,-20.05,18.87
2009-12-07,NA,0.04,-27.01,18.97
2009-12-08,NA,0.06,-23.67,19.01
2009-12-09,NA,0.8,-17.66,19.52
2009-12-10,NA,0.78,-15.04,20.28
2009-12-11,NA,1.31,-17.44,21.28
2009-12-12,NA,0.52,-29.68,22.34
2009-12-13,NA,0.05,-31.13,22.41
2009-12-14,NA,0,-31.22,22.44
2009-12-15,NA,0.03,-25.67,22.44
2009-12-16,NA,0.02,-13.03,22.44
2009-12-17,NA,0,-6.76,22.51
2009-12-18,NA,0,-9.44,22.6
2009-12-19,NA,1.47,-4.57,23.17
2009-12-20,NA,0.05,-14.2,23.86
2009-12-21,NA,4.75,-14.08,25.95
2009-12-22,NA,4.93,-14.87,30.73
2009-12-23,NA,0.04,-22.36,33.47
2009-12-24,NA,0.02,-21.99,33.52
2009-12-25,NA,0.02,-15.78,33.57
2009-12-26,NA,0,-11.59,33.61
2009-12-27,NA,0.02,-11.9,33.64
2009-12-28,NA,0.16,-14.29,33.77
2009-12-29,NA,0.04,-17.2,33.9
2009-12-30,NA,1.01,-19.85,34.47
2009-12-31,NA,0.08,-25.04,35
2010-01-01,NA,0.14,-20.56,35.13
2010-01-02,NA,0.52,-18.16,35.56
2010-01-03,NA,0.25,-17.72,35.83
2010-01-04,NA,0.05,-19.54,35.99
2010-01-05,NA,0.17,-21.42,36.12
2010-01-06,NA,0.06,-25.58,36.23
2010-01-07,NA,0.02,-20.05,36.29
2010-01-08,NA,0,-13.66,36.27
2010-01-09,NA,0,-4.74,36.31
2010-01-10,NA,0,-2.88,36.39
2010-01-11,NA,0,0.63,36.09
