DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,0,5.93,0
2009-10-02,NA,0,5.55,0
2009-10-03,NA,2.52,3.05,0
2009-10-04,NA,2.41,3.49,0
2009-10-05,NA,0.38,3.54,0
2009-10-06,NA,2.23,6.12,0
2009-10-07,NA,0.74,1.51,0.22
2009-10-08,NA,2.06,-2.95,1.51
2009-10-09,NA,0.07,-5.63,2.17
2009-10-10,NA,0.31,-4.94,2.14
2009-10-11,NA,0.41,-5.28,2.41
2009-10-12,NA,0.44,-5.43,2.76
2009-10-13,NA,0.14,-3.86,2.85
2009-10-14,NA,7.23,-2.09,6.55
2009-10-15,NA,0.22,-1.85,9.69
2009-10-16,NA,0,0.89,7.55
2009-10-17,NA,1.32,7.25,3.18
2009-10-18,NA,6.78,5.11,1.05
2009-10-19,NA,0.98,4.29,0.52
2009-10-20,NA,3.39,4.14,0.28
2009-10-21,NA,0.07,4.66,0.17
2009-10-22,NA,0.35,5.01,0.06
2009-10-23,NA,0.02,3.75,0.02
2009-10-24,NA,1.15,4.25,0.01
2009-10-25,NA,0,3.72,0.01
2009-10-26,NA,0.22,4.12,0
2009-10-27,NA,1.55,2.76,0
2009-10-28,NA,1.64,0.66,0.43
2009-10-29,NA,0.43,0.61,0.87
2009-10-30,NA,0.4,0.74,1.19
2009-10-31,NA,3.22,3.65,0.98
2009-11-01,NA,0,1.76,0.51
2009-11-02,NA,0.01,-0.49,0.42
2009-11-03,NA,0.01,0.68,0.35
2009-11-04,NA,0,-0.6,0.28
2009-11-05,NA,0,5.59,0.19
2009-11-06,NA,0.35,7.48,0.03
2009-11-07,NA,0.01,2.95,0.01
2009-11-08,NA,0,0.33,0.01
2009-11-09,NA,0,0.89,0.01
2009-11-10,NA,0.49,3.19,0.01
2009-11-11,NA,0.12,-0.78,0.01
2009-11-12,NA,0.21,-1.61,0.24
2009-11-13,NA,0,-3.48,0.24
2009-11-14,NA,0,-3.06,0.23
2009-11-15,NA,0,-0.68,0.22
2009-11-16,NA,0,5.81,0.14
2009-11-17,NA,0,8.56,0.02
2009-11-18,NA,0,1.05,0.01
2009-11-19,NA,0.01,0.52,0.01
2009-11-20,NA,0,3.51,0
2009-11-21,NA,1.64,-0.15,0.84
2009-11-22,NA,0,-2.98,1.48
2009-11-23,NA,0.08,-3.12,1.47
2009-11-24,NA,0,-0.87,1.42
2009-11-25,NA,0,-2.22,1.33
2009-11-26,NA,1.59,0.57,1.29
2009-11-27,NA,0.16,-1.32,1.42
2009-11-28,NA,0,-4.31,1.52
2009-11-29,NA,0.07,-0.3,1.41
2009-11-30,NA,2.73,-0.86,2.39
2009-12-01,NA,0.17,-4.23,3.76
2009-12-02,NA,0.01,-8.76,3.69
2009-12-03,NA,0.01,-9.44,3.68
2009-12-04,NA,2.45,-6.85,3.94
2009-12-05,NA,4.81,-9.2,9.23
2009-12-06,NA,0.49,-19.93,10.8
2009-12-07,NA,0.01,-29.49,10.95
2009-12-08,NA,0.01,-26.65,10.99
2009-12-09,NA,0.44,-20.5,11.26
2009-12-10,NA,0.55,-16.64,11.78
2009-12-11,NA,0.77,-17.55,12.46
2009-12-12,NA,0.28,-29.08,13.05
2009-12-13,NA,0.13,-30.72,13.09
2009-12-14,NA,0,-30.56,13.17
2009-12-15,NA,0.18,-26.5,13.25
2009-12-16,NA,0.01,-11.78,13.32
2009-12-17,NA,0.03,-6.36,13.4
2009-12-18,NA,0.01,-10.58,13.48
2009-12-19,NA,0.91,-5.92,13.95
2009-12-20,NA,0.43,-11.01,14.7
2009-12-21,NA,1.61,-13.63,15.15
2009-12-22,NA,4.72,-14.31,18.19
2009-12-23,NA,0.22,-21.81,21.09
2009-12-24,NA,0,-25.61,21.15
2009-12-25,NA,0.07,-18.96,21.18
2009-12-26,NA,0.04,-13.64,21.26
2009-12-27,NA,0,-14.81,21.26
2009-12-28,NA,0.02,-14.84,21.33
2009-12-29,NA,0.05,-15.89,21.39
2009-12-30,NA,1.05,-18.7,21.86
2009-12-31,NA,0.05,-25.04,22.49
2010-01-01,NA,0.08,-20.95,22.54
2010-01-02,NA,0.07,-16.25,22.61
2010-01-03,NA,0.04,-18.16,22.63
2010-01-04,NA,0.04,-18.66,22.67
2010-01-05,NA,0.63,-19.64,22.97
2010-01-06,NA,0.03,-26.31,23.25
2010-01-07,NA,0.03,-22.07,23.27
2010-01-08,NA,0,-15.39,23.14
2010-01-09,NA,0.24,-6.2,23.2
2010-01-10,NA,0,-2.85,23.39
2010-01-11,NA,0,0.87,22.22
2010-01-12,NA,0.02,2.01,19.16
2010-01-13,NA,0.43,-1.59,17.56
2010-01-14,NA,0.07,-3.07,17.48
2010-01-15,NA,0,1.34,16.75
2010-01-16,NA,0.02,-1.92,14.87
2010-01-17,NA,0,-3.9,14.68
2010-01-18,NA,0,-0.66,14.1
2010-01-19,NA,0,-4.71,13.46
2010-01-20,NA,0.09,-7.13,13.47
2010-01-21,NA,0.45,-5.86,13.66
2010-01-22,NA,0.9,-5.61,14.25
2010-01-23,NA,2.79,-6.71,15.89
2010-01-24,NA,0.51,-11.13,17.31
2010-01-25,NA,0.19,-16.14,17.48
2010-01-26,NA,0.04,-17.15,17.54
2010-01-27,NA,0,-18.73,17.55
2010-01-28,NA,0,-16.17,17.51
2010-01-29,NA,0.01,-15.27,17.4
2010-01-30,NA,0.01,-14.21,17.29
2010-01-31,NA,1.43,-14.3,17.6
2010-02-01,NA,0.63,-12.73,18.88
2010-02-02,NA,0.19,-12.69,19.04
2010-02-03,NA,0.47,-8.62,19.3
2010-02-04,NA,0.34,-7.83,19.5
2010-02-05,NA,0.21,-7.57,19.65
2010-02-06,NA,0.49,-7.22,19.84
2010-02-07,NA,0.32,-10.32,20.08
2010-02-08,NA,0.02,-17.34,20.02
2010-02-09,NA,0.03,-15.6,19.9
2010-02-10,NA,0.35,-8.46,20
2010-02-11,NA,0.1,-7.12,20.1
2010-02-12,NA,0.22,-9.66,20.11
2010-02-13,NA,0.08,-13.84,20.07
2010-02-14,NA,0,-11.92,19.83
2010-02-15,NA,0.55,-6.01,19.68
2010-02-16,NA,0.13,-7.68,19.79
2010-02-17,NA,0.26,-5.21,19.83
2010-02-18,NA,0.03,-4.92,19.84
2010-02-19,NA,0.46,-9.08,19.9
2010-02-20,NA,0.16,-10.16,20.03
2010-02-21,NA,0,-8.88,19.85
2010-02-22,NA,0.14,-8.25,19.73
2010-02-23,NA,0.1,-7.54,19.56
2010-02-24,NA,0.18,-7.69,19.4
2010-02-25,NA,0.01,-7.03,18.9
2010-02-26,NA,0,-5.42,16.82
2010-02-27,NA,0,-2.38,14.4
2010-02-28,NA,0.74,-1.61,12.48
2010-03-01,NA,0.14,-2.71,10.34
2010-03-02,NA,0.03,-1.52,8.52
2010-03-03,NA,0,-1.36,6.26
2010-03-04,NA,0.1,1.7,3.81
2010-03-05,NA,0.07,1.31,2.01
2010-03-06,NA,0,1.9,0.99
2010-03-07,NA,0,2.49,0.48
2010-03-08,NA,0,0.26,0.23
2010-03-09,NA,1.99,-1.52,0.56
2010-03-10,NA,2.52,-0.67,3.91
2010-03-11,NA,0,-1.28,3.52
2010-03-12,NA,0,3.29,2.24
2010-03-13,NA,0.09,0.18,1.03
2010-03-14,NA,0,0.32,0.81
2010-03-15,NA,0.33,2.84,0.46
2010-03-16,NA,0,6.07,0.19
2010-03-17,NA,0.5,5.34,0.04
2010-03-18,NA,1.61,-0.34,0.82
2010-03-19,NA,0.29,-3.27,1.38
2010-03-20,NA,0,2.7,1.03
2010-03-21,NA,0,2.34,0.49
2010-03-22,NA,0.22,-1.6,0.41
2010-03-23,NA,0.1,-0.12,0.35
2010-03-24,NA,0.14,-4.44,0.3
2010-03-25,NA,0,-1.57,0.25
2010-03-26,NA,0.09,0.11,0.14
2010-03-27,NA,0.05,4.63,0.07
2010-03-28,NA,0.02,7.13,0.02
2010-03-29,NA,0.29,6.79,0
2010-03-30,NA,0.04,4.45,0
2010-03-31,NA,0.13,3.75,0
2010-04-01,NA,0.12,3.08,0
2010-04-02,NA,0,3.06,0
2010-04-03,NA,0.13,4.37,0
2010-04-04,NA,0.3,3.49,0.02
2010-04-05,NA,0,3.91,0.02
2010-04-06,NA,0.98,5.65,0.01
2010-04-07,NA,0,6.41,0
2010-04-08,NA,3.9,7.04,0.25
2010-04-09,NA,7.03,-0.43,8.33
2010-04-10,NA,0.71,-1.23,7.92
2010-04-11,NA,0.02,-3.08,7.46
2010-04-12,NA,1.48,0.58,6.8
2010-04-13,NA,10,0.45,9.26
2010-04-14,NA,27.4,1.62,29.11
2010-04-15,NA,0,-0.82,31.81
2010-04-16,NA,0,1.18,26.67
2010-04-17,NA,0,4.54,16.26
2010-04-18,NA,0,11.08,5.71
2010-04-19,NA,0.01,12.31,1
2010-04-20,NA,0,13.5,0.1
2010-04-21,NA,0,13.46,0.01
2010-04-22,NA,0.09,12.59,0
2010-04-23,NA,11.03,4.63,1.74
2010-04-24,NA,0.04,3.88,1.11
2010-04-25,NA,0.72,0.88,0.57
2010-04-26,NA,0.03,2.89,0.39
2010-04-27,NA,0.51,6.16,0.14
2010-04-28,NA,16.8,6.36,0.02
2010-04-29,NA,14.37,2.6,1.17
2010-04-30,NA,0.69,4.31,1.62
2010-05-01,NA,0.13,5.89,0.41
2010-05-02,NA,0.21,6.27,0.12
2010-05-03,NA,7.57,6.71,0.03
2010-05-04,NA,18.05,2.58,3.61
2010-05-05,NA,2.27,0.85,4.78
2010-05-06,NA,3.62,2.37,4.66
2010-05-07,NA,1.85,3.33,2.62
2010-05-08,NA,0.94,4.84,0.93
2010-05-09,NA,2.06,4.4,0.34
2010-05-10,NA,0.95,6.15,0.12
2010-05-11,NA,0.13,7.38,0.03
2010-05-12,NA,0.01,10.15,0
2010-05-13,NA,0.01,11.76,0
2010-05-14,NA,0.03,12.77,0
2010-05-15,NA,0.59,14.06,0
2010-05-16,NA,0.01,15.28,0
2010-05-17,NA,0,18.05,0
2010-05-18,NA,0,18.99,0
2010-05-19,NA,4.74,17.34,0
2010-05-20,NA,0.64,14.04,0
2010-05-21,NA,1.07,8.97,0
2010-05-22,NA,4.44,5.73,0
2010-05-23,NA,12.78,4.47,0.33
2010-05-24,NA,0.06,8.15,0.14
2010-05-25,NA,0.1,8.31,0.04
2010-05-26,NA,0,9.98,0.01
2010-05-27,NA,5.23,8.61,0
2010-05-28,NA,10.93,4.3,0
2010-05-29,NA,16.85,1.74,3.75
2010-05-30,NA,4.88,3.55,4.49
2010-05-31,NA,1.68,5.77,1.2
2010-06-01,NA,0.21,8.17,0.31
2010-06-02,NA,0.29,12.54,0.07
2010-06-03,NA,8.27,12.61,0
2010-06-04,NA,0.05,12.74,0
2010-06-05,NA,1.08,13.3,0
2010-06-06,NA,0.23,13.99,0
2010-06-07,NA,9,12.88,0
2010-06-08,NA,4.16,11.07,0
2010-06-09,NA,9.24,10.07,0
2010-06-10,NA,26.01,7.16,0
2010-06-11,NA,0.26,10.55,0
2010-06-12,NA,0,12.55,0
2010-06-13,NA,0,15.85,0
