DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0,0.04,6.31,0
2009-10-02,0,0,5,0
2009-10-03,0,2.28,5.39,0
2009-10-04,0,2.26,4.06,0
2009-10-05,0,0.17,4.07,0
2009-10-06,0,5.44,5.71,0
2009-10-07,0,1.27,1.47,0.14
2009-10-08,0,3.31,-3.21,1.98
2009-10-09,0,0.37,-4.58,3.38
2009-10-10,0,0.39,-4.14,3.37
2009-10-11,0,0.55,-4.79,3.75
2009-10-12,0,0.23,-5.69,4.05
2009-10-13,0,0.02,-4.22,4.04
2009-10-14,0,2.03,-1.7,4.41
2009-10-15,0,1.13,-0.6,6.36
2009-10-16,0,0.01,2.64,5.36
2009-10-17,0,0.59,7.63,2.35
2009-10-18,0,10.17,4.88,0.88
2009-10-19,0,0.01,1.31,0.47
2009-10-20,0,2.21,2.67,0.5
2009-10-21,0,0.53,4.58,0.31
2009-10-22,0,4.06,4.8,0.11
2009-10-23,0,0.01,3.66,0.05
2009-10-24,0,1.86,3.9,0.02
2009-10-25,0,0.52,3.5,0.01
2009-10-26,0,0,3.54,0
2009-10-27,0,0.54,2.28,0.01
2009-10-28,0,1.88,0.47,0.83
2009-10-29,0,0.29,0.13,1.18
2009-10-30,0,1.3,0.1,2.26
2009-10-31,0,3.96,0.32,4.37
2009-11-01,0,0,0.63,4.98
2009-11-02,0,0.01,-2.1,4.54
2009-11-03,0,0.07,-0.48,4.27
2009-11-04,NA,0,-0.82,3.9
2009-11-05,NA,0,3.22,3.24
2009-11-06,NA,0.4,7.2,0.96
2009-11-07,NA,0.03,2.68,0.35
2009-11-08,NA,0.01,0.66,0.28
2009-11-09,NA,0,0.44,0.24
2009-11-10,NA,0.7,3.54,0.18
2009-11-11,NA,0.09,-0.81,0.15
2009-11-12,NA,0,-1.86,0.15
2009-11-13,NA,0,-3.09,0.14
2009-11-14,NA,0,-4.05,0.14
2009-11-15,NA,0,-1.52,0.13
2009-11-16,NA,0,4.44,0.1
2009-11-17,NA,0,8.96,0.03
2009-11-18,NA,0,1.51,0.01
2009-11-19,NA,0,-0.19,0.01
2009-11-20,NA,0,1.47,0.01
2009-11-21,NA,0.04,0.46,0.02
2009-11-22,NA,0,-3.28,0.04
2009-11-23,NA,0.05,-3.68,0.05
2009-11-24,NA,0.03,-0.95,0.07
2009-11-25,NA,0,-2.73,0.08
2009-11-26,NA,3.1,-0.59,0.1
2009-11-27,NA,0.07,-1.29,0.35
2009-11-28,NA,0.01,-4.03,0.36
2009-11-29,NA,0.21,-1.17,0.36
2009-11-30,NA,0.75,-0.01,0.59
2009-12-01,NA,0.53,-4.15,1.31
2009-12-02,NA,0.03,-8.55,1.51
2009-12-03,NA,0,-10.44,1.51
2009-12-04,NA,0.75,-9.46,1.56
2009-12-05,NA,4.33,-8.1,4.96
2009-12-06,NA,0.22,-17.37,6.4
2009-12-07,NA,0.01,-23.49,6.45
2009-12-08,NA,0,-24.44,6.45
2009-12-09,NA,0.23,-22.21,6.56
2009-12-10,NA,0.28,-18.56,6.82
2009-12-11,NA,1.28,-20.77,7.94
2009-12-12,NA,0.08,-30.68,8.25
2009-12-13,NA,0,-31.97,8.25
2009-12-14,NA,0,-29.8,8.25
2009-12-15,NA,0.01,-27.65,8.24
2009-12-16,NA,0.02,-16.72,8.23
2009-12-17,NA,0,-12.37,8.24
2009-12-18,NA,0,-11.09,8.29
2009-12-19,NA,0.57,-8.83,8.72
2009-12-20,NA,0.59,-11.94,9.4
2009-12-21,NA,1.61,-16.95,9.75
2009-12-22,NA,4.13,-14.42,12.66
2009-12-23,NA,1.73,-18.88,16.6
2009-12-24,NA,0.01,-28.55,16.86
2009-12-25,NA,0.01,-28.07,16.88
2009-12-26,NA,0.03,-18.15,16.93
2009-12-27,NA,0.03,-13.99,16.97
2009-12-28,NA,0.26,-10.93,17.15
2009-12-29,NA,0.19,-14.65,17.26
2009-12-30,NA,0.42,-18.89,17.5
2009-12-31,NA,0.09,-25.43,17.9
2010-01-01,NA,0.07,-23.74,17.92
2010-01-02,NA,0.17,-14.52,17.95
2010-01-03,NA,0.28,-18.65,18.06
2010-01-04,NA,0.14,-19.88,18.37
2010-01-05,NA,0.2,-21.77,18.51
2010-01-06,NA,0.03,-27.76,18.65
2010-01-07,NA,0.01,-25.15,18.66
2010-01-08,NA,0,-18.35,18.62
2010-01-09,NA,0.04,-10.81,18.58
2010-01-10,NA,0,-7.55,18.63
2010-01-11,NA,0,0.13,17.53
2010-01-12,NA,0,0.33,14.81
2010-01-13,NA,0.14,-3.76,13.46
2010-01-14,NA,0.02,-4.12,13.53
2010-01-15,NA,0,-0.65,13.58
