DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0,4.07,4.78,0.14
2009-10-02,0,0,5.52,0.06
2009-10-03,0,0.76,4.48,0.04
2009-10-04,0,2.77,4.47,0.02
2009-10-05,0,0.32,2.94,0.01
2009-10-06,0,2.09,6.05,0
2009-10-07,0,1.41,2.01,0.07
2009-10-08,0,2.53,0.09,0.48
2009-10-09,0,0.26,-5.57,2.04
2009-10-10,0,0.26,-5.38,1.97
2009-10-11,0,0.33,-5.57,2.15
2009-10-12,0,0.19,-5.12,2.32
2009-10-13,0,0.12,-2.71,2.3
2009-10-14,0,4.83,-1.18,4.23
2009-10-15,0,0.09,-0.11,6.34
2009-10-16,0,0.02,1.58,4.77
2009-10-17,0,0,10.52,1.7
2009-10-18,0,0.22,9.81,0.13
2009-10-19,0,0.39,3.63,0.02
2009-10-20,0,0.23,3.49,0.01
2009-10-21,0,0.01,3.65,0.01
2009-10-22,0,0.14,5.46,0
2009-10-23,0,0.11,5.75,0
2009-10-24,0,1.86,5.02,0
2009-10-25,0,0.03,4.08,0
2009-10-26,0,3.35,6.36,0
2009-10-27,0,7.36,2.89,1.31
2009-10-28,0,2.57,0.54,6.47
2009-10-29,0,0.1,0.53,6.05
2009-10-30,0,0.29,1.44,5.33
2009-10-31,0,0.11,6.84,3.12
2009-11-01,0,0.94,3.76,0.55
2009-11-02,0,0,1.74,0.37
2009-11-03,NA,0,1.84,0.26
2009-11-04,NA,0,1.33,0.2
2009-11-05,NA,0,5.09,0.13
2009-11-06,NA,0,8.38,0.04
2009-11-07,NA,0,4.67,0.01
2009-11-08,NA,0.13,3.14,0.01
2009-11-09,NA,0,2.04,0.01
2009-11-10,NA,0,5.77,0
2009-11-11,NA,0.06,2.74,0
2009-11-12,NA,0,0.16,0
2009-11-13,NA,0,-2.21,0
2009-11-14,NA,0,-2.55,0
2009-11-15,NA,0,-1.42,0
2009-11-16,NA,0,3.97,0
2009-11-17,NA,0,5.69,0
2009-11-18,NA,0,3.59,0
2009-11-19,NA,0,0.76,0
2009-11-20,NA,0,4.53,0
2009-11-21,NA,0.83,3.26,0.12
2009-11-22,NA,0,-1.13,0.65
2009-11-23,NA,0,-2.09,0.61
2009-11-24,NA,0.39,-1.26,0.64
2009-11-25,NA,0.03,-2.21,0.66
2009-11-26,NA,0,3.95,0.54
2009-11-27,NA,5.09,0.09,1.45
2009-11-28,NA,0.33,-2.81,5.77
2009-11-29,NA,0,-2.77,5.72
2009-11-30,NA,0.24,0.94,5.37
2009-12-01,NA,1.8,-4.01,6.03
2009-12-02,NA,0.68,-8.79,6.85
2009-12-03,NA,0.03,-12.62,7
2009-12-04,NA,0.01,-10.17,6.96
2009-12-05,NA,0.36,-10.69,7
2009-12-06,NA,0.6,-15.01,7.36
2009-12-07,NA,0.17,-20.55,7.66
2009-12-08,NA,0,-23.06,7.67
2009-12-09,NA,0.46,-20.5,7.8
2009-12-10,NA,0.22,-17.64,8.12
2009-12-11,NA,0.36,-13.85,8.18
2009-12-12,NA,1.78,-21.22,9.69
2009-12-13,NA,1.02,-26.16,10.47
2009-12-14,NA,0.15,-26.98,11.05
2009-12-15,NA,0.69,-21.95,11.35
2009-12-16,NA,0,-6.36,11.68
2009-12-17,NA,0.1,-1.63,11.59
2009-12-18,NA,0,-6.21,11.48
2009-12-19,NA,0.56,-3.75,11.76
2009-12-20,NA,0.25,-7.92,12.2
2009-12-21,NA,4.17,-9.71,14.41
2009-12-22,NA,4.65,-7.75,19.3
2009-12-23,NA,6.3,-16.19,25.79
2009-12-24,NA,0,-26.13,27.04
2009-12-25,NA,0,-22.89,27.07
2009-12-26,NA,0,-20.61,27.1
2009-12-27,NA,0,-14.72,27.15
2009-12-28,NA,0,-14.84,27.19
2009-12-29,NA,0.02,-12.69,27.26
2009-12-30,NA,0.61,-17.01,27.44
2009-12-31,NA,0.54,-21.18,28.32
2010-01-01,NA,0.03,-23.13,28.48
2010-01-02,NA,1.51,-9.99,29.04
2010-01-03,NA,0.1,-14.76,29.91
2010-01-04,NA,0.25,-15.63,30.02
2010-01-05,NA,7.02,-14.35,33.67
2010-01-06,NA,0.44,-24.24,37.49
2010-01-07,NA,0.02,-30.75,37.58
2010-01-08,NA,0,-20.1,37.59
2010-01-09,NA,0.01,-6.8,37.57
2010-01-10,NA,0,-2.62,37.68
2010-01-11,NA,0,-3.73,37.81
2010-01-12,NA,0.01,0.64,37.69
2010-01-13,NA,0,-0.3,37.64
2010-01-14,NA,0,-2.28,37.76
2010-01-15,NA,0,1.45,37.19
2010-01-16,NA,0.11,1.16,35.19
2010-01-17,NA,0,-5.91,34.9
2010-01-18,NA,0.01,-3.11,34.95
2010-01-19,NA,0,-4.81,34.87
2010-01-20,NA,0.04,-5.92,34.89
2010-01-21,NA,0.32,-4.09,34.97
2010-01-22,NA,2.78,-4.19,35.51
2010-01-23,NA,7.85,-6.05,41.98
2010-01-24,NA,3.88,-9.31,48
2010-01-25,NA,0.29,-16.39,49.13
2010-01-26,NA,0.06,-18.68,49.27
2010-01-27,NA,0,-19.46,49.4
2010-01-28,NA,0.01,-20.22,49.44
2010-01-29,NA,0.03,-16.21,49.5
2010-01-30,NA,0.03,-16.66,49.53
2010-01-31,NA,0.45,-16.77,49.61
2010-02-01,NA,0.45,-15.61,50.16
2010-02-02,NA,0.07,-12.62,50.34
2010-02-03,NA,0.19,-9.65,50.43
2010-02-04,NA,0.15,-8.02,50.56
2010-02-05,NA,0.15,-9.3,50.66
2010-02-06,NA,0.19,-7.91,50.72
2010-02-07,NA,0.52,-13,51.05
2010-02-08,NA,0.04,-22.46,51.19
2010-02-09,NA,0.03,-18.62,51.23
2010-02-10,NA,0.3,-12.24,51.31
2010-02-11,NA,0.1,-7.66,51.51
2010-02-12,NA,0.37,-8.09,51.61
2010-02-13,NA,0.22,-16.08,51.78
2010-02-14,NA,0.05,-16.75,51.82
2010-02-15,NA,0,-13.86,51.79
2010-02-16,NA,0.07,-7.26,51.71
2010-02-17,NA,0.48,-5.13,51.9
2010-02-18,NA,2.09,-6.5,52.45
2010-02-19,NA,1.21,-7.63,54.56
2010-02-20,NA,0.59,-10.22,55.13
2010-02-21,NA,0.16,-10.15,55.32
2010-02-22,NA,0.23,-11.33,55.31
2010-02-23,NA,0.11,-10.92,55.36
2010-02-24,NA,0.01,-6.17,55.29
2010-02-25,NA,0.11,-4.42,55.18
2010-02-26,NA,0.01,-7.09,55.02
