DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0,21.7,5.91,0
2009-10-02,0,8.95,5.35,0
2009-10-03,0,0.74,4.9,0
2009-10-04,0,0.88,5.59,0
2009-10-05,0,0.58,4.45,0
2009-10-06,0,1.92,4.4,0
2009-10-07,0,4.79,2.67,0.01
2009-10-08,0,4.81,-0.77,0.76
2009-10-09,0,3.04,-4.51,5.88
2009-10-10,0,0.46,-4.16,7.11
2009-10-11,0,0.47,-4.28,7.28
2009-10-12,0,0.16,-5.89,7.48
2009-10-13,0,0.02,-5.55,7.36
2009-10-14,0,1.59,-2.09,7.54
2009-10-15,0,2.27,-0.94,9.35
2009-10-16,0,0.17,-0.65,9.84
2009-10-17,0,0,5.8,6.48
2009-10-18,0,0.02,7.52,1.82
2009-10-19,0,0.02,3.02,0.33
2009-10-20,0,0.09,2.7,0.22
2009-10-21,0,0.02,3.42,0.14
2009-10-22,0,1.42,3.42,0.07
2009-10-23,0,0.01,4.15,0.02
2009-10-24,0,1.25,2.44,0.02
2009-10-25,0,1.85,2.78,0.01
2009-10-26,0,0.72,2.36,0.01
2009-10-27,0,11.19,2.61,0.09
2009-10-28,0,3.7,0.84,1.9
2009-10-29,0,0.16,-0.17,2.63
2009-10-30,0,0.94,-0.89,3.01
2009-10-31,0,1.22,-1.84,3.58
2009-11-01,NA,0.01,0.78,3.59
2009-11-02,NA,0,-2.3,2.9
2009-11-03,NA,0,-1.15,2.67
2009-11-04,NA,0,-1.04,2.3
2009-11-05,NA,0,1.3,1.81
2009-11-06,NA,0.01,6.88,0.9
2009-11-07,NA,0,3.72,0.25
2009-11-08,NA,0.01,1.84,0.17
2009-11-09,NA,0,0.11,0.13
2009-11-10,NA,0,2.9,0.1
2009-11-11,NA,0,1.66,0.07
2009-11-12,NA,0,-0.4,0.06
2009-11-13,NA,0,-2.42,0.06
2009-11-14,NA,0,-3.05,0.06
2009-11-15,NA,0,-2,0.05
2009-11-16,NA,0,2.96,0.04
2009-11-17,NA,0,4.69,0.02
2009-11-18,NA,0,2,0.01
2009-11-19,NA,0,-0.13,0.01
2009-11-20,NA,0,2.47,0.01
2009-11-21,NA,0.14,3.22,0.01
