DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.05,33.65,8.28,0
2009-10-02,0.07,1.82,6.16,0
2009-10-03,0.07,1.4,6.02,0
2009-10-04,0.07,1.54,6.51,0
2009-10-05,0.07,0.09,5.14,0
2009-10-06,0.08,0.6,5.77,0
2009-10-07,0.07,5.08,5.83,0
2009-10-08,0.07,0.36,2.32,0.06
2009-10-09,0.07,3.7,-1.28,2.19
2009-10-10,0.06,0.33,-1.05,3.53
2009-10-11,0.06,0.35,-1.15,3.58
2009-10-12,0.06,0.59,-1.53,3.88
2009-10-13,0.06,0,-2.12,3.88
2009-10-14,0.05,6.96,-0.87,6.31
2009-10-15,0.06,1.18,0.28,10.88
2009-10-16,0.06,1.61,0.67,10.53
2009-10-17,0.07,0,5.13,6.82
2009-10-18,0.06,0.14,10.08,1.57
2009-10-19,0.07,0.14,5.67,0.23
2009-10-20,0.07,1.17,4,0.11
2009-10-21,0.07,0.02,2.63,0.07
2009-10-22,0.06,0,2.77,0.05
2009-10-23,0.06,0.81,4.63,0.03
2009-10-24,0.06,0.45,2.62,0.01
2009-10-25,0.07,0.12,3.24,0.01
2009-10-26,0.06,0.01,5.14,0
2009-10-27,0.06,2.8,7.52,0
2009-10-28,0.06,2.55,4.57,0
2009-10-29,0.07,4.27,2.62,0.09
2009-10-30,0.07,0.25,0.08,0.59
2009-10-31,0.06,0.5,0.27,0.63
2009-11-01,0.05,1.04,2.24,0.96
2009-11-02,0.05,0,-1.16,0.71
2009-11-03,0.04,0.03,-1.1,0.65
2009-11-04,0.04,0.02,-0.07,0.55
2009-11-05,0.04,0,-0.65,0.44
2009-11-06,0.04,0,6.39,0.28
2009-11-07,0.05,0,6.6,0.07
2009-11-08,0.05,0.17,4.79,0.03
2009-11-09,0.05,0,2.25,0.02
2009-11-10,0.04,0,5.2,0.01
2009-11-11,0.05,0.25,4.86,0
2009-11-12,0.05,0.19,4.7,0
2009-11-13,0.05,0,-0.27,0
2009-11-14,0.05,0,-1.53,0
2009-11-15,0.05,0,-1.34,0
2009-11-16,0.05,0,2.13,0
2009-11-17,0.05,0,5.32,0
2009-11-18,0.05,0,4.54,0
2009-11-19,0.05,0,1.18,0
2009-11-20,0.05,0,1.61,0
2009-11-21,0.05,0,4.45,0
2009-11-22,0.05,0,2.44,0
2009-11-23,0.05,0,-0.44,0
2009-11-24,0.05,0.16,-2.03,0.03
2009-11-25,0.05,0.32,-1.5,0.41
2009-11-26,0.05,0,-3.11,0.45
2009-11-27,0.05,0,-2.35,0.44
