DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0,21.39,5.55,0
2009-10-02,0,6.98,7.52,0
2009-10-03,0,0.97,4.73,0
2009-10-04,0,0.54,4.99,0
2009-10-05,0,0.32,4.19,0
2009-10-06,0,5.6,4.58,0
2009-10-07,0.01,6.7,1.8,0.99
2009-10-08,0.02,0.74,-1.77,1.38
2009-10-09,0.02,2.32,-3.43,2.71
2009-10-10,0.02,0.81,-2.46,4.29
2009-10-11,0.01,1.2,-3.13,5.13
2009-10-12,0.01,0.25,-4.01,5.71
2009-10-13,0,0.01,-4.27,5.69
2009-10-14,0,0.12,-1.71,5.43
2009-10-15,0,1.05,-0.36,5.46
2009-10-16,0,0.17,-0.79,5.95
2009-10-17,0,0.26,4.92,4.13
2009-10-18,0,4.45,4.63,1.61
2009-10-19,0,0.09,1.09,0.74
2009-10-20,0,0.08,1.95,0.62
2009-10-21,0,0.25,3.29,0.43
2009-10-22,0,2.93,3.02,0.23
2009-10-23,0,0.37,3.44,0.06
2009-10-24,0,0.37,2.05,0.07
2009-10-25,0,1.72,2.94,0.08
2009-10-26,0,0.02,1.88,0.05
2009-10-27,0,5.82,0.92,0.82
2009-10-28,0,3.43,0.82,4.66
2009-10-29,0,0.37,0.27,5.3
2009-10-30,0,0.38,-0.93,5.34
2009-10-31,0,3.07,-2.88,6.28
2009-11-01,0,0.09,-1.38,7.94
2009-11-02,0,0,-3.99,7.4
2009-11-03,0,0.22,-3.16,7.32
2009-11-04,0,0.24,-2.5,7.68
2009-11-05,0,0,-0.13,7.14
2009-11-06,NA,0.02,6.42,4.2
2009-11-07,NA,0.05,2.72,1.37
2009-11-08,NA,0,0.9,1.09
2009-11-09,NA,0.06,0.15,0.97
2009-11-10,NA,0.01,2.95,0.78
2009-11-11,NA,0.2,0.65,0.62
2009-11-12,NA,0,-1.09,0.56
2009-11-13,NA,0,-2.4,0.55
2009-11-14,NA,0,-3.18,0.54
2009-11-15,NA,0,-2.69,0.52
2009-11-16,NA,0,2.73,0.43
2009-11-17,NA,0,5.38,0.24
2009-11-18,NA,0,3.37,0.14
2009-11-19,NA,0.03,-0.23,0.12
2009-11-20,NA,0.01,1.5,0.1
2009-11-21,NA,0.59,1.93,0.16
2009-11-22,NA,0.01,-1.66,0.58
2009-11-23,NA,0,-3.73,0.57
2009-11-24,NA,0.1,-2.81,0.59
2009-11-25,NA,0.07,-2.86,0.7
2009-11-26,NA,0.08,-1.86,0.72
2009-11-27,NA,0.34,-0.95,0.83
2009-11-28,NA,0.25,-2.13,1.07
2009-11-29,NA,0.04,-3.6,1.12
2009-11-30,NA,0.2,-0.44,1.16
2009-12-01,NA,1.33,-4.66,2.32
2009-12-02,NA,0.21,-7.45,2.63
2009-12-03,NA,0.02,-10.2,2.61
2009-12-04,NA,0,-11.64,2.59
