DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.02,22.33,6.97,0
2009-10-02,0.02,1.57,7.68,0
2009-10-03,0.02,2.22,4.59,0
2009-10-04,0.02,1.65,4.34,0
2009-10-05,0.02,0.3,3.47,0
2009-10-06,0.02,5.06,4.25,0
2009-10-07,0.02,10.02,1.88,2.08
2009-10-08,0.02,0.39,-1.14,3.09
2009-10-09,0.02,2.04,-2.88,3.86
2009-10-10,0.02,1.33,-2.12,5.93
2009-10-11,0.02,2.11,-2.69,7.2
2009-10-12,0.02,0.54,-4.54,8.37
2009-10-13,0.02,0.08,-4.59,8.26
2009-10-14,0.03,0.21,-2.81,8.01
2009-10-15,0.03,1.16,-1.03,8.17
2009-10-16,0.03,0.25,-0.34,8.85
2009-10-17,0.03,0.01,4,6.7
2009-10-18,0.03,5.16,4.46,3.19
2009-10-19,0.03,0.37,1.71,1.64
2009-10-20,0.03,0.06,1.41,1.44
2009-10-21,0.03,0.15,2.37,1.19
2009-10-22,0.03,2.99,2.64,0.81
2009-10-23,0.03,0.91,3.09,0.36
2009-10-24,0.03,0.36,1.26,0.37
2009-10-25,0.03,2.13,1.94,0.88
2009-10-26,0.03,0.1,1.22,0.78
2009-10-27,0.03,8.58,1.65,0.95
2009-10-28,0.03,2.98,0.75,2.5
2009-10-29,0.04,0.43,-0,3.1
2009-10-30,0.04,0.22,-1.08,3.2
2009-10-31,0.04,4.21,-2.38,3.95
2009-11-01,NA,0.98,-1.12,7.97
2009-11-02,NA,0.27,-4.73,7.62
2009-11-03,NA,0.14,-3.69,7.64
2009-11-04,NA,0.29,-2.43,7.71
2009-11-05,NA,0,-2.03,7.54
2009-11-06,NA,0,5.72,5.73
2009-11-07,NA,0.02,2.88,2.98
2009-11-08,NA,0.06,1.67,2.57
2009-11-09,NA,0.18,0.45,2.42
2009-11-10,NA,0,2,2.16
2009-11-11,NA,0.01,1.34,1.89
2009-11-12,NA,0,-0.39,1.73
2009-11-13,NA,0,-1.9,1.67
2009-11-14,NA,0,-2.85,1.62
2009-11-15,NA,0,-2.39,1.58
2009-11-16,NA,0,2.12,1.43
2009-11-17,NA,0,4.7,1.08
2009-11-18,NA,0,2.01,0.79
2009-11-19,NA,0.01,0.14,0.69
2009-11-20,NA,0.01,0.77,0.62
2009-11-21,NA,0.1,1.34,0.57
2009-11-22,NA,0.25,-1.1,0.86
2009-11-23,NA,0,-3.4,0.85
2009-11-24,NA,0.35,-3.07,0.97
2009-11-25,NA,0.15,-2.59,1.28
2009-11-26,NA,0.14,-2.73,1.3
2009-11-27,NA,0.25,-0.91,1.39
2009-11-28,NA,0.57,-1.42,1.81
2009-11-29,NA,0.15,-3.39,1.96
2009-11-30,NA,0.08,-1.22,2.07
2009-12-01,NA,1.61,-4.38,2.95
2009-12-02,NA,0.78,-7.61,4.05
2009-12-03,NA,0.04,-10.5,4.27
2009-12-04,NA,0,-11.97,4.23
2009-12-05,NA,0.03,-13.49,4.21
2009-12-06,NA,0.15,-15.16,4.28
2009-12-07,NA,0.03,-19.35,4.33
2009-12-08,NA,0,-22.18,4.32
2009-12-09,NA,0.17,-22.4,4.34
2009-12-10,NA,0.26,-20.8,4.63
2009-12-11,NA,0.22,-21.94,4.84
2009-12-12,NA,0,-28.54,4.88
2009-12-13,NA,0,-27.82,4.84
2009-12-14,NA,0,-26.75,4.81
2009-12-15,NA,0,-24.42,4.77
2009-12-16,NA,0.4,-18.24,4.86
2009-12-17,NA,0.11,-11.95,5.14
2009-12-18,NA,0.22,-10.18,5.31
2009-12-19,NA,0.29,-8.77,5.49
2009-12-20,NA,0.33,-9.08,5.84
2009-12-21,NA,0.01,-15.09,5.92
2009-12-22,NA,2.03,-13.69,6.55
2009-12-23,NA,6.92,-9.7,11.14
2009-12-24,NA,2,-15.62,15.99
2009-12-25,NA,0.56,-16.46,17.06
2009-12-26,NA,0.07,-17.08,17.14
2009-12-27,NA,0.12,-13.08,17.09
2009-12-28,NA,0.07,-16.6,17.15
2009-12-29,NA,0.21,-14.7,17.18
2009-12-30,NA,0.19,-18.83,17.35
2009-12-31,NA,0.01,-25.19,17.37
2010-01-01,NA,0,-30.39,17.32
2010-01-02,NA,4.1,-19.84,18.61
2010-01-03,NA,0.26,-17.27,21.28
2010-01-04,NA,0.54,-18.39,21.43
2010-01-05,NA,0.58,-17.25,22.01
2010-01-06,NA,0.14,-24.69,22.35
2010-01-07,NA,0,-28.64,22.33
2010-01-08,NA,0.01,-24.25,22.29
2010-01-09,NA,0.15,-13.87,22.16
2010-01-10,NA,2.27,-7.06,23.12
2010-01-11,NA,0.01,-7.57,24.37
2010-01-12,NA,0.17,-1.78,24.32
2010-01-13,NA,0.1,-2.32,24.36
2010-01-14,NA,0.16,-9.48,24.37
2010-01-15,NA,0.07,-4.27,24.51
2010-01-16,NA,0.12,-0.29,24.47
2010-01-17,NA,0.08,-6.33,24.43
2010-01-18,NA,0.01,-11.01,24.37
2010-01-19,NA,0.12,-6.49,24.31
2010-01-20,NA,0.35,-5.2,24.42
2010-01-21,NA,2.13,-5.08,25.84
2010-01-22,NA,1.14,-5.32,27.02
2010-01-23,NA,14.58,-5.44,35.44
2010-01-24,NA,6.63,-8.49,45.98
2010-01-25,NA,0.71,-17.65,48.82
2010-01-26,NA,0.05,-21.4,48.83
2010-01-27,NA,0.06,-21.01,48.88
2010-01-28,NA,0,-22,48.86
2010-01-29,NA,0,-22.33,48.82
2010-01-30,NA,0.12,-19.28,48.81
2010-01-31,NA,0.01,-23.7,48.85
2010-02-01,NA,0.72,-21.13,48.94
2010-02-02,NA,2.57,-16.74,50.65
2010-02-03,NA,0.2,-15.15,52.19
2010-02-04,NA,0.28,-15.77,52.29
2010-02-05,NA,0.17,-9.76,52.49
2010-02-06,NA,1.74,-8.08,53.2
2010-02-07,NA,0.06,-21.19,54.18
2010-02-08,NA,0.01,-21.58,54.17
2010-02-09,NA,0.1,-16.84,54.21
2010-02-10,NA,0.27,-15.53,54.3
2010-02-11,NA,0.68,-12.26,54.62
2010-02-12,NA,0.5,-11.75,55.27
2010-02-13,NA,0.15,-13.36,55.47
2010-02-14,NA,0,-14.7,55.38
2010-02-15,NA,0,-15.87,55.28
2010-02-16,NA,2.9,-9.79,56.23
2010-02-17,NA,0.64,-4.74,58.34
2010-02-18,NA,0.31,-6.3,58.7
2010-02-19,NA,0.61,-7.79,58.93
2010-02-20,NA,0.77,-7.79,59.67
2010-02-21,NA,0.39,-10.12,59.9
2010-02-22,NA,0.36,-11.64,60.14
2010-02-23,NA,0.01,-18.97,60.12
2010-02-24,NA,0.07,-13.74,60.1
2010-02-25,NA,0.1,-10.02,60.04
2010-02-26,NA,0.02,-11.14,59.97
2010-02-27,NA,0.15,-10.39,60
2010-02-28,NA,0.07,-7.86,59.96
2010-03-01,0,0.09,-6.16,59.81
2010-03-02,0,0.04,-6.61,59.72
2010-03-03,0,0.16,-6.1,59.7
2010-03-04,0,0.16,-3.63,59.68
