DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0,26.08,7.56,0
2009-10-02,0,1.04,7.77,0
2009-10-03,0,1.38,5.34,0
2009-10-04,0,2.65,5.27,0
2009-10-05,0,0.08,4.17,0
2009-10-06,0,3.43,5,0
2009-10-07,0,7.2,3.02,0.32
2009-10-08,0,0.86,-0.12,0.64
2009-10-09,0,2.07,-2.5,2.52
2009-10-10,0,1.29,-1.76,3.83
2009-10-11,0,0.63,-1.99,4.35
2009-10-12,0,0.38,-3.28,4.73
2009-10-13,0,0,-3.61,4.82
2009-10-14,0,1.11,-1.47,5.12
2009-10-15,0,0.94,-0.27,5.63
2009-10-16,0,0.53,0.28,6.28
2009-10-17,0,0,4.69,4.17
2009-10-18,0,1.23,6.01,1.67
2009-10-19,0,0.08,2.76,0.44
2009-10-20,0,0.6,2.71,0.31
2009-10-21,0,0.17,2.92,0.21
2009-10-22,0,2.13,3.95,0.11
2009-10-23,0,0.72,4.16,0.03
2009-10-24,0,0.22,2.09,0.03
2009-10-25,0,1.02,2.66,0.2
2009-10-26,0,0.15,3.05,0.18
2009-10-27,0,8.77,4.09,0.08
2009-10-28,0.01,3.56,2,0.1
2009-10-29,0.01,0.09,0.6,0.18
2009-10-30,0.01,0.12,-0.87,0.24
2009-10-31,0.01,1.51,-1.53,0.62
2009-11-01,NA,0.27,0.59,1.78
2009-11-02,NA,0.14,-3.11,1.5
2009-11-03,NA,0.02,-1.75,1.51
2009-11-04,NA,0.03,-1.86,1.44
2009-11-05,NA,0,-0.34,1.31
2009-11-06,NA,0,6.17,0.81
2009-11-07,NA,0,3.98,0.24
2009-11-08,NA,0.01,2.39,0.16
2009-11-09,NA,0,0.45,0.12
2009-11-10,NA,0,2.43,0.09
2009-11-11,NA,0.22,2.35,0.06
2009-11-12,NA,0,0.33,0.05
2009-11-13,NA,0,-2,0.05
2009-11-14,NA,0,-2.58,0.04
2009-11-15,NA,0,-2.08,0.04
2009-11-16,NA,0,2.26,0.03
2009-11-17,NA,0,4.58,0.02
2009-11-18,NA,0,1.28,0.01
2009-11-19,NA,0,-0.18,0.01
2009-11-20,NA,0,1.44,0.01
