DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,26.29,7.42,0
2009-10-02,NA,3.12,6.78,0
2009-10-03,NA,1.19,5.22,0
2009-10-04,NA,1.92,5.64,0
2009-10-05,NA,0.05,4.57,0
2009-10-06,NA,1.91,4.99,0
2009-10-07,NA,6.97,4.12,0.01
2009-10-08,NA,0.56,0.79,0.21
2009-10-09,NA,4.83,-2.61,3.69
2009-10-10,NA,0.87,-2.13,5.25
2009-10-11,NA,0.44,-2.13,5.46
2009-10-12,NA,0.14,-3.37,5.63
2009-10-13,NA,0,-3.84,5.59
2009-10-14,NA,5.42,-1.96,7.59
2009-10-15,NA,0.7,-0.56,10.82
2009-10-16,NA,1.11,-0.35,11.04
2009-10-17,NA,0.01,3.66,7.73
2009-10-18,NA,0.34,7.84,3.07
2009-10-19,NA,0.08,3.58,0.58
2009-10-20,NA,0.52,3.28,0.35
2009-10-21,NA,0.15,2.12,0.24
2009-10-22,NA,0.38,3.12,0.16
2009-10-23,NA,2.63,3.99,0.36
2009-10-24,NA,0.13,1.48,0.21
2009-10-25,NA,0.7,1.93,0.17
2009-10-26,NA,0.01,3.61,0.11
2009-10-27,NA,2.3,6.64,0.04
2009-10-28,NA,3.84,4,0.01
2009-10-29,NA,0.4,0.96,0.17
2009-10-30,NA,0.13,-0.19,0.39
2009-10-31,NA,1.54,-1.22,0.67
2009-11-01,NA,0.3,1.21,1.73
2009-11-02,NA,0.01,-2.57,1.36
2009-11-03,NA,0.01,-1.56,1.23
2009-11-04,NA,0,-1.74,1.07
2009-11-05,NA,0,-0.99,0.95
2009-11-06,NA,0,5.44,0.7
2009-11-07,NA,0,4.59,0.28
2009-11-08,NA,0.09,2.67,0.18
2009-11-09,NA,0,0.64,0.13
2009-11-10,NA,0,2.52,0.09
2009-11-11,NA,0.38,2.5,0.05
2009-11-12,NA,0,1.43,0.04
2009-11-13,NA,0,-1.94,0.03
2009-11-14,NA,0,-2.31,0.03
2009-11-15,NA,0,-2.34,0.03
2009-11-16,NA,0,0.91,0.02
2009-11-17,NA,0,3.76,0.02
2009-11-18,NA,0,1.92,0.01
2009-11-19,NA,0,-0.46,0.01
2009-11-20,NA,0,0.85,0.01
2009-11-21,NA,0,2.93,0.01
2009-11-22,NA,0.03,0.73,0.02
2009-11-23,NA,0,-1.77,0.02
2009-11-24,NA,0.47,-3.17,0.11
2009-11-25,NA,0.19,-2.04,0.59
2009-11-26,NA,0.01,-3.13,0.64
2009-11-27,NA,0,-2.47,0.61
2009-11-28,NA,0.56,-1.76,0.9
2009-11-29,NA,0,-4.24,1.12
2009-11-30,NA,0.87,-0.39,1.19
2009-12-01,NA,5.34,-3.02,5.15
2009-12-02,NA,1.84,-7.23,8.36
2009-12-03,NA,0.85,-10.98,9.3
2009-12-04,NA,0,-17.8,9.43
2009-12-05,NA,0.11,-15.72,9.47
2009-12-06,NA,0.08,-17.72,9.56
2009-12-07,NA,0.04,-22.58,9.62
2009-12-08,NA,0.01,-26.25,9.64
2009-12-09,NA,0.01,-27.84,9.65
2009-12-10,NA,0.14,-23.5,9.75
2009-12-11,NA,0.23,-24.13,9.9
2009-12-12,NA,0.23,-25.07,10.15
2009-12-13,NA,0,-29.22,10.15
2009-12-14,NA,0.09,-25.4,10.17
2009-12-15,NA,0.23,-26.2,10.18
2009-12-16,NA,0.07,-20.09,10.41
2009-12-17,NA,0.08,-12.25,10.42
2009-12-18,NA,0.31,-10.73,10.53
2009-12-19,NA,0.64,-10.01,10.82
2009-12-20,NA,0.78,-9.38,11.64
2009-12-21,NA,0.03,-16.82,12.08
2009-12-22,NA,0.53,-14.24,12.3
2009-12-23,NA,4.34,-8.95,13.85
2009-12-24,NA,4.6,-10.53,19.44
2009-12-25,NA,0.67,-10.67,21.58
2009-12-26,NA,0.38,-9.34,21.8
2009-12-27,NA,0.04,-12.15,21.83
2009-12-28,NA,0.02,-17.36,21.9
2009-12-29,NA,0.11,-15.21,22
2009-12-30,NA,0.1,-17.23,22.16
2009-12-31,NA,0.11,-22.42,22.3
2010-01-01,NA,0,-30.81,22.35
2010-01-02,NA,0.9,-23.51,22.42
2010-01-03,NA,1.19,-17.63,23.84
2010-01-04,NA,0.14,-16.71,24.14
2010-01-05,NA,1.95,-16.49,24.5
2010-01-06,NA,2.87,-20.27,28.22
2010-01-07,NA,0.01,-29.86,28.81
2010-01-08,NA,0.01,-29.06,28.83
2010-01-09,NA,0,-18.82,28.85
2010-01-10,NA,0.31,-10.94,28.92
2010-01-11,NA,0.01,-11.1,29.21
2010-01-12,NA,0.01,-3.15,29.24
2010-01-13,NA,0.02,-3.54,29.33
2010-01-14,NA,0.05,-6.47,29.29
2010-01-15,NA,0.01,-4.03,29.4
2010-01-16,NA,0.01,-1.1,29.44
2010-01-17,NA,0.04,-4.14,29.23
2010-01-18,NA,0.06,-11.01,29.19
2010-01-19,NA,0.29,-8.78,29.24
2010-01-20,NA,0.96,-4.56,29.86
2010-01-21,NA,1.14,-6,30.76
2010-01-22,NA,2.24,-4.27,31.43
