DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0,19.19,7.35,0
2009-10-02,0,7.54,6.95,0
2009-10-03,0,1.25,4.55,0
2009-10-04,0,1.46,5.23,0
2009-10-05,0,0.26,4.31,0
2009-10-06,0,0.69,5.39,0
2009-10-07,0,5.37,3.98,0
2009-10-08,0,0.62,0.11,0.07
2009-10-09,0,2.74,-3.36,2.07
2009-10-10,0,0.44,-3.29,3.11
2009-10-11,0,0.71,-2.92,3.44
2009-10-12,0,0.4,-3.59,3.91
2009-10-13,0,0.07,-3.37,3.99
2009-10-14,0,5.82,-2.4,6.4
2009-10-15,0,2.59,-1.19,10.64
2009-10-16,0,0.73,-0.75,12
2009-10-17,0,0,4.5,8.41
2009-10-18,0,0.01,9.38,2.02
2009-10-19,0,0.15,3.24,0.31
2009-10-20,0,1.47,2.54,0.26
2009-10-21,0,0.24,2.65,0.2
2009-10-22,0,1.74,3.41,0.14
2009-10-23,0,0.37,4.59,0.06
2009-10-24,0,1.71,1.7,0.25
2009-10-25,0,2.17,2.4,0.41
2009-10-26,0,0.28,3.45,0.28
2009-10-27,0,2.3,6.26,0.1
2009-10-28,0,2.72,2.43,0.21
2009-10-29,0,0.18,0.46,0.63
2009-10-30,0,0.24,-1.11,0.74
2009-10-31,0,1.15,-1.63,1.18
2009-11-01,0,0,1.12,1.59
2009-11-02,0,0,-1.95,1.3
2009-11-03,0,0,-0.96,1.16
2009-11-04,0,0,-0.55,0.95
2009-11-05,0,0,0.3,0.76
2009-11-06,0,0,7.31,0.45
2009-11-07,0,0,4.17,0.17
2009-11-08,0,0.03,3.19,0.12
2009-11-09,0,0,0.89,0.1
2009-11-10,0,0,2.33,0.08
2009-11-11,0,0.75,1.75,0.06
2009-11-12,0,0,1.08,0.05
2009-11-13,0,0,-2.06,0.05
2009-11-14,0,0,-1.96,0.05
2009-11-15,0,0,-1.75,0.04
2009-11-16,0,0,1.61,0.04
2009-11-17,0,0,4.61,0.03
2009-11-18,0,0,2.19,0.02
2009-11-19,0,0,0.67,0.02
2009-11-20,0,0,2.1,0.02
2009-11-21,NA,0,3.14,0.01
2009-11-22,NA,0.03,0.14,0.03
2009-11-23,NA,0,-1.23,0.03
2009-11-24,NA,0.08,-2.53,0.05
2009-11-25,NA,0.08,-2.57,0.14
2009-11-26,NA,0,-2.82,0.17
2009-11-27,NA,0.01,-0.66,0.16
2009-11-28,NA,0.56,-1.47,0.53
2009-11-29,NA,0,-3.55,0.69
2009-11-30,NA,2.75,-0.11,0.97
2009-12-01,NA,8.12,-3.9,9.9
2009-12-02,NA,1.62,-8.55,12.11
2009-12-03,NA,0.44,-13.06,12.92
2009-12-04,NA,0,-19.61,13
2009-12-05,NA,0.06,-18.47,13.02
2009-12-06,NA,0.04,-18.75,13.09
2009-12-07,NA,0.03,-23.96,13.13
2009-12-08,NA,0.01,-27.91,13.16
2009-12-09,NA,0.05,-26.19,13.17
2009-12-10,NA,0.17,-23,13.35
2009-12-11,NA,0.14,-21.17,13.47
2009-12-12,NA,0.55,-24.32,13.92
2009-12-13,NA,0.01,-29.17,13.97
2009-12-14,NA,0.13,-25.57,14.03
2009-12-15,NA,1.22,-25.39,14.28
2009-12-16,NA,0.01,-18.24,15.18
2009-12-17,NA,0.2,-7.37,15.29
2009-12-18,NA,0.4,-9.05,15.64
2009-12-19,NA,0.36,-9.1,15.83
2009-12-20,NA,0.21,-9.47,16.14
2009-12-21,NA,0.04,-16.36,16.28
2009-12-22,NA,2.43,-12.29,16.99
2009-12-23,NA,6.6,-9.32,20.95
2009-12-24,NA,2.57,-15.84,26.38
2009-12-25,NA,0.57,-13.83,27.64
2009-12-26,NA,0.53,-11.73,28.1
2009-12-27,NA,0.01,-10.98,28.09
2009-12-28,NA,0.05,-14.94,28.11
2009-12-29,NA,0.07,-13.11,28.18
2009-12-30,NA,0.07,-17.27,28.23
2009-12-31,NA,0.29,-20.81,28.45
2010-01-01,NA,0,-28.89,28.52
2010-01-02,NA,1.79,-21.11,28.93
2010-01-03,NA,0.94,-16.38,30.75
2010-01-04,NA,0.04,-17.2,30.96
2010-01-05,NA,3.66,-16.31,31.76
2010-01-06,NA,2.67,-21.14,36.68
2010-01-07,NA,0,-29.8,37.13
2010-01-08,NA,0.01,-26.88,37.14
2010-01-09,NA,0,-14.9,37.1
2010-01-10,NA,0,-9.17,37.09
2010-01-11,NA,0.02,-8.54,37.11
2010-01-12,NA,0,-0.78,37.02
2010-01-13,NA,0.13,-0.24,36.96
2010-01-14,NA,0.13,-5.06,37.11
2010-01-15,NA,0.01,-1.52,37.13
2010-01-16,NA,0.01,0.11,36.82
2010-01-17,NA,0.03,-6,36.65
2010-01-18,NA,0.03,-9.01,36.64
2010-01-19,NA,0.55,-7.77,36.81
2010-01-20,NA,1.21,-4.42,37.67
2010-01-21,NA,1.39,-5.51,38.86
2010-01-22,NA,7.49,-4.35,41
2010-01-23,NA,6.72,-2.96,51.73
2010-01-24,NA,2.05,-8.03,54.79
2010-01-25,NA,0.92,-15.66,55.85
2010-01-26,NA,0,-19.79,56.01
2010-01-27,NA,0.03,-20.17,56.03
2010-01-28,NA,0,-21.64,56.04
2010-01-29,NA,0,-20.98,56.04
2010-01-30,NA,0.01,-20.42,56.04
2010-01-31,NA,0.03,-21.36,56.06
2010-02-01,NA,1.25,-18.79,56.32
2010-02-02,NA,0.57,-17.18,57.44
2010-02-03,NA,0.09,-12.29,57.87
2010-02-04,NA,0.44,-12.36,58.03
2010-02-05,NA,1.69,-9.72,58.88
2010-02-06,NA,2.06,-6.91,60.87
2010-02-07,NA,0.76,-17.74,62.45
2010-02-08,NA,0.12,-18.46,62.6
2010-02-09,NA,0.16,-16.68,62.73
2010-02-10,NA,0.3,-15.63,62.9
2010-02-11,NA,0.1,-13.17,63.05
2010-02-12,NA,0.93,-9.27,63.3
2010-02-13,NA,1.44,-12.8,64.87
2010-02-14,NA,0,-15.54,65.27
2010-02-15,NA,0,-14.95,65.22
2010-02-16,NA,0,-12.85,65.11
2010-02-17,NA,0.21,-6.95,65.1
2010-02-18,NA,0.11,-7.25,65.19
2010-02-19,NA,0.25,-9.07,65.21
2010-02-20,NA,0.26,-9.71,65.4
2010-02-21,NA,0.15,-9.47,65.37
2010-02-22,NA,0.13,-10.79,65.28
2010-02-23,NA,0.05,-16.87,65.28
2010-02-24,NA,0.06,-14.3,65.25
2010-02-25,NA,1.18,-8.65,65.67
2010-02-26,NA,0.08,-8.22,66.24
2010-02-27,NA,0.22,-9.22,66.19
2010-02-28,NA,0.09,-8.3,66.2
2010-03-01,0,0.12,-7.91,66.06
2010-03-02,0,0.06,-5.45,66.02
2010-03-03,0,0.35,-6.77,65.97
2010-03-04,0,0.42,-3.31,66.21
2010-03-05,0,0.19,-2.22,65.47
