DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,26.16,8.36,0
2009-10-02,NA,7.11,6.41,0
2009-10-03,NA,2,5.3,0
2009-10-04,NA,1.3,6.28,0
2009-10-05,NA,0.11,4.94,0
2009-10-06,NA,0.48,5.66,0
2009-10-07,NA,4.59,5.7,0
2009-10-08,NA,0.29,1.79,0.1
2009-10-09,NA,2.22,-1.44,1.52
2009-10-10,NA,1.08,-1.97,2.74
2009-10-11,NA,1.32,-1.64,3.5
2009-10-12,NA,0.77,-1.74,4.54
2009-10-13,NA,0,-1.83,4.74
2009-10-14,NA,5.35,-0.96,6.8
2009-10-15,NA,1.64,0.01,10.22
2009-10-16,NA,1.54,0.26,10.4
2009-10-17,NA,0.01,5.09,7.01
2009-10-18,NA,0,10.86,1.28
2009-10-19,NA,0.23,4.89,0.19
2009-10-20,NA,4.22,3.86,0.11
2009-10-21,NA,0.44,2.97,0.08
2009-10-22,NA,0,2.85,0.06
2009-10-23,NA,1.42,4.76,0.06
2009-10-24,NA,1.27,2.56,0.04
2009-10-25,NA,0.71,2.69,0.03
2009-10-26,NA,0.01,4.67,0.02
2009-10-27,NA,3.98,6.76,0.01
2009-10-28,NA,0.85,3.98,0
2009-10-29,NA,3.86,1.31,0.89
2009-10-30,NA,0.07,-0.34,2.28
2009-10-31,NA,0.68,-0.86,2.28
2009-11-01,NA,0.5,1.8,2.39
2009-11-02,NA,0,-1.14,1.96
2009-11-03,NA,0.07,0.39,1.69
2009-11-04,NA,0,-0.08,1.3
2009-11-05,NA,0,0.89,1
2009-11-06,NA,0,7.33,0.53
2009-11-07,NA,0,6.09,0.19
2009-11-08,NA,0.05,4.76,0.13
2009-11-09,NA,0,2.47,0.09
2009-11-10,NA,0,5.32,0.06
2009-11-11,NA,0.14,4.69,0.03
2009-11-12,NA,1.1,4.21,0.02
2009-11-13,NA,0,-0.6,0.04
2009-11-14,NA,0,-0.69,0.03
2009-11-15,NA,0,-1.66,0.03
2009-11-16,NA,0,1.5,0.03
2009-11-17,NA,0,4.36,0.02
2009-11-18,NA,0,4.18,0.01
2009-11-19,NA,0,0.46,0.01
2009-11-20,NA,0,2.02,0.01
2009-11-21,NA,0,4.58,0.01
2009-11-22,NA,0,1.72,0.01
2009-11-23,NA,0,-0.45,0.01
2009-11-24,NA,0.18,-1.93,0.05
2009-11-25,NA,0.42,-1.69,0.45
2009-11-26,NA,0,-2.37,0.57
2009-11-27,NA,0,-1.18,0.54
2009-11-28,NA,0.39,-0.9,0.68
2009-11-29,NA,0,-3.26,0.82
2009-11-30,NA,0.48,-0.07,0.82
2009-12-01,NA,13.65,-2.29,10
2009-12-02,NA,2.38,-7.67,16.05
2009-12-03,NA,0.96,-11.46,17.38
2009-12-04,NA,0.01,-17.39,17.66
2009-12-05,NA,0.14,-17.25,17.71
2009-12-06,NA,0.1,-17.36,17.89
2009-12-07,NA,0.02,-22.83,17.94
2009-12-08,NA,0.02,-25.18,17.96
2009-12-09,NA,0.01,-27.33,17.96
2009-12-10,NA,0.23,-22.89,18.08
2009-12-11,NA,0.02,-21.36,18.15
2009-12-12,NA,1.21,-22.21,18.91
2009-12-13,NA,0.01,-28.85,19.24
2009-12-14,NA,0.13,-25.43,19.28
2009-12-15,NA,0.81,-25.16,19.36
2009-12-16,NA,0.02,-16.43,20
2009-12-17,NA,0.11,-9.39,20.02
2009-12-18,NA,0.3,-11.15,20.19
2009-12-19,NA,0.62,-9.02,20.42
2009-12-20,NA,0.3,-10.1,21.01
2009-12-21,NA,0.01,-15.36,21.17
2009-12-22,NA,0.24,-11.41,21.29
2009-12-23,NA,3.92,-7.49,22.32
2009-12-24,NA,5.14,-11.5,28.12
2009-12-25,NA,7.78,-9.62,33.02
2009-12-26,NA,5.17,-9.24,41.32
2009-12-27,NA,0.06,-10.73,42.78
2009-12-28,NA,0.05,-16.33,42.88
2009-12-29,NA,0.04,-13.55,42.95
2009-12-30,NA,0.07,-17.11,43.05
2009-12-31,NA,0.07,-22.1,43.15
2010-01-01,NA,0,-29.7,43.2
2010-01-02,NA,0.53,-23.48,43.23
2010-01-03,NA,1.46,-17.52,44.51
2010-01-04,NA,0.26,-15.71,45.08
2010-01-05,NA,1.05,-17.08,45.32
2010-01-06,NA,4.39,-18.58,49.29
2010-01-07,NA,0.05,-28.45,50.51
2010-01-08,NA,0,-28.71,50.53
2010-01-09,NA,0,-17.05,50.5
2010-01-10,NA,0.02,-11.18,50.45
2010-01-11,NA,0.01,-10.72,50.5
2010-01-12,NA,0.01,-2.53,50.5
2010-01-13,NA,0.07,-1.4,50.48
2010-01-14,NA,0.14,-4.34,50.6
2010-01-15,NA,0,-2.42,50.69
2010-01-16,NA,0,-0.24,50.6
2010-01-17,NA,0.01,-5.2,50.47
2010-01-18,NA,0.04,-9.28,50.46
2010-01-19,NA,0.19,-7.92,50.48
2010-01-20,NA,0.75,-4.42,50.83
2010-01-21,NA,0.89,-4.91,51.58
2010-01-22,NA,8.2,-3.31,53
2010-01-23,NA,6.96,-0.79,64.94
2010-01-24,NA,2,-5.48,67.74
2010-01-25,NA,2.51,-14.1,70.08
2010-01-26,NA,0,-19.92,70.75
2010-01-27,NA,0.06,-20.05,70.8
2010-01-28,NA,0,-22.85,70.82
2010-01-29,NA,0,-21.1,70.82
2010-01-30,NA,0.01,-20.98,70.82
2010-01-31,NA,0.03,-21.3,70.84
2010-02-01,NA,1.19,-18.64,71.15
2010-02-02,NA,0.73,-17.54,72.67
2010-02-03,NA,0.4,-11.78,73.05
2010-02-04,NA,0.35,-10.08,73.19
2010-02-05,NA,3.08,-7.53,74.63
2010-02-06,NA,3.44,-5.03,77.8
2010-02-07,NA,2.03,-15.13,81.18
2010-02-08,NA,0.93,-14.8,82.26
2010-02-09,NA,0.07,-15.83,82.56
2010-02-10,NA,0.09,-16.43,82.59
2010-02-11,NA,0.16,-14.79,82.72
2010-02-12,NA,2.52,-10.87,83.11
2010-02-13,NA,4.48,-11.29,88.63
2010-02-14,NA,0,-15.97,89.72
2010-02-15,NA,0,-15.9,89.71
2010-02-16,NA,0,-15.35,89.68
2010-02-17,NA,0.02,-12.86,89.63
2010-02-18,NA,0.45,-7.38,89.9
2010-02-19,NA,0.29,-7.56,90.17
2010-02-20,NA,0.26,-8.89,90.44
2010-02-21,NA,0.04,-11.64,90.48
2010-02-22,NA,0.46,-10.53,90.62
2010-02-23,NA,0.02,-18.27,90.91
2010-02-24,NA,0,-16.63,90.79
2010-02-25,NA,1.09,-11.65,90.72
2010-02-26,NA,0.57,-8.19,91.87
2010-02-27,NA,0.13,-7.55,91.92
2010-02-28,NA,0.01,-8.22,91.84
2010-03-01,0,0.13,-8.46,91.67
2010-03-02,0,0.14,-6.53,91.76
2010-03-03,0,0.21,-8.18,91.73
2010-03-04,0,0.55,-3.08,92.1
2010-03-05,0,0.2,-1.91,92.17
2010-03-06,0,0.23,-1.75,91.38
2010-03-07,0,0.53,-0.36,89.43
2010-03-08,0,0.52,0.35,85.97
2010-03-09,0,1.17,0.08,82.54
2010-03-10,0,6.61,-0.07,84.07
2010-03-11,0,2.63,-0.12,87.2
2010-03-12,0,0.01,-0.74,85.27
2010-03-13,0,0.1,-0.7,81.46
2010-03-14,0,0.55,1.26,75.59
2010-03-15,0,0.04,0.32,68.54
2010-03-16,0,0,-1.44,62.62
2010-03-17,0.03,0,1.89,55.12
2010-03-18,0.83,0.08,-0.51,46.37
2010-03-19,0.7,0.21,-7.81,44.94
2010-03-20,0.49,0,-4.67,43.85
2010-03-21,0.37,0,-0.65,39.8
2010-03-22,0.82,0.04,-1.57,35.21
2010-03-23,0.46,0.01,-2.54,33.22
2010-03-24,0.26,0.11,-2.72,31.02
2010-03-25,0.18,0.03,-9.85,29.62
2010-03-26,0.1,0,-1.39,27.04
2010-03-27,0.1,0,-0.83,22.83
2010-03-28,0.06,0,4.26,17.96
2010-03-29,0.05,0,9.14,10.58
2010-03-30,0.05,0.49,8.41,4.53
2010-03-31,0.07,0,6.85,2.63
2010-04-01,0.08,0.13,5.62,1.74
2010-04-02,0.06,10.43,2.4,3.18
2010-04-03,0.04,0.1,4.28,4.27
2010-04-04,0.04,0.17,6.11,2.44
2010-04-05,0.03,0.16,6.29,1.3
2010-04-06,0.02,0.06,4.35,0.74
2010-04-07,0.01,0,4.95,0.45
2010-04-08,0.01,0,7.59,0.26
2010-04-09,0.01,0.02,6.83,0.13
2010-04-10,0,0.04,4.62,0.09
2010-04-11,0,0.12,2.83,0.07
2010-04-12,0.01,4.6,3.92,2.18
2010-04-13,0.01,9.05,9.89,0.59
2010-04-14,0.01,3.64,10.36,0.02
2010-04-15,0.01,1.32,6.3,0
2010-04-16,0.01,0,6.26,0
2010-04-17,0.01,0,8.9,0
2010-04-18,0.01,0,11.12,0
2010-04-19,0.01,0,12.26,0
2010-04-20,0.01,0,9.92,0
2010-04-21,0.01,0,7.85,0
2010-04-22,0.01,0,11.07,0
2010-04-23,0,0.15,14.4,0
2010-04-24,0,0.33,10.82,0
2010-04-25,0,2.77,9.61,0
2010-04-26,0,2.65,8.03,0
2010-04-27,0,0.01,9.07,0
2010-04-28,0,2.33,12.35,0
2010-04-29,0,4.92,11.01,0
2010-04-30,0,5.31,9.45,0
2010-05-01,0,6.08,3.97,0.18
2010-05-02,0,8.12,2.79,1.42
2010-05-03,0,0.3,4.65,1.28
2010-05-04,0,10.82,5.19,0.56
2010-05-05,0,4.35,2.57,1.58
2010-05-06,0,0.76,2.01,1.47
2010-05-07,0,3.36,2.01,3.23
2010-05-08,0,0.6,4.15,2.54
2010-05-09,0,1.86,6.34,1.09
2010-05-10,0,1.31,8.77,0.26
2010-05-11,0,0.64,8.53,0.05
2010-05-12,0,0.54,8.75,0.01
2010-05-13,0,0.17,8.87,0.01
2010-05-14,0,0,13.7,0
2010-05-15,0,0.02,15.53,0
2010-05-16,0,0.43,15.93,0
2010-05-17,0,0.01,16.78,0
2010-05-18,0,0,18.07,0
2010-05-19,0,0,18.82,0
2010-05-20,0,0,19.17,0
2010-05-21,0,4.05,15.94,0
2010-05-22,0,26.2,14.81,0
2010-05-23,0,0.16,13.68,0
2010-05-24,0,21.08,11.11,0
2010-05-25,0,3.5,11.7,0
2010-05-26,0,0,11.98,0
2010-05-27,0,10.81,10.2,0
2010-05-28,0,2.69,14.81,0
2010-05-29,0.01,27.25,16.32,0
2010-05-30,0.78,0.2,10.55,0
2010-05-31,0.45,0.91,12.28,0
2010-06-01,0.27,0,9.95,0
2010-06-02,0.17,0,12.35,0
2010-06-03,0.12,9.98,13.4,0
2010-06-04,0.1,0.24,14.57,0
2010-06-05,0.09,2.63,14.67,0
2010-06-06,0.08,1.27,14.37,0
2010-06-07,0.09,6.45,16.42,0
2010-06-08,0.1,5.42,15.62,0
2010-06-09,0.11,0.43,11.68,0
2010-06-10,0.07,8.25,9.22,0
2010-06-11,0.05,3.38,10.96,0
2010-06-12,0.04,1.17,12.37,0
2010-06-13,0.04,0.02,14.56,0
2010-06-14,0.04,0.14,16.32,0
2010-06-15,0.04,0.28,16.48,0
2010-06-16,0.03,0.38,18.75,0
2010-06-17,0.03,42.78,17.54,0
2010-06-18,0.4,16.98,12.9,0
2010-06-19,0.82,0.29,16.11,0
2010-06-20,0.68,3.38,18.53,0
2010-06-21,0.7,3.95,18.53,0
2010-06-22,0.44,0.68,18.34,0
2010-06-23,0.29,1.66,18.03,0
2010-06-24,0.24,4.06,19.23,0
2010-06-25,0.24,1.1,20.42,0
2010-06-26,0.25,10.22,20.13,0
2010-06-27,0.94,2.08,17.22,0
2010-06-28,0.55,0.01,15.84,0
2010-06-29,0.29,0,16.84,0
2010-06-30,0.13,0,20.93,0
2010-07-01,0.09,0.11,24.56,0
2010-07-02,0.07,0.01,25.63,0
2010-07-03,0.08,0.55,21.24,0
2010-07-04,0.08,0.02,19.05,0
2010-07-05,0.05,2.84,17.53,0
2010-07-06,0.04,0.85,16.8,0
2010-07-07,0.03,2.35,17,0
2010-07-08,0.04,0.22,17.17,0
2010-07-09,0.04,0.24,20.12,0
2010-07-10,0.03,0.56,21.27,0
2010-07-11,0.03,0,16.93,0
2010-07-12,0.02,0,18,0
2010-07-13,0.02,19.24,19.67,0
2010-07-14,0.02,0.23,17.03,0
2010-07-15,0.01,0.91,18.17,0
2010-07-16,0.01,0.02,20.52,0
2010-07-17,0.01,2.17,19.89,0
2010-07-18,0.01,0.01,18.67,0
2010-07-19,0.01,0.02,17.91,0
2010-07-20,0.01,5.57,17.52,0
2010-07-21,0.01,0.3,18.61,0
2010-07-22,0.01,10.76,17.91,0
2010-07-23,0.01,0.11,17.45,0
2010-07-24,0.01,0.32,19.15,0
2010-07-25,0.01,0,21.24,0
2010-07-26,0,8.69,23.94,0
2010-07-27,0,0.01,20.26,0
2010-07-28,0,0,18.7,0
2010-07-29,0,2.96,19.87,0
2010-07-30,0,0.91,21.27,0
2010-07-31,0,12.86,22.01,0
2010-08-01,0.01,15.73,20.96,0
2010-08-02,0.06,7.77,20.7,0
2010-08-03,0.07,0.89,20.22,0
2010-08-04,0.04,0.93,17.91,0
2010-08-05,0.03,0.08,17.6,0
2010-08-06,0.02,0.01,18.55,0
2010-08-07,0.01,8.52,21.16,0
2010-08-08,0.01,0,22.75,0
2010-08-09,0.01,0.25,24.81,0
2010-08-10,0.01,16.2,22.97,0
2010-08-11,0.01,0.18,22.24,0
2010-08-12,0.01,7.55,21.96,0
2010-08-13,0.01,0.55,19.17,0
2010-08-14,0.01,3.98,15.22,0
2010-08-15,0.02,0.32,14.96,0
2010-08-16,0.01,0,14.09,0
2010-08-17,0.01,0.54,13.97,0
2010-08-18,0.01,1.19,13.73,0
2010-08-19,0.01,0.07,17.81,0
2010-08-20,0,1.05,21.13,0
2010-08-21,0,0,20.5,0
2010-08-22,0,0,25.41,0
2010-08-23,0.01,1.53,19.19,0
2010-08-24,0.01,0.49,15.02,0
2010-08-25,0,0,14.88,0
2010-08-26,0,0,21.13,0
2010-08-27,0,0,23.15,0
2010-08-28,0,5.93,15.63,0
2010-08-29,0,5.31,16.71,0
2010-08-30,0,38.29,13.57,0
2010-08-31,0,0.86,13.99,0
2010-09-01,0,10.3,14.59,0
2010-09-02,0,5.4,13.16,0
2010-09-03,0,0,11.97,0
2010-09-04,0,0.04,13.58,0
2010-09-05,0,2.89,13.18,0
2010-09-06,0,2.58,12.11,0
2010-09-07,0,0,10.78,0
2010-09-08,0,0.34,10.77,0
2010-09-09,0,5.65,11.97,0
2010-09-10,0,3.23,15.72,0
2010-09-11,0,0.11,13.74,0
2010-09-12,0,0,12.49,0
2010-09-13,0,3.33,9.06,0
2010-09-14,0,3.21,10.44,0
2010-09-15,0,4.49,9.36,0
2010-09-16,0,5.98,11.66,0
2010-09-17,0,0,6,0
2010-09-18,0,0,5.98,0
2010-09-19,0,0.14,8.34,0
2010-09-20,0,0.92,10.39,0
2010-09-21,0,0.47,8.38,0
2010-09-22,0,14.32,5.95,0
2010-09-23,0,7.5,4.74,0
2010-09-24,0,0.11,8.19,0
2010-09-25,0.01,0.03,11.24,0
2010-09-26,0.01,0,16.52,0
2010-09-27,0.01,0,15.7,0
2010-09-28,0,0,15.28,0
2010-09-29,0,0.04,14.94,0
2010-09-30,0,0.01,11.91,0
2010-10-01,0.01,0.67,9.36,0
2010-10-02,0.01,0,6.82,0
2010-10-03,0,0,11.19,0
2010-10-04,0,0,12.34,0
2010-10-05,0,0,14.18,0
2010-10-06,0,0,10.95,0
2010-10-07,0,0,14.16,0
2010-10-08,0,0,16.82,0
2010-10-09,0,0,15.72,0
2010-10-10,0,0,13.39,0
2010-10-11,0,1.21,14.75,0
2010-10-12,0,0.06,10.16,0
2010-10-13,0,0,9.47,0
2010-10-14,0,0,8.87,0
2010-10-15,0,0,9.98,0
2010-10-16,0,0,6.93,0
2010-10-17,0,0,4.84,0
2010-10-18,0,0,5.77,0
2010-10-19,0,0,7.86,0
2010-10-20,0,0,7.31,0
2010-10-21,0,0,5.02,0
2010-10-22,0,0,7.1,0
2010-10-23,0,0,4.06,0
2010-10-24,0,0.11,4.57,0
2010-10-25,0,8.66,6.76,0
2010-10-26,0,34.31,2.21,6.55
2010-10-27,0.02,11.87,-0.99,30.38
2010-10-28,0.06,0,-6.11,31.72
2010-10-29,0.03,0.01,-2.54,31.48
2010-10-30,0.02,0.01,-3.09,31.06
2010-10-31,0.02,0.06,-1.16,30.33
2010-11-01,NA,0,1.95,27.05
2010-11-02,NA,0,6.82,13.73
2010-11-03,NA,0,5.7,5.78
2010-11-04,NA,0,1.91,3.99
2010-11-05,NA,0,3.91,3.15
2010-11-06,NA,0,6.74,1.91
2010-11-07,NA,0,7.5,1.19
2010-11-08,NA,0.01,5.42,0.79
2010-11-09,NA,0.18,4.18,0.56
2010-11-10,NA,3.22,2.06,0.52
2010-11-11,NA,3.72,-1.31,4.8
2010-11-12,NA,0,-1.3,5.28
2010-11-13,NA,0.04,-2.77,5.17
2010-11-14,NA,0.03,-3.45,5.14
2010-11-15,NA,0.05,-3.49,5.11
2010-11-16,NA,0.62,-0.76,5.13
2010-11-17,NA,0.18,-7.02,5.3
2010-11-18,NA,3.95,-6.69,6.7
2010-11-19,NA,0.05,-13.14,8.86
2010-11-20,NA,2.24,-14.86,8.98
2010-11-21,NA,4.03,-13.33,14.25
2010-11-22,NA,0.19,-17.71,14.81
2010-11-23,NA,0.43,-16.86,15.04
2010-11-24,NA,5.44,-11.65,17.62
2010-11-25,NA,3.21,-16,22.9
2010-11-26,NA,0.18,-13.45,23.75
2010-11-27,NA,0,-9.36,23.82
2010-11-28,NA,0.36,-7.84,23.88
2010-11-29,NA,3.29,-9.23,25.96
2010-11-30,NA,0.14,-15.56,27.34
2010-12-01,NA,0.03,-18.58,27.41
2010-12-02,NA,0.1,-16.48,27.47
2010-12-03,NA,1.13,-11.61,28
2010-12-04,NA,0.14,-12.67,28.71
2010-12-05,NA,0.11,-11.48,28.79
2010-12-06,NA,0.14,-10.42,28.88
2010-12-07,NA,0.12,-11.65,28.97
2010-12-08,NA,0.32,-16.05,29.08
2010-12-09,NA,0.49,-7.3,29.49
2010-12-10,NA,0.17,-17.42,29.55
2010-12-11,NA,0.56,-21.59,29.97
2010-12-12,NA,0.07,-23.36,30.18
2010-12-13,NA,0.78,-16.91,30.5
2010-12-14,NA,0.12,-12.04,30.59
2010-12-15,NA,6.79,-8.82,34.46
2010-12-16,NA,4.35,-12.78,40.97
2010-12-17,NA,0.51,-14.97,41.77
2010-12-18,NA,0.52,-13.69,42.38
2010-12-19,NA,0.13,-15.79,42.67
2010-12-20,NA,10.28,-17.29,45.57
2010-12-21,NA,1.5,-14.65,54.29
2010-12-22,NA,0.08,-18.17,54.53
2010-12-23,NA,0.26,-10.65,54.76
2010-12-24,NA,0.14,-10.08,54.96
2010-12-25,NA,0.09,-10.5,55.08
2010-12-26,NA,0.07,-8.15,55.11
2010-12-27,NA,0.05,-4.45,55.03
2010-12-28,NA,1.13,-5.61,55.26
2010-12-29,NA,2.73,-10.85,56.67
2010-12-30,NA,0.58,-19.45,59.4
2010-12-31,NA,0.02,-22.39,59.42
2011-01-01,NA,0.17,-20.27,59.55
2011-01-02,NA,0.07,-22.83,59.63
2011-01-03,NA,0,-22.5,59.67
2011-01-04,NA,0.38,-17.65,59.8
2011-01-05,NA,1.45,-12.06,60.61
2011-01-06,NA,1.76,-9.28,62.03
2011-01-07,NA,0.67,-14.26,63.86
2011-01-08,NA,0.06,-17.53,64.04
2011-01-09,NA,0.29,-19.48,64.11
2011-01-10,NA,2.58,-16.79,65.63
2011-01-11,NA,0.97,-17.31,67.67
2011-01-12,NA,0.49,-20.72,67.98
2011-01-13,NA,1.68,-15.9,69.82
2011-01-14,NA,4.71,-16.04,72.98
2011-01-15,NA,0.88,-20.33,74.99
2011-01-16,NA,2.42,-17.4,76.73
2011-01-17,NA,0.98,-19.91,78.65
2011-01-18,NA,0.13,-24.13,78.99
2011-01-19,NA,0.49,-18.68,79.22
2011-01-20,NA,0.07,-25.64,79.64
2011-01-21,NA,1.14,-19.98,80.63
2011-01-22,NA,0.98,-24.07,80.9
2011-01-23,NA,0.88,-8.91,82.4
2011-01-24,NA,0.96,-12.01,83.6
2011-01-25,NA,0,-8.12,83.73
2011-01-26,NA,0.07,-7.71,83.85
2011-01-27,NA,0.08,-6.73,83.96
2011-01-28,NA,0.11,-6.33,84.11
2011-01-29,NA,0.1,-18.36,84.05
2011-01-30,NA,0.83,-24.27,84.29
2011-01-31,NA,1.31,-22.7,85.71
2011-02-01,NA,0.01,-26.34,86.07
2011-02-02,NA,0,-19.61,86
2011-02-03,NA,0,-5.82,85.96
2011-02-04,NA,0.5,-2.25,86.47
2011-02-05,NA,1.79,-3.39,87.57
2011-02-06,NA,1.4,-11.35,89.2
2011-02-07,NA,0.12,-22.82,89.51
2011-02-08,NA,0,-21.71,89.52
2011-02-09,NA,0,-22.43,89.5
2011-02-10,NA,0.05,-21.3,89.52
2011-02-11,NA,0.42,-5.25,89.84
2011-02-12,NA,0.45,-1.95,90.45
2011-02-13,NA,0.97,1.66,88.83
2011-02-14,NA,0.01,-1.25,86.54
