DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,22.65,8.22,0
2009-10-02,NA,1.57,6.22,0
2009-10-03,NA,1.51,6.29,0
2009-10-04,NA,1.56,6.63,0
2009-10-05,NA,0.53,5.61,0
2009-10-06,NA,1.51,5.94,0
2009-10-07,NA,3.31,6.3,0
2009-10-08,NA,0.7,2.65,0.06
2009-10-09,NA,2.18,-1.1,0.84
2009-10-10,NA,0.47,-0.96,2.2
2009-10-11,NA,0.41,-0.42,2.27
2009-10-12,NA,1.48,-1.39,2.7
2009-10-13,NA,0.02,-1.5,3.22
2009-10-14,NA,6.83,-0.53,5.6
2009-10-15,NA,2.02,0.64,10.24
2009-10-16,NA,2.95,1.18,9.96
2009-10-17,NA,0.01,4.48,6.48
2009-10-18,NA,0.03,10.85,0.98
2009-10-19,NA,0.21,6,0.08
2009-10-20,NA,1.42,4.26,0.03
2009-10-21,NA,0.01,2.07,0.02
2009-10-22,NA,0,1.86,0.01
2009-10-23,NA,0.33,3.55,0.01
2009-10-24,NA,0.25,2.63,0
2009-10-25,NA,0.93,3.58,0
2009-10-26,NA,0.07,5.35,0
2009-10-27,NA,0.6,7.44,0
2009-10-28,NA,2.88,5.08,0
2009-10-29,NA,6.67,2.59,0.25
2009-10-30,NA,0.73,0.66,1.94
2009-10-31,NA,0.58,0.63,1.83
2009-11-01,NA,1.2,2.48,1.88
2009-11-02,NA,0.02,-0.87,1.34
2009-11-03,NA,3.13,-1.33,1.23
2009-11-04,NA,0.03,0.23,1
2009-11-05,NA,0,-1.05,0.77
2009-11-06,NA,0,7.02,0.44
2009-11-07,NA,0,7.59,0.08
2009-11-08,NA,0,6.41,0.03
2009-11-09,NA,0,3.96,0.02
2009-11-10,NA,0,6.06,0.01
2009-11-11,NA,0.13,6.91,0
2009-11-12,NA,1.58,6.3,0
2009-11-13,NA,0.02,1.53,0
2009-11-14,NA,0,-1.01,0
2009-11-15,NA,0,-0.69,0
2009-11-16,NA,0,2.45,0
2009-11-17,NA,0,5.29,0
2009-11-18,NA,0,4.43,0
2009-11-19,NA,0,1.41,0
2009-11-20,NA,0,2.04,0
2009-11-21,NA,0,4.84,0
2009-11-22,NA,0,2.7,0
2009-11-23,NA,0,-0.04,0
2009-11-24,NA,0.21,-0.55,0.03
2009-11-25,NA,0.4,-1.64,0.48
2009-11-26,NA,0,-3.84,0.58
2009-11-27,NA,0,-2.44,0.56
2009-11-28,NA,0.52,-1.22,0.63
2009-11-29,NA,0.06,-1.83,0.97
2009-11-30,NA,0.32,0.4,0.94
2009-12-01,NA,8.78,-2.23,6.96
2009-12-02,NA,2.1,-6.93,11.25
2009-12-03,NA,0.94,-9.69,12.14
2009-12-04,NA,0.03,-15.12,12.5
2009-12-05,NA,0.24,-13.55,12.55
2009-12-06,NA,0.24,-12.42,12.78
2009-12-07,NA,0.06,-20.21,12.96
2009-12-08,NA,0.01,-24.93,12.99
2009-12-09,NA,0,-26.54,12.99
2009-12-10,NA,0.09,-23.07,13
2009-12-11,NA,0.25,-21.2,13.1
2009-12-12,NA,1.01,-21.28,13.81
2009-12-13,NA,0,-27.71,14.1
2009-12-14,NA,0.12,-24.17,14.07
2009-12-15,NA,0.06,-24.51,14
2009-12-16,NA,0.29,-17.76,14.21
2009-12-17,NA,0,-11.84,14.18
2009-12-18,NA,0.38,-11.84,14.3
2009-12-19,NA,0.48,-10.21,14.68
2009-12-20,NA,0.71,-9.24,15.14
2009-12-21,NA,0.04,-12.76,15.55
2009-12-22,NA,0.28,-11.78,15.65
2009-12-23,NA,1.56,-8.65,16.03
2009-12-24,NA,7.03,-5.96,21.75
2009-12-25,NA,13.79,-8.14,29.64
2009-12-26,NA,5.71,-8.65,41.71
2009-12-27,NA,0.14,-8.93,43.4
2009-12-28,NA,0.13,-15.22,43.45
2009-12-29,NA,0.04,-15.07,43.5
2009-12-30,NA,0.06,-15.64,43.59
2009-12-31,NA,0.07,-20.83,43.72
2010-01-01,NA,0.01,-29.61,43.79
2010-01-02,NA,0,-28.68,43.8
2010-01-03,NA,0.06,-23.42,43.8
2010-01-04,NA,0.25,-18.62,43.96
2010-01-05,NA,0.28,-16.59,44.2
2010-01-06,NA,2.54,-17.48,45.7
2010-01-07,NA,0.07,-25.38,46.85
2010-01-08,NA,0,-28.29,46.88
2010-01-09,NA,0,-18,46.84
2010-01-10,NA,0.11,-10.77,46.77
2010-01-11,NA,0.01,-11.92,46.85
2010-01-12,NA,0.03,-2.55,46.79
2010-01-13,NA,0.01,-1.23,46.74
2010-01-14,NA,0.1,-4.13,46.68
2010-01-15,NA,0,-1.32,46.68
2010-01-16,NA,0,1,46.12
2010-01-17,NA,0.23,-1.97,45.42
2010-01-18,NA,0.04,-8.96,45.53
2010-01-19,NA,0.09,-7.93,45.51
2010-01-20,NA,0.29,-5.98,45.6
2010-01-21,NA,1.42,-5.98,46.48
2010-01-22,NA,3.45,-3.21,47.33
2010-01-23,NA,17.24,-0.48,61.08
2010-01-24,NA,1.86,-3.3,68.03
2010-01-25,NA,3.9,-14.05,71.47
2010-01-26,NA,0.01,-19.82,72.38
2010-01-27,NA,0.06,-19.99,72.38
2010-01-28,NA,0.01,-21.28,72.42
2010-01-29,NA,0,-22,72.42
2010-01-30,NA,0.01,-21.33,72.44
2010-01-31,NA,0.04,-22.69,72.5
2010-02-01,NA,0.62,-21.09,72.58
2010-02-02,NA,1.15,-16.6,74.09
2010-02-03,NA,0.98,-12.69,74.99
2010-02-04,NA,0.38,-12.15,75.27
2010-02-05,NA,1.07,-7.51,75.81
2010-02-06,NA,4.68,-5.94,78.19
2010-02-07,NA,3.8,-13.55,83.32
2010-02-08,NA,1.86,-10.53,86.07
2010-02-09,NA,0.02,-16.68,86.54
2010-02-10,NA,0,-18.48,86.57
2010-02-11,NA,0.2,-15.75,86.69
2010-02-12,NA,0.36,-13.87,86.88
2010-02-13,NA,4.85,-11.16,90.93
2010-02-14,NA,0,-13.55,92.01
2010-02-15,NA,0,-13.46,91.93
2010-02-16,NA,0,-12.88,91.83
2010-02-17,NA,0,-15.02,91.77
2010-02-18,NA,0.06,-13.61,91.81
2010-02-19,NA,0.26,-8.61,91.93
2010-02-20,NA,0.33,-8.47,92.32
2010-02-21,NA,0.05,-9.43,92.38
2010-02-22,NA,0.7,-9.72,92.48
2010-02-23,NA,0.08,-17.83,92.93
2010-02-24,NA,0,-19.04,92.84
2010-02-25,NA,0,-12.18,92.52
2010-02-26,NA,0.03,-9.76,92.24
2010-02-27,NA,0.02,-9.23,92.14
2010-02-28,NA,0.02,-10.83,92.07
2010-03-01,0,0.01,-8.82,91.93
2010-03-02,0,0.03,-7.39,91.78
2010-03-03,0,0.05,-8.46,91.66
2010-03-04,0,0.14,-3.14,91.61
2010-03-05,0,0.14,-1.31,91.37
2010-03-06,0,0.03,-1.45,90.31
2010-03-07,0,0.03,-0.88,87.89
2010-03-08,0,0.34,0.46,84.55
2010-03-09,0,1.39,0.2,81.02
2010-03-10,0,1.61,0.44,78.65
2010-03-11,0,4.62,0.44,78.12
2010-03-12,0,0.08,0.36,74.31
2010-03-13,0,0,0.95,66.15
2010-03-14,0,0.14,1.02,57.35
2010-03-15,0,0.15,1.37,49.06
2010-03-16,0,0.02,0.24,40.97
2010-03-17,0,0,1.97,31.07
2010-03-18,0,0.2,1.19,18.7
2010-03-19,0,0.07,-6.78,16.07
2010-03-20,0,0,-3.36,15.12
2010-03-21,0,0,1.03,12.65
2010-03-22,0,0,0.44,9.34
2010-03-23,0,0,-2.01,7.78
2010-03-24,0,0.31,-3.31,7.25
2010-03-25,0.01,0,-9.53,6.81
2010-03-26,0.01,0,-0.12,5.68
2010-03-27,0.07,0,-1.35,4.26
2010-03-28,0.24,0,4.89,2.96
2010-03-29,0.27,0.34,10.42,1.06
2010-03-30,1.05,1.35,9.78,0.21
2010-03-31,1.59,0.22,8.64,0.07
2010-04-01,1.19,0.42,6.78,0.03
2010-04-02,0.97,24.03,2.33,2.8
2010-04-03,1.33,2.77,3.35,11.54
2010-04-04,1.39,0.45,6.98,5.85
2010-04-05,0.91,0.02,7.14,1.97
2010-04-06,0.57,0,4.04,0.74
2010-04-07,0.33,0,3.03,0.37
2010-04-08,0.29,0,4.54,0.17
2010-04-09,0.23,0,6.9,0.05
2010-04-10,0.2,0.04,5.22,0.02
2010-04-11,0.16,0,3.64,0.01
2010-04-12,0.13,2.16,5.08,0.75
2010-04-13,0.11,0.25,9.7,0.17
2010-04-14,0.11,0.8,14.64,0
2010-04-15,0.13,0.51,7.83,0
2010-04-16,0.14,0,6.38,0
2010-04-17,0.11,0,8.66,0
2010-04-18,0.12,0,10.91,0
2010-04-19,0.09,0,12.02,0
2010-04-20,0.05,0,8.5,0
2010-04-21,0.04,0,6.69,0
2010-04-22,0.03,0,10.51,0
2010-04-23,0.02,0.01,13.92,0
2010-04-24,0.01,0.35,11.39,0
2010-04-25,0.01,0.52,11.04,0
2010-04-26,0.01,0.39,9.19,0
2010-04-27,0.12,0.06,10.45,0
2010-04-28,0.01,0.16,12,0
2010-04-29,0.07,14.38,11.73,0
2010-04-30,0.07,2.82,9.47,0
2010-05-01,0.17,4.64,7.1,0
2010-05-02,0.21,7.54,4.08,0.01
2010-05-03,0.21,0.31,3.9,0.19
2010-05-04,0.25,23.51,4.41,0.1
2010-05-05,1.86,7.92,3.23,0.08
2010-05-06,3.02,0.01,2.46,0.07
2010-05-07,1.58,1.35,2.91,0.44
2010-05-08,0.95,0.82,4.74,0.33
2010-05-09,0.64,0.29,7.05,0.1
2010-05-10,0.45,2.07,8.51,0.02
2010-05-11,0.35,2.36,8.61,0
2010-05-12,0.23,0,7.58,0
2010-05-13,0.16,1.53,8.02,0
2010-05-14,0.11,0,13.57,0
2010-05-15,0.07,0.03,16.73,0
2010-05-16,0.05,0.05,16.67,0
2010-05-17,0.03,0.01,17.37,0
2010-05-18,0.03,0,18.63,0
2010-05-19,0.02,0,19.19,0
2010-05-20,0.01,0,19.65,0
2010-05-21,0.01,2.4,17.95,0
2010-05-22,0.01,5.17,16.32,0
2010-05-23,0.01,6.13,16.23,0
2010-05-24,0,6.93,12.03,0
2010-05-25,0.01,2.06,16.29,0
2010-05-26,0.01,0,13.26,0
2010-05-27,0.07,2.55,11.25,0
2010-05-28,0.55,37.5,17.85,0
2010-05-29,1.81,17.44,19.45,0
