DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.09,4.38,9.72,0
2009-10-02,0.08,0.05,7.11,0
2009-10-03,0.09,0.99,7.53,0
2009-10-04,0.08,0.61,7.12,0
2009-10-05,0.08,0.81,6.28,0
2009-10-06,0.08,0.35,5.94,0
2009-10-07,0.08,5.57,5.92,0
2009-10-08,0.08,3.03,3.15,0.08
2009-10-09,0.08,3.58,-0.68,0.74
2009-10-10,0.09,3.74,-0.42,6.06
2009-10-11,0.09,0.21,0.19,6.39
2009-10-12,0.08,0.35,-0.94,5.75
2009-10-13,0.08,0.02,-2.11,5.09
2009-10-14,0.08,2.54,0.25,5.17
2009-10-15,0.09,0.96,1.44,6.21
2009-10-16,0.1,0.72,2.14,4.63
2009-10-17,0.09,0,3.87,3
2009-10-18,0.09,0.05,8.49,0.75
2009-10-19,0.09,0.04,6.15,0.1
2009-10-20,0.09,0.08,4.49,0.04
2009-10-21,0.08,0,3.25,0.02
2009-10-22,0.08,0,3.01,0.02
2009-10-23,0.08,0.45,2.91,0.01
2009-10-24,0.08,0.88,3.94,0
2009-10-25,0.08,0.26,3.98,0
2009-10-26,0.08,0.14,4.08,0
2009-10-27,0.08,0,7.73,0
2009-10-28,0.08,1.49,7.68,0
2009-10-29,0.08,6.53,5,0
2009-10-30,0.1,2.44,1.9,0.05
2009-10-31,0.11,0.41,1.42,0.41
2009-11-01,NA,2.71,2,2.1
2009-11-02,NA,0.46,0.51,2.31
2009-11-03,NA,2.64,-1.5,3.12
2009-11-04,NA,0.04,-0.45,3.96
2009-11-05,NA,0,-1.38,3.58
2009-11-06,NA,0,5.63,2.17
2009-11-07,NA,0,7.23,0.46
2009-11-08,NA,0.03,5.35,0.22
2009-11-09,NA,0.13,3.68,0.13
2009-11-10,NA,0,5.16,0.08
2009-11-11,NA,0.09,7.5,0.01
2009-11-12,NA,1.9,7.75,0
2009-11-13,NA,0.04,2.19,0
2009-11-14,NA,0,-0.94,0
2009-11-15,NA,0,-1.49,0
2009-11-16,NA,0,1.08,0
2009-11-17,NA,0,3.95,0
2009-11-18,NA,0,3.91,0
2009-11-19,NA,0,1.44,0
2009-11-20,NA,0,0.39,0
2009-11-21,NA,0,5.58,0
2009-11-22,NA,0,2.54,0
2009-11-23,NA,0.97,-0.05,0
2009-11-24,NA,0.67,0.13,0.02
2009-11-25,NA,0.64,-0.77,0.76
2009-11-26,NA,0.06,-3.44,0.89
2009-11-27,NA,0.02,-1.79,0.87
2009-11-28,NA,1.31,-2.26,1.15
2009-11-29,NA,0.08,-1.97,2.17
2009-11-30,NA,0.16,-1.4,2.2
2009-12-01,NA,1.58,-2.33,2.89
2009-12-02,NA,0.26,-5.55,3.8
2009-12-03,NA,1.09,-6.96,4.22
2009-12-04,NA,0.56,-7.82,4.93
2009-12-05,NA,0.16,-9.59,5.18
2009-12-06,NA,0.68,-8.09,5.51
2009-12-07,NA,0.14,-13.63,5.8
2009-12-08,NA,0.08,-16.51,5.85
2009-12-09,NA,0.04,-18.79,5.87
2009-12-10,NA,0.06,-19.88,5.88
2009-12-11,NA,0.17,-19.78,5.92
2009-12-12,NA,0.45,-20.75,6.24
2009-12-13,NA,0,-25.43,6.4
2009-12-14,NA,0.09,-22.01,6.39
2009-12-15,NA,0,-22.42,6.4
2009-12-16,NA,0,-18.27,6.35
2009-12-17,NA,0.16,-10.39,6.4
2009-12-18,NA,0.11,-9.62,6.44
2009-12-19,NA,0.48,-9.49,6.58
2009-12-20,NA,1.15,-9.71,7.24
2009-12-21,NA,0.16,-10.03,8.04
2009-12-22,NA,0.09,-11.09,8.06
2009-12-23,NA,0.04,-9.18,8.04
2009-12-24,NA,3.68,-5.83,10.09
2009-12-25,NA,8.98,-5.69,14.95
2009-12-26,NA,4.77,-5.47,23.35
2009-12-27,NA,0.21,-7.74,24.66
2009-12-28,NA,0.2,-14.59,24.65
2009-12-29,NA,0.15,-16.64,24.64
2009-12-30,NA,0.57,-13.67,24.86
2009-12-31,NA,0.11,-19.28,25.21
2010-01-01,NA,0.02,-26.34,25.26
2010-01-02,NA,0,-29.26,25.26
2010-01-03,NA,0,-26.53,25.26
2010-01-04,NA,0,-24.02,25.26
2010-01-05,NA,0.05,-18.97,25.26
2010-01-06,NA,0.88,-17.24,25.54
2010-01-07,NA,0.11,-22.47,26.06
2010-01-08,NA,0.01,-24.24,26.09
2010-01-09,NA,0,-19.2,26.02
2010-01-10,NA,2.1,-11.8,26.99
2010-01-11,NA,0.01,-12,27.75
2010-01-12,NA,0.04,-5.41,27.66
2010-01-13,NA,0.03,-3.52,27.64
2010-01-14,NA,0.15,-5.93,27.53
2010-01-15,NA,0,-2.77,27.47
2010-01-16,NA,0,-0.29,27.14
2010-01-17,NA,0.09,-3.79,26.63
2010-01-18,NA,0.07,-8.05,26.58
2010-01-19,NA,0.11,-7.33,26.6
2010-01-20,NA,0.03,-6.51,26.47
2010-01-21,NA,0.7,-7.23,26.6
2010-01-22,NA,1.36,-2.35,27.56
2010-01-23,NA,13.75,0.16,35.28
2010-01-24,NA,3.77,-0.3,41.35
2010-01-25,NA,7.45,-12.57,49.03
2010-01-26,NA,0.22,-20.21,50.6
2010-01-27,NA,0.32,-20.98,50.88
2010-01-28,NA,0.01,-23.45,51.06
2010-01-29,NA,0,-22.81,51.08
2010-01-30,NA,0.02,-22.59,51.1
2010-01-31,NA,0.02,-23.77,51.15
2010-02-01,NA,0.02,-24.05,51.16
2010-02-02,NA,1,-17.28,51.86
2010-02-03,NA,1.3,-14.99,52.93
2010-02-04,NA,0.04,-12.95,53.38
2010-02-05,NA,0.02,-9.98,53.38
2010-02-06,NA,1.3,-10.48,53.55
2010-02-07,NA,5.97,-8.73,58.55
2010-02-08,NA,0.31,-9.34,60.78
2010-02-09,NA,0,-18.4,60.78
2010-02-10,NA,0,-20.1,60.8
2010-02-11,NA,0.28,-15.3,60.87
2010-02-12,NA,0.53,-10.75,61.32
2010-02-13,NA,0.1,-9.74,61.62
2010-02-14,NA,0,-11.9,61.57
2010-02-15,NA,0,-11.4,61.47
2010-02-16,NA,0,-15.36,61.42
2010-02-17,NA,0,-16.14,61.43
2010-02-18,NA,0.05,-17.19,61.44
2010-02-19,NA,0.18,-12.02,61.52
2010-02-20,NA,0.32,-9.92,61.65
2010-02-21,NA,0.26,-10.24,61.9
2010-02-22,NA,1.81,-10.15,62.38
2010-02-23,NA,0.16,-17.49,63.64
2010-02-24,NA,0,-19.84,63.56
2010-02-25,NA,0,-10.48,63.35
2010-02-26,NA,0,-8.25,63.08
2010-02-27,NA,0,-9.55,62.94
2010-02-28,NA,0,-10.27,62.9
2010-03-01,0,0,-9.03,62.81
2010-03-02,0,0,-9.3,62.69
2010-03-03,0,0.02,-8.75,62.59
2010-03-04,0,0.04,-3.35,62.25
2010-03-05,0,0.13,-1.69,61.62
2010-03-06,0,0.06,-1.24,60.15
2010-03-07,0,0.02,-1.13,56.98
2010-03-08,0,0.21,1.1,52.49
2010-03-09,0,0.89,0.98,47.28
2010-03-10,0,0.12,1.53,41.67
2010-03-11,0,3.2,1.25,36.17
2010-03-12,0.01,0.01,1.98,28.16
2010-03-13,0.76,0,3.22,17.76
2010-03-14,2.73,0.07,2.76,10.38
2010-03-15,2.29,0.01,2.8,6.48
2010-03-16,2.94,0.1,3.05,3.85
2010-03-17,1.77,0,3.25,2.24
2010-03-18,1.34,0.69,2.02,1.3
2010-03-19,0.64,0.07,-6.59,1.48
2010-03-20,0.49,0,-2.44,1.35
2010-03-21,0.44,0,0.87,1.08
2010-03-22,0.43,0,3.19,0.68
2010-03-23,0.4,0,-2.62,0.45
2010-03-24,0.31,0.74,-4.88,0.89
2010-03-25,0.35,0,-10.11,1.01
2010-03-26,0.27,0,-0.67,0.79
2010-03-27,0.25,0,-2.46,0.51
2010-03-28,0.26,0,3.24,0.33
2010-03-29,0.33,0,9.38,0.08
2010-03-30,0.62,0.96,9.72,0
2010-03-31,0.7,0.75,7.86,0
2010-04-01,0.63,0.19,6.67,0
2010-04-02,0.57,15.68,3.67,0.22
2010-04-03,0.8,3.28,2.69,1.94
2010-04-04,0.74,1.1,5.76,1.29
2010-04-05,0.62,0.2,6.7,0.43
2010-04-06,0.46,0,3.23,0.17
2010-04-07,0.36,0,1.32,0.09
2010-04-08,0.29,0,3.29,0.05
2010-04-09,0.25,0,6.04,0.02
2010-04-10,0.22,0.07,5.21,0.01
2010-04-11,0.2,0,3.13,0
2010-04-12,0.18,0.06,5.24,0.03
2010-04-13,0.17,0.69,8.79,0.01
2010-04-14,0.17,0.53,15.08,0
2010-04-15,0.18,1.44,7.83,0
2010-04-16,0.19,0,5.97,0
2010-04-17,0.16,0,8.17,0
2010-04-18,0.15,0,10.41,0
2010-04-19,0.16,0,11.48,0
2010-04-20,0.13,0,8.97,0
2010-04-21,0.12,0,7.07,0
2010-04-22,0.11,0,10.23,0
2010-04-23,0.11,0,13.35,0
2010-04-24,0.1,0.1,11.31,0
2010-04-25,0.09,0,12.53,0
2010-04-26,0.1,0,11.03,0
2010-04-27,0.11,0,11.58,0
2010-04-28,0.09,0.98,12.69,0
2010-04-29,0.09,13.19,10.66,0
2010-04-30,0.13,9.29,9.53,0
2010-05-01,0.21,2.47,9.52,0
2010-05-02,0.38,7.59,5.86,0
2010-05-03,0.54,1.32,3.24,0.16
2010-05-04,0.47,8.8,6.29,0.13
2010-05-05,1.18,7.76,4.88,0.02
2010-05-06,1.32,0,3.71,0.01
2010-05-07,0.83,0.24,4.51,0
2010-05-08,0.54,0.01,4.43,0
2010-05-09,0.37,0.57,6.83,0
2010-05-10,0.3,3.02,7.73,0
2010-05-11,0.3,2.1,9.61,0
2010-05-12,0.31,0.02,7.8,0
2010-05-13,0.28,0.77,8.98,0
2010-05-14,0.25,0.17,12.2,0
2010-05-15,0.21,0.04,15.81,0
2010-05-16,0.18,0.32,16.57,0
2010-05-17,0.16,0,17.74,0
2010-05-18,0.14,0,18.84,0
2010-05-19,0.13,0,19.32,0
2010-05-20,0.13,0,20.07,0
2010-05-21,0.13,0.05,19.87,0
2010-05-22,0.13,0.6,18.23,0
2010-05-23,0.11,6.66,18.41,0
2010-05-24,0.09,2.74,14.35,0
2010-05-25,0.13,6.02,19.57,0
2010-05-26,0.16,0,14.01,0
2010-05-27,0.18,3.41,11.85,0
2010-05-28,0.16,4.89,17.17,0
2010-05-29,2.35,12.86,18.24,0
2010-05-30,15.91,3.21,13.23,0
2010-05-31,9.79,2.71,12.69,0
2010-06-01,6.33,0.91,11.64,0
2010-06-02,3.89,0,13.07,0
2010-06-03,2.32,0,15.88,0
2010-06-04,1.72,10.72,15.55,0
2010-06-05,1.61,8.34,14.43,0
2010-06-06,1.44,1.66,15.72,0
2010-06-07,1.11,0.1,17.21,0
2010-06-08,0.92,12.49,16.33,0
2010-06-09,1.36,1.78,11.7,0
2010-06-10,0.98,1.89,11.92,0
2010-06-11,0.73,2.07,13.99,0
2010-06-12,0.66,1.4,15.03,0
2010-06-13,0.58,0.39,15.84,0
2010-06-14,0.44,0.12,16.78,0
2010-06-15,0.35,5.16,17.81,0
2010-06-16,0.44,0,20.06,0
2010-06-17,0.37,8.6,19.35,0
2010-06-18,0.43,9.21,15.27,0
2010-06-19,1.47,0.04,15.81,0
2010-06-20,1.21,2.25,19.28,0
2010-06-21,0.81,6.12,18.51,0
2010-06-22,1,3.26,19.1,0
2010-06-23,4.71,0.6,19.24,0
2010-06-24,2.17,0.06,18.46,0
2010-06-25,1.2,0.28,19.95,0
2010-06-26,1.1,16.63,20.97,0
2010-06-27,4.64,3.11,17.1,0
2010-06-28,3.09,0.03,14.29,0
2010-06-29,2.08,0,14.22,0
2010-06-30,1.31,0.33,17.51,0
2010-07-01,0.85,5.35,23.6,0
2010-07-02,0.58,0.35,26.2,0
2010-07-03,0.6,20.5,25.15,0
2010-07-04,1.01,1.54,21.79,0
2010-07-05,0.74,2.16,20.73,0
2010-07-06,0.54,0.49,18.62,0
2010-07-07,0.42,0.28,18.87,0
2010-07-08,0.37,0.31,17.78,0
2010-07-09,0.28,0.09,19.93,0
2010-07-10,0.23,0.26,21.33,0
2010-07-11,0.19,0.06,17.7,0
2010-07-12,0.17,0,17.83,0
2010-07-13,0.15,4.43,19.88,0
2010-07-14,1.81,16.81,20.15,0
2010-07-15,2.66,0.78,18.68,0
2010-07-16,1.51,0.79,19.23,0
2010-07-17,0.98,1.92,18.47,0
2010-07-18,0.65,0.55,19.71,0
2010-07-19,0.46,1.19,18.75,0
2010-07-20,0.36,1.69,18.98,0
2010-07-21,0.28,0.01,20.26,0
2010-07-22,0.23,15.4,19.76,0
2010-07-23,0.2,1.69,20.55,0
2010-07-24,0.18,0.31,21.28,0
2010-07-25,0.16,0,22.18,0
2010-07-26,0.16,8.42,24.09,0
2010-07-27,0.45,11.62,21.32,0
2010-07-28,0.49,0.11,19.42,0
2010-07-29,0.3,1.43,19.42,0
2010-07-30,0.22,6.58,20.19,0
2010-07-31,0.18,1.33,21.82,0
2010-08-01,0.15,2.45,22.61,0
2010-08-02,0.15,11.71,22.02,0
2010-08-03,0.15,1.45,21.93,0
2010-08-04,0.17,6.15,19.58,0
2010-08-05,0.14,0.86,17.22,0
2010-08-06,0.14,0,17.61,0
2010-08-07,0.14,0,20.64,0
2010-08-08,0.13,3.98,22.15,0
2010-08-09,0.12,0.05,24.56,0
2010-08-10,0.11,0.05,26.41,0
2010-08-11,0.1,1.13,24.17,0
2010-08-12,0.08,0.47,23.21,0
2010-08-13,0.08,4.5,21.17,0
2010-08-14,0.09,7.69,17.09,0
2010-08-15,0.12,11.3,13.16,0
2010-08-16,0.19,0.57,12.81,0
2010-08-17,0.19,3.48,10.69,0
2010-08-18,0.15,0.04,12.66,0
2010-08-19,0.13,0,15.19,0
2010-08-20,0.12,4.95,20.39,0
2010-08-21,0.12,0.77,20.71,0
2010-08-22,0.11,0,23.84,0
2010-08-23,0.1,0.74,24.78,0
2010-08-24,0.09,1.92,15.1,0
2010-08-25,0.08,0,15.84,0
2010-08-26,0.08,0,18.95,0
2010-08-27,0.08,0,22.97,0
2010-08-28,0.08,7.72,17.19,0
2010-08-29,0.08,15.16,20.16,0
2010-08-30,0.09,19.21,19.19,0
2010-08-31,0.39,11.82,17.01,0
2010-09-01,0.77,3.68,15.55,0
2010-09-02,1.25,29.16,14.42,0
2010-09-03,1.94,0.6,12.59,0
2010-09-04,1.38,0.03,11.31,0
2010-09-05,1.02,0,11.98,0
2010-09-06,0.79,0,12.96,0
2010-09-07,0.55,0.26,9.82,0
2010-09-08,0.39,0.02,9.82,0
2010-09-09,0.3,2.8,12,0
2010-09-10,0.45,25.02,13.69,0
2010-09-11,0.71,0.07,13.24,0
2010-09-12,0.66,0.12,12.38,0
2010-09-13,0.51,0.34,9.89,0
2010-09-14,0.4,0.02,8.41,0
