DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,0,9.61,0
2009-10-02,NA,0.02,7.41,0
2009-10-03,NA,5.86,7.03,0
2009-10-04,NA,2.84,7.17,0
2009-10-05,NA,0.74,7.39,0
2009-10-06,NA,2.43,5.84,0
2009-10-07,NA,2.49,6.16,0
2009-10-08,NA,4.68,4.33,0.03
2009-10-09,NA,1.07,2.04,0.21
2009-10-10,NA,3.69,-1.15,3.56
2009-10-11,NA,1.06,-0.19,4.85
2009-10-12,NA,1.02,-0.68,5.19
2009-10-13,NA,0.59,0.18,5.46
2009-10-14,NA,1.46,0.46,5.42
2009-10-15,NA,3.4,2,6.92
2009-10-16,NA,1.67,1.52,5.92
2009-10-17,NA,0.07,2.28,4.99
2009-10-18,NA,0.12,6.89,3.03
2009-10-19,NA,0.04,6.65,0.69
2009-10-20,NA,0.83,4.94,0.33
2009-10-21,NA,1.19,4.35,0.2
2009-10-22,NA,0.01,2.84,0.13
2009-10-23,NA,0,0.76,0.11
2009-10-24,NA,0.06,1.44,0.1
2009-10-25,NA,0.05,2.59,0.09
2009-10-26,NA,0.63,1.74,0.07
2009-10-27,NA,0,4.77,0.05
2009-10-28,NA,0.47,5.68,0.02
2009-10-29,NA,7.41,7.24,0.01
2009-10-30,NA,27.53,4.34,1.42
2009-10-31,NA,1.33,1.45,6.05
2009-11-01,NA,1.81,2.41,6.56
2009-11-02,NA,0.83,0.44,6.12
2009-11-03,NA,2.79,-0.28,6.56
2009-11-04,NA,0.71,0.75,8.79
2009-11-05,NA,0,-1.18,8.37
2009-11-06,NA,0,4.66,6.15
2009-11-07,NA,0,6.44,2.46
2009-11-08,NA,0.35,5.22,1.52
2009-11-09,NA,0,4.47,0.83
2009-11-10,NA,0,4.57,0.58
2009-11-11,NA,3.92,7.99,0.26
2009-11-12,NA,1.92,8.12,0.07
2009-11-13,NA,5.68,4.68,0.02
2009-11-14,NA,3.06,1.48,0.75
2009-11-15,NA,0,0.08,1.57
2009-11-16,NA,0,0.2,1.38
2009-11-17,NA,0,1.76,1.2
