DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,1.16,0,8.08,0
2009-10-02,1.12,0.36,5.85,0
2009-10-03,1.1,2.6,6.04,0
2009-10-04,1.09,3.17,5.88,0
2009-10-05,1.07,0.85,5.92,0
2009-10-06,1.06,0.74,5.11,0
2009-10-07,1.04,5.49,5.4,0
2009-10-08,1.03,2.75,3.63,0.01
2009-10-09,1.02,0.95,1.79,0.12
2009-10-10,1.01,3.5,0.02,1.92
2009-10-11,0.99,1.84,0.99,3.59
2009-10-12,0.98,1.84,0.66,4.12
2009-10-13,0.97,0.06,0.78,4.42
2009-10-14,0.96,0.14,0.69,4.34
2009-10-15,0.94,0.33,1.08,4.49
2009-10-16,0.92,0.16,1.16,4.5
2009-10-17,0.91,0.07,1.81,4.3
2009-10-18,0.9,0.92,5.93,2.94
2009-10-19,0.88,0.06,4.46,1.25
2009-10-20,0.87,0.23,2.81,0.93
2009-10-21,0.86,0.12,2.64,0.82
2009-10-22,0.84,0.01,1.99,0.72
2009-10-23,0.83,0,0.76,0.67
2009-10-24,0.82,0.04,1.19,0.65
2009-10-25,0.81,0,2.55,0.61
2009-10-26,0.79,0.23,1.34,0.56
2009-10-27,0.78,0,4.09,0.43
2009-10-28,0.77,0.12,5.53,0.24
2009-10-29,0.76,5.08,5.81,0.12
2009-10-30,0.77,23.54,3.53,1.82
2009-10-31,0.79,1.03,0.46,8.21
2009-11-01,0.79,4.21,0.5,10.02
2009-11-02,0.78,1.85,-0.4,12.57
2009-11-03,0.78,4.61,-2.2,14.52
2009-11-04,0.77,0.72,-1.09,17.85
2009-11-05,0.77,0.11,-2.33,18.07
2009-11-06,0.75,0,3.3,15.59
2009-11-07,0.74,0,5.28,9.24
2009-11-08,0.73,0,4.64,6.84
2009-11-09,0.72,0.44,3.62,4.44
2009-11-10,0.71,0,3.9,3.58
2009-11-11,0.7,0.79,6.42,2.16
2009-11-12,0.7,4.67,5.67,1.18
2009-11-13,0.7,6,2.89,0.62
2009-11-14,0.7,1.32,-0.1,0.93
2009-11-15,0.7,0.01,0.28,1.82
2009-11-16,0.69,0,0.56,1.67
2009-11-17,0.68,0,2.58,1.52
2009-11-18,0.67,0,2.37,1.35
2009-11-19,0.66,0,2.09,1.18
2009-11-20,0.65,0,0.02,1.02
2009-11-21,0.64,0,2.22,0.95
2009-11-22,0.63,0.04,3.73,0.63
2009-11-23,0.63,1.93,0.52,0.53
2009-11-24,0.63,3.2,2.43,0.43
2009-11-25,0.62,0.14,-0.82,0.4
2009-11-26,0.62,0.03,-3.42,0.44
2009-11-27,0.61,0.71,-2.84,0.76
2009-11-28,0.6,0.27,-2.03,1.19
2009-11-29,0.6,0.46,-2.03,1.61
2009-11-30,0.59,2.93,-2.63,3.32
2009-12-01,0.58,0.38,-3.43,4.82
2009-12-02,0.58,0.05,-7.14,5.02
2009-12-03,0.56,0.87,-8.02,5.22
2009-12-04,0.56,1.75,-8.92,6.77
2009-12-05,0.55,0.33,-10.48,7.56
2009-12-06,0.55,0.45,-9.83,7.87
2009-12-07,0.54,0.09,-14,8.06
2009-12-08,0.54,0.03,-18.05,8.04
2009-12-09,0.53,0.04,-20.1,8.03
2009-12-10,0.52,0.04,-21.46,8.02
2009-12-11,0.52,0.24,-20.61,8.05
2009-12-12,0.51,0.86,-18.2,8.61
2009-12-13,0.51,0,-25.85,9
2009-12-14,0.5,0.19,-23.49,9
2009-12-15,0.5,0.03,-23.58,9.11
2009-12-16,0.49,0,-21.57,9.08
2009-12-17,0.49,2.63,-12.39,10.61
2009-12-18,0.49,0.12,-11.15,11.63
2009-12-19,0.48,0.02,-16.69,11.62
2009-12-20,0.48,1.44,-15.15,11.87
2009-12-21,0.48,0.42,-10.64,13.28
2009-12-22,0.47,0.13,-12.03,13.4
2009-12-23,0.47,0.02,-9.95,13.4
2009-12-24,0.47,1.29,-9.26,13.79
2009-12-25,0.47,8,-5.59,18.15
2009-12-26,0.48,5.32,-4.67,25.61
2009-12-27,0.48,0.48,-6.64,27.79
2009-12-28,0.48,0.12,-17.02,27.89
