DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,0.01,1.04,0.03
2009-10-02,NA,8.31,0.03,1.65
2009-10-03,NA,9.76,-1.54,13.71
2009-10-04,NA,0.95,-2.98,16.32
2009-10-05,NA,0,-1.45,15.85
2009-10-06,NA,6.77,0.18,15.36
2009-10-07,NA,3.9,-3.47,19.81
2009-10-08,NA,5,-8.62,23.69
2009-10-09,NA,0.15,-12.04,25.95
2009-10-10,NA,0.46,-11.29,25.94
2009-10-11,NA,0.01,-11.49,25.58
2009-10-12,NA,0.45,-11.56,25.27
2009-10-13,NA,0.74,-10.61,25.49
2009-10-14,NA,0.97,-5.95,26.3
2009-10-15,NA,0.01,-2.1,24.79
2009-10-16,NA,0.07,0.11,22.3
2009-10-17,NA,9.6,1.17,20.92
2009-10-18,NA,5.32,0.81,24.75
2009-10-19,NA,0.61,-1.58,23.4
2009-10-20,NA,0,-3.98,22.12
2009-10-21,NA,0.67,-3.44,21.51
2009-10-22,NA,0.09,-0.76,21.25
2009-10-23,NA,0.78,-0.17,20.18
2009-10-24,NA,0.08,-2.37,19.54
2009-10-25,NA,0.84,-4.66,19.33
2009-10-26,NA,2.41,-2.17,20.3
2009-10-27,NA,0.79,-3.99,22.15
2009-10-28,NA,0.16,-6.76,22.01
2009-10-29,NA,5.51,-6.6,23.75
2009-10-30,NA,3.57,-1.26,29
2009-10-31,NA,1.04,-0.31,30.02
2009-11-01,NA,0.02,-5.55,29.39
2009-11-02,NA,0.53,-4.29,29.27
2009-11-03,NA,0,-6.3,29.01
2009-11-04,NA,0,-6.41,28.54
2009-11-05,NA,0.16,1.27,27.43
2009-11-06,NA,0.24,-0.85,26.49
2009-11-07,NA,0.19,-6.01,26.19
2009-11-08,NA,0.03,-8.48,26.01
2009-11-09,NA,0.19,-6.42,25.85
2009-11-10,NA,0.7,-5.8,26.27
2009-11-11,NA,0.54,-8.24,26.48
2009-11-12,NA,0.01,-9.59,26.48
2009-11-13,NA,0.29,-9.29,26.17
2009-11-14,NA,0.07,-11.36,26.24
2009-11-15,NA,0.41,-5.32,25.97
2009-11-16,NA,2.78,-0.57,26.74
2009-11-17,NA,3.48,-2.96,30.47
2009-11-18,NA,0.23,-9.06,30.82
2009-11-19,NA,1.83,-6.69,31.66
2009-11-20,NA,1.56,-4.02,32.93
2009-11-21,NA,2.66,-6.9,35.64
2009-11-22,NA,0.19,-9.36,35.74
2009-11-23,NA,0.67,-8.84,35.77
2009-11-24,NA,0.2,-7.67,36.08
2009-11-25,NA,1,-2.92,36.37
2009-11-26,NA,1.8,-2.92,37.63
2009-11-27,NA,0.08,-8.59,38.25
2009-11-28,NA,1.23,-9.36,38.5
2009-11-29,NA,0.97,-5.69,39.18
2009-11-30,NA,17.59,-6.48,51.78
2009-12-01,NA,0,-16.87,57.1
2009-12-02,NA,0,-17.6,57.03
2009-12-03,NA,0.05,-9.85,56.72
2009-12-04,NA,10.97,-9.01,60.9
2009-12-05,NA,3.83,-14.38,68.88
2009-12-06,NA,0.22,-24.79,71.05
2009-12-07,NA,0.29,-25.08,71.05
2009-12-08,NA,1.7,-19.72,72.09
2009-12-09,NA,3.69,-17.09,74.61
2009-12-10,NA,2.97,-16.63,78.04
2009-12-11,NA,3.46,-15.71,80.91
2009-12-12,NA,1.94,-24.69,83.8
2009-12-13,NA,0.71,-31.04,84.9
2009-12-14,NA,0,-31.55,85.07
2009-12-15,NA,0.65,-20.58,85.48
2009-12-16,NA,0.67,-11.13,86.06
2009-12-17,NA,0.03,-9.42,86.31
2009-12-18,NA,0.16,-7.78,86.28
2009-12-19,NA,0.05,-11.86,86.3
2009-12-20,NA,2.33,-14.45,87.15
2009-12-21,NA,4.12,-15.73,90.96
2009-12-22,NA,1.96,-19.41,93.78
2009-12-23,NA,0,-23.53,94.57
2009-12-24,NA,0.38,-14.09,94.74
2009-12-25,NA,0,-10.82,94.73
2009-12-26,NA,0,-8.6,94.6
2009-12-27,NA,0,-9.42,94.5
2009-12-28,NA,0,-11.92,94.41
2009-12-29,NA,0.15,-14.69,94.28
2009-12-30,NA,2.57,-20.51,95.68
2009-12-31,NA,0.58,-24.92,97.17
2010-01-01,NA,0.57,-15.3,97.77
2010-01-02,NA,0.23,-14.08,98.19
2010-01-03,NA,1.18,-11.69,98.65
2010-01-04,NA,0.25,-15.15,99.6
2010-01-05,NA,0.66,-18.03,100.19
2010-01-06,NA,0,-22.43,100.36
2010-01-07,NA,0,-13.74,100.26
2010-01-08,NA,0.07,-6.82,99.95
2010-01-09,NA,0.6,-5.48,100.24
2010-01-10,NA,0.13,-4.05,100.24
2010-01-11,NA,0.76,-2.2,100.51
2010-01-12,NA,0.96,-3.11,101.02
2010-01-13,NA,0.03,-3.9,101.54
2010-01-14,NA,0.54,-2.96,101.6
2010-01-15,NA,3.68,-1.28,103.34
2010-01-16,NA,0.01,-7.37,104.95
2010-01-17,NA,0.01,-9.45,104.75
2010-01-18,NA,0.04,-7.75,104.65
2010-01-19,NA,0,-8.26,104.55
2010-01-20,NA,0.01,-10.13,104.38
2010-01-21,NA,0.12,-13.07,104.29
2010-01-22,NA,0.51,-13.25,104.61
2010-01-23,NA,0.45,-13.47,105.1
2010-01-24,NA,0.49,-14.83,105.51
2010-01-25,NA,1.7,-17.02,106.65
2010-01-26,NA,0.06,-16.33,107.44
2010-01-27,NA,0,-14.14,107.45
2010-01-28,NA,0.01,-9.26,107.31
2010-01-29,NA,0.63,-7.47,107.37
2010-01-30,NA,1.3,-9.25,108.1
2010-01-31,NA,1.67,-9.26,110.04
2010-02-01,NA,0.01,-9.42,110.44
2010-02-02,NA,0.05,-10.99,110.3
2010-02-03,NA,0.21,-10.35,110.45
2010-02-04,NA,0,-10.01,110.38
2010-02-05,NA,0.01,-10.74,110.22
2010-02-06,NA,0,-8.76,110.05
2010-02-07,NA,0,-9.05,109.85
2010-02-08,NA,0,-9.56,109.61
2010-02-09,NA,0.04,-8.62,109.39
2010-02-10,NA,0.23,-8.92,109.35
2010-02-11,NA,0,-9.12,109.18
2010-02-12,NA,0,-5.4,108.98
2010-02-13,NA,0,-5.59,108.75
2010-02-14,NA,0.99,-5.33,108.68
2010-02-15,NA,0.78,-5.53,109.97
2010-02-16,NA,4.76,-6.2,110.92
2010-02-17,NA,1.96,-4.35,116.21
2010-02-18,NA,0,-8.75,116.05
2010-02-19,NA,0,-9.61,115.86
2010-02-20,NA,0.01,-7.12,115.73
2010-02-21,NA,0,-4.72,115.45
2010-02-22,NA,0,-8.11,115.12
2010-02-23,NA,0.01,-5.65,114.75
2010-02-24,NA,0.1,-4.95,114.29
2010-02-25,NA,0.01,-4.75,113.96
2010-02-26,NA,0.01,-5.97,113.56
2010-02-27,NA,0.06,-3.64,113.26
2010-02-28,NA,0,-2.53,112.86
2010-03-01,NA,0,-1.71,112.28
2010-03-02,NA,0,0.45,111.3
2010-03-03,NA,0,-1.62,110.03
2010-03-04,NA,0.05,-2.98,109.18
2010-03-05,NA,0,-2.62,108.5
2010-03-06,NA,0,-2.95,107.76
2010-03-07,NA,0,-3.03,107.01
2010-03-08,NA,4.03,-6.61,108.97
2010-03-09,NA,0.01,-10.85,110.11
2010-03-10,NA,0,-9.42,109.56
2010-03-11,NA,0.51,-6.32,109.14
2010-03-12,NA,4.92,-5.57,110.71
2010-03-13,NA,2.43,-4.96,115.59
2010-03-14,NA,0.03,-4.86,115.34
2010-03-15,NA,0.02,-0.53,114.5
2010-03-16,NA,0.02,0.65,112.32
2010-03-17,NA,0.38,-1.09,110.05
2010-03-18,NA,1.59,-4.71,110
2010-03-19,NA,0.24,-4.23,110.73
2010-03-20,NA,0,-2.33,109.81
2010-03-21,NA,1.14,-1.98,109.29
2010-03-22,NA,3.2,-2.31,111.76
2010-03-23,NA,0.23,-2.8,112.15
2010-03-24,NA,0.13,-2.28,111.77
2010-03-25,NA,0.01,-0.61,110.81
2010-03-26,NA,3.04,-0.41,111.44
2010-03-27,NA,0.01,0.38,111.66
2010-03-28,NA,0.15,0.64,110.1
2010-03-29,NA,0.96,-1.5,109.1
2010-03-30,NA,0.13,-3.1,108.44
2010-03-31,NA,0.23,-4.84,107.79
2010-04-01,NA,0.09,-4.6,107.15
2010-04-02,NA,0.08,-3.78,106.34
2010-04-03,NA,0.76,-3.39,105.84
