DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.08,0,4.24,0
2009-10-02,0.08,0.02,4.07,0
2009-10-03,0.08,0.06,2.66,0
2009-10-04,0.08,0.51,1.65,0.22
2009-10-05,0.08,0.01,3.29,0.24
2009-10-06,0.08,4.37,5.57,0.15
2009-10-07,0.08,0.59,0.52,0.52
2009-10-08,0.09,1.14,-3.61,1.34
2009-10-09,0.08,0.11,-6.59,1.73
2009-10-10,0.08,0.29,-6.22,1.86
2009-10-11,0.08,0.21,-6.75,2.05
2009-10-12,0.08,0.61,-6.42,2.43
2009-10-13,0.08,0.78,-5.49,2.86
2009-10-14,0.09,2.37,-3.68,4.73
2009-10-15,0.09,0.09,0.5,5.42
2009-10-16,0.1,0,1.96,4.61
2009-10-17,0.1,2.34,3.38,3.52
2009-10-18,0.14,2.68,3.25,2.5
2009-10-19,0.15,0.4,1.23,1.85
2009-10-20,0.11,0,0.68,1.52
2009-10-21,0.09,0.85,-0.24,1.35
2009-10-22,0.12,0.79,3.06,1.18
2009-10-23,0.1,1.16,1.85,0.88
2009-10-24,0.1,0.65,2.84,1.07
2009-10-25,0.08,0.54,1.98,1.18
2009-10-26,0.1,1.04,2.8,1.32
2009-10-27,0.09,1.28,1.42,1.48
2009-10-28,0.08,1.24,-0.23,2.53
2009-10-29,0.07,5.12,-1.88,4.04
2009-10-30,0.08,11.1,-0.73,12.23
2009-10-31,0.1,3.31,1.15,16
2009-11-01,NA,0.03,-1.81,14.25
2009-11-02,NA,2.09,-0.76,14.69
2009-11-03,NA,0.29,-1.02,15.02
2009-11-04,NA,0,-2.05,13.95
2009-11-05,NA,0,0.47,12.22
2009-11-06,NA,0.23,0.82,10.57
2009-11-07,NA,0,-0.94,9.56
2009-11-08,NA,0,-2.35,9.01
2009-11-09,NA,0,-1.88,8.51
2009-11-10,NA,0.3,-1.59,8.2
2009-11-11,NA,0.1,-3.47,8.09
2009-11-12,NA,0,-3.24,7.96
2009-11-13,NA,0.78,-3.67,7.83
2009-11-14,NA,0,-3.66,8
2009-11-15,NA,0.25,-0.14,7.67
2009-11-16,NA,0.05,0.26,7.13
2009-11-17,NA,0.04,1.07,6.29
2009-11-18,NA,0,-1.3,5.61
2009-11-19,NA,0.1,-0.97,5.41
2009-11-20,NA,0.27,-1.44,5.34
2009-11-21,NA,0.68,-2.14,5.91
2009-11-22,NA,0.17,-4.62,5.8
2009-11-23,NA,0.56,-3.19,5.94
2009-11-24,NA,0,-1.69,6.03
2009-11-25,NA,0.89,-1.85,5.97
2009-11-26,NA,0.2,-1.08,5.96
2009-11-27,NA,0,-2.36,5.67
2009-11-28,NA,0.63,-3.06,5.66
2009-11-29,NA,2.4,-0.12,6.53
2009-11-30,NA,5.38,-2.33,11.19
2009-12-01,NA,0,-7.81,12.46
2009-12-02,NA,0,-12.55,12.23
2009-12-03,NA,0,-13.06,12.09
2009-12-04,NA,7.15,-4.55,15.26
2009-12-05,NA,0.49,-10.96,18.97
2009-12-06,NA,0.04,-20.9,19.02
2009-12-07,NA,0.12,-25.03,18.91
2009-12-08,NA,1,-17.3,19.33
2009-12-09,NA,2.01,-12.16,20.75
2009-12-10,NA,1.24,-11.69,22.12
2009-12-11,NA,2.3,-15.02,23.6
2009-12-12,NA,0.77,-26.77,25.2
2009-12-13,NA,0.03,-33.84,25.27
2009-12-14,NA,0,-31.75,25.21
2009-12-15,NA,0.05,-26.22,25.15
2009-12-16,NA,0.23,-11.86,25.16
2009-12-17,NA,0,-6.98,25.07
2009-12-18,NA,0.29,-7.45,25.04
2009-12-19,NA,0.11,-7.82,25.11
2009-12-20,NA,0.33,-15.89,25.04
2009-12-21,NA,6.26,-14.92,28.54
2009-12-22,NA,3.42,-16.92,33.52
2009-12-23,NA,0.04,-21.25,34.66
2009-12-24,NA,0.29,-13.71,34.75
2009-12-25,NA,0,-12.79,34.73
2009-12-26,NA,0,-9.97,34.64
2009-12-27,NA,0.01,-9.28,34.55
2009-12-28,NA,0.15,-12.29,34.57
2009-12-29,NA,0.67,-15.4,34.65
2009-12-30,NA,2.36,-20.22,36.59
2009-12-31,NA,0.38,-24.85,37.58
2010-01-01,NA,0.59,-21.19,37.95
2010-01-02,NA,1.65,-17.2,39.4
2010-01-03,NA,0.85,-16.8,40.18
2010-01-04,NA,0.03,-21.4,40.52
2010-01-05,NA,0.14,-21.67,40.6
2010-01-06,NA,0.02,-25.66,40.59
2010-01-07,NA,0.01,-21.57,40.57
2010-01-08,NA,0,-7.17,40.49
2010-01-09,NA,0.59,-2.76,40.79
2010-01-10,NA,0,-1.51,40.57
2010-01-11,NA,0.45,0.28,40.31
2010-01-12,NA,0.39,-0.12,40.05
2010-01-13,NA,0.01,-6.56,39.7
2010-01-14,NA,0.04,-5.8,39.63
2010-01-15,NA,0.61,0.21,39.62
2010-01-16,NA,0,-3.37,39.45
2010-01-17,NA,0,-11.2,39.21
2010-01-18,NA,0,-8.3,39.1
2010-01-19,NA,0,-7.68,38.95
2010-01-20,NA,0.32,-10.57,38.9
2010-01-21,NA,1.29,-8.36,39.62
2010-01-22,NA,1.04,-9.26,40.75
2010-01-23,NA,1.07,-9.24,41.8
2010-01-24,NA,0.36,-11.64,42.26
2010-01-25,NA,0.77,-16.38,42.64
2010-01-26,NA,0.01,-17.93,42.95
2010-01-27,NA,0,-18.45,42.83
2010-01-28,NA,0,-13.26,42.7
2010-01-29,NA,0.21,-10.68,42.63
2010-01-30,NA,0.36,-11.79,42.71
2010-01-31,NA,2.75,-12.54,44.69
2010-02-01,NA,0.42,-11.13,45.61
2010-02-02,NA,0.43,-9.18,46.12
2010-02-03,NA,0.1,-12.38,46.17
2010-02-04,NA,0.12,-9.77,46.2
2010-02-05,NA,0.25,-9.9,46.28
2010-02-06,NA,0.2,-8.02,46.47
2010-02-07,NA,0.19,-8.25,46.58
2010-02-08,NA,0.07,-9.09,46.6
2010-02-09,NA,0.01,-8.94,46.45
2010-02-10,NA,0.42,-5.17,46.4
2010-02-11,NA,0.01,-8.37,46.45
2010-02-12,NA,0.14,-9.43,46.36
2010-02-13,NA,0.12,-7.64,46.4
2010-02-14,NA,0.24,-6.54,46.37
2010-02-15,NA,0,-3.05,46.29
2010-02-16,NA,0.98,-5.92,46.16
2010-02-17,NA,0.69,-1.37,47.39
2010-02-18,NA,0,-5.12,47.04
2010-02-19,NA,0,-7.08,46.68
2010-02-20,NA,0.01,-8.65,46.46
2010-02-21,NA,0,-6.22,46.19
2010-02-22,NA,0.14,-8.4,45.94
2010-02-23,NA,0.08,-5,45.86
2010-02-24,NA,0.02,-2.05,45.31
2010-02-25,NA,0.02,-1.61,44.48
2010-02-26,NA,0,-2.86,43.56
2010-02-27,NA,0.22,-3.48,43.24
2010-02-28,NA,0.01,-2.61,42.26
2010-03-01,0.01,0,-0.91,39.34
2010-03-02,0.01,0,-1.98,36.74
2010-03-03,0.01,0,-0.4,33.38
2010-03-04,0.01,0,-0.8,29.25
2010-03-05,0.02,0,-1.64,26.12
2010-03-06,0.02,0,-0.95,23.1
2010-03-07,0.03,0,-2.02,20.42
2010-03-08,0.03,0.28,-3.15,18.83
2010-03-09,0.03,0,-8.23,18.32
2010-03-10,0.03,0,-7.42,17.78
2010-03-11,0.03,0.17,-3.24,17.08
2010-03-12,0.02,0.21,-1.91,16.22
2010-03-13,0.02,0.46,-1.5,15.95
2010-03-14,0.02,0,-2.01,15.2
2010-03-15,0.04,0,2.73,12.94
2010-03-16,0.05,0,3.52,9.55
2010-03-17,0.07,0.34,3.25,7.55
2010-03-18,0.05,0.87,-1.48,7.72
2010-03-19,0.05,0.01,-1.67,7.53
2010-03-20,0.05,0,2.56,6.8
2010-03-21,0.05,2.02,0.15,6.37
2010-03-22,0.04,1.5,-2.69,7.81
2010-03-23,0.03,0.57,-1.25,8.23
2010-03-24,0.03,0.94,-4.39,8.77
2010-03-25,0.03,0,-0.76,8.32
2010-03-26,0.03,1.57,0.07,8.39
2010-03-27,0.06,0.02,4.01,7.19
2010-03-28,0.12,0.25,4.59,5.17
2010-03-29,0.13,0.42,2.87,3.86
2010-03-30,0.16,0.2,2.6,3.23
2010-03-31,0.18,0.04,1.98,2.97
2010-04-01,0.2,0.14,1.4,2.7
2010-04-02,0.22,0,2.12,2.41
2010-04-03,0.22,1.6,2.27,2.12
2010-04-04,0.22,0.23,2.34,2.07
2010-04-05,0.2,0,2.38,1.81
2010-04-06,0.18,0.26,2.86,1.55
2010-04-07,0.13,0.01,4.55,1.25
2010-04-08,0.19,2.12,0.62,1.51
2010-04-09,0.16,0.39,-0.35,2.28
2010-04-10,0.25,0.08,-1.23,2.25
2010-04-11,0.08,0.03,-2.28,2.11
2010-04-12,0.05,0.05,-0.37,2.01
2010-04-13,0.05,0.14,1.58,1.97
2010-04-14,0.06,0,4.95,1.58
2010-04-15,0.23,0,6.08,1.02
2010-04-16,0.51,0,8.73,0.55
2010-04-17,0.72,0.18,9.98,0.22
2010-04-18,0.91,0.8,10.88,0.07
2010-04-19,0.78,0.01,11.59,0.02
2010-04-20,0.52,0,12.77,0
2010-04-21,0.5,0,13.48,0
2010-04-22,0.33,3.69,5.24,0.01
2010-04-23,0.31,0.3,4.93,0.01
2010-04-24,0.31,0.38,3.42,0.01
2010-04-25,0.44,0.12,3.61,0.02
2010-04-26,0.59,0.22,4.05,0.02
2010-04-27,0.57,3.59,4.68,0.02
2010-04-28,0.95,6.99,1.95,1.01
2010-04-29,1.26,0.27,3.28,1.26
2010-04-30,0.84,0.52,5.57,0.93
2010-05-01,0.51,0.7,5.89,0.53
2010-05-02,0.4,1.19,5.77,0.3
2010-05-03,0.29,2.1,3.07,0.68
2010-05-04,0.27,1.82,0.09,2.11
2010-05-05,0.23,0.01,0.5,2.14
2010-05-06,0.22,0.19,1.17,2.06
2010-05-07,0.21,0.62,3.03,1.84
2010-05-08,0.21,0.66,3.71,1.42
2010-05-09,0.23,1.88,4.42,0.98
2010-05-10,0.25,0.59,5.86,0.56
2010-05-11,0.23,0.58,7.4,0.28
2010-05-12,0.22,0,10.76,0.12
2010-05-13,0.25,0,10.88,0.05
2010-05-14,0.22,0.01,11.27,0.02
2010-05-15,0.2,0.02,13.22,0.01
2010-05-16,0.23,0.01,14.35,0
2010-05-17,0.2,0.39,15.21,0
2010-05-18,0.2,1.37,16.42,0
2010-05-19,0.2,3.01,13.34,0
2010-05-20,0.26,28.16,9,0.01
2010-05-21,2.2,36.95,1.6,10.07
2010-05-22,2.02,6.34,1.09,20.04
2010-05-23,1.23,0.05,3.07,18.61
2010-05-24,1.4,0.97,6.84,11.81
2010-05-25,1.7,0.85,9.26,4.04
2010-05-26,1.54,0.14,10.21,1.09
2010-05-27,1,0.16,9.2,0.29
2010-05-28,0.71,3.39,5.51,0.12
2010-05-29,0.59,9.53,3.09,0.39
2010-05-30,0.86,8.63,3.19,3.47
2010-05-31,1.42,1.06,5.43,1.85
2010-06-01,0.98,0,8.41,0.86
2010-06-02,0.74,0.52,10.83,0.22
2010-06-03,0.86,2.14,10.59,0.04
2010-06-04,0.65,0,10.7,0.01
2010-06-05,0.51,0.1,11.72,0
2010-06-06,0.42,1.91,11.74,0
2010-06-07,0.36,6.66,10.06,0
2010-06-08,0.34,1.56,9.64,0
2010-06-09,0.33,10.64,7.53,0
2010-06-10,0.31,1.54,8.71,0
2010-06-11,0.27,0,10.99,0
2010-06-12,0.24,0,15.3,0
2010-06-13,0.22,9.88,14.37,0
2010-06-14,0.22,0.86,11.13,0
2010-06-15,0.2,0.22,9.78,0
2010-06-16,0.19,0.43,11.18,0
2010-06-17,0.18,0,13.08,0
2010-06-18,0.18,1.15,13.98,0
2010-06-19,0.16,0.92,15.28,0
2010-06-20,0.16,0.43,17.04,0
2010-06-21,0.15,2.17,16.49,0
2010-06-22,0.14,2.79,15.17,0
2010-06-23,0.13,5.42,15.1,0
2010-06-24,0.12,3.95,15.56,0
2010-06-25,0.22,2.37,14.48,0
2010-06-26,0.2,0.01,14.89,0
2010-06-27,0.15,0.44,15.54,0
2010-06-28,0.14,0.16,15.31,0
2010-06-29,0.21,6.55,15.31,0
2010-06-30,0.17,7.14,10.31,0
2010-07-01,0.15,0.19,11.6,0
2010-07-02,0.12,0.02,12.61,0
2010-07-03,0.11,0.01,13.88,0
2010-07-04,0.1,0.86,12.18,0
2010-07-05,0.1,7.27,11.6,0
2010-07-06,0.11,0.04,15.06,0
2010-07-07,0.1,0.03,16.58,0
2010-07-08,0.1,0.07,18.83,0
2010-07-09,0.11,0.4,19.09,0
2010-07-10,0.1,3.3,15.78,0
2010-07-11,0.08,0.18,16.65,0
2010-07-12,0.09,10.11,12.6,0
2010-07-13,0.68,33.64,10.03,0
2010-07-14,2.17,0.5,16.27,0
2010-07-15,0.8,4.3,15.27,0
2010-07-16,0.47,1.57,13.27,0
2010-07-17,0.34,0.02,13.94,0
2010-07-18,0.25,3.02,14.95,0
2010-07-19,0.23,2.23,13.89,0
2010-07-20,0.21,0.53,14.92,0
2010-07-21,0.18,0.14,16.48,0
2010-07-22,0.16,8.51,14.57,0
2010-07-23,1.18,0.01,16.04,0
2010-07-24,0.62,2.22,15.9,0
2010-07-25,0.37,0,15.57,0
2010-07-26,0.23,0.41,13.61,0
2010-07-27,0.17,0,14.4,0
2010-07-28,0.14,0.04,17.43,0
2010-07-29,0.14,7.7,17.07,0
2010-07-30,0.15,1.61,16.67,0
2010-07-31,0.13,0.22,16.76,0
2010-08-01,0.11,1.15,17.25,0
2010-08-02,0.11,0.27,14.69,0
2010-08-03,0.1,0.22,14.78,0
2010-08-04,0.1,0.14,15.99,0
2010-08-05,0.1,0,17.12,0
2010-08-06,0.1,1.51,17.86,0
2010-08-07,0.1,2.74,16.83,0
2010-08-08,0.09,0.01,16.35,0
2010-08-09,0.1,1.58,14.69,0
2010-08-10,0.16,0.86,15.39,0
2010-08-11,0.15,0.09,16.82,0
2010-08-12,0.12,9.19,13.43,0
2010-08-13,0.16,1.56,12.77,0
2010-08-14,0.16,0,14.27,0
2010-08-15,0.14,0.95,15.41,0
2010-08-16,0.16,1.65,16.13,0
2010-08-17,0.18,1.52,13.09,0
2010-08-18,0.16,0.13,16.21,0
2010-08-19,0.15,0.29,15.12,0
2010-08-20,0.14,0.03,12.44,0
2010-08-21,0.14,5.95,11.15,0
2010-08-22,0.2,7.06,9.62,0
2010-08-23,0.57,0.1,10.89,0
2010-08-24,0.45,0,13.69,0
2010-08-25,0.34,0.99,15.42,0
2010-08-26,0.3,7.16,13.51,0
2010-08-27,0.33,0.27,10.49,0
2010-08-28,0.33,5.61,6.5,0
2010-08-29,0.4,2.52,6.36,0
2010-08-30,0.4,1.52,7.66,0
2010-08-31,0.36,2.51,8.02,0
2010-09-01,0.37,4.1,8.44,0
