DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.06,0,5.07,0.03
2009-10-02,0.06,0.11,4.47,0.02
2009-10-03,0.06,0.03,3.1,0.02
2009-10-04,0.06,0.15,2.17,0.11
2009-10-05,0.06,0,3.74,0.14
2009-10-06,0.06,12.95,4.15,0.8
2009-10-07,0.07,1.35,-0.03,3.22
2009-10-08,0.07,2.72,-4.15,5.49
2009-10-09,0.06,0.5,-6.18,6.07
2009-10-10,0.07,0.49,-6.23,6.4
2009-10-11,0.07,0.15,-5.91,6.49
2009-10-12,0.07,1.07,-5.74,6.91
2009-10-13,0.08,0.25,-5.11,7.25
2009-10-14,0.08,1.35,-3.59,7.96
2009-10-15,0.07,0.01,-0.89,8.01
2009-10-16,0.06,0,4.27,6.83
2009-10-17,0.07,0,4.96,4.39
2009-10-18,0.07,0.39,3.46,3.29
2009-10-19,0.07,0.59,2.39,2.45
2009-10-20,0.07,0,1.05,1.99
2009-10-21,0.07,1.51,1.23,1.78
2009-10-22,0.08,2.58,3.31,2.81
2009-10-23,0.08,0.37,3.27,2.13
2009-10-24,0.09,4.61,3.05,3.55
2009-10-25,0.09,0.6,2.74,3.95
2009-10-26,0.09,0.36,3.05,3.61
2009-10-27,0.1,8.28,1.06,5.13
2009-10-28,0.11,3.28,-0.67,10.61
2009-10-29,0.1,4.51,-1.7,12.49
2009-10-30,0.11,8.86,-1.11,18.65
2009-10-31,0.13,4.7,2.47,21.26
2009-11-01,NA,0.45,-3.58,19.36
2009-11-02,NA,2.59,-0.06,20.22
2009-11-03,NA,0.35,-0.44,21.05
2009-11-04,NA,0,-2.04,20.25
2009-11-05,NA,0,4.03,18.16
2009-11-06,NA,0.13,3.64,14.63
2009-11-07,NA,0,0.57,13.48
2009-11-08,NA,0.2,-0.06,13.04
2009-11-09,NA,0.01,0.36,12.56
2009-11-10,NA,0.76,-0.18,12.42
2009-11-11,NA,0.02,-2.26,12.1
2009-11-12,NA,0,-2.48,11.72
2009-11-13,NA,0.19,-2.07,11.34
2009-11-14,NA,0,-2.94,11.07
2009-11-15,NA,0.65,0.66,10.63
2009-11-16,NA,0.26,0.71,10.69
2009-11-17,NA,0.85,1.37,10.13
2009-11-18,NA,0,-1.68,9.27
2009-11-19,NA,0.7,-0.87,9.43
2009-11-20,NA,0.42,-0.33,9.63
2009-11-21,NA,0.3,-3.34,9.82
2009-11-22,NA,0.07,-4.56,9.57
2009-11-23,NA,1.72,-3.03,9.79
2009-11-24,NA,0.13,-2.14,10.91
2009-11-25,NA,1.75,0.04,10.68
2009-11-26,NA,0.36,0.77,10.17
2009-11-27,NA,0.02,-1.76,9.77
2009-11-28,NA,0.52,-3.08,9.55
2009-11-29,NA,1.43,0.66,10.36
2009-11-30,NA,0.54,-1.72,10.8
2009-12-01,NA,0,-5.96,10.62
2009-12-02,NA,0,-8.2,10.46
2009-12-03,NA,0,-4.42,10.15
2009-12-04,NA,9.11,-4.07,13.99
2009-12-05,NA,0.95,-10.86,19.26
2009-12-06,NA,0.13,-19.89,19.62
2009-12-07,NA,0.05,-19.21,19.55
2009-12-08,NA,0.78,-19.81,19.63
2009-12-09,NA,3.4,-14.04,21.94
2009-12-10,NA,1.87,-13.56,24.2
2009-12-11,NA,1.51,-19.7,26.16
2009-12-12,NA,0.1,-31.94,26.67
2009-12-13,NA,0,-35.71,26.62
2009-12-14,NA,0,-28.94,26.57
2009-12-15,NA,0,-21.07,26.48
2009-12-16,NA,0.23,-7.67,26.44
2009-12-17,NA,0.05,-4.76,26.47
2009-12-18,NA,0.29,-1.84,26.37
2009-12-19,NA,0.02,-6.29,26.16
2009-12-20,NA,0.01,-15.53,26
2009-12-21,NA,2.83,-14.49,26.86
2009-12-22,NA,3.09,-16.83,30.58
2009-12-23,NA,0.08,-20.34,31.62
2009-12-24,NA,0.15,-11.47,31.61
2009-12-25,NA,0,-4.95,31.53
2009-12-26,NA,0,-3.49,31.26
2009-12-27,NA,0.02,-9.93,31.11
2009-12-28,NA,0.07,-12.68,31.11
2009-12-29,NA,0.39,-18.4,31.23
2009-12-30,NA,1.56,-21.97,32.33
2009-12-31,NA,0.07,-24.11,32.91
2010-01-01,NA,0.2,-18.74,32.88
2010-01-02,NA,1.29,-19.08,33.95
2010-01-03,NA,1.08,-16.78,34.84
2010-01-04,NA,0,-22.33,35.09
2010-01-05,NA,0.01,-23.06,35.03
2010-01-06,NA,0,-21.17,34.99
2010-01-07,NA,0,-10.13,34.72
2010-01-08,NA,0,-3.18,34.44
2010-01-09,NA,0.28,-2.29,34.4
2010-01-10,NA,0.58,0.75,34.66
2010-01-11,NA,0.01,3.52,32.68
2010-01-12,NA,0.19,0.99,29.81
2010-01-13,NA,0.05,-6.16,28.87
2010-01-14,NA,0.16,-1.88,28.66
2010-01-15,NA,2.33,1.97,28.1
2010-01-16,NA,0.25,-2.37,28.31
2010-01-17,NA,0,-2.53,27.91
2010-01-18,NA,0,-2.21,27.46
2010-01-19,NA,0,-3.82,26.9
2010-01-20,NA,0.27,-5.42,26.45
2010-01-21,NA,0.33,-7.13,26.62
2010-01-22,NA,0.4,-8.89,26.66
2010-01-23,NA,1.22,-9.39,27.4
2010-01-24,NA,0.51,-14.17,28.19
2010-01-25,NA,0.08,-17.87,28.25
2010-01-26,NA,0.01,-19.57,28.14
2010-01-27,NA,0,-15.71,27.96
2010-01-28,NA,0,-9.3,27.68
2010-01-29,NA,0.15,-9.86,27.49
2010-01-30,NA,0.13,-11.72,27.46
2010-01-31,NA,2.63,-12.67,28.82
2010-02-01,NA,0.2,-13.71,29.82
2010-02-02,NA,0.48,-12.5,30.2
