DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0,0.23,5.1,0
2009-10-02,0,0,5.16,0
2009-10-03,0,1.16,2.43,0
2009-10-04,0,1.88,3.02,0
2009-10-05,0,0.04,3.67,0
2009-10-06,0,9.31,3.27,0.04
2009-10-07,0,0.36,-0.02,0.29
2009-10-08,0,1.72,-3.4,1.67
2009-10-09,0,0.38,-4.34,2.14
2009-10-10,0,0.37,-4.24,2.43
2009-10-11,0,0.55,-4.66,2.71
2009-10-12,0,2.22,-3.9,4.47
2009-10-13,0,0.25,-4.27,5.17
2009-10-14,0,1.94,-2.87,5.86
2009-10-15,0,0.35,-1.2,7.2
2009-10-16,0,0,1.98,6.3
2009-10-17,0,0,5.08,3.81
2009-10-18,0,0,2.4,2.73
2009-10-19,0,3.39,0.63,2.83
2009-10-20,0,0.2,1.39,3.05
2009-10-21,0,0.31,1.14,2.66
2009-10-22,0.01,5.24,1.79,2.53
2009-10-23,0.01,0.6,1.19,2.09
2009-10-24,0.01,4.63,1.62,1.6
2009-10-25,0.01,0,1.86,1.39
2009-10-26,0.01,0.09,2.41,1.21
2009-10-27,0.01,1.21,1.68,1.08
2009-10-28,0.01,3.16,0.64,2.53
2009-10-29,0.01,2.02,-0.17,4.57
2009-10-30,0.01,2.62,-0.15,7.11
2009-10-31,0.01,10.81,-0.9,15.08
2009-11-01,NA,0.62,-2.64,18.93
2009-11-02,NA,0.62,-4.72,19.08
2009-11-03,NA,0.12,-1.35,18.86
2009-11-04,NA,0,-2.38,17.87
2009-11-05,NA,0,0.09,17.13
2009-11-06,NA,0.01,0.6,15.88
2009-11-07,NA,0,-0.09,14.57
2009-11-08,NA,0.02,-1.04,14.02
2009-11-09,NA,0,-2.52,13.46
2009-11-10,NA,0,-0.74,12.84
2009-11-11,NA,0,-3.01,12.24
2009-11-12,NA,0,-4.38,11.8
2009-11-13,NA,0,-5.06,11.52
2009-11-14,NA,0,-4.99,11.29
2009-11-15,NA,0.23,-2.5,10.91
2009-11-16,NA,0,-0.51,10.37
2009-11-17,NA,0.08,0.51,9.33
2009-11-18,NA,0,-1.94,8.45
2009-11-19,NA,0.02,-3.6,8.3
2009-11-20,NA,0,-1.65,8.17
2009-11-21,NA,4.97,-3.05,11.44
2009-11-22,NA,0,-7.2,12.75
2009-11-23,NA,0.99,-4.77,13.05
2009-11-24,NA,2.31,-3.13,15.39
2009-11-25,NA,0.13,-5.84,15.44
2009-11-26,NA,0.46,-1.2,15.18
2009-11-27,NA,0.46,-1.93,15
2009-11-28,NA,0,-5.85,14.97
2009-11-29,NA,0.15,-2.17,14.76
2009-11-30,NA,0.03,-2.05,14.34
2009-12-01,NA,0.32,-5.61,14.19
2009-12-02,NA,0,-12.01,14.1
2009-12-03,NA,0.01,-10.39,14.03
2009-12-04,NA,5.07,-5.69,15.9
2009-12-05,NA,0.74,-10.6,18.96
2009-12-06,NA,0.05,-21.16,19.08
2009-12-07,NA,0.03,-27.5,19.02
2009-12-08,NA,0.07,-26.12,18.94
2009-12-09,NA,0.63,-20.42,19.21
2009-12-10,NA,0.81,-17.77,19.83
2009-12-11,NA,0.1,-28.78,20.17
2009-12-12,NA,0,-34.78,20.12
2009-12-13,NA,0.01,-31.62,20.06
2009-12-14,NA,0,-30.23,19.99
2009-12-15,NA,0,-28.65,19.91
2009-12-16,NA,0.01,-20.61,19.82
2009-12-17,NA,0,-12.81,19.69
2009-12-18,NA,0.54,-10.55,19.73
2009-12-19,NA,0.07,-7.02,20
2009-12-20,NA,0,-15.47,19.94
2009-12-21,NA,0.3,-19.28,19.89
2009-12-22,NA,2.34,-15.96,21.25
2009-12-23,NA,0.2,-19.29,22.43
2009-12-24,NA,0.13,-21.43,22.42
2009-12-25,NA,0.03,-17.03,22.42
2009-12-26,NA,0.02,-11.75,22.36
2009-12-27,NA,0.08,-13,22.3
2009-12-28,NA,0.41,-11.69,22.47
2009-12-29,NA,0.28,-15.52,22.67
2009-12-30,NA,0.33,-20.49,22.89
2009-12-31,NA,0,-27.93,22.95
2010-01-01,NA,0.09,-23.38,22.91
2010-01-02,NA,0.74,-20.06,23.33
2010-01-03,NA,3.29,-20.92,25.08
2010-01-04,NA,0.01,-24.14,26.73
2010-01-05,NA,0.07,-24.64,26.74
2010-01-06,NA,0.04,-27.08,26.74
2010-01-07,NA,0.04,-20.93,26.74
