DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.15,0.15,5.2,0
2009-10-02,0.15,0,4.34,0
2009-10-03,0.14,2.24,3.12,0
2009-10-04,0.14,2.81,3.1,0
2009-10-05,0.14,0.03,3.65,0
2009-10-06,0.14,5.4,2.76,0.1
2009-10-07,0.14,1.3,-0.59,0.93
2009-10-08,0.14,1.22,-3.87,2.02
2009-10-09,0.14,0.64,-3.8,2.85
2009-10-10,0.13,1.16,-3.86,3.77
2009-10-11,0.12,0.93,-4.69,4.5
2009-10-12,0.11,0.63,-4.46,5.28
2009-10-13,0.11,0.37,-4.36,5.5
2009-10-14,0.11,0.51,-3.67,5.68
2009-10-15,0.11,1.27,-0.99,6.91
2009-10-16,0.11,0,2.77,6.14
2009-10-17,0.11,0,6.38,3.16
2009-10-18,0.11,0,0.9,2.12
2009-10-19,0.12,0.63,0.62,1.94
2009-10-20,0.13,0.67,1.15,1.98
2009-10-21,0.14,0.05,1.03,1.79
2009-10-22,0.15,4.06,1.38,1.86
2009-10-23,0.16,1.52,2.18,1.58
2009-10-24,0.19,6.98,2.46,1.01
2009-10-25,0.23,0.4,1.65,1.27
2009-10-26,0.27,0.3,1.53,1.24
2009-10-27,0.32,3.61,0.96,1.89
2009-10-28,0.33,1.06,0.49,3.34
2009-10-29,0.34,0.44,-0.36,3.58
2009-10-30,0.33,0.32,-0.84,4.06
2009-10-31,0.32,7.56,-2.37,7.65
2009-11-01,NA,2.58,-3.71,13.27
2009-11-02,NA,1.04,-7.18,14.07
2009-11-03,NA,0.19,-3.97,14.45
2009-11-04,NA,0.01,-4.48,14.07
2009-11-05,NA,0,-0.26,13.58
2009-11-06,NA,0.01,1.17,12.55
2009-11-07,NA,0,1,11.35
2009-11-08,NA,0.05,0.02,10.88
2009-11-09,NA,0,-0.77,10.38
2009-11-10,NA,0,0.16,9.83
2009-11-11,NA,0,-1.24,9.35
2009-11-12,NA,0,-3.57,9.15
2009-11-13,NA,0,-2.21,8.85
2009-11-14,NA,0.02,-3.56,8.58
2009-11-15,NA,0.5,-0.45,8.26
2009-11-16,NA,0,-1.9,7.98
2009-11-17,NA,0.11,-0.58,7.56
2009-11-18,NA,0,-0.3,7.02
2009-11-19,NA,0.12,-3.17,6.9
2009-11-20,NA,0.01,-3.24,6.87
2009-11-21,NA,7.59,-3.78,11.36
2009-11-22,NA,0,-6.96,14.16
2009-11-23,NA,0.44,-4.74,14.25
2009-11-24,NA,3.18,-4.53,16.57
2009-11-25,NA,0.37,-3.85,17.23
2009-11-26,NA,3.56,-0.77,17.57
2009-11-27,NA,0,-2.79,17.49
2009-11-28,NA,0,-4.88,17.38
2009-11-29,NA,0.02,-2.96,17.22
2009-11-30,NA,0.06,-3.75,16.91
2009-12-01,NA,0.29,-8.41,16.85
2009-12-02,NA,0,-11.8,16.76
2009-12-03,NA,0,-10.27,16.64
2009-12-04,NA,3.77,-5.4,17.26
2009-12-05,NA,1.65,-11.89,20.63
2009-12-06,NA,0.18,-21.54,21.29
2009-12-07,NA,0,-23.97,21.23
2009-12-08,NA,0.06,-25.28,21.13
2009-12-09,NA,0.83,-20.93,21.37
2009-12-10,NA,0.81,-21.47,22.25
2009-12-11,NA,0.03,-34.77,22.57
2009-12-12,NA,0.02,-34.5,22.54
2009-12-13,NA,0.01,-30.7,22.49
2009-12-14,NA,0,-29.45,22.42
2009-12-15,NA,0,-25.64,22.34
2009-12-16,NA,0,-21.06,22.25
2009-12-17,NA,0.12,-13.35,22.22
2009-12-18,NA,1.9,-9.64,22.52
2009-12-19,NA,0.6,-5.65,23.97
2009-12-20,NA,0.1,-15.14,24.41
2009-12-21,NA,0.12,-19.94,24.48
2009-12-22,NA,1.51,-17.04,25.18
2009-12-23,NA,0.55,-19.24,26.34
2009-12-24,NA,0.03,-19.09,26.37
2009-12-25,NA,0,-11.64,26.32
2009-12-26,NA,0.01,-6.88,26.13
2009-12-27,NA,0.23,-13.09,26.12
2009-12-28,NA,0.62,-12.66,26.37
2009-12-29,NA,1.67,-15.36,27.37
2009-12-30,NA,0.84,-21.7,28.87
2009-12-31,NA,0,-28.87,28.99
2010-01-01,NA,0.06,-22.28,28.95
2010-01-02,NA,0.4,-21.59,29.12
2010-01-03,NA,2.74,-23.37,30.33
2010-01-04,NA,0.02,-26.37,31.9
2010-01-05,NA,0.02,-28.7,31.88
2010-01-06,NA,0,-27.67,31.86
2010-01-07,NA,0,-17.03,31.74
2010-01-08,NA,0,-9.82,31.5
2010-01-09,NA,1.05,-7.59,31.6
2010-01-10,NA,0.66,-11.02,32.79
2010-01-11,NA,0.02,-1.19,32.77
2010-01-12,NA,0.18,-9.99,32.66
2010-01-13,NA,0.13,-17.43,32.73
2010-01-14,NA,0.14,-11.87,32.71
2010-01-15,NA,3.69,-4.03,33.51
2010-01-16,NA,4.51,-4.1,40.05
2010-01-17,NA,0,-4.66,40.53
2010-01-18,NA,0.02,-4.11,40.39
2010-01-19,NA,0.26,-6.76,40.45
2010-01-20,NA,0.35,-6.84,40.74
2010-01-21,NA,0.47,-7.66,40.92
2010-01-22,NA,0.79,-7.1,41.69
2010-01-23,NA,1.05,-9.26,42.23
2010-01-24,NA,0.78,-15.3,43.15
2010-01-25,NA,0.36,-20.16,43.6
2010-01-26,NA,0,-19.79,43.62
2010-01-27,NA,0,-19.31,43.51
2010-01-28,NA,0,-15.48,43.37
2010-01-29,NA,0.26,-17.26,43.29
2010-01-30,NA,0.09,-23.06,43.47
2010-01-31,NA,0.58,-21.48,43.47
2010-02-01,NA,2.59,-15.45,45.83
2010-02-02,NA,0.15,-18.99,46.49
2010-02-03,NA,0.44,-19.38,46.74
2010-02-04,NA,0.24,-11.99,46.96
2010-02-05,NA,0.11,-8.92,47.06
2010-02-06,NA,0.31,-7.84,47.15
2010-02-07,NA,0.23,-7.95,47.25
2010-02-08,NA,0.12,-10.13,47.14
2010-02-09,NA,0.01,-10.07,47.01
2010-02-10,NA,0.02,-8.95,46.9
2010-02-11,NA,0.04,-12.24,46.81
2010-02-12,NA,0.05,-11.28,46.76
2010-02-13,NA,0.01,-10.7,46.59
2010-02-14,NA,0.01,-8.7,46.17
2010-02-15,NA,0.01,-5.14,45.82
2010-02-16,NA,0,-5.59,45.58
2010-02-17,NA,0,-6.01,45.3
2010-02-18,NA,0.01,-5.29,45.08
2010-02-19,NA,0.25,-8.41,45.01
2010-02-20,NA,0.03,-9.33,44.94
2010-02-21,NA,0.14,-7.54,44.72
2010-02-22,NA,0.13,-14.03,44.68
2010-02-23,NA,0.01,-12.48,44.47
2010-02-24,NA,0.01,-6.87,44.28
2010-02-25,NA,0.02,-4.86,43.98
2010-02-26,NA,0.01,-4.05,43.62
2010-02-27,NA,0.21,-2.9,43.34
2010-02-28,NA,0.09,-0.19,42.86
2010-03-01,0.03,0,0.49,40.94
2010-03-02,0.03,0.01,1.7,37.71
2010-03-03,0.03,0.06,1.56,34.62
2010-03-04,0.03,0,1.3,31.95
2010-03-05,0.03,0,1.02,28.4
2010-03-06,0.03,0,2.42,24.14
2010-03-07,0.03,0,1.96,20.46
2010-03-08,0.03,0.59,0.19,17.4
2010-03-09,0.03,0,-2.08,16.29
2010-03-10,0.03,0.19,-0.78,15.72
2010-03-11,0.03,0.13,-0.2,15.28
2010-03-12,0.03,0.54,1.15,14.89
2010-03-13,0.03,0.23,0.44,14.38
2010-03-14,0.03,0,0.17,13.53
2010-03-15,0.03,0.07,4.31,11.75
2010-03-16,0.03,0,5.14,8.96
2010-03-17,0.03,7.63,0.37,9.52
2010-03-18,0.03,0.49,-5.53,14.18
2010-03-19,0.03,0,-6.42,13.96
2010-03-20,0.03,0.21,-3.03,13.49
2010-03-21,0.03,3.89,-6.75,14.25
2010-03-22,0.03,0.52,-11.87,17.09
2010-03-23,0.03,0.13,-11.27,16.69
2010-03-24,0.03,0.07,-17.16,16.21
2010-03-25,0.03,1.1,-8.14,16.15
2010-03-26,0.03,0.33,-8.04,16.4
2010-03-27,0.03,0.11,-0.49,15
2010-03-28,0.03,0,4.82,11.28
2010-03-29,0.03,0.87,5.53,7.78
2010-03-30,0.03,3.14,3.41,6.06
2010-03-31,0.03,0.43,2.59,4.6
2010-04-01,0.03,1.03,1.44,4.38
2010-04-02,0.03,0.08,3.57,3.96
2010-04-03,0.03,0.02,4.72,3.22
2010-04-04,0.03,2.57,2.71,2.62
2010-04-05,0.03,1.13,3.27,2.39
2010-04-06,0.03,0.04,5.81,1.75
2010-04-07,0.04,0.13,6.4,1.23
2010-04-08,0.04,5.02,6.59,0.99
2010-04-09,0.04,41.97,-0.95,25.25
2010-04-10,0.04,10.29,-3.17,48.77
2010-04-11,0.04,1.91,-3.22,54.05
2010-04-12,0.04,0.14,-1.25,54.24
2010-04-13,0.04,1.99,0.53,54.64
2010-04-14,0.04,0.22,3.3,51.39
2010-04-15,0.04,0,3.22,43.52
2010-04-16,0.04,0,5.7,34.97
2010-04-17,0.18,0,7.42,21.82
2010-04-18,1.03,0,10.61,9.34
2010-04-19,2.31,0,12.36,3.08
2010-04-20,2.82,0,13.73,0.78
2010-04-21,2.78,0,14.73,0.19
2010-04-22,2.49,0.08,14.43,0.05
2010-04-23,2.25,4.56,4.47,0.5
2010-04-24,1.98,3.7,-0.54,5.81
2010-04-25,1.72,0.45,0.74,6.57
2010-04-26,1.53,0.03,2.01,6.12
2010-04-27,1.38,0,4.87,4.92
2010-04-28,1.31,0.08,4.98,3.39
2010-04-29,1.23,4.75,2.64,2.69
2010-04-30,1.2,5.19,2.72,4.88
2010-05-01,1.29,0,6.75,2.84
2010-05-02,1.32,1.88,8.03,1.43
2010-05-03,1.26,0.83,7.89,0.56
2010-05-04,1.19,4.02,2.66,1.54
2010-05-05,1.07,0.22,0.61,1.97
2010-05-06,0.98,0,2.54,1.79
2010-05-07,0.9,0.37,3.71,1.43
2010-05-08,0.82,0.68,5.06,1.02
2010-05-09,0.77,0.49,7.21,0.57
2010-05-10,0.73,1.86,7.66,0.27
2010-05-11,0.7,0.34,9.77,0.11
2010-05-12,0.66,0,13.13,0.04
2010-05-13,0.63,4.13,11.45,0.01
2010-05-14,0.62,0.19,12.06,0
2010-05-15,0.65,0,14.09,0
2010-05-16,0.6,0.19,15.59,0
2010-05-17,0.56,0.28,17.89,0
2010-05-18,0.54,1.17,16.2,0
2010-05-19,0.52,11.01,16.77,0
2010-05-20,0.74,8.91,12.85,0
2010-05-21,1.1,6.04,10.19,0
2010-05-22,1.31,0.42,8.1,0
2010-05-23,1.31,6.89,2.81,0.32
2010-05-24,1.37,1.53,5.55,0.34
2010-05-25,1.47,0.13,8.99,0.14
2010-05-26,1.41,0,9.67,0.05
2010-05-27,1.24,0,9.81,0.02
2010-05-28,1.05,0,9.16,0.01
2010-05-29,0.92,1.82,9.47,0
2010-05-30,0.82,9.81,5.45,0.06
2010-05-31,0.89,0.03,10.27,0.04
2010-06-01,0.91,0.12,14.3,0.01
2010-06-02,0.8,0.02,14.74,0
2010-06-03,0.71,4.59,13.92,0
2010-06-04,0.66,13.86,12.03,0
2010-06-05,0.67,12.48,11.64,0
