DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.28,7.19,3.45,1.14
2009-10-02,0.33,0.9,2.57,1.15
2009-10-03,0.33,1.6,3.22,1.39
2009-10-04,0.29,0,3.78,1.13
2009-10-05,0.26,0.01,2.68,0.83
2009-10-06,0.23,4.66,4.53,0.52
2009-10-07,0.22,0.06,1.83,0.36
2009-10-08,0.21,0.09,-1.52,0.34
2009-10-09,0.21,0,-3.98,0.32
2009-10-10,0.2,0,-3.92,0.31
2009-10-11,0.2,0,-3.95,0.3
2009-10-12,0.2,0.08,-5.42,0.3
2009-10-13,0.18,0.08,-4.56,0.38
2009-10-14,0.16,0.26,-1.31,0.62
2009-10-15,0.15,0.08,1.34,0.6
2009-10-16,0.15,8.97,3.66,0.44
2009-10-17,0.16,0.01,1.93,0.25
2009-10-18,0.17,0.87,1.25,0.21
2009-10-19,0.17,0.1,1.26,0.18
2009-10-20,0.17,0,0.95,0.15
2009-10-21,0.18,9.14,0.86,2.62
2009-10-22,0.2,0.45,2.17,3.57
2009-10-23,0.26,9.65,2.6,3.52
2009-10-24,0.36,0.07,0.88,2.84
2009-10-25,0.36,10.66,-0.36,6.11
2009-10-26,0.36,12.04,0.21,17.89
2009-10-27,0.4,0.68,-1.75,22.44
2009-10-28,0.36,0.28,-2.95,22.25
2009-10-29,0.33,19.15,-1.7,32.64
2009-10-30,0.46,29.03,2.46,49.02
2009-10-31,1.49,4.35,1.39,43.98
2009-11-01,1.73,6.45,-1.67,44.13
2009-11-02,1.31,14.34,-0.04,58.78
2009-11-03,1.12,0.59,-1.86,63.5
2009-11-04,0.89,0.41,-2.77,63.6
2009-11-05,0.78,9.21,2.57,64.37
2009-11-06,0.9,5.74,-0.24,62.34
2009-11-07,0.91,0.25,-2.42,62.93
2009-11-08,0.79,0.42,-3.34,63.15
2009-11-09,0.72,5.09,-0.62,64.53
2009-11-10,0.71,0.52,-3.35,67.44
2009-11-11,0.63,0.39,-4.32,67.96
2009-11-12,0.55,0.16,-4.51,68
2009-11-13,0.52,5.1,-3.6,71.29
2009-11-14,0.49,0.6,-5.94,72.53
2009-11-15,0.5,19.6,-1.24,78.53
2009-11-16,0.51,20.97,-0.4,106.35
2009-11-17,0.53,6.9,-1.09,116.82
2009-11-18,0.55,1.79,-5.47,118.93
2009-11-19,0.56,2.15,-2.91,121.61
2009-11-20,0.56,14.21,-2.24,131.29
2009-11-21,0.57,0.14,-7.07,136.16
2009-11-22,0.56,3.51,-7.68,137.37
2009-11-23,0.55,4.95,-4.39,141.76
2009-11-24,0.55,3.59,-5.07,144.84
2009-11-25,0.54,18.6,0.45,155.87
2009-11-26,0.55,1.89,-1.44,161.07
2009-11-27,0.55,1.3,-5.71,161.75
2009-11-28,0.55,7.13,-3.79,165.26
2009-11-29,0.54,7.53,-0.37,174.56
2009-11-30,0.53,1.25,-5.07,178.4
2009-12-01,0.53,0.03,-12.57,178.29
2009-12-02,0.52,0,-14.91,178.31
2009-12-03,0.49,2.69,-11.82,178.7
2009-12-04,0.48,2.66,-8.1,183.18
2009-12-05,0.47,0.06,-14.55,183.51
2009-12-06,0.46,0,-21.32,183.36
2009-12-07,0.45,1.13,-20.56,183.75
2009-12-08,0.45,0.16,-21.38,184.51
2009-12-09,0.44,0.38,-18.11,184.68
2009-12-10,0.43,1.91,-13.23,185.95
2009-12-11,0.43,1.19,-12.49,187.6
2009-12-12,0.42,0.44,-20.05,188.3
2009-12-13,0.41,0.01,-31.93,188.15
2009-12-14,0.41,0,-35.95,188.1
2009-12-15,0.4,1.07,-25.04,188.79
2009-12-16,0.39,6.08,-12.73,191.71
2009-12-17,0.39,1.87,-7.44,196.93
2009-12-18,0.38,5.88,-5.35,201.27
2009-12-19,0.38,0,-13.16,203.04
2009-12-20,0.38,2.31,-15.14,203.57
2009-12-21,0.38,5.3,-13.54,208.16
2009-12-22,0.37,0.87,-18.82,211.03
2009-12-23,0.37,0.4,-24.61,211.11
2009-12-24,0.37,0.67,-15.15,211.92
2009-12-25,0.37,0,-13.85,212.08
2009-12-26,0.36,0,-15.32,212.09
2009-12-27,0.36,0,-16.08,212.1
2009-12-28,0.36,0.04,-14.93,212.12
2009-12-29,0.36,6.23,-12.5,214.09
2009-12-30,0.36,1.54,-18.46,219.6
2009-12-31,0.37,0.31,-22.9,219.66
2010-01-01,0.36,5.51,-13.5,222.3
2010-01-02,0.36,3.56,-9.81,226.45
2010-01-03,0.36,0.46,-12.1,229.33
2010-01-04,0.36,0.01,-19.02,229.32
2010-01-05,0.36,0,-23.35,229.23
2010-01-06,0.36,0,-23.66,229.2
2010-01-07,0.36,0.27,-17.37,229.21
2010-01-08,0.36,2.05,-9.42,230.83
2010-01-09,0.36,8.51,-5.38,235.21
2010-01-10,0.36,4.16,0.11,243.06
2010-01-11,0.37,2.93,2.06,244.55
2010-01-12,0.36,4,1.16,243.72
2010-01-13,0.37,1.99,-0.57,244.71
2010-01-14,0.37,4.41,-0.14,246.48
2010-01-15,0.37,9.17,-0.69,253.98
2010-01-16,0.36,0,-5.99,257.55
2010-01-17,0.36,0.52,-4.86,257.39
2010-01-18,0.36,2.17,-4.39,258.62
2010-01-19,0.36,0,-6.09,259.9
2010-01-20,0.36,0,-8.21,259.84
2010-01-21,0.36,0,-9.78,259.71
2010-01-22,0.35,0,-10.94,259.55
2010-01-23,0.35,0,-12.12,259.4
2010-01-24,0.35,0,-14.6,259.2
2010-01-25,0.35,2.46,-12.85,260.2
2010-01-26,0.35,0.47,-11.06,261.62
2010-01-27,0.35,0.11,-9.75,261.68
2010-01-28,0.35,0.57,-5.76,262.15
2010-01-29,0.35,1.58,-3.07,263.62
2010-01-30,0.35,3.64,-7.13,264.34
2010-01-31,0.35,2.35,-8.14,268.85
2010-02-01,0.35,1.35,-5.12,270.07
2010-02-02,0.35,0.28,-5.08,270.72
2010-02-03,0.35,0.21,-5.24,270.87
2010-02-04,0.35,0.36,-3.3,271.28
2010-02-05,0.34,0.28,-5.02,271.3
2010-02-06,0.34,0,-5.23,271.46
2010-02-07,0.34,0,-6.52,271.42
2010-02-08,0.34,0,-7.74,271.23
2010-02-09,0.35,1.79,-6.8,271.9
2010-02-10,0.35,0.42,-4.49,273.34
2010-02-11,0.34,0.14,-3.5,273.55
2010-02-12,0.34,0.03,-2.2,273.4
2010-02-13,0.34,0.02,-0.92,273.37
2010-02-14,0.34,3.41,0.01,275.17
2010-02-15,0.34,0.01,-3.9,276.33
2010-02-16,0.34,4.21,-3.38,278.37
2010-02-17,0.34,0.01,-5.44,280.14
2010-02-18,0.34,0,-7.86,280.11
2010-02-19,0.34,0,-7.34,280.1
2010-02-20,0.34,0,-7.35,280.09
2010-02-21,0.34,0,-7.84,280.1
2010-02-22,0.34,0,-8.4,280.11
2010-02-23,0.34,0,-7.5,280.12
2010-02-24,0.34,3.37,-5.29,280.94
2010-02-25,0.34,5.14,-1.51,286.47
2010-02-26,0.34,1.23,-2.03,288.93
2010-02-27,0.34,0.5,-0.65,289.96
2010-02-28,0.34,0.18,0.44,290.42
2010-03-01,0.34,0.07,2.66,289.94
2010-03-02,0.34,0.01,2.61,287.52
2010-03-03,0.34,1.04,0.93,285.91
2010-03-04,0.34,0,-0.83,285.5
