DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.15,0.33,2.25,4.37
2009-10-02,0.15,2.03,0.53,4.22
2009-10-03,0.16,9.4,-0.06,11.73
2009-10-04,0.17,0.28,-0.42,13.88
2009-10-05,0.17,0,0.96,12.23
2009-10-06,0.19,3.86,2.92,8.93
2009-10-07,0.35,0.46,-0.44,8.73
2009-10-08,0.3,2.87,-5.26,10.53
2009-10-09,0.25,0.01,-7.73,10.61
2009-10-10,0.22,0.08,-8.03,10.04
2009-10-11,0.2,0.01,-8.05,9.47
2009-10-12,0.17,2.5,-9.77,10.25
2009-10-13,0.19,1.31,-8.63,11.79
2009-10-14,0.18,1.74,-6.12,13.49
2009-10-15,0.17,0.01,-1.24,12.61
2009-10-16,0.17,1.4,2.35,9.9
2009-10-17,0.22,0,3.28,6.29
2009-10-18,0.26,0.07,1.34,5.44
2009-10-19,0.23,0,0.79,4.81
2009-10-20,0.21,0,-0.22,4.27
2009-10-21,0.2,2.12,0.04,4.43
2009-10-22,0.2,0.35,2.14,4.39
2009-10-23,0.18,2.68,2.55,4.09
2009-10-24,0.19,0.06,0.63,3.65
2009-10-25,0.19,2.53,0.6,4.37
2009-10-26,0.17,5.86,0.7,6.95
2009-10-27,0.17,3.15,-1.51,14.12
2009-10-28,0.16,0.24,-4.24,13.96
2009-10-29,0.15,9.55,-2.64,18.83
2009-10-30,0.17,28.82,-0.89,37.41
2009-10-31,0.59,1.07,0.35,46.24
2009-11-01,0.84,1.91,-1.88,46.18
2009-11-02,0.43,5.5,-0.38,51.38
2009-11-03,0.34,0.15,-1.21,52.59
2009-11-04,0.28,0,-3.46,52.32
2009-11-05,0.28,1.27,0.37,52.35
2009-11-06,0.29,3.98,-0.29,53.23
2009-11-07,0.29,0.14,-1.91,53.07
2009-11-08,0.3,0.04,-2.81,52.49
2009-11-09,0.3,1.85,-2.34,52.78
2009-11-10,0.31,0.03,-2.77,53.76
2009-11-11,0.3,0.07,-5.21,53.53
2009-11-12,0.32,0.09,-3.64,53.16
2009-11-13,0.3,1.16,-4.29,53.22
2009-11-14,0.29,0.59,-7.05,53.26
2009-11-15,0.28,16.25,-2.42,58.87
2009-11-16,0.28,20.36,-2.92,83.98
2009-11-17,0.27,7.48,-4.56,94.52
2009-11-18,0.27,1.12,-8.61,96.71
2009-11-19,0.28,1.38,-6.3,98.56
2009-11-20,0.28,8.64,-6,105.12
2009-11-21,0.28,0.1,-7.04,107.47
2009-11-22,0.27,0.41,-10.25,107.43
2009-11-23,0.26,2.73,-5.24,108.75
2009-11-24,0.26,0.72,-4.5,110.31
2009-11-25,0.25,10.34,0.21,115.36
2009-11-26,0.25,0.13,-1.18,117.45
2009-11-27,0.24,0.2,-5.7,117.07
2009-11-28,0.24,1.67,-4.2,117.48
2009-11-29,0.24,4.78,-1.38,121.63
2009-11-30,0.23,0.86,-6.48,123.63
2009-12-01,0.23,0.01,-12.08,123.58
2009-12-02,0.22,0,-11.57,123.52
2009-12-03,0.21,0.34,-6.4,123.3
2009-12-04,0.2,5.82,-8.16,127.09
2009-12-05,0.2,3.54,-14.95,130.47
2009-12-06,0.19,0.14,-22.92,132.48
2009-12-07,0.19,4.19,-17.53,133.64
2009-12-08,0.18,1.84,-15.76,137.75
2009-12-09,0.18,1.66,-14.72,139.29
2009-12-10,0.18,2.14,-12.92,141.06
2009-12-11,0.17,4.16,-14.25,144.49
2009-12-12,0.17,1.13,-27.8,147.01
2009-12-13,0.17,0.01,-36.15,147.16
2009-12-14,0.16,0,-34.56,147.16
2009-12-15,0.15,0.11,-24.37,147.23
2009-12-16,0.14,1.58,-12.56,148.21
2009-12-17,0.14,0.41,-8.82,148.98
2009-12-18,0.13,0.83,-4.72,149.92
2009-12-19,0.13,0.02,-10.63,150
2009-12-20,0.12,2.48,-16.84,150.4
2009-12-21,0.12,5.99,-17.8,155.16
2009-12-22,0.12,1.83,-20.94,159.76
2009-12-23,0.12,0.08,-20.24,159.98
2009-12-24,0.11,0.03,-11.32,160.1
2009-12-25,0.11,0,-5.74,160.19
2009-12-26,0.11,0,-8.3,160.12
