DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.13,0.3,2.92,1.78
2009-10-02,0.13,9.77,0.34,5.03
2009-10-03,0.14,6.85,0.46,12.15
2009-10-04,0.15,0.35,-0.39,12.82
2009-10-05,0.14,0,1.59,11.35
2009-10-06,0.14,7.42,4.18,8.28
2009-10-07,0.18,2.08,-0.91,10.65
2009-10-08,0.19,5.58,-5.29,14.71
2009-10-09,0.17,0.03,-8.47,16.34
2009-10-10,0.15,0.3,-8.06,16.09
2009-10-11,0.14,0,-7.75,15.17
2009-10-12,0.14,1.65,-9.26,15.2
2009-10-13,0.14,0.56,-7.51,15.65
2009-10-14,0.14,0.72,-4.67,16.07
2009-10-15,0.16,0.01,-1.02,14.48
2009-10-16,0.16,0.44,2.41,11.45
2009-10-17,0.17,0.05,4.17,7.26
2009-10-18,0.19,1.75,1.87,5.69
2009-10-19,0.2,0,0.54,4.66
2009-10-20,0.18,0,-0.1,4.1
2009-10-21,0.18,3.66,-0.48,4.16
2009-10-22,0.19,0.11,2.65,4.5
2009-10-23,0.19,2.24,3.05,3.93
2009-10-24,0.18,0.13,1.55,3.43
2009-10-25,0.17,1.21,1.1,3.56
2009-10-26,0.19,0.76,1.58,4.15
2009-10-27,0.19,4.13,-0.31,7.51
2009-10-28,0.18,0.22,-2.02,8
2009-10-29,0.15,5.24,-2.9,10.27
2009-10-30,0.17,17.66,-0.61,21.76
2009-10-31,0.22,0.47,0.3,27.33
2009-11-01,NA,0.29,-1.39,26.48
2009-11-02,NA,3.22,-0.62,27.7
2009-11-03,NA,0.01,-1.39,27.6
2009-11-04,NA,0,-2.36,26.8
2009-11-05,NA,0,0.68,24.54
2009-11-06,NA,0.89,0.94,22.83
2009-11-07,NA,0.08,-1.06,22.11
2009-11-08,NA,0,-2.57,21.34
2009-11-09,NA,0.55,-3.38,21
2009-11-10,NA,0.06,-2.66,20.99
2009-11-11,NA,1.64,-5.11,21.37
2009-11-12,NA,0,-3.5,21.61
2009-11-13,NA,0.2,-3.13,20.83
2009-11-14,NA,0.05,-5.72,20.25
2009-11-15,NA,4.5,-1.26,20.79
2009-11-16,NA,7.16,-2.2,27.65
2009-11-17,NA,3.36,-1.85,32.97
2009-11-18,NA,0.22,-5.57,33.06
2009-11-19,NA,0.44,-4.32,33.1
2009-11-20,NA,3.99,-4.56,35.96
2009-11-21,NA,0,-5.62,36.42
2009-11-22,NA,0.12,-7.79,36.15
2009-11-23,NA,1.15,-6.22,36.46
2009-11-24,NA,0.06,-3.2,36.76
2009-11-25,NA,3.66,-0.29,38.64
2009-11-26,NA,0.3,-1.04,38.55
2009-11-27,NA,0.05,-3.76,37.99
2009-11-28,NA,0.78,-3.49,37.65
