DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,0.04,0.08,3.36,2.04
2009-10-02,0.04,2.18,1.08,1.95
2009-10-03,0.04,7.82,0.99,6.7
2009-10-04,0.04,0.26,0.84,7.63
2009-10-05,0.04,0,2.52,6.62
2009-10-06,0.05,4.02,4.74,4.34
2009-10-07,0.06,0.7,0.15,4.47
2009-10-08,0.07,4.19,-4.16,7.17
2009-10-09,0.07,0.01,-7,8.21
2009-10-10,0.08,0.13,-7.18,8
2009-10-11,0.07,0,-7.45,7.62
2009-10-12,0.07,2.29,-8.54,8.44
2009-10-13,0.07,0.87,-7.49,9.62
2009-10-14,0.07,1.34,-4.99,10.72
2009-10-15,0.08,0.01,-0.54,9.95
2009-10-16,0.09,0.67,2.68,7.75
2009-10-17,0.09,0,4.46,4.63
2009-10-18,0.1,0.07,1.84,3.83
2009-10-19,0.11,0,1.38,3.25
2009-10-20,0.11,0,0.15,2.8
2009-10-21,0.11,2.6,-0.02,2.84
2009-10-22,0.11,0.22,3.04,2.8
2009-10-23,0.11,2.65,3.31,2.5
2009-10-24,0.11,0.16,2.04,2.18
2009-10-25,0.11,1.82,1.61,2.49
2009-10-26,0.11,3.15,1.93,3.68
2009-10-27,0.12,4.12,-0.01,8.93
2009-10-28,0.12,0.2,-1.85,9.05
2009-10-29,0.13,6.89,-2.46,12.28
2009-10-30,0.12,23.49,-1.65,27.71
2009-10-31,0.13,0.97,0.53,36.42
2009-11-01,0.12,0.6,-1.14,35.76
2009-11-02,0.15,4.4,-0.17,38.09
2009-11-03,0.13,0.03,-0.23,38.34
2009-11-04,0.1,0,-2.48,37.78
2009-11-05,0.11,0.2,-0.27,36.63
2009-11-06,0.14,2.31,0.96,35.8
2009-11-07,0.12,0.08,-0.64,35.08
2009-11-08,0.12,0.01,-1.91,34.25
2009-11-09,0.11,0.84,-2.47,33.99
2009-11-10,0.12,0.01,-1.4,34.13
2009-11-11,0.1,0.07,-4.21,33.71
2009-11-12,0.08,0.02,-2.44,33.08
2009-11-13,0.1,0.46,-2.13,32.34
2009-11-14,0.1,0.19,-4.19,31.75
2009-11-15,0.1,10.27,-1.05,34.1
2009-11-16,0.11,16.18,-2.12,52.39
2009-11-17,0.11,5.97,-3.58,61.1
2009-11-18,0.1,0.42,-6.6,62.56
2009-11-19,0.09,0.79,-5.23,63.34
2009-11-20,0.09,5.96,-5.87,67.63
2009-11-21,0.08,0.02,-6.04,69.17
2009-11-22,0.08,0.24,-9.93,69
2009-11-23,0.07,1.78,-4.65,69.74
2009-11-24,0.07,0.15,-3.31,70.6
2009-11-25,0.08,5.87,0.31,73.27
2009-11-26,0.08,0.08,-0.28,73.33
2009-11-27,0.09,0.06,-3.97,72.82
2009-11-28,0.1,0.77,-3.17,72.64
2009-11-29,0.09,2.4,0.06,74.36
2009-11-30,0.09,0.68,-4.33,75.28
2009-12-01,0.09,0,-10.42,75.13
2009-12-02,0.08,0,-10.87,74.98
2009-12-03,0.08,0.23,-4.67,74.7
2009-12-04,0.07,5.48,-6.29,77.6
2009-12-05,0.07,2.68,-13.12,80.78
2009-12-06,0.06,0.14,-22.21,82.39
2009-12-07,0.06,3.46,-17.49,83.28
2009-12-08,0.06,2,-13.99,86.98
2009-12-09,0.06,2.55,-12.08,89.1
2009-12-10,0.07,2.32,-11.54,91.28
2009-12-11,0.08,4.72,-14.21,94.98
2009-12-12,0.08,1.2,-28.28,97.76
2009-12-13,0.08,0.01,-36.72,97.95
2009-12-14,0.06,0,-34.58,97.96
2009-12-15,0.06,0.07,-24.07,98
2009-12-16,0.06,0.87,-12.39,98.57
2009-12-17,0.07,0.09,-7.52,98.96
2009-12-18,0.08,0.41,-4.61,99.31
2009-12-19,0.08,0.01,-9.04,99.21
2009-12-20,0.08,1.78,-16.99,99.35
2009-12-21,0.07,5.88,-16.7,103.62
2009-12-22,0.06,2.15,-19.5,108.31
2009-12-23,0.06,0.02,-20.13,108.64
2009-12-24,0.06,0.01,-8.47,108.62
2009-12-25,0.06,0,-5.07,108.62
2009-12-26,0.07,0,-8.88,108.53
2009-12-27,0.07,0.04,-13.12,108.51
2009-12-28,0.07,0.01,-13.99,108.53
2009-12-29,0.06,3.12,-16.66,109.36
2009-12-30,0.06,2.75,-22.94,113.77
2009-12-31,0.06,0.73,-25.78,114.8
2010-01-01,0.06,3.55,-20.33,116.07
2010-01-02,0.06,1.28,-19.38,119.43
2010-01-03,0.06,0.27,-15.76,119.95
2010-01-04,0.05,0.07,-21.01,120.01
2010-01-05,0.05,0.04,-22.22,120.08
2010-01-06,0.05,0,-23,120.08
2010-01-07,0.05,0,-12.59,120.09
2010-01-08,0.05,0.08,-4.4,120.19
2010-01-09,0.05,2.14,-1.33,121.79
2010-01-10,0.05,1.16,0.78,123.12
2010-01-11,0.05,0.52,1.63,122.53
2010-01-12,0.05,2.46,0.5,122.77
2010-01-13,0.05,0.08,-3.78,122.43
2010-01-14,0.05,0.67,-1.24,122.6
2010-01-15,0.05,2.88,0.31,124.06
2010-01-16,0.05,0,-4.01,125.03
2010-01-17,0.05,0.01,-8.47,124.66
2010-01-18,0.05,0.07,-6.73,124.69
2010-01-19,0.05,0,-8.34,124.76
2010-01-20,0.05,0.17,-10.01,124.82
2010-01-21,0.05,0.56,-10.63,125.24
2010-01-22,0.05,1.39,-10.69,126.05
2010-01-23,0.05,1.86,-11.04,127.83
2010-01-24,0.04,1.39,-14.74,129.28
2010-01-25,0.04,2.28,-17.29,131.07
2010-01-26,0.04,0.13,-18.46,132.14
2010-01-27,0.04,0,-14.92,132.14
2010-01-28,0.04,0.13,-9.17,132.22
2010-01-29,0.04,1.97,-8.56,133.33
2010-01-30,0.04,2.14,-12.55,134.79
2010-01-31,0.04,3.52,-12.47,138.97
2010-02-01,0.04,0.6,-10.2,139.85
2010-02-02,0.04,0.71,-8.29,140.79
2010-02-03,0.04,0.31,-11.81,141.05
2010-02-04,0.04,0.01,-8.12,141.13
2010-02-05,0.04,0.04,-11.49,141.15
2010-02-06,0.04,0,-9.72,141.17
2010-02-07,0.04,0,-8.54,141.09
2010-02-08,0.04,0,-7.38,141.01
2010-02-09,0.04,0.71,-5.09,141.1
2010-02-10,0.04,0.13,-7.43,141.49
2010-02-11,0.04,0.01,-7.93,141.48
2010-02-12,0.04,0,-5.34,141.34
2010-02-13,0.04,0,-4.7,141.2
2010-02-14,0.03,0.72,-3.13,141.34
2010-02-15,0.03,0,-3.36,141.52
2010-02-16,0.03,1.68,-5.23,142.03
2010-02-17,0.03,0,-2.65,142.77
2010-02-18,0.03,0,-5.15,142.34
2010-02-19,0.03,0,-5.71,142.05
2010-02-20,0.03,0,-4.73,141.82
2010-02-21,0.03,0,-3.5,141.5
2010-02-22,0.03,0.01,-8.81,141.18
2010-02-23,0.03,0,-4.28,140.99
2010-02-24,0.03,0.12,-2.7,140.61
2010-02-25,0.03,0.12,-1.38,140.39
2010-02-26,0.03,0.07,-2.73,139.9
2010-02-27,0.03,1.68,-2.27,140.42
2010-02-28,0.03,0.01,-1.02,141.22
2010-03-01,0.03,0,0.24,140.57
2010-03-02,0.03,0,1.38,139.09
2010-03-03,0.03,0,0.38,136.84
2010-03-04,0.03,0,-1.04,135.48
2010-03-05,0.03,0,-0.74,134.61
2010-03-06,0.03,0,1.26,133.48
2010-03-07,0.03,0.34,-1,132.23
2010-03-08,0.04,0.03,-5.39,131.58
2010-03-09,0.04,0,-8.21,130.8
2010-03-10,0.04,0.04,-5.54,130.17
2010-03-11,0.04,1.24,-2.98,130.04
2010-03-12,0.04,0.01,-4.01,130.07
2010-03-13,0.04,0.03,-4.8,129.28
2010-03-14,0.03,0.05,-1.11,128.49
2010-03-15,0.03,0.03,1.25,126.68
2010-03-16,0.04,1.59,0.64,124.6
2010-03-17,0.04,0.25,0.82,123.59
2010-03-18,0.04,3.07,-3.09,124.5
2010-03-19,0.04,0,-3.9,125.02
2010-03-20,0.05,0,1.39,123.81
2010-03-21,0.05,2.22,-5.19,123.91
2010-03-22,0.05,1.93,-7.07,125.36
2010-03-23,0.05,0.75,-4.41,126.62
2010-03-24,0.04,0.92,-6.25,127.31
2010-03-25,0.04,0.13,-1.02,126.93
2010-03-26,0.04,1.02,-0.54,126.66
2010-03-27,0.04,0.14,3.38,124.75
2010-03-28,0.05,0.85,2.48,120.7
2010-03-29,0.06,0.93,0.36,118.24
2010-03-30,0.08,0.05,0.23,116.8
2010-03-31,0.08,0.19,-0.17,115.67
2010-04-01,0.1,0.36,-1.53,114.64
2010-04-02,0.1,0.07,-0.43,113.91
2010-04-03,0.13,0.58,0.14,112.85
2010-04-04,0.18,0.16,0.37,111.46
2010-04-05,0.16,0,0.41,110.27
2010-04-06,0.16,0.81,0.92,108.88
2010-04-07,0.19,5.21,1.47,108.44
2010-04-08,0.21,1.87,-1.72,111.68
2010-04-09,0.18,0.7,-3.46,111.03
2010-04-10,0.21,0.13,-3.8,110.71
2010-04-11,0.22,0.03,-4.82,109.92
2010-04-12,0.22,0,-3.04,109.07
2010-04-13,0.2,0,1.48,107.62
2010-04-14,0.2,0,3.09,103.51
2010-04-15,0.23,0,5.54,95.66
2010-04-16,0.38,0,5.72,84.45
2010-04-17,0.48,0.07,6.73,73.39
2010-04-18,0.75,0.32,7.3,61.51
2010-04-19,1.04,0,8.21,50.75
2010-04-20,1.44,0,10.13,39.15
2010-04-21,1.94,1.16,8.27,28.37
2010-04-22,2.55,0.06,4.3,22.82
2010-04-23,2.75,0.03,3.89,21.47
2010-04-24,2.57,3.5,2.45,20.45
2010-04-25,2.43,1.31,3.27,18.88
2010-04-26,2.3,0,5.12,16.69
2010-04-27,2.19,1.77,3.59,14.78
2010-04-28,2.15,8.71,2.14,15.83
2010-04-29,2.32,1.63,3.75,15.4
2010-04-30,2.33,2.98,4.82,12.81
2010-05-01,2.26,0.47,4.35,10.45
2010-05-02,2.13,0.38,3.58,9.44
2010-05-03,1.97,2.23,2.02,8.95
2010-05-04,1.79,1.27,-1.16,10.15
2010-05-05,1.61,0.04,-1.04,10.25
2010-05-06,1.41,0.1,0,9.95
2010-05-07,1.25,0.87,1.77,9.65
2010-05-08,1.13,2.17,2.21,9.57
2010-05-09,1.01,0.94,3.52,8.33
2010-05-10,0.92,0.22,5.79,6.85
2010-05-11,0.83,0.18,7.67,5.29
2010-05-12,0.77,0,8.74,3.91
2010-05-13,0.72,0,8.87,2.9
2010-05-14,0.69,0.02,9.95,2.15
2010-05-15,0.65,0.16,11.54,1.5
2010-05-16,0.63,0.12,11.98,0.97
2010-05-17,0.62,0.64,12.96,0.57
2010-05-18,0.6,2.69,13.02,0.28
2010-05-19,0.61,3.55,12.1,0.13
2010-05-20,0.63,11.96,7.02,0.07
2010-05-21,0.81,38.6,1.35,8.62
2010-05-22,1.67,5.63,-0.02,28.56
2010-05-23,2.21,1.01,2,27.83
2010-05-24,2.41,0.28,4.73,20.12
2010-05-25,2.46,1.13,8.36,9.59
2010-05-26,2.39,1.93,9.62,2.8
2010-05-27,2.19,0.42,9.97,0.61
2010-05-28,1.95,0.07,8.07,0.2
2010-05-29,1.66,0.21,6.54,0.1
2010-05-30,1.43,4.83,6.1,0.06
2010-05-31,1.28,0.03,6.98,0.03
2010-06-01,1.15,1.83,9.63,0.01
2010-06-02,1.03,1.23,10.53,0
2010-06-03,0.93,2.54,9.07,0
2010-06-04,0.81,0.07,10.01,0
2010-06-05,0.69,0.72,11.2,0
2010-06-06,0.59,0.23,11.57,0
2010-06-07,0.5,7.79,8.74,0
2010-06-08,0.5,8.32,8.13,0
2010-06-09,0.74,2.54,8.78,0
2010-06-10,0.82,0.54,10.3,0
2010-06-11,0.72,0.22,13.15,0
2010-06-12,0.63,0,15.56,0
2010-06-13,0.53,0.18,11.92,0
2010-06-14,0.45,0.23,8.77,0
2010-06-15,0.39,0.71,9.51,0
2010-06-16,0.33,0.33,11.42,0
2010-06-17,0.28,0.96,13.27,0
2010-06-18,0.25,2.34,14.16,0
2010-06-19,0.22,0.01,16.2,0
2010-06-20,0.2,1.7,16.81,0
2010-06-21,0.18,3.28,15.44,0
2010-06-22,0.16,0.63,15.47,0
2010-06-23,0.16,0.99,15.98,0
2010-06-24,0.23,3.65,14.71,0
2010-06-25,0.23,0,13.56,0
2010-06-26,0.2,0,14.11,0
2010-06-27,0.18,1.68,13.86,0
2010-06-28,0.16,0.44,13.57,0
2010-06-29,0.14,1.24,12.57,0
2010-06-30,0.13,1.56,9.48,0
2010-07-01,0.11,0,10.35,0
2010-07-02,0.11,0.02,10.11,0
2010-07-03,0.1,0.02,12.01,0
2010-07-04,0.1,2.44,10.93,0
2010-07-05,0.1,2.47,12.11,0
2010-07-06,0.09,0.02,15.25,0
2010-07-07,0.09,0.19,18.11,0
2010-07-08,0.08,0.2,20.15,0
2010-07-09,0.08,0.03,19.81,0
2010-07-10,0.07,1.87,17.35,0
2010-07-11,0.07,0,18.24,0
2010-07-12,0.06,0.75,12.49,0
2010-07-13,0.06,4.34,11.09,0
2010-07-14,0.06,0,16.17,0
2010-07-15,0.05,0.08,13.36,0
2010-07-16,0.05,0.21,12.47,0
2010-07-17,0.04,0.55,14.72,0
2010-07-18,0.04,9.51,12.65,0
2010-07-19,0.04,1.59,13.95,0
2010-07-20,0.03,0.31,15.74,0
2010-07-21,0.03,2.46,16.86,0
2010-07-22,0.03,4.27,14.43,0
2010-07-23,0.03,0,15.81,0
2010-07-24,0.02,0,14.47,0
2010-07-25,0.02,0,14.37,0
2010-07-26,0.01,0.13,14.77,0
2010-07-27,0.01,0,16.58,0
2010-07-28,0.01,1.97,18.21,0
2010-07-29,0.01,2.78,17.74,0
2010-07-30,0.01,2.31,16.11,0
2010-07-31,0.01,0.08,17.52,0
2010-08-01,0.01,1.48,16.04,0
2010-08-02,0.01,0.3,15,0
2010-08-03,0.01,0.08,15.92,0
2010-08-04,0.01,0.02,16.77,0
2010-08-05,0.01,0.07,18.18,0
2010-08-06,0.01,2.38,17.27,0
2010-08-07,0.01,0.09,15.94,0
2010-08-08,0.01,0.25,14.83,0
2010-08-09,0.01,0.3,12.92,0
2010-08-10,0.01,0.01,14.02,0
2010-08-11,0.01,0.06,16.12,0
2010-08-12,0.01,6.9,13.74,0
2010-08-13,0.01,0.07,14.9,0
2010-08-14,0.01,0,16,0
2010-08-15,0.01,0.05,17.18,0
