DATE,Q_mmd,prcp_mmd,T_mean_C,swe_mm
2009-10-01,NA,0.32,0.15,2.24
2009-10-02,NA,1.86,-1.23,2.63
2009-10-03,NA,0.81,0.19,4.53
2009-10-04,NA,0.8,1.04,4.29
2009-10-05,NA,1.86,2.2,3.4
2009-10-06,NA,0.79,-0.63,3.18
2009-10-07,NA,0.61,-3.46,3.81
2009-10-08,NA,0.56,-4.13,4.12
2009-10-09,NA,1.3,-4.68,5.02
2009-10-10,NA,0.28,-7.54,5.31
2009-10-11,NA,0.42,-8.17,5.67
2009-10-12,NA,0.07,-9.09,5.69
2009-10-13,NA,0.09,-5.65,5.65
2009-10-14,NA,0.08,-3.38,5.49
2009-10-15,NA,0,-3.47,5.39
2009-10-16,NA,0.01,-1.46,5.37
2009-10-17,NA,0.52,-3.42,5.51
2009-10-18,NA,0.38,-8.95,5.94
2009-10-19,NA,0.46,-5.88,6.21
2009-10-20,NA,0.31,-6.94,6.56
2009-10-21,NA,0.26,-9.18,6.83
2009-10-22,NA,1.67,-8.57,7.33
2009-10-23,NA,4.35,-2.53,11.37
2009-10-24,NA,0.62,-3.43,13.17
2009-10-25,NA,1.69,-5.48,13.86
2009-10-26,NA,0.91,-1.57,15.58
2009-10-27,NA,0.55,-6.52,16.01
2009-10-28,NA,0.54,-10.26,16.46
2009-10-29,NA,1.89,-8.6,17.39
2009-10-30,NA,0.46,-11.85,18.66
2009-10-31,NA,0.49,-13.82,19.09
2009-11-01,NA,0.22,-14.76,19.41
2009-11-02,NA,0.25,-11.94,19.58
2009-11-03,NA,0.08,-15.46,19.74
2009-11-04,NA,0.16,-15.67,19.9
2009-11-05,NA,1.99,-13.22,20.58
2009-11-06,NA,2.24,-6.97,22.48
2009-11-07,NA,5.95,-4.32,27.94
2009-11-08,NA,1.63,-11.06,31.28
2009-11-09,NA,0.12,-22.07,31.71
2009-11-10,NA,0.39,-15.06,31.9
2009-11-11,NA,1.3,-18.45,33.04
2009-11-12,NA,0.45,-18.55,33.59
2009-11-13,NA,0.73,-7.85,34.08
2009-11-14,NA,0.27,-9.62,34.91
2009-11-15,NA,0.87,-4.45,35.69
2009-11-16,NA,0.02,-18.34,35.86
